Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45
-4.803175e+02,-4.614942e+02,-4.597488e+02,-4.645701e+02,-4.660605e+02,-4.629207e+02,-4.645838e+02,-4.631445e+02,-4.580002e+02,-4.647889e+02,-4.674072e+02,-4.699582e+02,-4.680081e+02,-4.685001e+02,-4.685415e+02,-4.685775e+02,-4.510891e+02,-4.134300e+02,-2.396280e+02,-1.495290e+02,-1.205636e+02,-1.244827e+02,-1.292342e+02,-1.288363e+02,-1.131110e+02,-1.127723e+02,-1.090784e+02,-8.507662e+01,-5.984013e+01,-4.126027e+01,-3.431171e+01,-4.297426e+01,-6.813931e+01,-1.098998e+02,-1.647923e+02,-2.373256e+02,-3.245819e+02,-4.041740e+02,-4.376263e+02,-4.560940e+02,-4.642690e+02,-4.669026e+02,-4.717859e+02,-4.681474e+02,-4.694043e+02
1.995125e+01,3.630905e+01,3.927190e+01,3.617307e+01,3.379198e+01,3.621889e+01,3.349424e+01,3.342940e+01,3.716685e+01,3.554803e+01,3.344675e+01,2.917849e+01,3.248866e+01,3.098848e+01,3.150655e+01,3.349118e+01,5.494399e+01,9.205953e+01,1.101074e+02,8.861568e+01,5.754378e+01,4.174174e+01,4.761320e+01,4.431718e+01,5.220471e+01,5.194924e+01,4.407988e+01,5.297461e+01,4.840248e+01,3.919222e+01,4.143811e+01,5.143937e+01,7.180438e+01,8.846136e+01,7.564119e+01,6.398438e+01,5.932448e+01,6.124260e+01,5.273528e+01,4.167709e+01,3.556244e+01,3.151125e+01,2.840703e+01,3.405488e+01,3.461462e+01
8.951464e+00,1.086638e+01,1.332370e+01,1.397971e+01,1.117672e+01,1.082689e+01,7.567310e+00,5.416081e+00,5.621160e+00,1.412116e+01,1.297550e+01,8.389639e+00,1.234344e+01,1.053027e+01,1.194559e+01,1.641839e+01,2.985026e+01,3.856128e+01,8.775677e+00,-1.623012e+00,-1.677732e+01,-2.332469e+01,-1.924488e+01,-2.361838e+01,-4.216322e+01,-4.018350e+01,-3.410551e+01,-5.020245e+01,-7.152751e+01,-7.780916e+01,-8.297163e+01,-8.441825e+01,-8.095593e+01,-6.480618e+01,-3.973310e+01,-2.538361e+01,-2.559863e+01,-1.302872e+01,2.999971e-01,8.599859e+00,1.279155e+01,8.359226e+00,1.071000e+01,1.601792e+01,2.081742e+01
3.777359e+00,5.669203e+00,5.317567e+00,3.209458e+00,1.105783e+00,2.113181e-02,-3.080801e+00,-2.814044e+00,6.786873e-01,5.432619e+00,2.139786e+00,-1.089493e-01,3.352710e+00,3.347723e+00,4.768377e+00,7.781717e+00,1.161703e+01,6.222212e+00,-2.540189e+00,-1.553654e+01,-2.805669e+01,-3.421233e+01,-3.456897e+01,-3.441084e+01,-3.395541e+01,-3.350520e+01,-3.163277e+01,-2.952238e+01,-2.808537e+01,-2.840945e+01,-2.750999e+01,-2.358783e+01,-2.961250e+01,-3.220134e+01,-3.070976e+01,-2.666494e+01,-2.504391e+01,-1.870796e+01,-1.049357e+01,-3.346378e+00,5.238593e+00,1.346435e+00,2.896515e+00,5.074366e+00,1.135524e+01
4.756563e+00,1.109265e+01,9.231264e+00,5.416409e+00,5.573329e+00,3.573708e+00,1.099415e+00,4.209579e+00,1.051019e+01,6.653259e+00,3.476336e+00,5.150498e+00,7.614890e+00,8.234394e+00,8.701886e+00,8.961130e+00,3.541304e+00,-4.469534e+00,-2.983548e+01,-2.793248e+01,-1.860264e+01,-1.584438e+00,8.623440e+00,7.281764e+00,1.025369e+01,2.194220e+01,2.446141e+01,2.771795e+01,2.380824e+01,2.259278e+01,2.010874e+01,1.830175e+01,1.695079e+01,2.304512e+01,3.307156e+01,3.910136e+01,3.777954e+01,2.190153e+01,9.392880e+00,7.218515e+00,1.131821e+01,8.752619e+00,5.991603e+00,4.687833e+00,8.939701e+00
5.762303e+00,8.032127e+00,8.743916e+00,9.073610e+00,1.067383e+01,7.750122e+00,5.584554e+00,6.939094e+00,8.437456e+00,4.942267e+00,6.033593e+00,9.559983e+00,1.155245e+01,9.051308e+00,8.032300e+00,9.213179e+00,-3.231166e+00,-1.388299e+01,-3.245510e+01,-2.503400e+01,-1.075227e+01,5.995086e-01,4.485035e+00,1.233527e+01,1.281280e+01,9.088963e+00,8.722249e+00,1.497819e+01,1.975913e+01,2.610222e+01,2.687569e+01,2.748683e+01,2.586336e+01,1.989864e+01,1.819215e+01,1.902504e+01,1.968474e+01,1.580195e+01,1.499239e+01,1.442069e+01,1.226327e+01,1.041267e+01,7.423907e+00,6.232946e+00,8.208369e+00
4.853470e+00,2.648125e+00,6.475967e+00,8.937813e+00,9.298513e+00,8.065485e+00,6.123487e+00,4.782274e+00,-3.437030e-02,9.608111e-01,4.681647e+00,6.477878e+00,7.875927e+00,2.577339e+00,-3.700103e-01,3.881318e+00,-1.070126e+01,-2.177556e+01,-4.207332e+01,-4.008114e+01,-2.915320e+01,-2.455209e+01,-2.536950e+01,-2.431506e+01,-1.975370e+01,-1.583079e+01,-1.540168e+01,-1.235009e+01,-1.708561e+01,-2.264017e+01,-2.179660e+01,-2.106234e+01,-1.920620e+01,-1.816613e+01,-2.154560e+01,-1.522723e+01,-1.272397e+01,1.546885e+00,4.751950e+00,6.770464e+00,4.254993e+00,1.635994e+00,2.160009e+00,3.910268e+00,5.680592e+00
3.618355e+00,3.675153e+00,6.488845e+00,5.893240e+00,5.103294e+00,6.060855e+00,5.044721e+00,5.254777e+00,-3.063069e-01,6.090387e-01,3.328228e+00,2.311779e+00,2.043427e+00,-9.368784e-01,-5.590314e+00,-1.420067e+00,-1.289841e+01,-1.869304e+01,2.304335e+01,4.306881e+01,4.713386e+01,4.403954e+01,4.232858e+01,4.155090e+01,4.076488e+01,2.878325e+01,2.545396e+01,2.899676e+01,3.187197e+01,2.805179e+01,2.802835e+01,2.946495e+01,2.364414e+01,1.449426e+01,1.322778e+01,1.941158e+01,1.654377e+01,4.891090e+00,-3.625090e+00,-2.884504e+00,-2.177321e-01,-3.925316e+00,-2.308502e+00,4.623928e-01,2.672369e+00
1.725885e+00,2.172868e+00,1.218824e+00,1.136839e-01,1.138405e+00,2.129184e+00,2.654261e+00,5.281885e+00,1.750988e+00,1.609683e+00,3.226618e+00,1.247873e+00,-7.491044e-01,8.414994e-01,-3.781963e+00,-2.655117e+00,-9.316166e+00,-7.938690e+00,-3.545594e-01,-2.750545e+00,-4.769472e+00,-8.867066e+00,-1.092972e+01,-1.913786e+01,-2.611456e+01,-2.552785e+01,-2.553362e+01,-2.807531e+01,-3.487413e+01,-3.865385e+01,-3.757177e+01,-3.333711e+01,-3.377891e+01,-3.392130e+01,-3.028883e+01,-2.676474e+01,-1.720351e+01,-3.114397e+00,-5.977915e+00,-4.384574e+00,2.551320e+00,-6.007043e-01,-1.122587e+00,-8.430383e-01,-1.162287e-01
-1.690305e+00,-6.085155e+00,-8.761423e+00,-5.981975e+00,-3.339016e+00,-2.194065e+00,2.085498e-01,1.249939e+00,-1.359401e+00,4.815855e-01,8.792767e-01,-4.381644e-01,-2.562427e+00,-5.321357e-01,-3.060466e+00,-2.810935e+00,-6.401034e+00,-5.699779e-01,-3.748900e-01,-8.287168e+00,-2.438348e+01,-3.108615e+01,-3.015952e+01,-3.372732e+01,-3.761444e+01,-3.095173e+01,-2.592888e+01,-2.226678e+01,-1.005145e+01,-5.797186e+00,-3.001748e+00,-1.300832e+00,-5.879200e+00,-1.364700e+01,-9.043633e+00,-8.315420e+00,-1.019778e+01,-9.384801e+00,-7.304178e+00,-3.817440e+00,2.266802e+00,1.400722e+00,1.742080e-01,-1.700268e+00,-4.258048e+00
