Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44
-4.367142e+02,-4.200323e+02,-4.191029e+02,-4.147581e+02,-4.095113e+02,-4.121886e+02,-4.114576e+02,-4.146354e+02,-4.194370e+02,-4.179569e+02,-4.175724e+02,-4.182532e+02,-4.170428e+02,-4.190798e+02,-4.186281e+02,-3.452604e+02,-1.913990e+02,-1.056134e+02,-6.678575e+01,-6.116887e+01,-8.167802e+01,-5.766639e+01,-3.587791e+01,-5.454241e+01,-1.103825e+02,-1.930253e+02,-2.721765e+02,-3.383862e+02,-3.787613e+02,-3.917051e+02,-4.021146e+02,-3.626004e+02,-3.302323e+02,-3.453720e+02,-3.758128e+02,-4.031767e+02,-4.099442e+02,-4.089036e+02,-4.088060e+02,-4.158548e+02,-4.193439e+02,-4.219467e+02,-4.304885e+02,-4.444608e+02
5.511219e+01,6.712075e+01,6.603011e+01,7.104660e+01,7.476035e+01,7.368352e+01,7.460866e+01,7.245584e+01,6.760558e+01,7.018179e+01,7.067972e+01,6.954932e+01,7.155304e+01,6.928471e+01,7.143163e+01,8.295384e+01,8.991574e+01,7.685684e+01,5.326692e+01,4.273877e+01,4.098963e+01,3.005523e+01,4.384798e+01,6.514474e+01,8.764892e+01,1.090996e+02,1.241713e+02,1.294089e+02,1.092226e+02,9.187177e+01,7.527590e+01,7.593822e+01,8.507092e+01,8.756927e+01,7.959169e+01,6.720058e+01,7.155873e+01,7.411180e+01,7.244751e+01,6.923570e+01,6.561624e+01,6.233185e+01,5.725225e+01,4.793953e+01
1.926783e+01,1.541965e+01,1.098232e+01,1.120483e+01,1.099456e+01,1.436265e+01,1.544332e+01,1.530076e+01,1.339055e+01,1.747934e+01,1.859328e+01,1.752554e+01,1.775168e+01,1.616897e+01,2.014297e+01,3.393318e+01,3.069202e+01,2.750652e+01,1.500315e+01,1.080552e+01,2.140994e+01,2.202730e+01,2.180508e+01,3.200358e+01,3.903941e+01,4.281484e+01,3.649437e+01,3.338701e+01,2.739013e+01,1.497930e+01,1.801447e+00,-2.096420e+01,-2.280686e+01,-8.896608e+00,-2.288395e+00,2.811520e+00,6.795740e+00,1.143004e+01,7.719509e+00,9.859751e+00,7.578761e+00,6.235369e+00,1.208700e+01,1.583351e+01
7.744811e+00,3.759771e+00,-4.356520e-01,-7.175614e+00,-5.497795e+00,2.464768e-01,1.292285e+00,-1.610564e+00,-1.318213e+00,3.999265e+00,6.013887e+00,4.425798e+00,1.554789e+00,5.642230e-01,3.858751e+00,2.146704e+00,1.622537e+01,1.472928e+01,1.830526e+01,1.778131e+01,1.442801e+01,1.722853e+01,9.405281e+00,6.396662e+00,1.395665e+01,2.484082e+01,2.099370e+01,9.562859e+00,-5.753550e+00,-6.751260e+00,-6.860991e+00,1.971290e+00,-1.568746e+00,-6.166454e+00,-5.307103e+00,-1.862837e+00,-3.409424e+00,9.849029e-01,-1.683928e+00,-4.057815e+00,-6.962776e+00,-6.185492e+00,1.015954e+00,2.246191e+00
1.425678e+01,1.631924e+01,1.403722e+01,6.857629e+00,9.967201e+00,1.620248e+01,1.589836e+01,1.106153e+01,1.308664e+01,1.671080e+01,1.732141e+01,1.535835e+01,1.343443e+01,1.390111e+01,1.551112e+01,-2.392561e+01,-6.162430e+01,-6.167205e+01,-6.117021e+01,-5.802394e+01,-4.965406e+01,-5.766553e+01,-6.054490e+01,-6.153612e+01,-6.341119e+01,-5.698402e+01,-3.411423e+01,-8.109975e+00,-6.670230e+00,2.315634e+00,1.162559e+01,3.482466e+01,3.929675e+01,3.473762e+01,3.217042e+01,2.825585e+01,1.646607e+01,1.649356e+01,1.612723e+01,1.445973e+01,1.124327e+01,1.255562e+01,1.409894e+01,9.847051e+00
1.354616e+01,1.681634e+01,1.636574e+01,1.779262e+01,1.875502e+01,2.221691e+01,2.098561e+01,1.921906e+01,1.927729e+01,1.883788e+01,1.687778e+01,1.835512e+01,1.937294e+01,2.001306e+01,2.046025e+01,1.070223e+01,7.351010e+00,1.067845e+01,2.074208e+01,2.863519e+01,3.019111e+01,2.765274e+01,2.121372e+01,1.924432e+01,1.407438e+01,1.127759e+01,3.563058e+00,-1.132540e+01,-1.224195e+01,-4.445367e+00,6.523877e+00,-5.047561e+00,-9.202307e+00,-2.054989e+00,1.355438e+01,2.057099e+01,1.865734e+01,1.627411e+01,1.813595e+01,2.005833e+01,1.746865e+01,2.002175e+01,1.848008e+01,1.721705e+01
4.151682e+00,5.748013e+00,8.679256e+00,1.573477e+01,1.592139e+01,1.422214e+01,1.411494e+01,1.481308e+01,1.066022e+01,8.643179e+00,8.158087e+00,1.315199e+01,1.457089e+01,1.356839e+01,1.264110e+01,-2.166327e+01,-3.812646e+01,-3.442690e+01,-3.046611e+01,-2.762181e+01,-2.394138e+01,-2.301916e+01,-2.708808e+01,-3.238567e+01,-3.770113e+01,-4.035607e+01,-3.273742e+01,-2.232191e+01,-2.081503e+01,-1.511426e+01,-1.644458e+00,5.269934e-02,-1.869576e+00,-4.660600e+00,1.443219e+00,6.340920e+00,6.748729e+00,7.474539e+00,1.159739e+01,9.092886e+00,6.981927e+00,1.064650e+01,9.822887e+00,1.285741e+01
-1.682423e+00,-1.901100e+00,2.986639e+00,6.267373e+00,8.363297e+00,5.536178e+00,5.553307e+00,4.463764e+00,-9.035969e-02,4.519525e-01,4.495245e+00,7.454423e+00,8.220222e+00,7.941186e+00,5.372394e+00,1.784845e+00,1.316304e+01,1.861312e+01,2.037416e+01,2.418229e+01,3.279271e+01,2.709703e+01,1.346171e+01,1.068139e+00,-3.991193e+00,-4.576160e+00,-1.309760e+01,-2.633223e+01,-2.660756e+01,-1.473100e+01,1.981075e+00,2.070912e+01,1.558051e+01,5.719338e+00,1.362268e+00,-9.240126e-01,-2.787173e+00,1.867163e-01,5.169413e+00,1.704450e+00,6.145307e-01,2.136680e+00,1.966566e+00,4.846883e+00
-1.959932e+00,-2.196332e+00,-3.030524e-01,-1.294557e+00,1.802750e+00,3.422965e+00,1.121566e+00,-1.066219e+00,-3.386814e+00,-1.845339e+00,3.139875e+00,4.459535e+00,4.956879e+00,6.831612e+00,3.677670e+00,3.352805e+00,-3.597042e+00,-8.982922e+00,-1.713742e+01,-1.937437e+01,-1.547614e+01,-1.546177e+01,-1.664540e+01,-2.027853e+01,-2.033479e+01,-1.600946e+01,-7.702744e+00,-1.618351e+01,-2.461507e+01,-1.263539e+01,1.777683e+00,3.275923e+00,-9.177260e-01,-3.468605e+00,-5.865156e+00,-6.826196e+00,-5.945354e+00,-4.718024e+00,2.789021e-03,3.129038e+00,2.158440e+00,2.488642e+00,2.845464e+00,2.516813e+00
-1.975685e+00,-8.256654e-01,-2.051461e+00,-3.411485e+00,-1.316160e+00,4.351614e+00,1.873260e+00,7.320075e-01,-1.083905e+00,-2.691506e+00,2.249916e-01,4.651003e+00,5.174397e+00,4.734885e+00,2.115038e+00,2.256717e+01,2.735586e+01,3.168157e+01,3.369987e+01,3.993913e+01,4.307013e+01,4.720455e+01,4.623708e+01,3.774014e+01,2.454396e+01,9.205507e+00,-6.570706e+00,-5.347550e+00,-8.741852e+00,-6.981126e+00,-1.153792e+00,-2.868195e+00,5.088089e+00,9.205024e+00,1.725062e+00,-2.429113e+00,-2.575206e+00,-1.066807e+00,3.449830e+00,5.226822e+00,1.410318e+00,4.219206e+00,6.160491e+00,2.950357e+00
-3.203486e+00,-3.408473e+00,-4.815271e+00,-5.762038e+00,-3.948926e+00,1.842747e+00,1.686662e+00,-1.058402e+00,-3.884668e+00,-5.935555e+00,-2.701091e+00,2.848071e+00,4.296087e+00,-6.604594e-02,-2.990417e+00,1.106874e+01,-2.282490e+00,-9.644020e+00,-9.671012e+00,-9.355515e+00,-1.168773e+01,-1.033418e+01,-6.278241e-01,2.343945e+00,7.639383e-01,7.569276e-01,3.729061e+00,4.214284e+00,7.712818e+00,5.216542e+00,3.356600e-01,-2.219177e+00,-2.269046e+00,-1.629741e+00,-8.495919e-01,-5.027746e-01,4.972673e-01,4.254236e+00,6.238896e+00,8.664856e-01,-3.514798e+00,-1.144312e+00,4.824754e-01,-7.775132e-01
-2.785573e+00,-6.260005e+00,-8.880020e+00,-7.436451e+00,-4.690573e+00,-1.770567e+00,-2.856722e+00,-7.603393e+00,-1.121793e+01,-8.698905e+00,-4.342991e+00,-1.594618e+00,-1.311392e-01,-3.111319e+00,-7.207212e+00,9.447751e-01,5.498457e-01,5.169016e+00,1.044738e+01,1.155549e+01,1.127450e+01,1.351712e+01,2.442412e+01,2.732791e+01,2.449760e+01,1.360565e+01,3.344955e+00,1.118748e+00,1.074604e+01,1.049955e+01,-8.870471e-02,2.612621e+00,9.389071e+00,7.063734e+00,6.360637e+00,5.317734e+00,-1.391764e+00,-2.733251e-02,-2.535252e+00,-7.359944e+00,-5.255179e+00,-6.879072e+00,-9.120861e+00,-6.296409e+00
3.210619e-01,-3.230495e+00,-6.986290e+00,-2.817718e+00,-2.116503e+00,-3.072964e+00,-6.236172e+00,-7.595167e+00,-1.057435e+01,-6.298130e+00,-3.705022e+00,-3.247594e+00,-3.653614e+00,-3.604658e+00,-6.549995e+00,-2.766676e+00,-6.818211e+00,-1.298249e+01,-2.000866e+01,-2.514589e+01,-3.059583e+01,-3.087720e+01,-1.951900e+01,-6.623487e+00,2.352900e+00,2.372145e+00,2.528999e+00,1.527812e+00,7.901231e+00,6.445920e+00,-1.928404e+00,-9.836847e+00,-1.482340e+01,-1.476158e+01,-6.608122e+00,-5.676808e-01,-3.626817e+00,-5.316442e+00,-7.652825e+00,-9.130109e+00,-1.436049e+00,-2.038340e+00,-6.527830e+00,-5.910080e+00
