Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.712137e+02,-4.468408e+02,-4.524990e+02,-4.553824e+02,-4.535105e+02,-4.389671e+02,-4.093917e+02,-3.398477e+02,-2.289220e+02,-1.444559e+02,-1.070894e+02,-1.022946e+02,-1.167193e+02,-1.433878e+02,-1.463916e+02,-1.353651e+02,-1.408280e+02,-1.610687e+02,-1.614765e+02,-1.744866e+02,-2.220055e+02,-2.947360e+02,-3.364283e+02,-3.829632e+02,-4.261150e+02,-4.413538e+02,-4.452252e+02,-4.481805e+02,-4.496217e+02,-4.541895e+02,-4.550440e+02,-4.705899e+02
4.642081e+01,6.161269e+01,5.706702e+01,5.425259e+01,5.254012e+01,5.962252e+01,7.586156e+01,1.107882e+02,1.165986e+02,1.108326e+02,1.149616e+02,1.127597e+02,1.067483e+02,1.074809e+02,1.072325e+02,1.131726e+02,1.396173e+02,1.643761e+02,1.748859e+02,1.720718e+02,1.780230e+02,1.745547e+02,1.567031e+02,1.214318e+02,8.142990e+01,6.820282e+01,6.671574e+01,6.255531e+01,5.935809e+01,5.871796e+01,5.953424e+01,4.748499e+01
1.495920e+01,4.802791e+00,5.147873e+00,5.670962e+00,5.318521e+00,7.562641e+00,3.658545e+00,-7.721564e+00,7.952088e+00,1.360042e-01,-1.735618e+01,-2.445254e+01,-1.978276e+01,-7.458119e+00,-4.503858e+00,-5.544073e+00,6.081059e+00,1.967265e+01,1.063324e+01,-7.809255e+00,-1.250777e+01,1.160271e+01,2.905741e+01,2.666758e+01,1.411307e+01,9.461372e+00,1.171708e+01,1.041478e+01,6.903461e+00,1.182444e+01,1.543709e+01,1.836236e+01
-3.894044e-01,-8.770376e+00,-7.520050e+00,-5.704554e+00,3.818337e-01,8.612708e+00,7.643864e+00,1.704958e+01,2.267182e+01,3.314278e+00,-1.489076e+01,-3.099127e+01,-3.385658e+01,-3.162878e+01,-3.576801e+01,-4.635039e+01,-5.553009e+01,-5.575880e+01,-4.430071e+01,-1.639495e+01,2.879534e+00,1.328157e+01,1.542407e+01,1.080839e+01,3.877155e+00,-2.320024e+00,-3.410337e+00,-8.563856e-01,-2.262262e+00,-1.473158e+00,1.048672e+00,4.750937e+00
5.718045e+00,7.444412e+00,7.330400e+00,6.983808e+00,1.153049e+01,1.068508e+01,5.839806e+00,3.666286e+00,-1.019932e+01,-3.096879e+01,-4.245312e+01,-4.946791e+01,-4.951704e+01,-4.732825e+01,-5.526092e+01,-5.646927e+01,-6.521159e+01,-7.175570e+01,-4.790747e+01,-2.289159e+01,-2.623101e+00,1.217469e+01,1.299250e+01,1.787119e+01,1.917759e+01,1.686946e+01,1.439598e+01,1.395118e+01,1.269961e+01,1.017309e+01,8.542786e+00,3.607039e+00
1.599019e+01,1.649908e+01,1.420586e+01,1.366162e+01,1.779855e+01,1.545794e+01,1.904422e+01,2.499633e+01,8.233768e+00,1.769594e+01,4.375030e+01,5.994358e+01,6.609843e+01,6.073328e+01,5.782634e+01,5.138594e+01,2.976727e+01,1.096375e+01,1.629252e+01,5.967769e+00,-4.838740e+00,-2.007979e+01,-1.492862e+01,1.982642e+00,1.539781e+01,2.170035e+01,2.285068e+01,1.795025e+01,1.470903e+01,1.347608e+01,9.637882e+00,1.128375e+00
1.747618e+01,1.266312e+01,8.886971e+00,9.109823e+00,1.151380e+01,9.373495e+00,1.145006e+01,2.876352e+01,-2.027852e+01,-4.804119e+01,-5.598289e+01,-5.575483e+01,-5.349654e+01,-4.581432e+01,-3.868108e+01,-3.311358e+01,-3.104457e+01,-2.982113e+01,-4.127467e+01,-4.600549e+01,-2.636310e+01,-8.275888e+00,-7.999902e+00,-6.347316e+00,3.606373e+00,1.022339e+01,1.073483e+01,9.984924e+00,7.087630e+00,5.970024e+00,4.559430e+00,-5.064985e-01
1.102471e+01,5.381661e+00,2.404270e+00,-5.850127e-02,8.432261e-01,-1.782399e+00,-8.947577e+00,-1.282997e+01,-5.619465e+00,8.827904e+00,1.580740e+01,1.932780e+01,2.212257e+01,2.508487e+01,3.082093e+01,3.772054e+01,3.900703e+01,3.311635e+01,1.810766e+01,7.895836e+00,5.392899e+00,3.880069e+00,1.283380e-01,-7.276579e+00,-4.421553e+00,-3.610983e-01,-1.105809e+00,2.115852e+00,8.815985e-01,1.453702e+00,4.198951e+00,2.589422e+00
2.569168e+00,-6.223822e-01,-2.747752e+00,-7.239761e+00,-8.675508e-01,4.293558e+00,7.418925e+00,1.000322e+01,-9.066959e+00,-9.281279e+00,-7.786380e+00,-1.141955e+01,-1.869872e+01,-2.136050e+01,-1.981694e+01,-2.172722e+01,-2.442675e+01,-2.845478e+01,-1.777795e+01,-2.606635e+00,2.901049e+00,-1.024916e+01,-1.853428e+01,-1.632860e+01,-9.187761e+00,-5.186243e+00,-7.268789e-01,-1.200327e+00,-3.056082e+00,-4.413557e-02,3.891618e+00,3.273586e+00
-3.345140e+00,-5.637860e+00,-7.998004e+00,-9.966468e+00,-7.204940e+00,-5.705317e+00,-3.419196e+00,4.632114e+00,-8.347758e+00,-1.858452e+00,1.047528e+01,9.475275e+00,1.012391e+00,-6.287980e+00,-1.532433e+01,-1.748234e+01,-8.394163e+00,-2.781394e+00,-5.705865e+00,-1.177215e+01,-1.857180e+01,-1.353918e+01,-1.882211e+01,-1.633931e+01,-5.211680e+00,-4.853836e+00,7.204474e-01,-6.462050e-01,-3.298899e+00,-4.350958e+00,-2.990614e+00,-1.761994e+00
