Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37
-4.682018e+02,-4.472024e+02,-4.431047e+02,-4.468082e+02,-4.092776e+02,-3.525836e+02,-3.041700e+02,-2.924661e+02,-3.032030e+02,-3.176693e+02,-3.305162e+02,-3.211228e+02,-1.627723e+02,-9.337080e+01,-8.137491e+01,-8.234409e+01,-7.452094e+01,-8.300841e+01,-1.072394e+02,-8.864262e+01,-6.264253e+01,-5.935541e+01,-6.201583e+01,-7.254279e+01,-1.171429e+02,-1.814198e+02,-2.463860e+02,-2.936419e+02,-3.460083e+02,-3.670431e+02,-3.717729e+02,-3.949587e+02,-4.224745e+02,-4.238682e+02,-4.395879e+02,-4.456109e+02,-4.616574e+02
7.117244e+01,8.296826e+01,8.329713e+01,8.500597e+01,1.303462e+02,1.691655e+02,1.789840e+02,1.743637e+02,1.702188e+02,1.684047e+02,1.673304e+02,1.539611e+02,6.496312e+01,3.691685e+01,2.373634e+01,1.488192e+01,1.566617e+01,2.547540e+01,3.391156e+01,2.035711e+01,1.646688e+01,1.970014e+01,3.360910e+01,5.375087e+01,7.097052e+01,8.314938e+01,1.136565e+02,1.322277e+02,1.449340e+02,1.598833e+02,1.650424e+02,1.504204e+02,1.252530e+02,1.163630e+02,9.873551e+01,9.131431e+01,8.260262e+01
9.606102e+00,5.838559e+00,3.952374e+00,8.559896e+00,2.379151e+01,2.378866e+01,8.315018e+00,5.553741e+00,1.090506e+01,1.316846e+01,1.196026e+01,1.958985e+01,1.895113e+01,1.111080e+01,1.520937e+01,1.699916e+01,1.460842e+01,1.137152e+01,8.616823e+00,6.749206e+00,4.175172e+00,9.851732e+00,1.130474e+01,2.435967e+01,4.951920e+01,5.542842e+01,4.054670e+01,3.334931e+01,3.215759e+01,3.710527e+01,3.932270e+01,3.918460e+01,3.537865e+01,2.322775e+01,1.447478e+01,9.316048e+00,1.319813e+01
-1.648431e+00,-6.259041e-01,1.612317e+00,2.624379e+00,-1.577120e+01,-2.488413e+01,-1.042923e+01,3.404532e+00,5.577029e+00,-2.945118e+00,-1.185563e+01,4.372532e+00,4.944010e+01,5.238200e+01,5.184158e+01,5.365964e+01,5.056317e+01,5.211204e+01,5.325008e+01,5.829144e+01,5.464407e+01,5.610592e+01,5.456467e+01,4.975638e+01,5.461680e+01,5.275502e+01,3.967543e+01,3.631878e+01,3.500743e+01,2.207343e+01,1.042026e+01,2.967513e-02,2.767069e+00,-4.277127e+00,-7.648161e+00,-5.905051e+00,-7.362528e+00
9.274643e+00,9.518298e+00,9.093259e+00,1.092527e+01,-1.950870e+01,-4.455884e+01,-4.180177e+01,-3.181175e+01,-3.216830e+01,-3.529704e+01,-3.440090e+01,-3.118528e+01,-5.035543e+01,-6.016479e+01,-6.176552e+01,-5.639264e+01,-6.058173e+01,-6.061795e+01,-5.534948e+01,-6.228899e+01,-7.448299e+01,-7.010786e+01,-7.064069e+01,-7.735414e+01,-7.424382e+01,-5.839674e+01,-3.376458e+01,-1.265938e+01,2.009256e+00,1.170886e+01,1.014338e+01,-2.699959e-02,2.049039e+00,-4.153085e-02,5.611579e+00,1.269917e+01,7.942297e+00
1.771019e+01,1.853001e+01,1.621143e+01,1.373287e+01,-1.843926e+01,-2.615322e+01,-1.504153e+01,-4.854462e+00,-4.090922e+00,-3.457749e+00,-1.361471e+01,-2.054995e+01,1.525995e+01,3.386015e+01,5.350053e+01,6.947615e+01,6.906886e+01,6.747369e+01,6.400421e+01,6.187545e+01,5.759355e+01,5.802349e+01,5.219778e+01,4.604971e+01,4.420798e+01,3.665636e+01,2.113309e+01,7.894823e+00,-3.362599e+00,-1.384074e+01,-1.331411e+01,-1.387405e+01,-9.475875e+00,-3.946044e+00,8.997108e+00,1.432367e+01,1.420861e+01
1.071496e+01,1.352450e+01,1.473061e+01,1.073011e+01,-1.339381e+01,-7.799118e+00,-5.365436e-01,1.025703e+00,7.790157e+00,1.001375e+01,-4.183151e-01,-1.494849e+01,-3.938957e+01,-3.537928e+01,-3.400655e+01,-3.551356e+01,-4.088700e+01,-4.314788e+01,-4.202593e+01,-4.571036e+01,-3.951256e+01,-3.646443e+01,-4.735141e+01,-5.903462e+01,-5.855171e+01,-4.659401e+01,-3.071822e+01,-2.003450e+01,-1.147601e+01,-2.241216e+01,-2.623382e+01,-2.343242e+01,-1.843904e+01,-6.128042e+00,5.148300e+00,8.056465e+00,6.772940e+00
2.291213e-01,8.618683e-01,4.012392e+00,3.001058e+00,-4.753813e+00,-5.769503e+00,-1.010210e+01,-1.069042e+01,-8.972600e+00,-8.673824e+00,-9.524776e+00,-1.550417e+01,-4.606855e-01,8.555620e+00,1.127595e+01,9.269211e+00,9.728359e+00,1.150083e+01,1.478581e+01,8.672331e+00,5.110547e+00,6.502894e+00,5.960914e+00,-4.840482e+00,-1.643930e+01,-2.488306e+01,-2.901021e+01,-1.806749e+01,-1.544036e+01,-1.956904e+01,-1.926269e+01,-1.765781e+01,-1.600233e+01,-4.720896e+00,4.119176e+00,6.728245e+00,3.928267e+00
5.737553e+00,7.603736e+00,9.221870e+00,7.370016e+00,9.953667e+00,1.543700e+01,2.360682e+01,1.875791e+01,9.757189e+00,9.696595e+00,9.608163e+00,-7.015467e+00,-3.415935e+01,-3.392707e+01,-3.341786e+01,-2.863059e+01,-3.065587e+01,-2.824042e+01,-2.327134e+01,-2.101283e+01,-2.497815e+01,-2.737459e+01,-1.803210e+01,-1.468730e+01,-9.673224e+00,-6.485991e+00,-4.495848e+00,-1.236288e+01,-1.490486e+01,-1.438342e+01,-1.389156e+01,-1.570188e+01,-1.334259e+01,-6.770873e+00,7.244682e-02,4.120980e+00,6.611246e+00
4.016377e+00,2.695441e+00,1.163191e+00,2.824405e+00,1.392679e+01,9.920453e+00,8.477060e+00,4.298029e+00,1.672169e+00,-5.075675e-02,1.692406e+00,-4.647678e+00,7.525941e-01,3.022756e+00,4.295409e+00,1.527798e+00,-1.060995e+00,-1.190978e+00,-1.264423e-01,-2.752351e+00,4.079461e+00,6.484088e-02,2.683389e+00,4.121581e+00,3.949882e+00,2.470412e-01,-5.011553e-01,-8.360186e+00,-2.464247e+01,-2.088620e+01,-1.891660e+01,-1.655466e+01,-8.696493e+00,-4.090981e+00,-4.743922e-01,-7.115708e-01,2.828783e+00
-5.424430e+00,-9.569832e+00,-9.476612e+00,-7.237980e+00,6.149100e+00,-9.190193e+00,-1.530028e+01,-1.066373e+01,-6.622773e+00,-7.387625e+00,-8.005857e+00,-2.063190e+00,-2.289069e+00,-9.965969e+00,-1.973160e+01,-2.633465e+01,-2.616543e+01,-2.735305e+01,-2.291758e+01,-2.064364e+01,-1.540142e+01,-1.855404e+01,-2.069242e+01,-1.998088e+01,-1.911061e+01,-1.364161e+01,-4.447911e+00,-7.274596e+00,-1.306836e+01,-1.374639e+01,-1.282071e+01,-6.223066e+00,4.691495e-01,7.928646e-01,-7.377185e-01,-1.268187e+00,-1.982758e+00
-4.445213e+00,-2.942762e+00,1.077502e+00,-2.356092e+00,3.812061e+00,-3.132434e+00,-5.866068e+00,-3.477024e+00,-3.043765e+00,-4.255610e+00,1.850769e+00,2.390329e+00,1.257788e+01,1.444184e+01,1.516600e+01,1.325360e+01,1.397517e+01,1.105487e+01,1.332419e+01,1.251424e+01,1.942056e+01,2.216406e+01,2.264022e+01,3.519510e+01,4.114751e+01,2.960197e+01,1.257554e+01,8.496747e+00,3.392616e+00,7.354125e+00,7.170644e+00,6.343053e+00,6.181718e+00,6.549179e+00,2.798778e+00,2.939169e+00,2.727939e+00
-5.159205e+00,-1.916604e+00,-1.776868e-01,-3.036090e+00,-6.867133e-01,-8.213999e-01,-9.327238e+00,-1.203646e+01,-1.580638e+01,-1.495689e+01,-3.592439e+00,-5.007251e+00,-1.511168e+01,-1.996798e+01,-2.405817e+01,-2.199819e+01,-1.892266e+01,-1.320358e+01,-1.197598e+01,-2.437562e+01,-2.478117e+01,-2.851550e+01,-3.590825e+01,-2.656068e+01,-1.926364e+01,-1.723394e+01,-1.227706e+01,-3.996301e+00,-8.470679e+00,4.615143e+00,9.026749e+00,7.209461e+00,7.785914e+00,8.290207e+00,3.472036e+00,2.713176e+00,8.986830e+00
