Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-3.970964e+02,-3.716411e+02,-3.695099e+02,-3.692943e+02,-3.423135e+02,-2.790922e+02,-2.721163e+02,-3.152826e+02,-3.403718e+02,-3.447688e+02,-2.796958e+02,-1.536007e+02,-8.810493e+01,-8.368345e+01,-9.394537e+01,-9.849113e+01,-9.621074e+01,-9.895010e+01,-9.176261e+01,-8.725296e+01,-8.740611e+01,-1.057578e+02,-1.522204e+02,-2.013391e+02,-2.233326e+02,-2.442499e+02,-2.829047e+02,-3.264427e+02,-3.583941e+02,-3.698831e+02,-3.713760e+02,-3.716938e+02,-3.678479e+02,-3.787910e+02
6.571663e+01,7.897942e+01,8.235249e+01,8.122771e+01,8.800946e+01,8.692030e+01,9.249565e+01,9.500265e+01,8.699028e+01,9.190633e+01,8.462541e+01,8.781001e+01,8.979813e+01,8.074780e+01,7.302454e+01,7.324002e+01,6.764367e+01,5.998483e+01,5.799247e+01,6.013314e+01,7.100384e+01,8.974631e+01,1.150418e+02,1.325552e+02,1.483701e+02,1.509791e+02,1.463491e+02,1.163327e+02,8.220064e+01,7.477560e+01,7.730933e+01,7.821779e+01,8.265451e+01,7.758590e+01
1.036847e+01,8.281728e-01,2.805521e+00,1.700826e+00,-1.117633e+01,-1.534502e+01,-1.468276e+01,-1.933730e+01,-1.639192e+01,-1.187672e+01,-3.259515e+01,-2.141088e+01,2.989388e+00,2.097056e+01,2.369128e+01,2.722372e+01,2.825361e+01,3.499384e+01,4.051891e+01,4.764954e+01,5.393560e+01,4.414760e+01,3.481451e+01,2.456907e+01,1.099342e+01,1.153631e+01,2.227528e+01,1.423891e+01,-4.699555e+00,-6.442273e+00,-2.882900e+00,-9.627092e-01,-9.152324e-01,2.939727e+00
-1.140135e+00,-2.919352e+00,-3.758949e+00,-2.564652e-01,-1.361518e+00,9.827902e+00,1.550048e+01,1.133477e+01,1.089424e+00,-1.308903e+01,2.343966e+01,4.667410e+01,5.169556e+01,4.720435e+01,4.020951e+01,3.960590e+01,4.260940e+01,4.016850e+01,3.157856e+01,2.824812e+01,2.340049e+01,2.486688e+01,3.137846e+01,3.794976e+01,3.064845e+01,2.859737e+01,2.701795e+01,2.072251e+01,6.506474e+00,-2.657545e+00,-4.913644e+00,-3.723631e+00,-6.968266e+00,-9.903753e+00
1.510461e+01,1.414715e+01,1.374086e+01,2.096603e+01,1.264729e+01,-5.025517e+00,2.584930e+00,1.829652e+01,1.571855e+01,5.603594e+00,3.172221e+00,-2.461553e+01,-4.564875e+01,-4.846159e+01,-4.515737e+01,-4.366642e+01,-4.183654e+01,-3.954198e+01,-4.142118e+01,-4.501264e+01,-5.993587e+01,-5.825156e+01,-3.864499e+01,-4.278329e+00,2.180924e+01,2.959486e+01,2.815482e+01,2.992930e+01,2.142302e+01,1.579677e+01,1.496302e+01,1.540940e+01,1.556717e+01,1.218638e+01
1.827678e+01,1.153338e+01,1.207629e+01,1.812188e+01,1.217159e+01,2.014682e+01,2.036035e+01,7.322706e+00,8.158131e+00,1.548141e+01,8.305670e+00,6.858639e+00,1.918718e+01,3.524139e+01,4.379260e+01,4.824020e+01,5.212215e+01,5.475492e+01,5.310205e+01,4.854269e+01,5.338516e+01,5.493035e+01,2.956262e+01,2.895292e+00,-2.379667e+00,-2.081997e+00,-2.694155e+00,1.395280e+00,3.747067e+00,1.014881e+01,1.286835e+01,1.302698e+01,1.538154e+01,1.749892e+01
9.008497e+00,1.056469e+01,8.380250e+00,1.128831e+01,1.547211e+01,5.097006e+00,8.726895e-01,7.332086e+00,1.690586e+01,2.899223e+01,3.004358e+01,-7.654265e+00,-3.158639e+01,-4.436794e+01,-4.235089e+01,-4.337200e+01,-4.992191e+01,-5.103034e+01,-6.110374e+01,-6.729104e+01,-6.087932e+01,-4.503728e+01,-3.206290e+01,-2.986974e+01,-1.984414e+01,-1.792346e+01,-1.262777e+01,-8.521088e+00,2.352400e+00,8.017834e+00,1.040817e+01,1.255140e+01,1.171445e+01,9.904810e+00
2.971347e+00,6.817189e+00,4.096863e+00,4.634912e+00,1.079664e+01,7.441010e+00,3.970592e+00,2.281501e+00,9.342937e+00,1.202422e+01,7.459855e+00,-8.128580e+00,-9.150729e-01,1.198767e+01,1.751971e+01,1.937169e+01,1.740684e+01,1.630285e+01,2.233398e+01,2.177638e+01,1.165841e+01,7.751253e+00,4.337014e+00,-4.509672e+00,-8.882893e+00,-8.095037e+00,-1.351536e+01,-8.526878e+00,5.967647e+00,3.798775e+00,7.432836e+00,1.034760e+01,8.593826e+00,7.484348e+00
5.605340e-02,-2.388292e+00,-9.658469e-01,-2.878527e+00,1.458968e+00,2.731941e+00,5.772256e+00,5.160445e+00,-1.884016e+00,-1.055490e+01,-1.602406e+01,-2.638311e+01,-2.479621e+01,-2.126783e+01,-2.243947e+01,-2.402885e+01,-2.438781e+01,-2.568194e+01,-2.378165e+01,-1.498594e+01,-1.128899e+01,-1.162722e+01,-1.118914e+01,-1.237209e+01,-2.350105e+01,-2.556747e+01,-2.219835e+01,-1.486440e+01,4.084465e-01,-3.832252e+00,1.054580e+00,3.725135e-01,-1.199406e+00,6.639725e+00
-3.584291e+00,-1.906309e+00,6.707546e-01,-3.195548e+00,-4.129760e+00,-1.838172e+00,1.387883e+00,5.122254e-01,-2.704677e+00,-8.357322e+00,-2.905463e+00,-1.036045e+01,-8.937011e+00,-1.364824e+01,-1.405955e+01,-9.990825e+00,-3.161561e+00,6.222018e+00,8.451263e+00,7.559654e+00,6.589111e+00,1.891194e+00,1.626286e-01,1.696341e+00,-5.785045e+00,-1.646592e+01,-1.681814e+01,-1.472956e+01,-3.168744e+00,-5.554180e+00,-5.595248e-01,-1.735913e-01,-3.874790e+00,5.198342e-02
