Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22
-4.131812e+02,-3.000025e+02,-1.374237e+02,-7.196011e+01,-5.599784e+01,-6.133823e+01,-6.986207e+01,-7.331683e+01,-7.025108e+01,-6.301702e+01,-7.266326e+01,-9.175153e+01,-1.215223e+02,-1.659713e+02,-1.959182e+02,-2.147832e+02,-2.516308e+02,-3.178595e+02,-3.534130e+02,-3.699948e+02,-3.809203e+02,-3.860989e+02
8.270203e+01,7.856772e+01,7.954276e+01,6.675826e+01,5.000678e+01,4.602864e+01,4.571930e+01,4.031394e+01,3.642226e+01,4.132327e+01,4.798955e+01,6.370483e+01,9.138927e+01,1.254936e+02,1.379492e+02,1.353751e+02,1.440521e+02,1.414018e+02,1.134344e+02,9.742462e+01,9.211546e+01,9.043018e+01
-3.661511e+00,9.642679e+00,3.214064e+01,3.842425e+01,3.553512e+01,3.104147e+01,2.981859e+01,2.661372e+01,2.826345e+01,2.909605e+01,3.728202e+01,4.833208e+01,4.320815e+01,3.113043e+01,2.849100e+01,2.552744e+01,1.863541e+01,5.234559e+00,-9.419817e+00,-1.460970e+01,-1.014856e+01,-1.079382e+01
-2.011028e+00,1.613959e+01,3.324674e+01,3.911354e+01,3.964478e+01,3.204514e+01,2.150144e+01,1.679279e+01,1.706858e+01,1.812958e+01,1.785568e+01,2.724326e+01,3.596185e+01,3.298997e+01,3.798164e+01,4.003971e+01,3.223119e+01,1.965935e+01,7.930623e+00,7.312641e+00,5.525774e+00,-1.262749e+00
1.747131e+01,-1.995989e+01,-6.020149e+01,-6.656028e+01,-5.700217e+01,-4.523071e+01,-3.719397e+01,-3.569754e+01,-4.657247e+01,-5.051640e+01,-4.423557e+01,-4.442953e+01,-4.449976e+01,-1.994967e+01,2.146759e+00,1.419021e+01,2.314116e+01,1.879771e+01,1.342791e+01,1.353203e+01,9.129183e+00,2.924621e+00
8.882223e+00,1.269959e+01,7.032395e+00,2.117948e+01,3.449786e+01,4.327433e+01,5.057739e+01,4.978824e+01,4.689342e+01,4.568881e+01,4.611949e+01,4.082770e+01,3.402115e+01,1.536426e+01,-1.741401e+00,-9.322222e+00,-1.043415e+01,-2.253438e+00,3.578614e+00,6.704680e+00,9.921726e+00,7.003003e+00
2.740662e+00,-1.618242e+01,-4.336803e+01,-5.136792e+01,-4.807968e+01,-4.861714e+01,-5.286083e+01,-5.426509e+01,-5.516508e+01,-4.938197e+01,-4.797492e+01,-5.143623e+01,-4.923027e+01,-3.675205e+01,-3.512399e+01,-3.734447e+01,-2.317714e+01,-7.415052e+00,-1.449149e+00,6.230314e+00,1.262943e+01,1.518175e+01
-1.823905e+00,3.760177e+00,1.609615e+00,6.982542e+00,2.268569e+01,3.342696e+01,3.670010e+01,3.824821e+01,3.386429e+01,3.355334e+01,3.177217e+01,1.953301e+01,1.391907e+01,2.602028e+00,-2.483321e+00,-3.374777e+00,-7.578272e+00,-1.431323e+01,-1.170873e+01,-3.363396e+00,-7.552660e-02,4.530198e+00
-7.545585e+00,-1.588471e+01,-2.034624e+01,-2.294496e+01,-2.704248e+01,-2.949503e+01,-3.114650e+01,-4.028893e+01,-4.316132e+01,-3.911589e+01,-3.434193e+01,-2.829199e+01,-2.549513e+01,-2.612173e+01,-2.272798e+01,-2.292116e+01,-2.086367e+01,-1.106629e+01,-3.512945e+00,2.288851e-01,3.156366e+00,5.490921e+00
-3.590150e+00,2.272338e-01,1.253797e+01,1.195561e+01,7.169839e+00,2.562240e+00,-3.883559e+00,-7.677494e+00,-9.551378e+00,-2.126665e+00,7.263872e+00,1.032060e+01,6.186552e+00,2.272542e+00,-6.506921e+00,-1.600381e+01,-1.928916e+01,-1.775120e+01,-8.485991e+00,-4.784227e+00,-1.351543e+00,1.103368e+00
-1.043777e+00,6.018616e+00,-5.729520e+00,-6.879733e+00,-8.514972e+00,-1.917312e+01,-1.873789e+01,-1.427282e+01,-9.218154e+00,-6.023161e+00,6.930742e-02,-1.834033e+00,-2.714229e+00,-2.347061e+00,-1.468989e+00,-1.316230e+00,-7.775494e+00,-1.678201e+01,-1.533382e+01,-1.129799e+01,-8.732381e+00,-6.586420e+00
-2.550254e+00,-7.917480e+00,1.003582e+01,1.424881e+01,9.939002e+00,5.468279e+00,4.899595e+00,-3.703258e-01,-4.112377e+00,-1.246389e+01,-1.138052e+01,-8.313583e+00,-7.179226e+00,9.004122e+00,2.007468e+01,1.644237e+01,1.438925e+01,-5.155377e+00,-1.209516e+01,-1.384541e+01,-1.122362e+01,-6.337663e+00
1.683857e-01,9.698147e+00,-9.075172e+00,-2.194954e+01,-3.220253e+01,-3.562421e+01,-3.329635e+01,-2.905657e+01,-3.133342e+01,-3.254301e+01,-3.426023e+01,-3.365227e+01,-3.063568e+01,-2.867961e+01,-2.875675e+01,-2.437373e+01,-2.130052e+01,-1.109434e+01,-7.825604e+00,-1.442163e+01,-1.208517e+01,-3.899495e+00
