Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.482011e+02,-4.200139e+02,-4.185018e+02,-4.382628e+02,-4.525969e+02,-4.600786e+02,-4.683684e+02,-4.679918e+02,-4.048356e+02,-2.632280e+02,-1.998893e+02,-1.900055e+02,-1.984143e+02,-2.113664e+02,-2.201241e+02,-2.254217e+02,-2.270312e+02,-2.227149e+02,-2.211149e+02,-2.239833e+02,-2.288087e+02,-2.311833e+02,-2.326668e+02,-2.382755e+02,-2.619640e+02,-3.027672e+02,-3.355599e+02,-3.591768e+02,-3.815615e+02,-4.009763e+02,-4.175177e+02,-4.369815e+02,-4.605075e+02,-4.659227e+02,-4.664478e+02,-4.672711e+02
4.266193e+01,6.457794e+01,6.599401e+01,5.508732e+01,4.773414e+01,4.195886e+01,3.667181e+01,3.565615e+01,7.211597e+01,1.139360e+02,1.220633e+02,1.140215e+02,1.156528e+02,1.166895e+02,1.178066e+02,1.187726e+02,1.211731e+02,1.213858e+02,1.194888e+02,1.188134e+02,1.154027e+02,1.192153e+02,1.326894e+02,1.486898e+02,1.536652e+02,1.542510e+02,1.516437e+02,1.463675e+02,1.339543e+02,1.176431e+02,9.239046e+01,6.050224e+01,4.143452e+01,3.916697e+01,3.792731e+01,3.514140e+01
-6.063209e+00,-6.885878e+00,-5.430182e+00,1.711479e+00,7.798690e+00,9.927940e+00,1.467908e+01,1.127271e+01,1.552686e+01,-1.685162e+01,-4.816076e+01,-6.152523e+01,-5.300512e+01,-4.951267e+01,-4.580862e+01,-3.939147e+01,-3.706467e+01,-4.092673e+01,-4.229996e+01,-3.836906e+01,-3.376299e+01,-2.858894e+01,-1.852052e+01,-6.302201e+00,6.552488e+00,2.955753e+01,4.654631e+01,5.466366e+01,6.485382e+01,6.555509e+01,4.421906e+01,1.305598e+01,1.154045e+01,1.510264e+01,1.306940e+01,9.928168e+00
-7.878422e+00,-5.387410e+00,-2.613532e+00,-4.023434e+00,-6.261285e+00,-2.093752e+00,4.373899e+00,1.019130e+00,9.982857e+00,5.144818e+01,6.220523e+01,6.938388e+01,6.935875e+01,5.926940e+01,5.164469e+01,5.153027e+01,4.816128e+01,4.665601e+01,5.158500e+01,5.705914e+01,6.424744e+01,6.481289e+01,5.760168e+01,3.878522e+01,2.715039e+01,2.277610e+01,2.121750e+01,2.090245e+01,2.755626e+01,3.046312e+01,2.211069e+01,6.115443e+00,3.751783e+00,3.010476e+00,1.105426e+00,2.217396e+00
7.190184e+00,1.726091e+01,2.076867e+01,1.332741e+01,3.582902e+00,5.147660e+00,8.396338e+00,7.078321e+00,-1.444049e+01,-3.773986e+01,-4.797335e+01,-4.314544e+01,-3.804121e+01,-3.212694e+01,-3.158540e+01,-3.322485e+01,-3.524379e+01,-3.656164e+01,-3.570510e+01,-3.293361e+01,-2.833949e+01,-2.233282e+01,-2.104403e+01,-3.110348e+01,-2.364528e+01,-8.861550e+00,6.000888e+00,1.995793e+01,2.105743e+01,1.903864e+01,1.778758e+01,1.423555e+01,1.279005e+01,6.228682e+00,5.505902e+00,9.134383e+00
2.317980e+00,6.373783e+00,1.024045e+01,1.259653e+01,1.003134e+01,1.032424e+01,1.317990e+01,1.296131e+01,-1.557437e+00,-1.916221e+01,-1.773114e+01,-8.217571e+00,2.795810e+00,6.637059e+00,7.188338e+00,7.021345e+00,5.218919e+00,5.179241e+00,1.256701e+00,-1.687687e+00,-8.523709e-01,1.564055e+00,-3.124513e+00,-1.044223e+01,-8.733506e+00,-1.085879e+01,-5.849722e+00,1.259373e+00,7.506015e+00,8.796467e+00,8.932882e+00,7.681405e+00,1.547083e+01,1.137045e+01,1.164352e+01,1.208560e+01
-6.919673e-01,-2.175925e+00,-1.177366e+00,4.088400e+00,6.940744e+00,8.422268e+00,1.124155e+01,1.037723e+01,-1.118900e+01,-1.166355e+01,1.207193e+00,1.422924e+01,2.179006e+01,1.519418e+01,1.056950e+01,1.118588e+01,9.052396e+00,8.513180e+00,7.493979e+00,4.217118e+00,1.018084e+00,-6.494636e-01,-1.011283e+01,-1.932143e+01,-2.183163e+01,-2.413965e+01,-2.618870e+01,-2.375433e+01,-1.574375e+01,-9.087597e+00,-1.172712e+00,1.473301e+00,8.111395e+00,1.044447e+01,1.056496e+01,8.454651e+00
9.735647e+00,8.248160e+00,3.162941e+00,2.621215e+00,4.888093e+00,7.902635e+00,6.993666e+00,5.703379e+00,-3.007127e+01,-5.712079e+01,-6.159943e+01,-5.912490e+01,-5.810682e+01,-5.730285e+01,-5.498930e+01,-5.237526e+01,-4.974552e+01,-5.173338e+01,-5.366079e+01,-5.343835e+01,-5.214935e+01,-4.479797e+01,-4.410905e+01,-4.822306e+01,-4.489619e+01,-3.422015e+01,-3.189020e+01,-2.658828e+01,-2.445926e+01,-2.189506e+01,-9.200918e+00,-1.671057e+00,2.994666e-02,6.060713e+00,5.643236e+00,5.873530e+00
9.458051e+00,7.746921e+00,2.677492e+00,1.160918e+00,4.700006e+00,8.227785e+00,4.264924e+00,3.956353e+00,4.197494e+00,2.321405e+01,3.229451e+01,3.362868e+01,2.808372e+01,2.334837e+01,2.083157e+01,2.203312e+01,2.644117e+01,2.670485e+01,2.237549e+01,2.311877e+01,2.786815e+01,3.489233e+01,3.240572e+01,2.459241e+01,1.689302e+01,2.690583e+00,-1.005020e+01,-2.012399e+01,-1.871698e+01,-2.251681e+01,-1.858884e+01,-1.239638e+01,-4.360261e+00,9.472436e-01,1.003888e+00,3.501902e+00
-1.965216e+00,-1.136798e+00,-4.783541e-02,-1.088049e+00,1.308073e+00,3.444698e+00,8.369088e-01,1.309929e+00,-3.724740e+00,-1.626467e+00,-8.032438e+00,-1.486032e+01,-2.053818e+01,-2.200311e+01,-2.649631e+01,-2.781207e+01,-2.805927e+01,-2.765369e+01,-2.857202e+01,-2.920266e+01,-2.377981e+01,-1.846782e+01,-1.942752e+01,-2.141447e+01,-1.756852e+01,-1.577651e+01,-1.756207e+01,-2.258675e+01,-1.724128e+01,-1.894667e+01,-2.068800e+01,-1.463918e+01,-4.566055e+00,-4.580141e+00,-3.348400e+00,-1.740977e+00
