Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-4.828422e+02,-4.828422e+02,-4.822743e+02,-4.824067e+02,-4.827188e+02,-4.826044e+02,-4.808789e+02,-4.817888e+02,-4.828422e+02,-4.828004e+02,-3.812602e+02,-2.303201e+02,-1.795094e+02,-1.834064e+02,-1.753006e+02,-1.516997e+02,-1.479068e+02,-1.717990e+02,-2.199896e+02,-2.679903e+02,-2.963952e+02,-3.222332e+02,-3.321651e+02,-3.367716e+02,-3.570063e+02,-4.002552e+02,-4.301121e+02,-4.483268e+02,-4.634450e+02,-4.720546e+02,-4.788650e+02,-4.823448e+02,-4.827077e+02,-4.823417e+02,-4.826803e+02,-4.828337e+02,-4.826857e+02,-4.828422e+02,-4.824795e+02
0.000000e+00,0.000000e+00,5.470094e-01,6.073900e-01,1.723439e-01,3.238651e-01,1.745222e+00,6.556956e-01,0.000000e+00,5.543890e-02,6.103434e+01,1.139998e+02,1.183455e+02,1.020009e+02,8.929268e+01,1.022067e+02,1.194037e+02,1.254964e+02,1.407525e+02,1.553590e+02,1.540679e+02,1.505094e+02,1.449115e+02,1.418040e+02,1.323669e+02,9.905528e+01,6.692276e+01,4.485945e+01,2.606481e+01,1.459713e+01,5.406238e+00,6.240295e-01,8.759043e-02,6.725082e-01,2.231385e-01,1.128301e-02,1.236221e-01,0.000000e+00,3.694527e-01
0.000000e+00,0.000000e+00,1.420411e-02,5.819853e-01,1.657502e-01,2.873544e-01,-9.438783e-02,-6.775610e-01,0.000000e+00,4.478510e-02,3.984300e+00,-1.397250e+01,-2.773867e+01,-3.541651e+01,-3.761554e+01,-3.296339e+01,-3.302089e+01,-2.930230e+01,-2.451228e+00,1.626954e+01,2.380863e+01,3.221490e+01,3.188378e+01,3.424391e+01,4.992355e+01,6.020935e+01,4.895871e+01,3.492694e+01,2.226723e+01,1.271253e+01,4.776292e+00,4.533687e-01,-1.095137e-01,5.712694e-01,2.060337e-01,9.114740e-03,-8.318964e-02,0.000000e+00,7.270879e-02
0.000000e+00,0.000000e+00,-3.141116e-01,5.404918e-01,1.549469e-01,2.296072e-01,-6.570487e-01,-6.582929e-01,0.000000e+00,2.851874e-02,5.033313e+01,8.757480e+01,9.076108e+01,7.858480e+01,7.995116e+01,8.277930e+01,6.881470e+01,5.464517e+01,4.074902e+01,2.709504e+01,1.191604e+01,-2.292046e+00,-5.642117e+00,-2.047247e+00,9.357847e+00,2.630098e+01,3.048892e+01,2.307467e+01,1.672810e+01,9.861143e+00,3.807159e+00,3.227102e-01,-1.884610e-01,4.172814e-01,1.789677e-01,5.804194e-03,-2.164590e-01,0.000000e+00,-1.044942e-01
0.000000e+00,0.000000e+00,-1.698179e-01,4.841442e-01,1.402083e-01,1.550233e-01,2.633421e-01,6.284061e-01,0.000000e+00,8.677995e-03,3.119933e+01,1.566850e-01,-2.630353e+01,-5.176019e+01,-6.020426e+01,-6.893672e+01,-7.349921e+01,-6.540758e+01,-4.963696e+01,-1.679578e+01,-2.683164e+00,7.317155e+00,8.750725e+00,9.892380e+00,8.354051e+00,7.964798e+00,1.692624e+01,1.228183e+01,1.025217e+01,6.420592e+00,2.606641e+00,2.894003e-01,-6.407422e-02,2.302939e-01,1.439127e-01,1.766629e-03,-1.585850e-01,0.000000e+00,-1.299377e-02
0.000000e+00,0.000000e+00,2.538362e-01,4.145752e-01,1.219090e-01,6.927018e-02,9.567755e-01,1.285699e+00,0.000000e+00,-1.224960e-02,-3.264053e+01,-5.651860e+01,-5.327140e+01,-4.095773e+01,-1.427209e+01,-8.957569e+00,-9.204369e+00,-5.746055e+00,-8.922855e+00,-2.026999e+01,-1.434743e+01,-5.764242e-01,1.133133e+00,8.352709e-01,1.814597e+00,-1.818041e+00,6.598231e+00,3.164960e+00,3.750920e+00,2.819985e+00,1.301657e+00,2.813541e-01,1.294444e-01,3.364840e-02,1.032883e-01,-2.493028e-03,3.916224e-02,0.000000e+00,2.300189e-01
0.000000e+00,0.000000e+00,4.987273e-01,3.337761e-01,1.005134e-01,-2.115931e-02,3.399765e-01,2.957000e-01,0.000000e+00,-3.164242e-02,-3.312695e+01,-3.528828e+01,-2.414252e+01,-1.194124e+01,-2.633408e+00,1.183390e+00,6.185244e+00,1.401787e+01,2.212228e+01,1.168730e+01,-8.156458e+00,-2.229627e+01,-2.218274e+01,-2.051363e+01,-1.582273e+01,-1.013898e+01,-3.635352e+00,-4.541814e+00,-1.889302e+00,-5.310472e-01,1.986690e-02,1.829114e-01,1.833018e-01,-1.491928e-01,5.968618e-02,-6.439884e-03,2.020848e-01,0.000000e+00,3.554543e-01
0.000000e+00,0.000000e+00,2.855169e-01,2.440039e-01,7.656514e-02,-1.094553e-01,-5.928935e-01,-1.036272e+00,0.000000e+00,-4.706976e-02,6.276274e+00,5.221900e-02,-6.551879e+00,-2.295972e+01,-3.313317e+01,-3.769582e+01,-4.225498e+01,-4.877080e+01,-4.210633e+01,-3.228369e+01,-3.261643e+01,-3.133010e+01,-2.274904e+01,-2.001011e+01,-2.215794e+01,-1.591121e+01,-1.278418e+01,-1.020867e+01,-6.129207e+00,-3.302722e+00,-1.127286e+00,-3.128368e-02,3.939079e-02,-2.980149e-01,1.559176e-02,-9.579683e-03,1.864687e-01,0.000000e+00,2.033241e-01
0.000000e+00,0.000000e+00,-2.258121e-01,1.477331e-01,5.067229e-02,-1.890174e-01,-4.103757e-01,-9.268129e-01,0.000000e+00,-5.659646e-02,-6.421074e+00,-1.018418e+01,-1.992801e+01,-2.287166e+01,-1.431865e+01,-1.165143e+01,-9.965841e+00,-1.781614e+01,-2.456273e+01,-3.116876e+01,-2.465226e+01,-1.434117e+01,-7.385042e+00,-8.709482e+00,-1.614450e+01,-1.731120e+01,-1.707825e+01,-1.262862e+01,-8.798535e+00,-5.284743e+00,-2.057401e+00,-2.596045e-01,-1.470212e-01,-3.986218e-01,-2.683222e-02,-1.152069e-02,6.414026e-03,0.000000e+00,-1.215466e-01
0.000000e+00,0.000000e+00,-6.006978e-01,4.758817e-02,2.349254e-02,-2.539586e-01,5.000765e-01,3.674244e-01,0.000000e+00,-5.903367e-02,-2.774870e+01,-2.872568e+01,-3.043065e+01,-2.234937e+01,-9.534830e+00,-9.894450e+00,-1.192485e+01,-1.081040e+01,-4.334539e+00,3.085882e+00,4.454145e+00,1.019332e+00,-2.136982e+00,-8.428333e+00,-1.379230e+01,-1.701278e+01,-1.541933e+01,-1.180397e+01,-9.881092e+00,-6.401422e+00,-2.724022e+00,-3.743475e-01,-1.748074e-01,-4.445873e-01,-6.590919e-02,-1.201462e-02,-1.788997e-01,0.000000e+00,-3.491351e-01
