Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-4.986697e+02,-4.986697e+02,-4.986697e+02,-4.983100e+02,-4.983204e+02,-4.986697e+02,-4.986697e+02,-4.986697e+02,-4.986697e+02,-4.986697e+02,-4.986697e+02,-3.602250e+02,-2.376977e+02,-2.092211e+02,-2.134226e+02,-1.894829e+02,-1.780881e+02,-1.699512e+02,-1.648451e+02,-1.698660e+02,-2.025801e+02,-2.559879e+02,-3.051158e+02,-3.414970e+02,-3.767170e+02,-4.013302e+02,-4.178107e+02,-4.225555e+02,-4.334941e+02,-4.553542e+02,-4.680876e+02,-4.855323e+02,-4.978317e+02,-4.986697e+02,-4.986697e+02,-4.986697e+02,-4.986582e+02,-4.986697e+02,-4.986697e+02,-4.986697e+02
0.000000e+00,0.000000e+00,0.000000e+00,5.013169e-01,4.869576e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.054669e+01,1.176929e+02,1.172094e+02,1.052855e+02,1.109990e+02,1.080821e+02,1.179577e+02,1.396711e+02,1.619272e+02,1.712155e+02,1.714943e+02,1.638951e+02,1.524360e+02,1.355002e+02,1.126414e+02,9.657169e+01,8.857428e+01,7.533250e+01,5.273062e+01,3.789875e+01,1.756417e+01,1.149828e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.558917e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,4.794760e-01,4.661153e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.008108e-02,-2.488134e+01,-2.768624e+01,-1.804829e+01,-1.261504e+01,-2.169567e+01,-2.785879e+01,-2.591563e+01,-2.214115e+01,-3.680435e+00,1.810035e+01,3.287551e+01,5.187999e+01,6.322464e+01,6.093236e+01,5.915744e+01,4.991826e+01,4.203825e+01,3.532545e+01,2.606969e+01,1.473548e+01,1.048448e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.335626e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,4.437957e-01,4.320498e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.938231e+01,5.599362e+01,6.730898e+01,7.977980e+01,9.463280e+01,9.541614e+01,7.557234e+01,5.467094e+01,3.039954e+01,2.110848e+01,1.029846e+01,3.660005e+00,1.009323e+01,1.502937e+01,2.287036e+01,2.951690e+01,2.268834e+01,2.038237e+01,2.215252e+01,1.493780e+01,1.065877e+01,8.933198e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.625530e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,3.953211e-01,3.857471e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.643850e+00,-2.819074e+01,-3.597625e+01,-3.763080e+01,-4.333494e+01,-5.045222e+01,-6.819818e+01,-7.251567e+01,-7.552105e+01,-6.672537e+01,-4.537898e+01,-2.065322e+01,-8.105047e+00,2.601886e+00,9.972729e+00,1.550931e+01,1.327696e+01,1.437529e+01,1.484948e+01,6.600968e+00,6.051057e+00,7.027590e-01,0.000000e+00,0.000000e+00,0.000000e+00,-9.719090e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,3.354866e-01,3.285477e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.861758e+01,-3.866023e+01,-2.973017e+01,-6.480465e+00,3.527458e+00,2.599770e+00,-5.612604e+00,-4.051039e-01,1.381307e+00,-5.298709e+00,-7.233993e+00,-6.994488e+00,-5.010063e+00,2.990233e-01,4.578272e+00,6.076965e+00,5.995475e+00,7.893082e+00,6.494881e+00,-9.566381e-01,1.575289e+00,4.979717e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.058238e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,2.660483e-01,2.621046e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.955989e+01,-1.708121e+01,-1.156960e+01,-1.619293e+00,-6.396074e-02,6.776043e-01,-2.080467e+00,4.282584e+00,1.600231e+01,1.956511e+01,1.530380e+01,-1.870978e-02,-1.046223e+01,-1.118144e+01,-6.200196e+00,-5.658858e+00,-6.600493e+00,-5.222004e+00,-3.965574e+00,-7.559580e+00,-2.276838e+00,2.995754e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.607526e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,1.890523e-01,1.883376e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.909469e+01,-2.684727e+01,-2.659497e+01,-2.773690e+01,-3.920882e+01,-4.432167e+01,-5.203993e+01,-6.037199e+01,-6.309766e+01,-5.967968e+01,-5.036690e+01,-4.352122e+01,-3.461057e+01,-2.149248e+01,-1.646682e+01,-1.497204e+01,-1.531620e+01,-1.417595e+01,-1.023376e+01,-1.051574e+01,-5.194118e+00,1.243389e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.080758e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,1.067549e-01,1.093718e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.984827e+01,-2.993491e+01,-2.657628e+01,-1.115282e+01,-2.039842e+00,3.512768e+00,-3.572214e+00,-7.654224e+00,-8.509301e+00,-1.802937e+01,-2.476386e+01,-2.498852e+01,-2.086888e+01,-1.749586e+01,-1.843354e+01,-1.829510e+01,-1.443011e+01,-1.268253e+01,-1.025058e+01,-9.914824e+00,-7.003151e+00,-1.732247e-02,0.000000e+00,0.000000e+00,0.000000e+00,-4.734718e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,2.157487e-02,2.748638e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.724175e+01,-3.393179e+01,-2.902480e+01,-2.567072e+01,-2.767251e+01,-2.708313e+01,-3.460642e+01,-2.701873e+01,-1.463525e+01,-3.445241e+00,2.906492e+00,3.494397e+00,-4.029054e+00,-1.116312e+01,-1.559165e+01,-1.921015e+01,-1.163120e+01,-8.983599e+00,-9.451588e+00,-9.318982e+00,-7.649031e+00,-1.226210e-01,0.000000e+00,0.000000e+00,0.000000e+00,-1.577667e-02,0.000000e+00,0.000000e+00,0.000000e+00
