Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.086073e+02,-4.933164e+02,-4.928754e+02,-4.929577e+02,-4.940586e+02,-4.789853e+02,-3.863241e+02,-2.905232e+02,-1.937624e+02,-1.623827e+02,-1.567118e+02,-1.407194e+02,-1.236724e+02,-1.145918e+02,-9.171415e+01,-4.063829e+01,-1.715634e+01,-3.099247e+01,-6.293951e+01,-1.312931e+02,-2.331505e+02,-3.400829e+02,-4.309109e+02,-4.840933e+02,-4.916609e+02,-4.904903e+02,-4.899495e+02,-4.928923e+02,-4.961463e+02,-4.976179e+02
3.379308e+01,4.965716e+01,5.139442e+01,4.948484e+01,4.828365e+01,4.269736e+01,-9.484060e+00,-4.281880e+00,4.445201e+01,7.266984e+01,7.020679e+01,6.297203e+01,4.627193e+01,3.298444e+01,2.179462e+01,3.318670e+01,5.641535e+01,7.104521e+01,9.476814e+01,1.138773e+02,1.351884e+02,1.305365e+02,8.964221e+01,5.660575e+01,5.079478e+01,5.188658e+01,5.204156e+01,4.901171e+01,4.685895e+01,4.572629e+01
1.335303e+01,1.735449e+01,2.035665e+01,1.718552e+01,1.752931e+01,2.664845e+01,5.371800e+01,6.736626e+01,3.465526e+01,-8.638628e+00,-3.875888e+01,-4.776103e+01,-4.785298e+01,-4.876779e+01,-6.668246e+01,-9.327611e+01,-9.502190e+01,-8.670921e+01,-6.867580e+01,-5.077217e+01,-3.728681e+01,-1.695382e+01,-2.746648e+00,1.446050e+01,1.692900e+01,1.799502e+01,1.761786e+01,1.635261e+01,1.819158e+01,1.856617e+01
5.962123e+00,2.317811e+00,4.456165e+00,4.249139e+00,7.082462e+00,3.372595e-01,-6.849183e+00,1.029477e+01,1.731607e+01,2.706734e+01,2.837675e+01,2.331549e+01,1.788858e+01,1.296451e+01,7.112988e+00,-3.977972e+00,-1.993671e+01,-1.865553e+01,-4.324609e+00,1.418117e+00,-3.894047e+00,-1.519240e+01,-9.026283e+00,-2.143054e+00,3.444588e+00,5.478116e+00,5.883401e+00,5.018476e+00,7.583357e+00,8.317133e+00
1.141273e+01,8.313286e+00,8.873190e+00,1.139635e+01,1.546042e+01,2.168484e+01,1.788715e+01,1.592949e+00,-1.140672e+01,-3.375968e+01,-4.166869e+01,-3.332795e+01,-2.172254e+01,-1.326628e+01,-1.365695e+01,-1.574427e+01,-2.516548e+01,-3.208682e+01,-3.712148e+01,-3.061138e+01,-1.731608e+01,1.147005e+00,1.222578e+01,9.446049e+00,1.393297e+01,1.466414e+01,1.592541e+01,1.494688e+01,1.543101e+01,1.596309e+01
1.525567e+01,1.543251e+01,1.537560e+01,1.657732e+01,1.933786e+01,2.010051e+01,3.230083e+01,1.268321e+01,3.611335e+00,2.659189e+01,6.208958e+01,7.950468e+01,8.267204e+01,7.980233e+01,7.587600e+01,7.532809e+01,6.889603e+01,5.374899e+01,3.048147e+01,1.834884e+01,9.041189e+00,1.276815e-02,1.956937e+00,2.077018e+01,2.389565e+01,2.107130e+01,2.192398e+01,2.213134e+01,2.130840e+01,2.214632e+01
1.222565e+01,1.255814e+01,1.193100e+01,1.107308e+01,1.190232e+01,8.796307e+00,-1.189073e+01,-3.196513e+01,-4.529849e+01,-4.358926e+01,-4.252840e+01,-4.209762e+01,-4.328792e+01,-4.349025e+01,-4.781086e+01,-4.587961e+01,-4.581271e+01,-4.525908e+01,-4.831839e+01,-4.214010e+01,-2.976326e+01,-1.529867e+01,-1.219401e+00,1.772724e+01,1.897202e+01,1.521172e+01,1.481340e+01,1.739029e+01,1.733175e+01,1.813688e+01
7.060019e+00,5.953167e+00,4.558458e+00,4.124565e+00,4.356788e+00,1.052713e+01,3.157325e+01,2.710726e+01,1.961397e+01,2.035654e+01,2.844946e+01,3.291927e+01,3.819618e+01,4.041958e+01,4.035566e+01,4.864595e+01,5.387701e+01,6.053001e+01,5.878081e+01,4.329497e+01,2.354402e+01,1.577833e+01,1.019688e+01,9.113910e+00,7.961866e+00,6.816776e+00,5.337677e+00,9.508548e+00,1.087705e+01,1.079283e+01
2.516304e+00,2.235925e+00,1.587555e+00,2.896179e+00,2.849691e+00,-1.037857e+00,-7.178308e+00,-1.400819e+01,-8.648366e+00,2.043353e+00,5.916718e+00,1.335036e+00,-8.512728e+00,-1.793469e+01,-1.833728e+01,-1.391519e+01,-1.296748e+01,-4.909449e+00,-3.798942e+00,-5.133383e+00,1.213706e-02,2.189147e+00,4.761967e+00,4.104651e+00,2.089937e+00,2.366686e+00,1.104037e+00,4.140610e+00,5.786466e+00,6.090002e+00
-1.022421e+00,1.527420e-01,1.298002e+00,4.232123e+00,3.174439e+00,1.105239e+01,1.102277e+01,-6.464046e+00,-1.753109e+01,-2.127092e+01,-2.072698e+01,-2.387782e+01,-1.918993e+01,-1.676813e+01,-1.650311e+01,-2.088202e+01,-2.185695e+01,-1.924364e+01,-1.440178e+01,-1.117930e+01,-1.785897e+01,-1.442060e+01,-8.570634e-01,2.759549e+00,9.049266e-01,-3.257951e-01,5.321263e-01,3.194261e-01,3.768455e-01,3.387674e+00
