Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.519780e+02,-4.365465e+02,-4.448494e+02,-2.940305e+02,-1.940945e+02,-1.331102e+02,-1.052724e+02,-9.399246e+01,-6.741545e+01,-5.375702e+01,-5.781494e+01,-4.927103e+01,-3.080145e+01,-2.291502e+01,-2.468974e+01,-4.993119e+01,-8.796198e+01,-1.259672e+02,-1.892050e+02,-2.919766e+02,-3.936371e+02,-4.383809e+02,-4.507890e+02,-4.511635e+02,-4.526111e+02,-4.558997e+02,-4.533324e+02,-4.474388e+02,-4.554927e+02
7.391448e+01,8.476440e+01,7.621913e+01,-8.236290e+00,-3.717781e+01,-1.270527e+01,2.834212e+01,5.920403e+01,6.877571e+01,5.766998e+01,5.130523e+01,5.127219e+01,5.629040e+01,6.651839e+01,7.827415e+01,8.356453e+01,8.961475e+01,9.283177e+01,8.009677e+01,7.811185e+01,7.948315e+01,7.843758e+01,7.106584e+01,7.108180e+01,7.191196e+01,6.694354e+01,6.951894e+01,7.332065e+01,6.683880e+01
1.882542e+01,1.422782e+01,1.147289e+01,1.324448e+01,2.410256e+01,4.110463e+01,2.803659e+01,-1.682507e+01,-5.357878e+01,-6.110355e+01,-5.723825e+01,-5.922380e+01,-7.103873e+01,-8.369269e+01,-8.000124e+01,-7.426025e+01,-5.368702e+01,-2.588674e+01,-7.696918e+00,-1.561842e+01,-8.560675e+00,5.875401e+00,9.604471e+00,1.009788e+01,1.254328e+01,8.186504e+00,1.033708e+01,8.795244e+00,8.810777e+00
3.923361e+00,-1.311987e+00,-3.480246e+00,2.818324e+01,2.690847e+01,3.366543e+01,3.835569e+01,3.166012e+01,1.876955e+01,8.063505e+00,6.183690e+00,7.269721e+00,1.871767e+00,-8.061002e+00,-8.295835e+00,4.212690e+00,2.855859e+00,-1.487152e+01,-1.465341e+01,-3.426435e+00,-1.419548e+00,-4.648623e+00,-4.214164e+00,-2.808038e+00,-4.772335e+00,-7.024002e+00,-3.716295e+00,-3.778637e+00,-3.420980e+00
1.462711e+01,1.619933e+01,1.441153e+01,1.257074e+00,-8.252194e+00,-3.352948e+01,-4.719412e+01,-3.789622e+01,-2.993334e+01,-2.090870e+01,-1.219993e+01,-1.052357e+01,-1.303974e+01,-1.143441e+01,-1.831185e+01,-2.996040e+01,-3.775175e+01,-3.440521e+01,-3.035059e+01,-2.435669e+01,-5.490484e-01,1.439928e+01,1.229326e+01,1.575506e+01,1.188931e+01,1.111568e+01,1.313410e+01,1.519481e+01,1.484021e+01
1.500813e+01,1.990280e+01,2.281884e+01,1.976335e+01,1.910383e+01,5.754393e+00,-3.959694e+00,1.199099e+00,1.732545e+01,2.605486e+01,4.001205e+01,4.691589e+01,4.355891e+01,4.057680e+01,3.736993e+01,2.985287e+01,1.309318e+01,8.069124e+00,2.996355e+01,4.011585e+01,2.499476e+01,1.663044e+01,1.627329e+01,1.801770e+01,1.728363e+01,1.763838e+01,1.709969e+01,1.864853e+01,1.869363e+01
7.461091e+00,1.010076e+01,1.297996e+01,-5.822406e+00,-4.894228e+00,-3.467073e+00,1.054072e+01,1.215195e+01,1.392555e+00,-4.282692e+00,-1.471825e+01,-1.646312e+01,-1.601679e+01,-1.306705e+01,-6.405246e+00,2.306967e+00,-2.033887e+00,-1.283370e+01,-1.194987e+01,1.192313e+00,1.248820e+01,1.290192e+01,9.592486e+00,5.387517e+00,4.860448e+00,7.188777e+00,7.174545e+00,9.672887e+00,8.160070e+00
4.351977e+00,8.723378e-01,2.419664e+00,2.584729e+01,2.334105e+01,8.523603e+00,1.795972e+01,4.228204e+01,5.649334e+01,4.731897e+01,3.957291e+01,3.600555e+01,3.330368e+01,3.025854e+01,2.604398e+01,2.430475e+01,2.314980e+01,2.280204e+01,2.047524e+01,2.013820e+01,1.007349e+01,9.963289e+00,5.874701e+00,1.648814e+00,-9.092785e-01,1.505380e+00,1.453324e+00,3.413978e+00,2.303523e+00
3.199295e+00,-2.015981e+00,1.139913e-01,1.435928e+00,5.153846e+00,-2.509768e+00,-6.379669e+00,-1.057472e+01,-2.259162e+01,-2.290715e+01,-1.965044e+01,-2.532569e+01,-2.851258e+01,-3.284881e+01,-4.027363e+01,-4.059361e+01,-3.405105e+01,-2.713858e+01,-2.398868e+01,-1.517929e+01,-2.306501e+00,7.203963e-01,2.333169e+00,6.589158e+00,6.255914e+00,4.969605e+00,6.505446e-01,-3.005698e+00,8.456073e-01
7.718258e-01,7.002085e-01,1.122078e+00,-1.291590e+01,-9.439774e+00,-7.298597e-01,6.594442e-01,1.224495e+00,-5.599152e+00,-1.106520e+01,-6.366978e+00,-2.787117e+00,-2.947748e+00,-4.890037e+00,-8.087746e+00,-7.754219e+00,-5.962294e+00,-9.543118e+00,-1.642262e+01,-2.266884e+01,-1.540586e+01,-4.341499e+00,-1.885086e+00,7.219076e+00,9.656308e+00,5.139888e+00,-1.673734e+00,-7.704662e+00,-1.684429e+00
