Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.699108e+02,-5.699108e+02,-5.699108e+02,-5.651519e+02,-5.656664e+02,-5.682205e+02,-5.324774e+02,-4.673812e+02,-2.898850e+02,-1.847884e+02,-1.034551e+02,-7.626638e+01,-9.358552e+01,-1.320641e+02,-1.812193e+02,-2.197286e+02,-2.049563e+02,-2.147244e+02,-2.654323e+02,-3.590906e+02,-4.514532e+02,-5.021371e+02,-5.384320e+02,-5.622154e+02,-5.629062e+02,-5.663564e+02,-5.699108e+02,-5.699108e+02,-5.699108e+02,-5.699108e+02,-5.699108e+02,-5.699108e+02
0.000000e+00,0.000000e+00,0.000000e+00,-4.419142e+00,-3.849557e+00,-1.617600e-01,-2.031266e+01,1.747676e+01,1.343603e+02,1.615420e+02,1.387222e+02,1.468129e+02,1.700834e+02,1.977135e+02,1.880551e+02,1.777572e+02,2.025120e+02,2.120836e+02,1.943304e+02,1.562739e+02,1.096227e+02,6.965275e+01,3.581764e+01,1.026859e+01,9.392908e+00,4.803712e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-8.694625e-01,-6.583789e-01,-1.182404e+00,-1.733093e+01,-2.985910e+00,-6.339738e+01,-1.131283e+02,-1.266140e+02,-1.390222e+02,-1.488759e+02,-1.650704e+02,-1.578895e+02,-1.404395e+02,-1.374785e+02,-1.210856e+02,-8.426923e+01,-2.820578e+01,1.323942e+01,1.817865e+01,1.656522e+01,8.526991e+00,7.938660e+00,4.165433e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,5.415593e+00,4.791122e+00,-5.634815e-01,2.762450e+01,5.534500e+01,9.538481e+00,2.850578e+00,-4.165736e+01,-6.973691e+01,-7.510704e+01,-6.737808e+01,-6.101886e+01,-5.723635e+01,-6.879190e+01,-6.826021e+01,-4.876965e+01,-3.206249e+01,-2.239339e+01,-1.357948e+01,-5.913408e-01,5.941118e+00,5.779518e+00,3.198161e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-6.134011e+00,-5.442595e+00,-5.287796e-01,-1.922873e+01,-3.028339e+01,-2.873078e+01,-2.607853e+01,-2.424255e+01,-2.448237e+01,-2.277645e+01,-2.408438e+01,-1.405339e+01,-7.241917e+00,-7.604939e+00,-5.136740e+00,2.499493e-01,-4.080570e+00,-1.525094e+01,-1.591954e+01,-9.388773e+00,2.916825e+00,3.250794e+00,2.027901e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,2.738120e+00,2.542318e+00,2.024295e+00,7.350164e+00,-1.966163e+01,-4.258133e+01,-3.274539e+01,-1.952293e+01,-7.732238e+00,-2.916069e+00,-3.165239e+00,-5.981690e+00,-1.562204e+01,-3.233785e+01,-4.250679e+01,-4.374702e+01,-3.268081e+01,-1.753510e+01,-9.978939e+00,-1.114155e+01,-9.906060e-02,7.155918e-01,7.979150e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,2.212202e+00,1.842493e+00,6.251848e-01,1.255856e+01,-1.285130e+01,-4.066426e+01,-3.964976e+01,-2.690395e+01,-1.389785e+01,-1.466525e+00,1.061496e+01,2.156739e+01,1.324314e+01,-1.872289e+00,-1.679618e+01,-3.046116e+01,-3.630793e+01,-2.281541e+01,-8.449582e+00,-8.888905e+00,-2.704437e+00,-1.507312e+00,-3.553842e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-5.294746e+00,-4.754722e+00,-1.682192e+00,-1.383903e+01,-3.067362e+01,-3.832478e+01,-3.386905e+01,-1.781145e+01,-6.172977e+00,-5.211423e+00,-1.217902e+01,-1.438189e+01,-7.567451e+00,-5.623824e+00,-8.295512e+00,-9.289403e+00,-1.229092e+01,-1.275312e+01,-7.247548e+00,-5.605850e+00,-4.612083e+00,-3.198699e+00,-1.323140e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,4.660851e+00,4.228919e+00,-4.121781e-01,-2.164737e-01,-1.107519e+01,-3.405334e+00,-7.499042e-01,-4.727485e+00,-1.006312e+01,-2.055419e+01,-2.330067e+01,-2.641189e+01,-2.654532e+01,-2.457474e+01,-2.288312e+01,-1.443904e+01,-6.100769e+00,-5.556519e+00,-5.628199e+00,-4.730592e+00,-5.689723e+00,-4.265351e+00,-2.037507e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,-1.138648e+00,-1.232225e+00,-2.769787e-01,-5.920112e+00,-2.690879e+01,-2.898773e+01,-2.035963e+01,-5.065621e+00,-4.361785e-01,-2.979606e-01,-4.354913e+00,-1.182038e+01,-1.034405e+01,-2.953664e+00,-2.370294e+00,-7.564131e+00,-1.574521e+01,-1.504475e+01,-8.768944e+00,-7.097833e+00,-5.963737e+00,-4.734447e+00,-2.476074e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
