Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.979310e+02,-4.664949e+02,-4.604925e+02,-4.609710e+02,-4.321847e+02,-2.020507e+02,-8.279037e+01,-4.180652e+01,-4.859357e+01,-5.976479e+01,-5.405249e+01,-4.635182e+01,-1.682452e+01,-1.019635e+01,-4.594802e+01,-1.157142e+02,-2.135660e+02,-3.062543e+02,-3.362329e+02,-3.292831e+02,-3.223186e+02,-3.397231e+02,-3.704491e+02,-4.147185e+02,-4.429490e+02,-4.475335e+02,-4.522086e+02
6.117516e+01,8.128098e+01,8.644170e+01,8.678192e+01,1.042872e+02,1.226731e+02,9.770200e+01,6.886874e+01,5.836594e+01,5.945605e+01,5.394445e+01,5.213803e+01,6.892317e+01,9.674421e+01,1.224307e+02,1.429795e+02,1.581241e+02,1.410731e+02,9.141086e+01,6.322177e+01,5.135359e+01,5.299800e+01,7.246188e+01,9.278864e+01,9.543531e+01,9.709424e+01,9.422179e+01
9.493163e-01,-6.637235e+00,-4.769863e+00,-3.679240e+00,-6.755257e+00,-2.126018e+01,-4.186791e+01,-5.034845e+01,-5.100731e+01,-4.672581e+01,-4.461186e+01,-5.344211e+01,-7.332420e+01,-8.257300e+01,-7.844307e+01,-5.719469e+01,-4.302047e+01,-3.922434e+01,-2.121482e+01,-8.311049e+00,5.446781e+00,1.129556e+01,4.055131e+00,-7.320440e+00,-5.221849e+00,8.088911e-02,-1.709877e-01
-2.271080e+00,-7.627798e+00,-6.223610e+00,-5.737299e+00,-1.418860e+01,-3.032491e+01,-1.780273e+01,-5.024880e+00,-3.391391e+00,-8.892446e+00,-1.005617e+01,-8.889501e+00,-1.357353e+01,-2.663165e+01,-3.147639e+01,-1.795745e+01,-1.566447e+01,-3.248767e+01,-2.502022e+01,-1.495121e+01,-1.538556e+01,-1.988326e+01,-1.570844e+01,-5.235183e+00,-2.015749e+00,-1.902352e-01,8.181362e-01
1.692278e+01,1.556587e+01,1.599958e+01,1.533172e+01,-3.358438e+00,-5.553425e+01,-5.308042e+01,-3.688021e+01,-2.439471e+01,-2.164576e+01,-2.327212e+01,-2.302637e+01,-3.139881e+01,-4.113036e+01,-4.628571e+01,-3.576174e+01,-2.223622e+01,-2.991800e+00,2.270849e+01,3.659104e+01,3.522380e+01,3.321584e+01,2.901647e+01,1.520172e+01,8.344828e+00,1.702232e+01,2.112725e+01
1.051575e+01,1.226270e+01,1.438916e+01,1.086545e+01,-4.535287e+00,3.743378e+01,4.978736e+01,5.666451e+01,6.728853e+01,7.321165e+01,6.876935e+01,6.506277e+01,5.970399e+01,5.464574e+01,4.677237e+01,3.316580e+01,2.356673e+01,1.026584e+01,-7.959469e+00,-1.181395e+01,-1.363164e+01,-1.278236e+01,-6.508442e+00,1.504143e+00,3.975886e+00,1.355750e+01,1.424134e+01
-4.548563e+00,2.404584e+00,8.176832e+00,2.864673e+00,-7.058691e+00,-5.893945e+01,-6.309977e+01,-5.720716e+01,-5.364244e+01,-5.128528e+01,-5.301038e+01,-5.369852e+01,-5.459950e+01,-5.327029e+01,-5.348040e+01,-4.575707e+01,-2.655845e+01,-2.699975e+00,7.805605e+00,1.120134e+01,1.442265e+01,1.228889e+01,1.198528e+01,1.163165e+01,8.911741e+00,9.040409e+00,7.528487e+00
-5.313185e+00,-4.163246e+00,1.359288e-01,7.856814e-01,1.226833e+00,1.760488e+01,2.883644e+01,3.420721e+01,3.406582e+01,3.374380e+01,3.410828e+01,3.490976e+01,4.158495e+01,4.673105e+01,4.414174e+01,3.143473e+01,1.567720e+01,-9.622678e-01,-1.480011e+00,3.210580e+00,1.206574e+01,8.854216e+00,5.133160e+00,1.647369e+00,2.875254e+00,2.908278e-01,2.305921e+00
-4.984332e-01,-5.728037e+00,-4.800890e+00,-5.655528e-01,1.090455e+01,1.625619e+01,2.672575e+00,-2.770468e+00,-7.406976e+00,-1.285914e+01,-1.383822e+01,-1.422446e+01,-1.212782e+01,-4.934579e+00,2.341189e+00,6.475089e+00,4.048483e+00,1.105889e+01,7.293664e+00,-1.581575e+00,2.023178e+00,5.391233e+00,7.217674e-01,9.012316e-01,-3.359742e+00,-5.204348e+00,-2.906456e+00
-6.466198e-02,-5.283038e+00,-6.395571e+00,-7.738447e+00,2.907950e+00,-3.286587e+00,-3.181071e+00,-7.347795e+00,-8.178655e+00,-8.996519e+00,-8.092357e+00,-1.255965e+01,-2.007860e+01,-2.104239e+01,-2.300701e+01,-2.403255e+01,-2.069375e+01,-1.597782e+01,-5.796583e+00,-8.774261e+00,-1.507372e+01,-9.370377e+00,-7.673125e+00,-5.514916e+00,-4.951113e+00,-6.725574e+00,-6.063910e+00
