Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.880007e+02,-4.692189e+02,-4.660973e+02,-4.647968e+02,-4.664915e+02,-3.991841e+02,-1.972928e+02,-1.018900e+02,-5.888825e+01,-4.817263e+01,-5.561901e+01,-3.880938e+01,-2.311545e+01,-2.579428e+01,-5.825419e+01,-1.356255e+02,-2.428837e+02,-3.275499e+02,-3.345976e+02,-2.909144e+02,-2.806094e+02,-3.186354e+02,-3.826839e+02,-4.337525e+02,-4.549460e+02,-4.700023e+02,-4.722075e+02,-4.869957e+02
5.381300e+01,6.414507e+01,6.946922e+01,7.139989e+01,6.862776e+01,1.095419e+02,1.127689e+02,9.006694e+01,6.460989e+01,6.314655e+01,6.041431e+01,5.435825e+01,6.282720e+01,8.554866e+01,1.072185e+02,1.288497e+02,1.543181e+02,1.435777e+02,5.990026e+01,1.466730e+01,1.876392e+01,4.977601e+01,7.997366e+01,8.157890e+01,7.207668e+01,6.336378e+01,6.334666e+01,5.087009e+01
1.859871e+01,9.500340e+00,1.463211e+01,1.370557e+01,1.113265e+01,2.611856e+00,-2.522765e+01,-3.989623e+01,-6.296015e+01,-7.436566e+01,-6.550235e+01,-6.743195e+01,-7.841036e+01,-8.363927e+01,-8.097164e+01,-6.323019e+01,-4.468249e+01,-2.263369e+01,-2.249585e-01,-7.703009e+00,-1.729679e+01,-2.147671e+01,-1.676246e+01,-5.249864e+00,9.005934e-01,4.903694e+00,8.928123e+00,9.205305e+00
6.073218e+00,1.771126e+00,2.469790e+00,-2.415088e+00,-2.292666e+00,-3.197989e+01,-2.700834e+01,-9.569750e+00,5.447737e-01,-4.618981e+00,-9.452014e+00,-8.553967e+00,-1.421636e+01,-2.386465e+01,-2.797930e+01,-2.742884e+01,-2.499827e+01,-3.564529e+01,-3.863099e+01,-1.199515e+01,-3.900452e+00,-2.444535e+00,-2.801256e+00,1.193747e+00,-7.252879e+00,-9.739952e+00,-5.681774e+00,-2.744979e+00
1.417710e+01,1.729458e+01,1.342429e+01,1.040796e+01,1.327295e+01,-2.062082e+01,-4.435752e+01,-4.030268e+01,-2.770319e+01,-2.366219e+01,-1.602132e+01,-1.465022e+01,-1.968434e+01,-2.895058e+01,-3.157110e+01,-2.472824e+01,-8.642645e+00,7.070532e+00,3.547821e+01,5.138258e+01,4.938644e+01,4.638409e+01,3.741310e+01,2.188639e+01,1.235530e+01,7.029555e+00,9.027576e+00,1.062267e+01
1.873538e+01,1.871188e+01,1.490782e+01,1.429224e+01,1.549471e+01,1.259282e+01,4.872452e+01,6.484428e+01,7.590618e+01,7.488829e+01,7.893770e+01,7.871463e+01,7.414281e+01,6.246218e+01,4.868302e+01,3.208807e+01,2.048534e+01,6.729618e+00,-1.345524e+01,-2.535805e+01,-3.100745e+01,-2.894048e+01,-1.116713e+01,7.770709e+00,1.094552e+01,1.427707e+01,1.341002e+01,1.698256e+01
1.350749e+01,1.479811e+01,1.156238e+01,8.007473e+00,5.802213e+00,-6.394346e+00,-4.875852e+01,-5.447643e+01,-5.013072e+01,-5.102976e+01,-4.982870e+01,-4.807317e+01,-4.593091e+01,-4.591669e+01,-4.082205e+01,-3.712984e+01,-2.477992e+01,-8.055591e-01,6.905954e+00,-4.254164e+00,-7.993611e+00,-8.761098e+00,-4.110844e+00,-6.136580e-01,3.287668e+00,9.006819e+00,6.257312e+00,9.364428e+00
7.512216e+00,1.217074e+01,7.361374e+00,3.930113e+00,1.648540e+00,-1.515266e+00,1.991837e+01,3.774953e+01,4.235096e+01,3.700123e+01,3.206094e+01,3.709475e+01,4.184946e+01,4.578031e+01,4.195815e+01,3.151699e+01,8.466806e+00,1.861595e+00,1.416495e+01,2.718622e+01,3.465730e+01,3.116055e+01,1.265728e+01,3.104670e+00,3.230916e+00,4.818112e+00,3.989015e+00,2.241718e+00
3.715789e+00,2.790035e+00,1.140432e+00,2.723509e+00,1.007777e+00,1.513721e+01,1.327908e+01,1.955959e+00,-5.404182e+00,-6.870929e+00,-9.900227e+00,-1.351833e+01,-1.449694e+01,-7.845152e+00,-1.833452e+00,-2.213562e+00,-1.800559e+00,-1.617216e+00,-3.365274e+00,-2.905417e+00,3.225167e+00,6.160822e+00,3.620996e+00,-1.198764e+00,-4.903028e-01,1.090424e+00,4.060332e+00,5.893235e-01
-3.223528e-01,-4.917402e+00,7.381362e-01,2.222179e+00,-9.642969e-01,5.490369e+00,-2.397611e-01,-3.891480e+00,-8.485592e+00,-7.920820e+00,-9.608910e+00,-1.297789e+01,-1.606287e+01,-1.715280e+01,-1.906486e+01,-2.054664e+01,-2.578639e+01,-1.798326e+01,-1.905760e+01,-1.963072e+01,-1.686810e+01,-1.097360e+01,-7.574263e+00,-1.089724e+01,-7.650254e+00,-3.931009e+00,-1.692804e-01,-7.998840e-01
