Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.278567e+02,-5.278473e+02,-5.280297e+02,-5.280297e+02,-3.574296e+02,-2.207907e+02,-1.589582e+02,-1.380894e+02,-1.354573e+02,-1.504333e+02,-1.650030e+02,-1.578437e+02,-1.757562e+02,-1.858761e+02,-2.001416e+02,-2.456061e+02,-3.372137e+02,-4.385263e+02,-4.717989e+02,-4.926160e+02,-4.955911e+02,-4.285718e+02,-3.448830e+02,-2.839601e+02,-2.490728e+02,-2.476775e+02,-2.813055e+02,-3.411299e+02,-4.026147e+02,-4.637209e+02,-5.004526e+02,-5.148015e+02,-5.213842e+02,-5.262515e+02,-5.272899e+02,-5.269321e+02,-5.280297e+02,-5.280297e+02
2.394460e-01,2.524790e-01,0.000000e+00,0.000000e+00,1.441127e+02,1.929327e+02,1.905154e+02,1.635431e+02,1.393642e+02,1.394831e+02,1.521353e+02,1.482865e+02,1.575331e+02,1.645739e+02,1.752871e+02,1.800769e+02,1.506680e+02,8.899370e+01,5.909153e+01,4.141347e+01,2.010699e+01,5.762300e+01,1.303922e+02,1.755508e+02,1.960516e+02,2.204122e+02,2.220157e+02,1.872195e+02,1.365263e+02,7.732188e+01,3.707149e+01,1.795232e+01,9.049572e+00,2.432425e+00,1.024493e+00,1.517868e+00,0.000000e+00,0.000000e+00
2.237555e-01,2.359353e-01,0.000000e+00,0.000000e+00,-1.920595e+01,-7.617672e+01,-1.158511e+02,-1.376058e+02,-1.212651e+02,-1.094612e+02,-1.071388e+02,-9.986336e+01,-1.067332e+02,-1.057167e+02,-9.197755e+01,-5.975293e+01,-8.539677e+00,2.424221e+01,1.899174e+01,2.181287e+01,-2.515556e+00,-1.438388e+01,-1.780862e+01,-3.368633e+01,-5.337152e+01,-3.762505e+01,-9.771317e-02,3.500806e+01,5.033015e+01,4.639077e+01,3.177008e+01,1.577988e+01,8.041174e+00,2.191890e+00,9.602120e-01,1.416512e+00,0.000000e+00,0.000000e+00
1.983617e-01,2.091586e-01,0.000000e+00,0.000000e+00,-7.847873e+01,-7.219145e+01,-6.069231e+01,-5.929053e+01,-5.396512e+01,-5.161906e+01,-4.530368e+01,-5.084195e+01,-4.474046e+01,-3.582231e+01,-2.807224e+01,-2.204219e+01,-1.594376e+01,-3.145065e+00,-5.693372e+00,4.372349e+00,1.014112e+01,1.484006e+01,-1.782812e+01,-5.232137e+01,-7.572660e+01,-9.103284e+01,-8.745682e+01,-5.418573e+01,-1.257795e+01,1.830928e+01,2.430618e+01,1.245624e+01,6.480910e+00,1.812384e+00,8.567364e-01,1.253427e+00,0.000000e+00,0.000000e+00
1.643646e-01,1.733131e-01,0.000000e+00,0.000000e+00,-4.329509e+01,-3.782617e+01,-3.871569e+01,-3.395066e+01,-2.324994e+01,-2.182312e+01,-1.904708e+01,-1.959000e+01,-2.851033e+01,-2.201311e+01,-8.853266e+00,3.113524e+00,5.508220e+00,-3.594363e-01,-7.398081e+00,-2.933603e+00,8.425033e+00,4.860912e+00,-6.132225e+00,-1.484800e+01,-2.757867e+01,-3.706203e+01,-4.250658e+01,-4.280464e+01,-2.252714e+01,5.000227e+00,1.606961e+01,8.377236e+00,4.532283e+00,1.323814e+00,7.193309e-01,1.037026e+00,0.000000e+00,0.000000e+00
1.232425e-01,1.299506e-01,0.000000e+00,0.000000e+00,-3.049526e+00,-1.463537e+01,-9.628146e+00,5.102170e+00,1.217682e+01,9.041698e+00,5.882946e+00,7.343813e+00,7.487128e+00,5.192948e+00,-1.367450e+01,-3.400738e+01,-2.480804e+01,-1.958294e+00,-2.458982e+00,-2.545340e+00,-7.433804e+00,-2.407986e+01,-1.967510e+01,-5.765875e+00,-7.103268e+00,-8.864005e+00,-2.326505e+00,-5.140422e+00,-7.136796e+00,2.367266e+00,8.156897e+00,4.007109e+00,2.392641e+00,7.639552e-01,5.549224e-01,7.783954e-01,0.000000e+00,0.000000e+00
7.677452e-02,8.095370e-02,0.000000e+00,0.000000e+00,2.128416e+00,-2.419072e+00,6.907704e-01,8.258566e+00,1.562947e+01,2.039804e+01,2.324295e+01,1.735246e+01,1.496199e+01,5.626856e+00,-9.744516e+00,-2.093023e+01,-2.830248e+01,-9.029390e+00,-1.338023e+00,-1.934577e+00,-4.781633e+00,-2.193919e+01,-3.640569e+01,-3.440347e+01,-2.434052e+01,-1.968016e+01,-1.474621e+01,-5.429176e+00,-4.535418e+00,-5.258873e-01,1.237521e+00,-1.911794e-01,2.674609e-01,1.748988e-01,3.717038e-01,4.906843e-01,0.000000e+00,0.000000e+00
2.697720e-02,2.844556e-02,0.000000e+00,0.000000e+00,-1.410215e+01,-1.186425e+01,-1.266361e+01,-7.228540e+00,1.353328e+00,2.282161e+00,2.145274e+00,3.575517e+00,-4.215641e+00,-5.312387e+00,-7.575017e+00,-3.257018e+00,-3.840173e+00,-8.316246e+00,-2.395338e+00,-4.971707e+00,2.941360e+00,-1.640745e+01,-3.982619e+01,-4.305024e+01,-3.844415e+01,-3.807301e+01,-3.261111e+01,-2.770239e+01,-1.810244e+01,-7.866497e+00,-4.291409e+00,-3.821372e+00,-1.655442e+00,-4.007946e-01,1.786519e-01,1.883391e-01,0.000000e+00,0.000000e+00
-2.398998e-02,-2.529576e-02,0.000000e+00,0.000000e+00,-1.840413e+01,-1.953265e+01,-1.179360e+01,-1.326873e+01,-2.065807e+01,-1.814764e+01,-1.364308e+01,-1.711805e+01,-1.527888e+01,-2.293493e+00,3.835271e+00,7.457914e-01,-1.979433e+00,-4.751442e+00,-5.012724e+00,-9.412525e+00,-4.996109e+00,-1.243060e+01,-2.207852e+01,-2.099978e+01,-2.164124e+01,-2.422494e+01,-2.511033e+01,-2.967092e+01,-2.498740e+01,-1.440745e+01,-8.136728e+00,-6.604103e+00,-3.228057e+00,-9.238402e-01,-1.498386e-02,-1.136972e-01,0.000000e+00,0.000000e+00
-7.391682e-02,-7.794011e-02,0.000000e+00,0.000000e+00,-1.072477e+00,-8.834774e-01,-2.887584e+00,-3.761587e+00,-5.614283e+00,-5.602927e+00,-8.608709e+00,-1.177971e+01,-1.547859e+01,-8.496281e+00,-4.130023e+00,-3.891999e+00,-1.603827e+01,-1.089779e+01,-9.743660e+00,-1.139031e+01,-1.549538e+01,-1.954205e+01,-1.114758e+01,9.057956e-01,5.294196e+00,1.520680e+00,-8.647786e+00,-1.053480e+01,-1.446006e+01,-1.434214e+01,-1.014297e+01,-8.404369e+00,-4.357508e+00,-1.361465e+00,-2.001947e-01,-4.008301e-01,0.000000e+00,0.000000e+00
-1.206383e-01,-1.272050e-01,0.000000e+00,0.000000e+00,5.861021e+00,1.347619e+01,1.310536e+01,1.295738e+01,6.053822e+00,2.741160e+00,-3.188187e-01,-2.514898e+00,-1.479842e+00,-6.510695e-01,-1.240658e+01,-2.460449e+01,-2.622394e+01,-2.034705e+01,-1.138918e+01,-1.014828e+01,-1.073858e+01,-1.611764e+01,-1.020953e+01,-8.782555e-01,2.506153e+00,-1.628445e+00,-1.402555e+00,1.276707e+00,-6.886727e-01,-9.264118e+00,-1.048050e+01,-9.233488e+00,-5.012682e+00,-1.689868e+00,-3.687203e-01,-6.595923e-01,0.000000e+00,0.000000e+00
-1.621282e-01,-1.709528e-01,0.000000e+00,0.000000e+00,-1.094786e+01,-2.598012e+01,-2.817181e+01,-2.221234e+01,-1.345443e+01,-9.030144e+00,-1.401695e+01,-2.322692e+01,-3.052704e+01,-3.364201e+01,-2.949176e+01,-2.675373e+01,-1.981528e+01,-1.655370e+01,-6.697630e+00,-7.864605e+00,-3.569658e+00,-1.746452e+00,-1.394508e+01,-1.812706e+01,-1.238471e+01,-8.086424e+00,-4.972809e+00,-4.339890e+00,2.712423e-01,-5.970692e+00,-9.738978e+00,-9.227534e+00,-5.221557e+00,-1.895585e+00,-5.134736e-01,-8.783889e-01,0.000000e+00,0.000000e+00
-1.965860e-01,-2.072883e-01,0.000000e+00,0.000000e+00,-2.163200e+01,-2.257826e+01,-2.271886e+01,-1.876917e+01,-1.504796e+01,-1.499553e+01,-1.544481e+01,-1.659298e+01,-1.886289e+01,-1.420463e+01,-8.166177e+00,-4.619768e+00,-4.949841e+00,-6.768687e+00,-2.875805e+00,-6.409824e+00,-6.099127e+00,-1.006589e+01,-1.986582e+01,-1.329331e+01,-5.876010e+00,-1.126989e+01,-1.637276e+01,-1.344852e+01,-8.974918e+00,-8.251802e+00,-8.737474e+00,-8.608402e+00,-5.060250e+00,-1.975794e+00,-6.289052e-01,-1.048090e+00,0.000000e+00,0.000000e+00
