Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.032426e+02,-4.872343e+02,-4.491403e+02,-3.782640e+02,-3.482567e+02,-3.508410e+02,-2.026720e+02,-8.205413e+01,-5.166841e+01,-7.884039e+01,-9.299358e+01,-1.057642e+02,-9.638530e+01,-8.599528e+01,-7.751694e+01,-8.334436e+01,-7.733422e+01,-6.448299e+01,-6.074808e+01,-5.573677e+01,-5.917916e+01,-8.498246e+01,-1.350907e+02,-2.220151e+02,-3.294204e+02,-4.255072e+02,-4.700724e+02,-4.835100e+02,-4.871106e+02,-4.878995e+02,-4.854655e+02,-4.862715e+02,-4.832334e+02,-4.807116e+02,-4.935740e+02
6.086584e+01,7.172530e+01,6.428456e+01,4.091824e+01,2.691925e+01,3.108980e+01,9.760344e+01,1.063963e+02,9.778986e+01,7.980619e+01,7.485759e+01,8.811639e+01,8.737085e+01,6.642139e+01,7.183424e+01,8.167944e+01,7.106776e+01,5.788933e+01,5.651663e+01,7.338589e+01,9.748247e+01,1.070247e+02,1.355047e+02,1.651230e+02,1.441722e+02,1.044981e+02,8.334933e+01,7.788428e+01,7.518629e+01,7.232422e+01,7.293538e+01,7.262373e+01,7.412833e+01,7.288399e+01,6.468989e+01
1.464493e+01,1.109327e+01,2.501865e+01,4.483882e+01,4.999338e+01,5.247725e+01,2.358327e-01,-5.542973e+01,-7.540251e+01,-6.749752e+01,-7.397794e+01,-7.469135e+01,-7.100224e+01,-6.009700e+01,-5.649742e+01,-6.653911e+01,-7.432159e+01,-7.662514e+01,-7.640619e+01,-8.948512e+01,-9.923950e+01,-9.567278e+01,-8.279401e+01,-7.269583e+01,-5.306212e+01,-2.584783e+01,4.637801e+00,1.592497e+01,1.682590e+01,1.316019e+01,9.650478e+00,1.081513e+01,1.021814e+01,7.046740e+00,9.253688e+00
-2.812793e+00,-2.054559e+00,-5.888153e+00,-2.317833e+01,-3.354518e+01,-3.170909e+01,-1.712573e+01,4.904002e-01,1.019318e+01,9.291578e+00,8.597715e+00,1.762421e+00,-1.050675e+01,-1.215835e+01,-1.435799e+01,-1.045265e+01,-1.424894e+00,1.334406e+00,4.661029e+00,-1.939073e+00,-8.380891e+00,-8.201036e+00,-1.022649e+01,-1.964730e+01,-3.493032e+01,-2.805018e+01,-6.116300e+00,-1.654389e+00,-1.532465e+00,-2.710106e+00,-5.581482e+00,-3.405701e+00,-8.379006e-01,-6.076947e-01,-3.825540e+00
7.194896e+00,1.498152e+01,2.511348e+01,2.552252e+01,2.717979e+01,3.013937e+01,6.052803e+00,-2.649759e+01,-3.592001e+01,-2.140819e+01,-1.066976e+01,-7.087992e-01,9.534939e+00,1.461403e+01,1.218321e+01,1.133981e+01,7.936782e+00,-2.475731e+00,-2.876534e+00,-3.583008e+00,-8.390461e+00,-1.040613e+01,-1.376028e+01,-2.743048e+00,1.962918e+01,2.991196e+01,2.381114e+01,1.538112e+01,1.246924e+01,1.164638e+01,1.220421e+01,1.401040e+01,1.821464e+01,1.746356e+01,9.317694e+00
1.611901e+01,1.812971e+01,1.756375e+01,1.451941e+01,8.901258e+00,4.702590e+00,-3.965421e+01,-2.078400e+01,4.392390e+00,2.536704e+01,2.788645e+01,2.891192e+01,3.352285e+01,4.126654e+01,4.144226e+01,4.238406e+01,4.411453e+01,4.729810e+01,4.638139e+01,4.686218e+01,4.164362e+01,4.086086e+01,3.773486e+01,3.120328e+01,3.914761e+01,3.688395e+01,2.538608e+01,2.107414e+01,1.904984e+01,1.741942e+01,1.816564e+01,1.818383e+01,1.980352e+01,1.978501e+01,1.511263e+01
1.576175e+01,1.114359e+01,6.050140e+00,2.815858e+00,8.350142e+00,1.058746e+01,-3.786638e+01,-3.754678e+01,-3.211695e+01,-2.189254e+01,-2.647260e+01,-1.964531e+01,-2.485479e+01,-2.805906e+01,-2.899234e+01,-2.148976e+01,-2.070510e+01,-2.510383e+01,-2.874365e+01,-2.701773e+01,-2.858685e+01,-2.678742e+01,-2.178540e+01,-1.317513e+01,3.218472e+00,4.133284e+00,5.714642e+00,8.885805e+00,9.660435e+00,1.191866e+01,1.049745e+01,1.010856e+01,1.012435e+01,1.172247e+01,8.701845e+00
1.299463e+01,9.854918e+00,9.553499e+00,1.090175e+01,1.581276e+01,1.084872e+01,-9.277477e+00,-8.499726e+00,5.093532e+00,7.003819e+00,-4.404205e+00,-1.286313e+01,-1.571098e+01,-4.532845e+00,-4.454791e+00,-8.560183e+00,-9.817868e+00,-6.776543e+00,6.597158e-01,2.426851e+00,9.230780e-01,1.880603e+00,-1.705076e+00,-5.228406e+00,-1.037736e+00,-1.591348e+00,2.493128e+00,7.824333e-02,1.699915e+00,7.752701e+00,6.994285e+00,6.820035e+00,6.856159e+00,8.465290e+00,4.879899e+00
8.528700e+00,6.693598e+00,-1.853320e+00,-6.449616e+00,-3.977018e+00,-1.919719e+00,2.138467e+01,3.125647e+01,2.682227e+01,2.524018e+01,2.355756e+01,2.570527e+01,2.789965e+01,2.415136e+01,2.671129e+01,2.811438e+01,2.279595e+01,1.973926e+01,2.233703e+01,1.962445e+01,1.288981e+01,1.055362e+01,1.138669e+01,1.249386e+01,1.434567e+01,1.582053e+01,8.234069e+00,1.078236e-01,3.216248e+00,6.078117e+00,7.222133e+00,3.750042e+00,2.875566e+00,5.421738e+00,4.636592e+00
1.980757e+00,-2.682229e+00,5.223770e-01,7.671013e+00,-2.498580e-01,-2.203527e+00,9.687268e-01,-2.772200e+00,1.666732e+00,-8.361406e-01,-1.958534e+00,-8.649863e+00,-8.137617e+00,-1.035734e+01,-1.195423e+01,-1.087984e+01,-1.129120e+01,-1.188396e+01,-4.328624e+00,4.722414e+00,1.387066e+00,1.967623e+00,1.504734e-01,-8.360468e+00,-6.929432e+00,3.415646e+00,1.538945e+00,-5.048556e-01,3.481320e+00,1.623358e+00,2.267439e+00,-3.664026e+00,-5.361215e+00,-5.916461e+00,-3.925753e+00
