Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52,Coeff 53
-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.590946e+02,-5.562663e+02,-5.622633e+02,-5.489478e+02,-5.178763e+02,-5.042926e+02,-5.050671e+02,-5.264367e+02,-5.574179e+02,-5.498420e+02,-3.706445e+02,-2.534338e+02,-2.007025e+02,-1.783073e+02,-1.981154e+02,-2.231039e+02,-1.339092e+02,-9.528337e+01,-1.106006e+02,-8.690173e+01,-9.431880e+01,-1.584326e+02,-2.626208e+02,-3.664490e+02,-4.389619e+02,-4.762078e+02,-5.118492e+02,-5.364669e+02,-5.497691e+02,-5.592363e+02,-5.647491e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.646870e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02,-5.648663e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.677438e+00,1.147355e+01,3.484790e+00,3.538153e+00,1.090897e+01,1.887870e+01,2.024388e+01,1.587097e+01,6.418064e+00,8.415157e+00,1.390088e+02,1.838182e+02,1.813568e+02,1.888840e+02,1.932863e+02,1.876149e+02,1.698150e+02,1.595866e+02,1.417211e+02,1.608746e+02,1.729811e+02,1.895411e+02,1.820168e+02,1.451006e+02,1.060158e+02,8.450673e+01,5.409806e+01,3.240534e+01,1.888594e+01,7.496181e+00,1.632460e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.488326e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.290086e+00,9.501928e+00,2.920548e+00,-1.429037e+01,-3.740961e+01,-4.006504e+01,-3.418247e+01,-1.736537e+01,1.420019e+00,-7.465949e+00,-3.256070e+01,-7.107458e+01,-9.715608e+01,-1.178796e+02,-1.144884e+02,-9.455479e+01,-1.156246e+02,-1.265988e+02,-1.214610e+02,-1.249467e+02,-1.136586e+02,-1.113988e+02,-8.952191e+01,-4.294593e+01,-1.308339e+01,4.802207e+00,1.084215e+01,1.522322e+01,1.279856e+01,6.181369e+00,1.556364e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.347650e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.193538e+00,6.517605e+00,2.060364e+00,5.313290e-01,-2.334313e+00,-5.435041e+00,-5.082989e+00,9.338403e-01,3.386096e+00,-3.141618e+00,-4.528590e+01,-4.857396e+01,-3.430200e+01,-4.537630e+01,-5.564144e+01,-5.732552e+01,-5.957427e+01,-5.522358e+01,-4.670191e+01,-6.553769e+01,-7.244269e+01,-6.988205e+01,-7.362299e+01,-6.684180e+01,-5.304330e+01,-3.833834e+01,-1.789920e+01,9.044796e-01,5.968902e+00,4.248102e+00,1.432404e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.119141e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.676698e+00,2.924549e+00,1.012600e+00,9.372760e+00,9.985569e+00,2.845843e+00,-2.151012e+00,5.329718e+00,6.178539e+00,4.401574e+00,-2.117872e+01,-2.815037e+01,-3.366560e+01,-3.007338e+01,-1.845719e+01,-2.628725e+01,-4.102113e+01,-4.781010e+01,-4.206198e+01,-5.469430e+01,-5.879354e+01,-5.118188e+01,-2.906770e+01,-1.846289e+01,-2.341315e+01,-2.384927e+01,-1.599312e+01,-3.503224e+00,7.289197e-01,2.025698e+00,1.264758e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.811488e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.195520e-01,-8.007755e-01,-9.312642e-02,-6.131676e+00,-1.702528e+01,-2.246869e+01,-1.614509e+01,-3.312107e+00,2.601381e+00,-2.648507e+00,-2.624210e+01,-2.652000e+01,-2.329446e+01,-1.204736e+01,-5.133017e+00,2.800457e+00,1.522511e+01,1.915683e+01,2.294758e+01,1.539016e+01,4.607152e+00,4.593863e+00,3.250182e+00,1.081260e+01,1.140772e+01,6.777662e+00,5.841827e-01,-1.104446e+00,-2.409756e+00,-1.264538e-01,1.059098e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.436377e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.253515e+00,-4.180873e+00,-1.124007e+00,-1.068622e+01,-1.454594e+01,-1.437302e+01,-6.428017e+00,-8.082864e-01,-2.029097e+00,-1.029235e+01,-4.346724e+01,-4.713270e+01,-3.879871e+01,-1.496228e+01,-8.895023e+00,-3.887503e+00,2.284882e+00,5.953238e+00,7.815317e+00,1.655273e+00,-1.620765e+00,6.427439e+00,9.393106e+00,6.144275e+00,1.534884e+01,1.411062e+01,7.717854e+00,4.155536e-01,-4.285822e+00,-1.891582e+00,8.222801e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.008046e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.033088e+00,-6.807413e+00,-1.962212e+00,5.449760e+00,1.407336e+01,1.402890e+01,9.452906e+00,6.372402e+00,-1.246762e+00,-2.954084e+00,-4.774530e+01,-4.622833e+01,-3.530269e+01,-1.757151e+01,-1.724746e+01,-1.875436e+01,-1.425321e+01,-1.362210e+01,-1.036040e+01,-1.062811e+01,-9.515934e+00,-1.646387e+01,-2.792879e+01,-2.489270e+01,-5.440801e+00,1.703746e+00,-1.967635e-01,-2.639860e+00,-5.734504e+00,-3.055686e+00,5.621918e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.427353e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.057462e+00,-8.398937e+00,-2.520509e+00,1.139830e+01,2.128023e+01,2.032366e+01,1.526957e+01,9.830885e+00,4.678953e-01,7.214211e+00,-2.181485e+01,-1.916868e+01,-1.286863e+01,-1.427153e+01,-2.101841e+01,-1.717895e+01,-1.186841e+01,-1.126987e+01,-9.534564e+00,-1.468008e+01,-2.134896e+01,-2.060360e+01,-2.390860e+01,-2.597478e+01,-1.202251e+01,-7.597972e+00,-1.032164e+01,-7.631741e+00,-6.794861e+00,-3.542275e+00,2.874180e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.806055e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.243731e+00,-8.837248e+00,-2.753067e+00,-1.025018e+00,-2.440702e+00,-3.003903e+00,-5.154743e+00,-7.181296e+00,-2.426401e+00,3.039741e+00,-7.228542e+00,-3.808515e+00,-6.625660e+00,-1.201490e+01,-1.857200e+01,-8.113886e+00,-3.879386e-01,-8.040271e-01,-3.082702e+00,9.405531e-01,6.007000e+00,1.394236e-01,-3.668203e+00,-3.117097e+00,-2.462283e+00,-7.255574e+00,-1.134156e+01,-1.021462e+01,-6.988123e+00,-3.415172e+00,6.903633e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.276639e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
