Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.954476e+02,-5.910641e+02,-5.732656e+02,-5.613527e+02,-5.572437e+02,-5.325543e+02,-3.817669e+02,-2.745652e+02,-2.305454e+02,-2.449189e+02,-3.041299e+02,-2.856420e+02,-1.949167e+02,-1.120419e+02,-7.552213e+01,-9.083711e+01,-1.690750e+02,-2.647417e+02,-3.765703e+02,-4.622630e+02,-5.152610e+02,-5.630327e+02,-5.907048e+02,-5.955928e+02,-5.951956e+02,-5.947129e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02,-5.961666e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.381639e-01,3.284823e+00,1.234790e+01,1.199739e+01,4.722634e+00,2.020163e+01,1.607127e+02,2.100190e+02,2.286735e+02,2.275592e+02,2.048463e+02,1.830796e+02,1.707941e+02,1.502094e+02,1.498745e+02,1.756448e+02,2.198026e+02,2.039520e+02,1.612532e+02,1.176351e+02,7.942332e+01,3.836669e+01,7.295652e+00,7.599768e-01,1.340934e+00,2.005508e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.168278e-01,-1.154750e+00,-8.474617e+00,-1.770567e+01,-2.218409e+01,-3.354359e+01,-1.481427e+01,-5.794624e+01,-7.694056e+01,-7.469054e+01,-5.117619e+01,-6.639610e+01,-1.097508e+02,-1.139986e+02,-9.686308e+01,-9.207816e+01,-1.162200e+02,-9.275928e+01,-4.279983e+01,-4.747469e+00,1.110595e+01,1.916841e+01,6.079213e+00,6.129129e-01,1.245688e+00,1.857006e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.943247e-01,1.769987e-02,-5.711852e+00,-3.680567e+00,8.840934e+00,-4.445505e+00,-3.040347e+01,-4.751155e+01,-5.335220e+01,-5.811194e+01,-5.566161e+01,-4.295606e+01,-2.541475e+01,-5.247728e+01,-7.767596e+01,-8.153281e+01,-7.168225e+01,-8.654817e+01,-7.325137e+01,-5.028607e+01,-2.682023e+01,2.256388e+00,4.269609e+00,3.922155e-01,1.092176e+00,1.617973e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.068391e-02,5.622404e-01,-7.859556e+00,-9.836601e+00,-5.622468e+00,-8.295230e+00,-1.401112e+01,-2.004076e+01,-1.980729e+01,-1.042761e+01,1.442688e+00,-1.933069e+01,-4.670799e+01,-5.048190e+01,-5.798760e+01,-5.977968e+01,-6.400333e+01,-4.578619e+01,-3.104976e+01,-2.225338e+01,-1.787329e+01,-4.149099e+00,2.150153e+00,1.304314e-01,8.879648e-01,1.300643e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.072308e-01,-1.217874e+00,-1.197887e+01,-1.531209e+01,-1.190995e+01,-1.017712e+01,-1.798998e+01,-1.971502e+01,-1.530721e+01,-5.630506e+00,1.123104e+01,2.027007e+01,2.227884e+01,1.864237e+01,5.302860e+00,-2.137674e+00,-1.599368e+00,-5.993015e+00,4.676258e+00,8.912745e+00,2.270627e+00,-2.295306e+00,4.001357e-02,-1.343244e-01,6.430935e-01,9.212154e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.587494e-01,8.096787e-02,-4.294625e+00,-3.599010e+00,3.353413e+00,2.207817e+00,-3.894713e+01,-3.466959e+01,-2.714367e+01,-1.477269e+01,-5.938605e+00,1.766676e+01,1.279428e+01,1.234752e+01,8.133720e+00,5.787886e+00,7.929461e+00,9.137982e+00,9.369850e+00,4.922787e+00,2.479393e+00,-1.882022e-01,-1.763732e+00,-3.643265e-01,3.695568e-01,4.989965e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.811486e-01,1.327354e+00,5.906935e+00,3.598183e+00,-1.369593e+00,3.420923e-01,-4.620432e+01,-4.754971e+01,-3.845761e+01,-2.150022e+01,-1.240344e+01,-1.231962e+01,-1.445412e+01,-1.005760e+01,-1.000919e+01,-1.788851e+01,-2.958220e+01,-2.951113e+01,-2.680247e+01,-1.876978e+01,-1.099125e+01,-2.779345e+00,-3.037702e+00,-5.280985e-01,8.069199e-02,5.537344e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.578326e-01,-2.144735e+00,7.603899e+00,9.192009e+00,2.802045e+00,9.084791e+00,-1.325667e+01,-1.603580e+01,-7.521933e+00,9.253571e-01,-1.692442e+00,-1.530611e+01,-1.178668e+01,-1.233239e+01,-1.657384e+01,-2.658147e+01,-2.903247e+01,-3.458516e+01,-3.701931e+01,-2.448778e+01,-1.811055e+01,-8.332823e+00,-3.667562e+00,-6.051646e-01,-2.095048e-01,-3.873176e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.013227e-01,-3.557286e+00,-1.511060e-01,2.793797e+00,2.860522e-01,-2.364948e+00,-3.861489e+00,2.022264e+00,3.841027e+00,5.664487e+00,5.329898e-01,-1.052181e+01,-1.381608e+01,-1.449174e+00,1.456284e+00,-4.092946e+00,-1.321362e+01,-1.521077e+01,-1.280290e+01,-1.503884e+01,-1.551858e+01,-1.221107e+01,-3.661022e+00,-5.890148e-01,-4.870852e-01,-8.069584e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
