Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33
-5.217838e+02,-5.029706e+02,-5.076435e+02,-5.098602e+02,-5.055721e+02,-4.892373e+02,-4.065822e+02,-3.543520e+02,-3.310423e+02,-3.060633e+02,-1.720136e+02,-9.526644e+01,-6.619618e+01,-6.395937e+01,-7.861800e+01,-8.996934e+01,-8.467990e+01,-7.549308e+01,-6.498015e+01,-6.223715e+01,-1.105499e+02,-2.251050e+02,-3.257957e+02,-3.998824e+02,-4.750468e+02,-5.001277e+02,-4.199235e+02,-3.570887e+02,-3.606405e+02,-4.102909e+02,-4.640027e+02,-4.856123e+02,-4.937698e+02
5.286731e+01,6.681599e+01,6.238523e+01,6.038150e+01,6.133706e+01,6.463330e+01,3.658057e+01,1.862569e+01,9.596013e+00,9.851385e+00,7.071519e+01,8.518137e+01,6.748518e+01,3.982455e+01,3.506545e+01,4.166024e+01,4.371181e+01,4.881360e+01,7.223513e+01,1.066125e+02,1.333091e+02,1.551511e+02,1.551152e+02,1.241833e+02,7.945251e+01,6.396065e+01,2.479070e+01,1.433522e+01,2.590258e+01,6.759084e+01,8.708951e+01,7.767293e+01,7.138782e+01
2.048172e+01,1.611029e+01,1.748870e+01,1.506336e+01,8.506360e+00,1.075941e+01,3.360233e+01,4.780985e+01,5.449744e+01,5.384260e+01,6.218834e+00,-4.758820e+01,-7.660957e+01,-7.607043e+01,-7.611784e+01,-7.659357e+01,-7.641415e+01,-8.991489e+01,-1.006834e+02,-1.012100e+02,-9.221945e+01,-6.701295e+01,-4.027833e+01,-2.308060e+01,-5.548582e+00,4.921937e+00,3.848811e+01,3.886817e+01,2.808089e+01,7.552180e+00,5.000055e+00,1.150046e+01,1.139315e+01
3.306695e+00,-1.706531e+00,4.232349e+00,-1.670807e+00,-6.981701e+00,-1.244877e+01,-2.217524e+01,-2.014544e+01,-2.025874e+01,-2.358741e+01,-2.152273e+01,3.750829e+00,1.184803e+01,2.167620e+01,2.226043e+01,1.626724e+01,1.940600e+01,1.544416e+01,8.253941e+00,6.877352e+00,1.639457e+01,1.591091e+01,-8.494841e+00,-2.238438e+01,-1.674232e+01,-9.339548e+00,-1.264911e+01,-1.036645e+01,-1.216278e+01,-1.013872e+01,-2.906090e+00,-3.849806e+00,-2.327591e+00
6.160713e+00,8.373085e+00,1.291705e+01,6.809636e+00,8.367145e+00,9.411958e+00,2.417308e+01,2.847058e+01,3.421494e+01,2.779277e+01,-4.328854e+00,-2.933232e+01,-3.224486e+01,-1.357520e+01,-3.691170e+00,2.767424e+00,3.616959e+00,1.990470e+00,-5.625916e+00,-2.284252e+01,-3.027329e+01,-1.544492e+01,4.295903e+00,4.930026e+00,8.938589e+00,7.757149e+00,2.556407e+01,3.072575e+01,3.249988e+01,2.747657e+01,1.296875e+01,9.613331e+00,1.189643e+01
1.327809e+01,1.456105e+01,1.377566e+01,1.186211e+01,1.661177e+01,1.732565e+01,1.220029e+01,9.279697e+00,1.165651e+01,3.444957e+00,-4.604823e+01,-3.837893e+01,-1.329899e+01,8.413596e+00,1.132846e+01,1.416416e+01,1.505092e+01,1.364952e+01,8.374979e+00,-9.712314e-01,-7.925255e+00,-1.384835e+01,-4.187332e+00,-1.068845e+00,9.326373e+00,1.285003e+01,-6.962175e+00,-1.107611e+01,-8.715475e+00,-7.551840e+00,1.130731e+01,1.481940e+01,1.417474e+01
1.449923e+01,1.235245e+01,6.983723e+00,7.632945e+00,1.177425e+01,6.649033e+00,-2.691606e-01,-3.918847e+00,-8.486382e+00,-1.213081e+01,-3.100986e+01,-2.510149e+01,-1.649130e+01,-1.052856e+01,-1.244427e+01,-9.122211e+00,-1.517034e+01,-1.826198e+01,-1.931224e+01,-2.553695e+01,-2.661079e+01,-1.176794e+01,4.778309e+00,2.151870e+00,4.769677e+00,7.490085e+00,1.661809e+00,-5.026108e-02,-1.511517e+00,1.935245e+00,1.005987e+01,1.264020e+01,1.005741e+01
1.008228e+01,9.833061e+00,5.844974e+00,6.919331e+00,7.865028e+00,7.690654e+00,3.217433e+01,3.280465e+01,2.384957e+01,2.037495e+01,2.169324e+01,2.585500e+01,3.186223e+01,2.714790e+01,2.082020e+01,1.843063e+01,1.578754e+01,1.394302e+01,2.209804e+01,2.670161e+01,2.622167e+01,9.624352e+00,6.253109e+00,1.465329e+01,1.385890e+01,8.366846e+00,2.539002e+01,3.332518e+01,3.407730e+01,2.269237e+01,8.034609e+00,1.093924e+01,1.120088e+01
2.208971e+00,3.303156e+00,6.496264e+00,9.872778e+00,5.675609e+00,-3.288145e+00,-1.597932e+01,-1.762408e+01,-1.242733e+01,-9.743456e+00,9.825281e-01,7.710216e+00,1.333816e+01,1.571383e+01,1.602621e+01,1.790861e+01,1.978964e+01,1.624084e+01,2.205474e+01,1.986745e+01,1.293722e+01,7.242080e+00,7.776130e+00,9.066635e+00,1.060306e+01,7.839068e+00,-9.485497e+00,-1.491981e+01,-1.559577e+01,-1.124437e+01,-6.031165e-01,6.207872e+00,8.001655e+00
-4.598639e+00,-6.234504e+00,-3.227121e-01,5.220486e+00,9.084495e-01,1.445439e+00,1.262877e+01,6.521427e+00,8.471935e-01,-1.325805e+00,-1.688928e+01,-2.167989e+01,-2.276592e+01,-2.681533e+01,-2.746197e+01,-2.959005e+01,-2.981530e+01,-3.394222e+01,-3.557491e+01,-3.210184e+01,-2.630018e+01,-2.677359e+01,-1.829661e+01,-1.221610e+01,-3.971344e+00,-1.384448e-01,-2.953469e-01,-1.780075e+00,1.250507e+00,2.112257e+00,-6.129436e+00,-4.788612e+00,-1.093828e+00
