Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.401720e+02,-5.234914e+02,-5.215398e+02,-5.231048e+02,-5.196408e+02,-5.148915e+02,-5.152694e+02,-5.172646e+02,-5.168200e+02,-5.236302e+02,-5.166766e+02,-3.366846e+02,-1.642917e+02,-7.524979e+01,-3.756789e+01,-3.897822e+01,-8.237106e+01,-8.898228e+01,-5.122421e+01,-3.792089e+01,-5.116674e+01,-8.053454e+01,-1.360402e+02,-2.332083e+02,-3.654917e+02,-4.594600e+02,-4.667693e+02,-4.306636e+02,-4.401223e+02,-4.696325e+02,-5.048877e+02
5.509181e+01,6.759318e+01,6.904292e+01,6.767878e+01,7.149857e+01,7.566341e+01,7.391948e+01,7.309645e+01,7.291582e+01,6.886304e+01,7.098608e+01,8.956807e+01,7.812665e+01,6.009844e+01,4.591206e+01,3.679728e+01,4.000229e+01,3.768789e+01,4.707260e+01,6.977308e+01,9.169996e+01,1.075134e+02,1.147360e+02,1.283979e+02,1.205626e+02,9.077763e+01,6.910449e+01,6.349875e+01,7.278778e+01,8.051816e+01,7.502042e+01
1.730040e+01,1.421648e+01,1.421512e+01,1.378161e+01,1.491891e+01,1.461814e+01,1.379479e+01,1.696004e+01,1.408628e+01,1.668132e+01,1.218919e+01,-5.407605e+01,-7.126326e+01,-7.907655e+01,-8.767091e+01,-8.699395e+01,-6.534340e+01,-6.660495e+01,-9.567821e+01,-1.039677e+02,-1.020063e+02,-1.001297e+02,-9.491113e+01,-7.837460e+01,-4.998023e+01,-2.195218e+01,4.887235e+00,-3.178715e+00,-1.718709e+01,-1.801540e+01,2.913982e+00
2.749728e+00,1.048719e+00,1.823345e+00,1.206805e+00,-2.055754e-02,-3.124703e+00,-2.114063e-01,4.685887e+00,1.297053e+00,1.792560e+00,5.856009e-01,-2.769052e+01,-2.230419e+01,-2.546432e+01,-1.972628e+01,-1.078789e+01,-2.974098e+00,7.376038e+00,-8.926878e+00,-2.213224e+01,-1.329924e+01,2.310195e+00,1.220442e+01,1.045793e+01,-6.049306e+00,-7.832832e+00,6.798850e+00,2.294519e+01,2.669620e+01,1.496627e+01,1.487566e-01
1.034516e+01,1.809319e+01,2.061571e+01,2.003351e+01,1.810840e+01,1.336098e+01,1.534583e+01,1.785650e+01,1.986024e+01,1.844188e+01,2.047967e+01,-1.717832e+01,-3.576442e+01,-3.330070e+01,-2.136515e+01,-1.078841e+01,-1.091390e+01,-1.321417e+01,-1.536126e+01,-3.151357e+01,-3.699707e+01,-4.467884e+01,-4.340028e+01,-2.668763e+01,2.348457e+00,1.674915e+01,1.197781e+01,2.197894e+01,3.324733e+01,3.248317e+01,1.903881e+01
1.497233e+01,2.357690e+01,2.815036e+01,2.683254e+01,2.466084e+01,2.017695e+01,1.892628e+01,1.763243e+01,2.342243e+01,2.592936e+01,2.742850e+01,6.148802e+01,6.167393e+01,6.474162e+01,7.431355e+01,8.567809e+01,9.544394e+01,8.358495e+01,7.735953e+01,6.367607e+01,5.254379e+01,3.873557e+01,2.627595e+01,8.727953e+00,5.275988e+00,9.303495e+00,4.727815e+00,-6.280453e+00,-6.008623e+00,-8.456375e-01,7.836040e+00
9.891228e+00,1.364125e+01,2.001638e+01,1.593540e+01,1.230874e+01,1.202685e+01,1.262273e+01,9.621483e+00,1.198641e+01,1.483920e+01,1.281023e+01,-3.268805e+01,-5.244918e+01,-5.710773e+01,-5.750180e+01,-5.979619e+01,-5.787217e+01,-5.976714e+01,-5.526306e+01,-4.903721e+01,-4.522017e+01,-4.362296e+01,-3.397649e+01,-2.145234e+01,-5.544774e+00,3.100507e+00,7.044867e+00,-1.286662e+00,-1.242845e+00,-2.504141e+00,3.308276e-01
4.323444e+00,5.870342e+00,1.092880e+01,6.527950e+00,1.219510e+00,5.920856e+00,9.010793e+00,7.406074e+00,6.306019e+00,4.880791e+00,4.765137e+00,2.250584e+01,2.874169e+01,2.956392e+01,3.587569e+01,3.609394e+01,3.302407e+01,3.002048e+01,2.981004e+01,2.880011e+01,3.153364e+01,4.145884e+01,3.702946e+01,1.814019e+01,4.128088e+00,1.026524e+01,1.708423e+01,2.713775e+01,2.445795e+01,2.001741e+01,1.011250e+01
5.751044e-01,1.289965e+00,1.729312e+00,1.140770e+00,-2.505175e+00,2.195086e+00,4.083306e+00,5.595261e+00,4.683345e+00,2.932876e+00,3.921340e+00,2.140821e+01,5.453444e+00,6.967450e-01,2.230295e+00,-2.428003e+00,-1.048917e+01,-1.057944e+01,-5.700314e+00,5.313236e+00,5.224504e+00,5.088050e+00,1.144204e+00,-5.450643e+00,4.539624e+00,6.263298e+00,-6.855336e-01,1.560241e+00,5.644167e+00,8.097750e+00,4.760397e+00
-3.410467e+00,-3.908573e+00,-7.158081e+00,-6.024274e+00,-4.989116e+00,-4.390159e+00,-2.119716e+00,6.482254e-01,-5.788393e-01,1.573133e-01,-4.284756e+00,-3.813373e+01,-2.793824e+01,-2.302937e+01,-1.726733e+01,-1.361351e+01,-1.150010e+01,-1.362474e+01,-1.827339e+01,-2.133739e+01,-2.924387e+01,-3.169990e+01,-3.222452e+01,-3.244885e+01,-2.463784e+01,-1.383476e+01,-2.138270e+00,-9.834408e+00,-1.904449e+01,-2.150548e+01,-1.087580e+01
