Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.195900e+02,-3.939653e+02,-3.909324e+02,-3.530226e+02,-2.367780e+02,-1.621911e+02,-1.317245e+02,-1.036523e+02,-7.130928e+01,-4.735711e+01,-2.121018e+01,-5.421314e+00,-4.123691e+00,-1.781745e+01,-5.519520e+01,-1.139495e+02,-1.842915e+02,-2.642049e+02,-3.361291e+02,-3.747486e+02,-3.903642e+02,-3.927662e+02,-3.938959e+02,-3.984258e+02,-3.968856e+02,-3.928051e+02,-4.180048e+02
9.394765e+01,1.018655e+02,1.027647e+02,1.398091e+02,1.662370e+02,1.589399e+02,1.453842e+02,1.338986e+02,1.218435e+02,1.122803e+02,1.088164e+02,1.120296e+02,1.163710e+02,1.226407e+02,1.363401e+02,1.582184e+02,1.715085e+02,1.607199e+02,1.308104e+02,1.087136e+02,9.868058e+01,9.627711e+01,9.564745e+01,9.461160e+01,9.405859e+01,9.694226e+01,8.552428e+01
-5.047197e+00,-1.188588e+01,-1.146127e+01,-2.694196e+00,-4.930042e+00,-9.744542e+00,-1.235597e+01,-1.188135e+01,-1.717334e+01,-2.614409e+01,-4.075233e+01,-5.152090e+01,-5.316595e+01,-5.966633e+01,-6.273702e+01,-5.478721e+01,-4.904020e+01,-4.350394e+01,-3.317132e+01,-2.323722e+01,-1.772106e+01,-1.566429e+01,-1.240895e+01,-1.263163e+01,-1.544419e+01,-1.970322e+01,-1.269382e+01
-6.308981e+00,-2.784855e+00,-2.095376e+00,-1.445788e+01,-4.007390e+01,-4.432027e+01,-3.800853e+01,-3.483530e+01,-3.432878e+01,-3.475058e+01,-3.368582e+01,-3.035986e+01,-2.059047e+01,-1.204142e+01,-1.416672e+01,-1.442717e+01,-1.846981e+01,-1.511613e+01,-7.895715e+00,-6.553558e+00,-3.984507e-01,4.361774e+00,9.384959e+00,7.122177e+00,1.927114e+00,-3.309144e+00,-3.149916e+00
1.764574e+01,1.355559e+01,9.370993e+00,-1.679945e+01,-3.277451e+01,-3.051726e+01,-2.101421e+01,-1.474531e+01,-1.119535e+01,-9.420956e+00,-9.095530e+00,-1.145675e+01,-1.316280e+01,-1.213627e+01,-5.158043e+00,-1.242605e-01,3.411407e+00,1.613771e+01,2.058555e+01,1.580105e+01,1.492275e+01,1.551795e+01,2.215145e+01,2.290578e+01,2.089465e+01,1.781587e+01,1.686868e+01
1.511540e+01,8.473209e+00,4.974703e+00,-3.241619e+01,-2.434388e+01,-3.106823e+00,1.273244e+01,2.232374e+01,2.344783e+01,2.444738e+01,2.468475e+01,2.605469e+01,3.154759e+01,3.369971e+01,3.494482e+01,2.731392e+01,2.144032e+01,8.050153e+00,4.250549e+00,6.571985e+00,2.471148e+00,8.040923e+00,1.067411e+01,1.291101e+01,1.330508e+01,1.172779e+01,1.513625e+01
6.275944e+00,1.014602e+01,1.292583e+01,-1.387075e+01,-4.124343e+01,-4.506721e+01,-4.381092e+01,-4.653389e+01,-4.333325e+01,-4.040319e+01,-4.188630e+01,-3.932123e+01,-4.322310e+01,-4.925676e+01,-5.109354e+01,-4.111735e+01,-2.935506e+01,-1.741830e+01,-1.390803e-01,1.286291e+01,9.383344e+00,1.052995e+01,1.260462e+01,1.568030e+01,1.379491e+01,1.359734e+01,1.603672e+01
-5.552076e-01,-2.642373e+00,-3.262714e-01,-4.717661e+00,-4.660725e+00,8.031933e+00,1.962734e+01,2.795696e+01,3.235730e+01,2.944326e+01,3.409183e+01,4.028701e+01,4.047779e+01,4.026147e+01,3.331462e+01,2.283864e+01,6.491936e+00,-5.491642e+00,-1.031102e+00,4.196113e+00,2.830292e+00,-9.066496e-01,-1.546212e+00,2.917451e+00,-1.140479e+00,-1.859103e-01,4.646199e+00
2.634353e+00,-3.210325e+00,-5.581350e+00,9.555155e+00,7.695655e+00,5.407826e+00,8.643811e+00,6.084776e+00,-4.838577e+00,-1.580812e+01,-9.818535e+00,-9.275339e+00,-1.582718e+01,-1.754186e+01,-1.493606e+01,-1.187866e+01,-5.292615e+00,5.696655e+00,8.877461e+00,6.889393e+00,2.673556e+00,2.075977e+00,3.277231e+00,4.383027e+00,4.244065e+00,3.195325e+00,3.602989e+00
6.055161e+00,-7.219201e-01,-6.740385e+00,1.882681e+01,2.185155e+01,2.241167e+01,1.661452e+01,1.021146e+01,7.734094e+00,1.298896e+01,1.508606e+01,1.257009e+01,1.233826e+01,8.444996e+00,6.425720e-02,-7.378109e+00,-1.505794e+01,-1.001971e+01,2.485470e+00,5.170479e+00,-7.964489e-01,-1.201703e+00,3.297681e+00,4.106502e+00,4.728768e+00,5.872765e+00,6.573553e+00
-5.825819e+00,-5.921771e+00,-5.461428e+00,1.173798e+01,3.518162e+00,-6.142328e+00,-1.161504e+01,-1.138244e+01,-9.194860e+00,-4.928525e+00,-5.761621e+00,-8.493684e+00,-8.574936e+00,-1.473718e+01,-1.994515e+01,-1.757317e+01,-1.724170e+01,-1.697336e+01,-1.056876e+01,-6.347285e+00,-6.888182e+00,-8.703905e+00,-5.108080e+00,-5.500525e+00,-5.058317e+00,-2.804711e+00,2.167405e-01
-1.373696e+01,-9.263840e+00,-1.755595e+00,-7.069935e+00,-9.564747e+00,-2.388118e+00,5.423436e+00,9.870550e+00,1.127178e+01,1.005902e+01,6.808478e+00,-7.181340e-01,-1.074989e+01,-1.767646e+01,-1.822108e+01,-1.695404e+01,-1.833222e+01,-1.790446e+01,-1.025977e+01,-1.162722e+01,-7.168136e+00,-5.524528e+00,-6.192758e+00,-8.082608e+00,-5.445331e+00,-3.607880e+00,-2.665138e+00
-7.992974e+00,-3.694437e+00,-1.985798e+00,-1.739956e+01,-2.433588e+01,-2.383578e+01,-1.560167e+01,-1.528944e+01,-1.935639e+01,-2.136031e+01,-2.568105e+01,-3.042860e+01,-3.107862e+01,-1.981643e+01,-3.395479e+00,3.175831e+00,2.811768e+00,-2.190494e+00,2.362399e-01,-2.532706e+00,-2.272225e+00,-4.457050e+00,-4.219036e+00,-2.425306e+00,-5.324755e-01,2.261566e+00,-4.527725e-01
