Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.309391e+02,-4.227984e+02,-4.507305e+02,-4.585042e+02,-4.665767e+02,-4.918646e+02,-4.995143e+02,-4.912592e+02,-4.876529e+02,-4.887220e+02,-3.164658e+02,-1.787943e+02,-1.510879e+02,-1.690033e+02,-1.361834e+02,-9.409848e+01,-8.737646e+01,-1.112596e+02,-1.595636e+02,-2.097155e+02,-2.755952e+02,-3.463594e+02,-3.915875e+02,-4.455918e+02,-4.732498e+02,-4.855004e+02,-4.985509e+02,-5.022600e+02,-5.026501e+02,-4.999154e+02,-4.991114e+02,-5.015767e+02
7.725617e+01,8.447917e+01,6.317791e+01,6.359070e+01,5.381032e+01,1.947510e+01,8.751452e+00,2.027701e+01,2.504944e+01,2.227088e+01,1.146218e+02,1.092446e+02,8.479793e+01,5.729182e+01,5.608713e+01,6.763382e+01,8.913248e+01,1.091858e+02,1.224522e+02,1.272569e+02,1.290059e+02,1.368063e+02,1.213608e+02,7.369659e+01,4.486893e+01,2.832270e+01,1.009012e+01,4.905294e+00,4.370738e+00,8.222195e+00,9.350054e+00,5.885236e+00
2.863389e+01,2.969091e+01,3.785921e+01,5.547270e+01,4.938480e+01,1.900791e+01,8.565598e+00,1.964899e+01,2.370824e+01,1.841006e+01,-1.220879e+01,-4.387516e+01,-4.772804e+01,-3.204664e+01,-3.900988e+01,-5.977963e+01,-5.543961e+01,-3.773483e+01,-1.437200e+01,5.208622e+00,2.423679e+01,3.703761e+01,4.264328e+01,4.880015e+01,4.184538e+01,2.740305e+01,9.839926e+00,4.828172e+00,4.344658e+00,8.148380e+00,9.249808e+00,5.848422e+00
1.276173e+01,1.447489e+01,2.852858e+01,4.575864e+01,4.290396e+01,1.824585e+01,8.263351e+00,1.862658e+01,2.212815e+01,1.566703e+01,-3.852524e+01,-2.679770e+01,-2.869863e+01,-2.725873e+01,-3.186996e+01,-5.211749e+01,-6.710539e+01,-6.349306e+01,-4.673478e+01,-3.631674e+01,-3.857538e+01,-3.714592e+01,-1.652793e+01,2.801439e+01,3.743234e+01,2.590633e+01,9.448777e+00,4.701779e+00,4.301423e+00,8.026760e+00,9.087852e+00,5.787371e+00
2.347616e+01,2.908077e+01,3.165412e+01,3.683635e+01,3.519488e+01,1.721304e+01,7.854180e+00,1.724500e+01,2.062336e+01,1.578895e+01,-3.046644e+01,-4.747774e+01,-5.328501e+01,-5.218441e+01,-5.914564e+01,-5.763705e+01,-6.606509e+01,-8.000085e+01,-8.820166e+01,-7.983904e+01,-7.037576e+01,-4.684108e+01,-2.263865e+01,1.933221e+01,3.213935e+01,2.388499e+01,8.939663e+00,4.529210e+00,4.241389e+00,7.859317e+00,8.871208e+00,5.702535e+00
2.370136e+01,2.786201e+01,2.707304e+01,2.874102e+01,2.686829e+01,1.594167e+01,7.349137e+00,1.555115e+01,1.899133e+01,1.745654e+01,3.717285e+01,5.185882e+01,6.001018e+01,7.239368e+01,7.451677e+01,7.435012e+01,6.848644e+01,5.281892e+01,4.263364e+01,4.609681e+01,4.606549e+01,9.591314e+00,-1.303304e-01,1.611825e+01,2.631393e+01,2.140927e+01,8.325352e+00,4.314631e+00,4.165030e+00,7.648615e+00,8.608458e+00,5.594549e+00
1.128825e+01,1.019094e+01,1.410142e+01,2.014136e+01,1.840346e+01,1.447061e+01,6.760652e+00,1.360147e+01,1.677769e+01,1.761570e+01,-4.490161e+00,-2.124078e+01,-2.234406e+01,-1.973267e+01,-1.965276e+01,-2.109362e+01,-1.869659e+01,-2.336502e+01,-2.831659e+01,-2.479460e+01,-1.584105e+01,-1.366345e+00,6.333718e+00,9.020840e+00,2.029077e+01,1.856422e+01,7.607910e+00,4.063071e+00,4.072967e+00,7.397601e+00,8.308729e+00,5.464210e+00
8.367478e+00,6.391809e+00,8.116220e+00,1.049404e+01,1.039747e+01,1.284376e+01,6.103258e+00,1.145931e+01,1.380499e+01,1.446828e+01,-2.231030e+01,-9.218567e+00,-4.556971e+00,-7.068971e+00,-1.206464e+01,-1.902004e+01,-2.016975e+01,-2.059099e+01,-2.443177e+01,-2.711888e+01,-2.612126e+01,-1.037032e+01,-5.479732e+00,-1.794059e+00,1.452016e+01,1.544612e+01,6.788368e+00,3.780237e+00,3.965925e+00,7.109438e+00,7.980639e+00,5.312483e+00
1.267978e+01,1.476596e+01,1.052656e+01,1.137634e+00,3.632279e+00,1.110820e+01,5.394174e+00,9.192182e+00,1.043205e+01,9.220022e+00,-3.693574e+00,-1.027311e+00,2.139538e+00,-2.532676e+00,-4.138026e+00,-2.499151e+00,-3.368877e+00,-8.268950e+00,-1.441895e+01,-1.939818e+01,-2.175631e+01,-2.849612e+01,-2.182675e+01,-8.714750e+00,9.429713e+00,1.215845e+01,5.878917e+00,3.472271e+00,3.844755e+00,6.787341e+00,7.631379e+00,5.140484e+00
6.142963e+00,1.033871e+01,8.092712e+00,-5.609981e+00,-1.187660e+00,9.312380e+00,4.652947e+00,6.868894e+00,7.280978e+00,4.921965e+00,1.113776e+01,1.026087e+01,8.968097e+00,1.873579e+00,-2.742377e+00,-2.822737e+00,-4.783636e+00,-6.242410e+00,-1.642004e+01,-1.299307e+01,-1.084789e+01,-1.683816e+01,-1.720541e+01,-7.963370e+00,5.159934e+00,8.807621e+00,4.908103e+00,3.145534e+00,3.710398e+00,6.434460e+00,7.266021e+00,4.949475e+00
