Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.065256e+02,-5.063956e+02,-5.065956e+02,-5.066113e+02,-5.070950e+02,-5.070734e+02,-4.261306e+02,-2.877597e+02,-2.098745e+02,-1.904091e+02,-2.111603e+02,-1.771370e+02,-1.423881e+02,-1.377333e+02,-1.624110e+02,-2.021817e+02,-2.512432e+02,-3.046675e+02,-3.543796e+02,-3.948734e+02,-4.320729e+02,-4.753049e+02,-5.022581e+02,-5.029240e+02,-5.049727e+02,-5.047625e+02
8.030660e-01,9.869366e-01,7.039520e-01,6.817603e-01,0.000000e+00,3.057505e-02,6.919356e+01,9.538213e+01,7.413628e+01,5.482359e+01,3.947012e+01,4.579387e+01,7.640569e+01,1.077446e+02,1.272580e+02,1.333826e+02,1.341452e+02,1.324565e+02,1.346913e+02,1.229340e+02,8.589427e+01,3.957725e+01,6.744184e+00,5.877753e+00,2.989992e+00,3.282496e+00
7.967836e-01,9.805225e-01,6.973094e-01,6.749688e-01,0.000000e+00,3.051287e-02,-1.951453e+00,-2.069562e+01,-4.466418e+01,-5.629210e+01,-3.752362e+01,-5.210074e+01,-6.444414e+01,-4.999310e+01,-2.393528e+01,-2.493949e-02,1.743821e+01,3.516373e+01,4.725510e+01,4.965889e+01,4.344090e+01,2.738554e+01,6.472241e+00,5.814926e+00,2.956002e+00,3.234518e+00
7.863536e-01,9.698715e-01,6.862882e-01,6.637090e-01,0.000000e+00,3.040935e-02,-3.703185e+01,-4.578245e+01,-3.637420e+01,-2.878189e+01,-3.643158e+01,-4.759628e+01,-5.669632e+01,-6.749525e+01,-5.710966e+01,-3.975249e+01,-2.300583e+01,-1.466938e+01,-1.305058e+01,-5.290086e-01,1.287967e+01,1.598710e+01,6.069714e+00,5.710951e+00,2.899728e+00,3.155197e+00
7.718376e-01,9.550462e-01,6.709607e-01,6.480624e-01,0.000000e+00,3.026275e-02,-2.410519e+01,-4.916836e+01,-5.289072e+01,-4.919524e+01,-4.233405e+01,-4.481148e+01,-4.625994e+01,-6.200844e+01,-7.677351e+01,-7.591331e+01,-5.467596e+01,-3.414838e+01,-1.797785e+01,-2.969046e+00,7.934545e+00,8.970173e+00,5.600033e+00,5.566928e+00,2.821710e+00,3.045470e+00
7.533205e-01,9.361171e-01,6.514351e-01,6.281502e-01,0.000000e+00,3.007887e-02,1.350692e-01,3.459834e+01,4.282359e+01,4.927987e+01,5.056352e+01,5.670119e+01,5.851414e+01,5.070087e+01,4.571953e+01,4.929321e+01,5.785548e+01,5.986832e+01,3.502007e+01,1.399562e+01,1.229908e+01,3.778133e+00,5.129910e+00,5.384361e+00,2.722721e+00,2.906646e+00
7.309108e-01,9.131991e-01,6.278371e-01,6.041189e-01,0.000000e+00,2.985236e-02,-1.356590e+01,-3.847544e+01,-4.102934e+01,-3.914165e+01,-3.504623e+01,-2.618813e+01,-1.771753e+01,-1.530499e+01,-2.165125e+01,-2.414870e+01,-1.637123e+01,-3.788855e+00,7.100456e+00,1.073742e+01,5.132966e+00,-2.958613e+00,4.713940e+00,5.165174e+00,2.603714e+00,2.740369e+00
7.047398e-01,8.864144e-01,6.003270e-01,5.761524e-01,0.000000e+00,2.958538e-02,-2.551231e+01,-3.333057e+01,-2.944674e+01,-2.574516e+01,-2.506805e+01,-2.713487e+01,-2.553596e+01,-2.376160e+01,-2.735268e+01,-3.288046e+01,-3.414101e+01,-2.054733e+01,-1.104645e+01,-1.186779e+01,-1.245659e+01,-9.789158e+00,4.382449e+00,4.911650e+00,2.465853e+00,2.548607e+00
6.749631e-01,8.559128e-01,5.690880e-01,5.444512e-01,0.000000e+00,2.927656e-02,-1.520307e+01,-6.555035e+00,-4.604941e+00,-1.306323e+00,4.516866e+00,2.827609e+00,3.691869e+00,1.527514e+00,-4.478076e-01,-5.438341e+00,-1.069726e+01,-1.292994e+01,-2.388546e+01,-2.439810e+01,-2.164555e+01,-1.161341e+01,4.135577e+00,4.626425e+00,2.310462e+00,2.333612e+00
6.417465e-01,8.218521e-01,5.343336e-01,5.092740e-01,0.000000e+00,2.893157e-02,7.593379e+00,3.096066e+00,-5.816505e+00,-5.170234e+00,-3.229649e-01,-1.074658e+01,-1.276451e+01,-1.596865e+01,-2.274322e+01,-2.298371e+01,-1.822074e+01,-5.177032e+00,-6.590536e+00,-1.032420e+01,-1.174798e+01,-6.025600e+00,3.944959e+00,4.312433e+00,2.139050e+00,2.097911e+00
