Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.250816e+02,-4.058746e+02,-3.816579e+02,-2.413063e+02,-9.375761e+01,-2.374885e+01,-5.737523e+00,-5.443102e+00,-1.501520e+01,-4.534855e+01,-7.562604e+01,-9.704502e+01,-9.759751e+01,-7.395371e+01,-3.729588e+01,2.974671e-01,-1.606096e+00,-4.188757e+01,-9.683156e+01,-1.334591e+02,-1.838562e+02,-2.486644e+02,-3.169537e+02,-3.731078e+02,-3.930137e+02,-3.879281e+02,-3.853000e+02,-3.937914e+02,-4.031632e+02,-4.016064e+02,-4.131137e+02
6.091670e+01,7.431208e+01,9.399391e+01,1.387400e+02,1.248783e+02,1.059976e+02,9.435516e+01,8.814139e+01,8.547014e+01,8.932610e+01,8.886898e+01,8.668913e+01,8.065517e+01,8.302263e+01,8.077544e+01,7.337485e+01,6.481927e+01,7.520673e+01,9.698222e+01,1.114066e+02,1.285044e+02,1.395112e+02,1.250265e+02,9.832568e+01,8.187148e+01,8.368520e+01,8.352725e+01,8.045770e+01,7.680817e+01,7.715459e+01,6.806512e+01
1.565592e+01,1.307210e+01,8.723024e+00,-2.329514e+01,-4.026527e+01,-5.245414e+01,-5.882586e+01,-5.831178e+01,-4.615667e+01,-3.289081e+01,-1.940554e+01,-2.486284e+00,-4.463708e+00,-2.779919e+01,-4.876807e+01,-5.937856e+01,-6.326326e+01,-5.637753e+01,-4.662222e+01,-4.856915e+01,-4.260840e+01,-2.798652e+01,-5.689754e+00,9.952578e+00,8.326912e+00,5.683654e+00,4.375527e+00,7.066859e+00,1.169791e+01,1.069665e+01,1.141828e+01
-3.470309e+00,-3.952045e+00,-1.633223e+01,-4.098217e+01,-3.006434e+01,-3.113119e+01,-3.007647e+01,-2.653125e+01,-1.787352e+01,-1.086077e+01,-8.911512e+00,-4.259299e+00,3.989671e+00,1.436100e+01,1.385877e+01,1.074369e+01,2.228572e+01,2.331969e+01,2.047174e+01,1.653886e+01,8.316761e+00,4.053632e+00,-4.648963e+00,-3.395987e+00,-2.639468e+00,-5.767758e-01,3.337955e+00,7.861276e-01,-4.129681e+00,-3.435133e+00,-2.192440e+00
4.454206e+00,8.114007e+00,-4.304459e+00,-1.493214e+01,-1.534979e+01,-1.570494e+01,-8.570560e+00,4.444854e+00,4.883268e+00,7.654592e+00,1.644455e+01,2.230547e+01,2.807608e+01,2.726565e+01,2.018065e+01,9.093452e+00,2.489587e+00,-4.049825e+00,-4.480703e-01,1.028736e+01,1.745022e+01,1.778562e+01,1.195458e+01,7.079314e+00,9.023876e+00,1.565009e+01,2.510864e+01,2.071517e+01,1.023582e+01,1.054015e+01,9.469439e+00
1.454733e+01,1.380450e+01,9.176815e-01,-5.354367e-01,1.298953e+01,1.526721e+01,2.369513e+01,2.966011e+01,1.964050e+01,1.498575e+01,8.134211e+00,-5.023820e-01,-3.201418e+00,-1.044241e+01,-1.363974e+01,-5.486948e+00,-1.485775e+00,8.628647e+00,6.691880e+00,3.840678e+00,-1.112300e+00,-7.147752e+00,-3.065012e+00,-4.868054e+00,-6.723747e-02,3.228606e+00,1.044330e+01,1.369258e+01,1.254168e+01,1.074878e+01,1.000847e+01
1.164489e+01,4.331407e+00,7.814829e-01,-2.065516e+01,-3.413444e+01,-3.099694e+01,-2.283850e+01,-1.999685e+01,-2.662992e+01,-2.778305e+01,-2.011322e+01,-2.014809e+01,-1.937353e+01,-1.988636e+01,-2.228226e+01,-2.889618e+01,-3.283072e+01,-3.067765e+01,-2.573457e+01,-2.456282e+01,-1.643928e+01,-5.915183e+00,-1.131144e+01,-1.551407e+01,-5.709576e+00,-4.850357e+00,5.733173e-01,2.596035e+00,5.480161e+00,6.076210e+00,5.659136e+00
3.982463e+00,-4.626806e-01,5.247730e+00,1.172974e+01,1.493868e+01,1.858270e+01,2.147789e+01,1.850766e+01,1.314264e+01,2.722757e+00,-4.898703e+00,-1.441933e+00,-8.645460e-03,1.194685e+00,3.682729e+00,-2.804849e+00,-8.191542e+00,-9.060562e+00,-1.206665e+01,-2.570904e+01,-3.345525e+01,-3.449483e+01,-2.411816e+01,-1.582714e+01,8.393440e-01,5.305918e+00,6.989511e+00,5.386490e+00,2.254629e+00,6.118733e+00,5.446642e+00
-4.634876e-01,2.466547e+00,5.832106e+00,-5.431733e+00,-1.654236e+01,-1.765108e+01,-1.516325e+01,-1.844598e+01,-2.118207e+01,-1.817378e+01,-1.058152e+01,-6.204424e+00,-7.187217e+00,-7.846232e+00,-1.342997e+01,-2.765840e+01,-2.804912e+01,-1.875302e+01,-1.666248e+01,-1.465994e+01,-9.348171e+00,-1.051501e+01,-1.396080e+01,-1.282763e+01,1.679856e+00,4.765219e+00,4.622185e+00,5.043835e+00,3.243519e+00,4.305655e+00,2.013296e+00
-2.137363e+00,3.806686e-01,6.708597e-02,-1.326633e+01,-1.550408e+01,-1.421709e+01,-8.200269e+00,-8.085082e+00,-1.063701e+01,-7.315322e+00,-6.847260e+00,-1.037737e+01,-7.435476e+00,-9.080876e+00,-1.457222e+01,-2.166860e+01,-1.812871e+01,-8.350101e+00,-1.067019e+00,-3.430707e+00,-7.781998e+00,-1.391915e+01,-1.247899e+01,-5.016768e+00,-5.622320e-01,-8.523055e+00,-7.803450e+00,-1.271945e+00,4.481426e+00,3.174782e+00,-1.524171e+00
