Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.125005e+02,-4.926009e+02,-4.931368e+02,-4.925257e+02,-4.928052e+02,-4.950015e+02,-4.882081e+02,-4.643706e+02,-2.679610e+02,-1.200391e+02,-3.750298e+01,-1.732302e+01,-3.796394e+01,-7.985536e+01,-9.431222e+01,-1.054008e+02,-1.351387e+02,-1.854909e+02,-2.514455e+02,-3.334725e+02,-4.129689e+02,-4.568315e+02,-4.764563e+02,-4.875604e+02,-4.893252e+02,-4.880576e+02,-4.869704e+02,-4.914966e+02,-4.933794e+02,-5.009870e+02
7.189963e+01,8.259117e+01,8.469253e+01,8.826691e+01,8.707387e+01,8.077502e+01,8.487268e+01,9.141664e+01,8.916537e+01,8.064099e+01,5.860235e+01,3.982885e+01,3.541657e+01,4.610994e+01,5.633142e+01,7.134245e+01,1.031637e+02,1.308003e+02,1.469063e+02,1.503055e+02,1.318540e+02,1.123858e+02,9.831351e+01,8.627803e+01,8.533151e+01,8.827773e+01,8.669495e+01,8.116664e+01,8.127292e+01,7.759685e+01
1.015918e+01,4.932083e+00,6.269197e+00,9.630299e+00,9.110237e+00,2.023126e+00,-1.076916e+00,-9.390196e+00,-4.707721e+01,-6.939128e+01,-7.814040e+01,-7.981485e+01,-7.232715e+01,-5.027213e+01,-4.101370e+01,-4.258131e+01,-4.537827e+01,-4.048390e+01,-2.707960e+01,-1.156999e+01,3.607014e+00,1.305072e+01,1.092104e+01,1.510982e+00,5.131429e+00,6.422157e+00,2.173278e+00,1.377881e-01,4.469789e+00,6.859010e+00
-1.505802e+00,-2.401606e-01,-4.976273e+00,-6.206810e+00,-4.880447e+00,-6.752180e+00,-8.656548e+00,-1.601234e+01,-3.801585e+01,-2.484916e+01,-1.808669e+01,-1.327131e+01,-1.702156e+01,-2.245260e+01,-2.262306e+01,-7.187926e+00,4.922112e+00,1.166641e+01,1.319134e+01,3.011506e+01,3.212305e+01,1.524748e+01,4.923247e+00,-5.031269e+00,1.423348e+00,-1.829744e+00,-4.672638e+00,-3.258493e+00,7.211151e-01,-6.376914e-01
1.619679e+01,1.547102e+01,1.092007e+01,1.043165e+01,1.327349e+01,1.264483e+01,1.265546e+01,8.118904e+00,-2.288431e+01,-2.565917e+01,-2.593508e+01,-1.714189e+01,-1.160252e+01,-4.647018e+00,-9.202808e+00,-8.004253e+00,-4.007903e+00,4.152252e+00,2.602966e+01,5.241560e+01,5.299049e+01,3.397754e+01,2.233703e+01,1.752162e+01,2.084523e+01,1.728419e+01,1.591041e+01,1.643302e+01,1.707772e+01,1.581935e+01
1.623208e+01,1.178142e+01,1.028903e+01,1.081504e+01,1.501888e+01,1.516596e+01,1.232055e+01,2.020431e+01,4.213203e+01,4.644793e+01,4.832325e+01,5.065580e+01,5.311611e+01,5.293264e+01,3.781876e+01,2.173683e+01,1.989757e+01,1.660556e+01,4.143097e+00,-8.106170e-01,1.484348e+01,2.075977e+01,1.694019e+01,1.670552e+01,1.673600e+01,1.531387e+01,1.684852e+01,1.403688e+01,1.263472e+01,1.456772e+01
2.291252e+00,7.470417e+00,6.864209e+00,5.006574e+00,5.315031e+00,1.069482e+01,8.605402e+00,5.919821e+00,-4.284962e+01,-5.236029e+01,-5.395573e+01,-5.437785e+01,-5.085595e+01,-4.752149e+01,-5.441048e+01,-5.612177e+01,-4.164999e+01,-2.744263e+01,-2.212703e+01,-1.243920e+01,1.188707e+01,1.581357e+01,1.118123e+01,9.047895e+00,9.114064e+00,8.873228e+00,1.279246e+01,7.861093e+00,6.791809e+00,7.351308e+00
-2.321113e+00,3.469689e+00,3.549699e+00,3.392474e+00,1.358676e+00,5.196091e+00,5.836452e+00,1.285052e+01,4.611318e+01,4.828654e+01,4.870488e+01,4.705311e+01,4.640061e+01,4.662249e+01,4.531628e+01,4.329610e+01,4.380769e+01,3.938105e+01,3.667975e+01,2.997539e+01,2.325360e+01,1.342656e+01,7.127430e+00,5.206602e+00,5.769046e+00,6.123694e+00,7.487935e+00,3.924122e+00,6.496168e+00,6.026989e+00
2.183590e+00,-4.860180e-01,-3.326568e+00,-1.939651e+00,2.619843e+00,3.621791e-01,-5.212806e-01,9.619141e+00,7.094338e+00,-9.783717e+00,-1.455463e+01,-1.270036e+01,-7.494229e+00,-7.493546e+00,-9.184162e+00,-9.415258e+00,-1.578679e+01,-2.007560e+01,-8.218872e+00,-9.933332e-01,-5.517898e+00,-2.529869e+00,-2.245184e+00,4.368669e-02,3.276852e+00,4.128281e+00,1.567382e+00,2.362899e+00,6.028050e+00,5.962396e+00
1.062614e+00,-7.845192e-01,-5.624101e+00,-7.443272e+00,-2.052104e+00,-2.404921e+00,-2.171592e+00,-1.379853e+01,-2.026782e+01,-2.018420e+01,-1.955635e+01,-1.961178e+01,-2.103821e+01,-1.693115e+01,1.373414e+00,5.046200e+00,-2.084666e+00,-1.226906e+01,-6.442796e+00,-1.232276e+01,-2.499114e+01,-1.243893e+01,-9.547651e+00,-4.335856e+00,1.355093e+00,2.777337e+00,-3.657544e-01,2.821753e+00,-2.549458e-02,-2.337955e+00
