Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.116862e+02,-4.915183e+02,-4.899311e+02,-4.894338e+02,-4.873572e+02,-4.066628e+02,-1.788862e+02,-5.493044e+01,-1.006080e+01,-1.886081e+01,-6.336499e+01,-7.465224e+01,-7.568823e+01,-9.557394e+01,-1.447385e+02,-2.221777e+02,-2.887222e+02,-3.620120e+02,-4.314483e+02,-4.667082e+02,-4.812038e+02,-4.789623e+02,-4.792947e+02,-4.828080e+02,-4.853540e+02,-4.879086e+02,-4.895714e+02
6.342120e+01,7.791807e+01,7.670668e+01,7.633261e+01,7.889967e+01,9.633363e+01,1.005610e+02,8.487529e+01,6.951402e+01,5.783397e+01,6.132934e+01,5.870090e+01,6.545306e+01,9.468800e+01,1.253691e+02,1.518448e+02,1.626373e+02,1.504924e+02,1.259413e+02,1.011362e+02,8.735488e+01,8.734577e+01,8.644627e+01,8.267690e+01,8.025733e+01,8.180792e+01,8.048611e+01
1.438772e+01,1.289757e+01,9.224400e+00,7.811956e+00,8.167932e+00,-3.040175e+01,-5.296961e+01,-6.706958e+01,-8.046608e+01,-7.943700e+01,-5.373780e+01,-4.400573e+01,-5.034425e+01,-4.862611e+01,-4.429623e+01,-3.777258e+01,-3.539991e+01,-2.385048e+01,9.437643e+00,1.702476e+01,1.213676e+01,8.950588e+00,8.937768e+00,8.373394e+00,9.337529e+00,1.224478e+01,1.041896e+01
5.562384e+00,4.220465e+00,2.587142e+00,2.373781e+00,2.372171e+00,-2.651617e+01,-3.329189e+01,-2.746213e+01,-2.421837e+01,-8.133797e+00,1.613845e+00,7.005116e-01,-8.197972e-01,-3.062402e+00,-5.732947e+00,-1.362463e+00,-1.288137e+01,-1.358086e+01,6.975082e-01,4.268241e+00,-6.930773e-01,-8.704231e-01,1.449489e+00,3.285059e+00,5.279478e+00,8.699991e-01,-3.084674e+00
1.877504e+01,1.655976e+01,1.412878e+01,1.622093e+01,1.960400e+01,1.564284e+01,-1.502409e+01,-2.536780e+01,-2.391930e+01,-1.735432e+01,-1.177715e+01,-1.673606e+01,-2.799249e+01,-2.456610e+01,-1.782380e+01,-2.229837e+00,1.715436e+01,3.553305e+01,3.583738e+01,2.519862e+01,1.650300e+01,1.729629e+01,1.855667e+01,2.001691e+01,1.783096e+01,1.481080e+01,1.328029e+01
1.639063e+01,1.369383e+01,1.087403e+01,1.545475e+01,1.838940e+01,2.216787e+01,3.431197e+01,4.838933e+01,5.892653e+01,7.117981e+01,7.923026e+01,7.535245e+01,6.112632e+01,5.590972e+01,5.056872e+01,3.795293e+01,3.099963e+01,2.998117e+01,3.358838e+01,2.802242e+01,1.983280e+01,1.569941e+01,1.276089e+01,1.347018e+01,9.602758e+00,1.227972e+01,1.394755e+01
4.057520e+00,6.520684e+00,8.190551e+00,1.341642e+01,1.237464e+01,-1.007516e+01,-5.302914e+01,-5.915337e+01,-5.743900e+01,-5.333624e+01,-5.167568e+01,-4.676923e+01,-5.244165e+01,-4.658694e+01,-3.456121e+01,-2.185889e+01,-1.375207e+01,-2.371710e+00,9.017365e+00,1.668175e+01,1.440420e+01,1.022063e+01,6.636706e+00,7.136590e+00,7.334210e+00,9.499890e+00,7.750671e+00
5.711278e-01,3.236201e+00,7.461740e+00,9.525454e+00,7.157817e+00,1.845103e+01,4.298426e+01,4.994873e+01,4.905988e+01,4.788387e+01,4.172952e+01,3.944328e+01,3.209796e+01,2.816877e+01,2.089073e+01,7.298429e+00,1.131980e+00,-6.436090e+00,-2.674371e+00,6.724157e+00,6.479022e+00,5.689837e+00,5.681550e+00,5.601172e+00,8.313433e+00,1.396449e+01,9.356148e+00
2.984903e+00,2.657659e+00,4.260137e+00,4.645892e+00,3.388277e+00,1.682673e+01,-1.770090e+00,-6.975552e+00,-9.610823e+00,-1.182610e+01,-1.431377e+01,-1.051751e+01,-5.018163e-01,3.655779e-01,1.414170e+00,6.155456e+00,1.083063e+01,5.690022e+00,3.250252e+00,4.741878e+00,-1.523705e+00,-2.447261e+00,-1.052858e+00,-1.242359e+00,7.304072e-01,9.480935e+00,9.660747e+00
1.485348e+00,1.310992e+00,-2.314220e-02,1.381684e+00,2.523107e+00,-1.190213e+01,-1.438374e+01,-1.219016e+01,-1.257902e+01,-1.337372e+01,-1.193987e+01,-1.552311e+01,-7.454397e+00,-6.089902e+00,-6.468103e+00,-8.633793e+00,-7.192419e+00,9.188182e-01,2.049937e+00,2.331581e+00,-4.711146e+00,-2.078182e+00,-1.994072e+00,-2.962237e+00,-2.057883e+00,-4.029065e+00,-4.380751e-02
