Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.218436e+02,-4.507277e+02,-3.734122e+02,-3.319370e+02,-3.181060e+02,-3.307771e+02,-3.591649e+02,-4.066696e+02,-4.666756e+02,-4.948691e+02,-2.951800e+02,-1.365510e+02,-8.816912e+01,-1.016758e+02,-1.266825e+02,-1.707418e+02,-2.151860e+02,-2.140295e+02,-2.106229e+02,-2.163229e+02,-2.353838e+02,-2.786562e+02,-3.134107e+02,-3.536268e+02,-4.080847e+02,-4.616458e+02,-4.837419e+02,-4.896581e+02,-4.993062e+02,-5.035882e+02,-5.072504e+02,-5.191397e+02
5.029288e+01,7.177480e+01,8.983652e+01,8.614873e+01,7.541051e+01,7.315053e+01,8.525601e+01,9.355354e+01,8.555612e+01,7.458904e+01,1.064009e+02,9.603912e+01,8.433449e+01,7.671743e+01,1.080780e+02,1.340963e+02,1.334283e+02,1.310981e+02,1.299128e+02,1.338893e+02,1.389028e+02,1.412916e+02,1.366130e+02,1.250975e+02,1.158451e+02,9.816556e+01,8.551251e+01,8.041428e+01,7.227296e+01,6.765965e+01,6.492931e+01,5.688998e+01
7.961008e+00,-2.733233e+01,-3.243374e+01,-3.363373e+01,-3.981509e+01,-3.936197e+01,-3.753216e+01,-3.104235e+01,-8.699427e+00,5.061246e+00,-6.771439e+01,-9.531102e+01,-1.035012e+02,-9.604527e+01,-7.856928e+01,-6.837392e+01,-5.683267e+01,-5.596585e+01,-5.536256e+01,-4.631396e+01,-4.140515e+01,-2.486290e+01,-2.701535e+00,1.474727e+01,2.207100e+01,1.990929e+01,1.647287e+01,1.327790e+01,7.255083e+00,3.897276e+00,7.043379e+00,1.033029e+01
4.482317e+00,7.960445e+00,2.302448e+01,2.723652e+01,2.549094e+01,2.373073e+01,1.319946e+01,8.617872e-01,-1.034750e+01,-8.653049e+00,-1.519756e+01,-1.157528e+01,-2.164132e+00,6.788282e+00,3.096246e+00,7.723124e+00,1.623305e+01,2.268893e+01,2.352654e+01,2.681441e+01,2.848824e+01,2.146333e+01,1.998377e+01,3.056530e+01,3.257915e+01,1.827326e+01,8.184583e+00,2.940638e+00,-5.975251e+00,-1.006967e+01,-4.428352e+00,-3.206915e+00
1.328450e+01,9.967592e+00,9.326214e+00,1.711024e+01,2.052873e+01,1.746608e+01,8.674532e+00,8.416535e+00,1.334797e+01,1.188725e+01,-1.116584e+01,-2.063270e+01,-1.727806e+01,-8.048477e+00,-1.538936e+01,-1.701855e+01,-6.490161e+00,-7.205385e+00,-5.368083e+00,2.092631e+00,5.965705e+00,1.478993e+01,2.200124e+01,2.405245e+01,2.479261e+01,2.470259e+01,1.950146e+01,1.523355e+01,1.581901e+01,1.224368e+01,1.187585e+01,7.114886e+00
1.440649e+01,3.871078e-01,3.016975e+00,1.132919e+01,1.706603e+01,2.419941e+01,2.171596e+01,1.895892e+01,1.672663e+01,1.849835e+01,1.051790e+01,2.497210e+01,3.196690e+01,3.487724e+01,2.123305e+01,1.796876e+01,2.847868e+01,2.279189e+01,1.782916e+01,1.854655e+01,1.950431e+01,2.205889e+01,1.718452e+01,1.931044e+01,1.519643e+01,1.670461e+01,1.772475e+01,1.540136e+01,2.510119e+01,2.321157e+01,1.649634e+01,1.296926e+01
1.107216e+01,9.452145e+00,-6.849070e-01,-6.405301e+00,-7.393991e+00,-7.335435e+00,-8.400993e+00,-2.303932e+00,3.523426e+00,4.717248e+00,-3.090380e+01,-4.077320e+01,-4.019481e+01,-3.824888e+01,-3.733766e+01,-2.169764e+01,-6.927392e+00,-1.082987e+01,-2.237384e+01,-2.472608e+01,-2.012974e+01,-1.054039e+01,-5.421670e+00,-4.169258e+00,6.478337e+00,1.298455e+01,1.100789e+01,1.107852e+01,1.594984e+01,1.410000e+01,9.400900e+00,9.739210e+00
4.752516e+00,1.430639e+00,4.589661e+00,1.011577e+01,1.485880e+01,1.592143e+01,6.233673e+00,-5.581739e+00,-8.394732e+00,-9.362397e+00,1.404248e+01,1.971627e+01,2.054606e+01,1.567202e+01,6.828198e+00,-2.712204e+00,-9.225767e+00,-1.500373e+01,-2.568343e+01,-3.293395e+01,-3.094418e+01,-3.281144e+01,-2.718698e+01,-2.219685e+01,-7.214263e+00,-4.653208e-01,1.825387e+00,4.646979e+00,5.118005e+00,2.857819e+00,1.591579e+00,2.235261e+00
1.136196e-01,4.581847e+00,6.894678e+00,3.741470e+00,3.615592e+00,1.015009e+01,1.124718e+01,1.048459e+01,-4.083987e+00,-8.094923e+00,3.870423e+01,3.238612e+01,2.844925e+01,2.272571e+01,1.751072e+01,1.390323e+01,5.573645e+00,1.414407e+00,1.979091e+00,-4.370907e-01,-3.051504e-02,1.632113e+00,-3.780129e+00,-1.143353e+01,-1.088000e+01,-6.716286e+00,-1.023507e+00,-3.925681e-01,6.611525e-01,-7.415234e-01,-4.739814e+00,-6.301998e+00
-6.630088e+00,-4.686283e+00,-1.154516e+00,-3.643896e+00,-8.229776e+00,-8.185435e+00,-8.464099e+00,-9.945490e+00,-6.971174e+00,-2.989022e+00,-1.449632e+01,-1.257488e+01,-1.302973e+01,-1.172643e+01,-2.373402e+00,4.583601e+00,4.214455e-01,-3.857762e+00,-5.092279e+00,-9.158254e+00,-8.611452e+00,-8.298074e+00,-9.302561e+00,-1.321055e+01,-1.443639e+01,-7.962205e+00,-9.337601e-01,-2.318468e+00,-2.338412e+00,-3.091219e+00,-8.568317e+00,-1.086680e+01
-1.018612e+01,-1.855189e+01,-2.334613e+01,-1.822129e+01,-1.621177e+01,-1.475588e+01,-4.038641e-01,-4.068520e+00,-1.337027e+01,-7.340102e+00,-1.420496e+01,-2.087141e+01,-2.097380e+01,-1.771890e+01,-1.894303e+01,-2.356256e+01,-2.257759e+01,-2.069275e+01,-2.167922e+01,-1.799758e+01,-1.557955e+01,-1.612312e+01,-1.838895e+01,-1.825127e+01,-2.143407e+01,-1.767036e+01,-9.664856e+00,-8.294500e+00,-7.929107e+00,-8.882118e+00,-8.840543e+00,-9.063848e+00
