Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02,-5.707482e+02,-5.608435e+02,-4.559995e+02,-2.582654e+02,-1.979215e+02,-1.985629e+02,-1.724859e+02,-1.834955e+02,-2.485829e+02,-3.005471e+02,-3.500215e+02,-3.944725e+02,-4.201549e+02,-4.516511e+02,-4.634812e+02,-4.783026e+02,-5.115564e+02,-5.386498e+02,-5.592590e+02,-5.698415e+02,-5.714481e+02,-5.714481e+02,-5.714481e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.724825e-01,1.473443e+01,9.997800e+01,1.828049e+02,1.815450e+02,1.616185e+02,1.702168e+02,1.989694e+02,2.263627e+02,2.019806e+02,1.822730e+02,1.592886e+02,1.450107e+02,1.248414e+02,1.133007e+02,1.023811e+02,7.481852e+01,4.372041e+01,1.670079e+01,2.231411e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.215995e-01,1.396629e+01,-1.523979e+00,-6.620025e+01,-8.802574e+01,-1.010289e+02,-1.001441e+02,-8.380167e+01,-6.433852e+01,-3.822630e+01,-1.173447e+01,1.249357e+01,2.557655e+01,3.921408e+01,3.885549e+01,4.489326e+01,5.194830e+01,3.667130e+01,1.514907e+01,2.111112e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.388840e-01,1.274984e+01,-5.331498e+01,-6.281680e+01,-4.458059e+01,-3.937670e+01,-6.111032e+01,-7.391676e+01,-7.144366e+01,-5.407587e+01,-4.324546e+01,-2.780822e+01,-2.005690e+01,-6.857944e+00,7.503462e-01,1.038477e+01,2.948068e+01,2.736516e+01,1.275278e+01,1.915665e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.273940e-01,1.117260e+01,-3.264588e+01,-3.605576e+01,-4.616356e+01,-4.857616e+01,-4.200939e+01,-4.111765e+01,-2.787793e+01,-9.551729e+00,6.258736e+00,8.742417e+00,4.236518e+00,2.939136e+00,8.920835e+00,9.072964e+00,1.482268e+01,1.772961e+01,9.766169e+00,1.652453e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.912324e-01,9.342056e+00,9.272529e+00,4.326838e-01,4.644866e+00,6.313083e+00,-1.447291e+00,-7.896250e+00,-1.936985e+01,-6.742666e-01,1.917611e+01,2.874275e+01,2.583408e+01,2.168726e+01,1.880050e+01,1.242881e+01,5.333310e+00,8.707755e+00,6.489508e+00,1.331381e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.354121e-01,7.373552e+00,2.274100e+00,-1.617955e+01,-1.468781e+01,-7.164143e+00,6.216376e-01,2.349632e+00,1.528303e+01,1.381038e+01,9.244627e+00,1.608271e+01,1.573066e+01,1.297732e+01,4.632510e+00,1.448142e+00,-4.366345e+00,5.905858e-01,3.225710e+00,9.645017e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.656446e-01,5.378093e+00,-7.040882e+00,-6.560111e+00,-9.250577e+00,-9.627544e+00,-1.020098e+01,-9.812144e+00,-3.998568e+00,-5.340783e+00,-1.117126e+01,-1.239759e+01,-1.210735e+01,-1.343553e+01,-1.628842e+01,-1.454848e+01,-1.439106e+01,-6.232431e+00,2.392481e-01,5.655238e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.813491e-02,3.452015e+00,-6.196025e+00,-1.832029e+01,-1.202646e+01,-1.359478e+01,-2.467446e+01,-3.329742e+01,-3.481362e+01,-2.969991e+01,-3.243158e+01,-3.661520e+01,-3.443338e+01,-3.109069e+01,-2.421800e+01,-2.192467e+01,-2.041160e+01,-1.106696e+01,-2.275801e+00,1.492780e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.067377e-02,1.669801e+00,4.204488e+00,2.875776e+00,3.281199e+00,6.792009e-02,2.388029e-01,-6.558985e+00,-1.096560e+01,-1.756406e+01,-2.966672e+01,-3.615241e+01,-3.595984e+01,-3.175589e+01,-2.329288e+01,-2.129183e+01,-2.029127e+01,-1.340095e+01,-4.213562e+00,-2.688597e-01,0.000000e+00,0.000000e+00,0.000000e+00
