Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.118617e+02,-4.907554e+02,-4.848614e+02,-4.669408e+02,-4.557362e+02,-4.712775e+02,-5.049188e+02,-5.128125e+02,-5.100039e+02,-2.617300e+02,-1.068386e+02,-3.335941e+01,-1.349924e+01,-2.887229e+01,-7.305886e+01,-1.372263e+02,-1.914323e+02,-2.033233e+02,-1.994719e+02,-2.045263e+02,-2.234370e+02,-2.675365e+02,-3.248785e+02,-3.910167e+02,-4.404276e+02,-4.734800e+02,-4.930615e+02,-5.083227e+02,-5.233268e+02,-5.311818e+02,-5.271454e+02,-5.288693e+02,-5.318674e+02,-5.333386e+02,-5.260950e+02,-5.336349e+02
6.959421e+01,8.287453e+01,7.466081e+01,6.972993e+01,7.349496e+01,7.726699e+01,7.360239e+01,7.238604e+01,7.362498e+01,9.339317e+01,8.233080e+01,6.425230e+01,5.738689e+01,5.346277e+01,6.417822e+01,9.063435e+01,9.671751e+01,9.155740e+01,8.829613e+01,9.837148e+01,1.150796e+02,1.224700e+02,1.337643e+02,1.380316e+02,1.337831e+02,1.187299e+02,1.012832e+02,8.461128e+01,6.643178e+01,6.020723e+01,6.313895e+01,5.950165e+01,5.616245e+01,5.648129e+01,6.211482e+01,5.747145e+01
3.167764e+00,-1.409348e+00,-1.207424e+01,-1.726729e+01,-1.034369e+01,-6.249503e+00,1.151161e+00,4.905464e+00,1.129476e+00,-7.414777e+01,-8.806637e+01,-1.065828e+02,-1.200143e+02,-1.212477e+02,-1.037564e+02,-7.943729e+01,-5.962401e+01,-5.646284e+01,-6.182733e+01,-6.405035e+01,-6.110934e+01,-5.513077e+01,-3.608490e+01,8.173406e-03,3.172369e+01,4.314764e+01,3.782256e+01,2.748676e+01,1.511315e+01,1.489866e+01,1.473500e+01,1.250598e+01,1.134551e+01,1.552134e+01,1.443665e+01,1.641684e+01
-9.099264e+00,-1.006060e+01,-3.820878e+00,-6.288541e+00,-4.739234e+00,-9.322660e+00,-8.540909e+00,-1.642105e+01,-2.031850e+01,-2.085830e+01,-1.417288e+01,-1.120175e+01,-1.114979e+01,-6.102614e+00,1.177711e+00,5.633057e+00,1.549304e+01,1.771440e+01,2.815228e+01,3.213285e+01,3.280844e+01,3.343484e+01,3.932330e+01,3.710677e+01,3.354258e+01,2.629192e+01,1.932310e+01,1.066086e+01,1.104363e+00,-1.289881e+00,-1.332652e+00,2.925021e-01,-5.852805e-01,3.468534e+00,4.055222e+00,4.560621e+00
1.024306e+01,1.290693e+01,1.663080e+01,1.625419e+01,1.577133e+01,1.571448e+01,1.254459e+01,2.840108e+00,2.536848e+00,1.541118e+00,-5.119532e+00,-6.190736e+00,-8.165126e+00,-7.172832e+00,-1.704787e+01,-1.531153e+01,-1.140686e+01,-1.296283e+01,-6.586133e+00,7.626713e+00,1.690769e+01,2.534474e+01,3.501082e+01,4.687685e+01,5.069232e+01,4.019494e+01,3.347771e+01,2.541521e+01,1.465812e+01,7.961084e+00,1.118051e+01,1.273857e+01,8.890738e+00,9.324609e+00,1.436067e+01,1.359094e+01
8.002554e+00,7.247332e+00,6.332374e+00,1.269620e+01,1.826475e+01,1.800725e+01,1.548094e+01,1.911019e+01,1.699566e+01,1.108983e+01,1.798724e+01,2.389115e+01,2.998909e+01,3.744370e+01,3.743266e+01,4.008893e+01,3.997714e+01,3.786958e+01,4.053759e+01,4.550970e+01,4.779978e+01,5.125727e+01,4.031395e+01,2.781731e+01,2.726664e+01,3.441541e+01,3.714773e+01,2.940342e+01,1.898587e+01,1.438121e+01,2.110790e+01,2.108616e+01,1.823760e+01,1.806727e+01,1.915852e+01,1.938130e+01
-4.631670e+00,-1.760283e+00,-6.912603e-01,1.444840e+00,2.932251e+00,1.599655e+00,4.969257e+00,1.751654e+01,1.205301e+01,-3.385160e+01,-4.399139e+01,-4.775031e+01,-4.658949e+01,-4.172301e+01,-3.665356e+01,-2.538798e+01,-1.818826e+01,-1.269499e+01,-1.339648e+01,-1.831059e+01,-1.862301e+01,-9.549383e+00,-2.575740e+00,-8.557872e-01,-1.441491e+00,1.447505e+01,2.089877e+01,1.535532e+01,1.075051e+01,1.182693e+01,1.422027e+01,1.236819e+01,1.630819e+01,1.891557e+01,1.398131e+01,1.381985e+01
6.235607e-02,5.240092e+00,6.845385e+00,7.105100e+00,6.475844e+00,7.384234e+00,3.387550e+00,9.381010e+00,7.514556e+00,-9.146965e+00,9.889879e-01,2.190677e+00,7.195772e+00,1.309084e+01,1.032228e+01,5.090031e-01,-1.184384e+01,-1.165005e+01,-8.638699e+00,-1.582930e+01,-3.261119e+01,-4.407819e+01,-4.120271e+01,-2.209585e+01,-5.588281e+00,6.060461e+00,5.754535e+00,3.507998e+00,4.179602e+00,6.459932e+00,3.569411e+00,1.193461e+00,7.462944e+00,9.033748e+00,3.149861e+00,2.608146e+00
1.171081e+01,1.128948e+01,9.919832e+00,9.195889e+00,8.169714e+00,8.323520e+00,6.986456e+00,3.176609e+00,4.620357e+00,2.043921e+01,1.559616e+01,1.399518e+01,1.793436e+01,1.905565e+01,8.914991e+00,-1.627005e+00,-6.580492e+00,-4.595871e+00,1.569906e+00,3.779927e+00,4.584268e+00,4.379742e+00,3.645610e+00,3.105909e-01,2.539748e+00,4.213842e+00,1.260658e+00,-8.312673e-02,-3.401178e-01,-1.643499e+00,-2.264464e+00,2.187383e+00,4.868768e+00,2.652571e+00,-3.143510e+00,-3.124079e+00
5.946276e+00,1.074663e+00,3.024765e+00,3.366707e+00,2.874643e-01,-1.229296e+00,9.226733e-01,-4.455033e+00,-5.073383e+00,5.121626e+00,9.182814e+00,1.270230e+01,1.407472e+01,9.843087e+00,1.772510e+00,6.520859e-01,6.822185e+00,8.568855e+00,7.749238e+00,2.407693e+00,-2.844331e+00,-1.193852e+01,-1.854174e+01,-1.814662e+01,-1.499490e+01,-8.411951e+00,-5.461544e+00,-6.097984e+00,-7.081030e+00,-8.794424e+00,-8.256116e+00,2.169895e+00,8.001615e-01,-2.648760e+00,-6.635807e+00,-5.107899e+00
-6.445270e+00,-9.831066e+00,-6.372529e+00,-4.062107e+00,-7.516284e+00,-7.685969e+00,-1.040582e+01,-1.170970e+01,-1.277824e+01,-3.260779e+01,-3.911014e+01,-3.814902e+01,-3.857594e+01,-4.348536e+01,-4.819777e+01,-4.732519e+01,-4.213839e+01,-4.440415e+01,-5.017501e+01,-5.545519e+01,-4.956627e+01,-4.550863e+01,-4.508395e+01,-3.649429e+01,-2.655923e+01,-1.666192e+01,-1.349134e+01,-1.464623e+01,-1.063860e+01,-6.986613e+00,-9.121393e+00,-3.616753e+00,-8.088909e+00,-1.103318e+01,-1.103277e+01,-8.388753e+00
-6.755685e+00,-7.264364e+00,-8.012869e+00,-9.553913e+00,-1.256051e+01,-1.197435e+01,-1.006127e+01,-9.054651e+00,-8.884521e+00,1.779331e+01,2.850425e+01,3.270877e+01,2.654687e+01,1.359968e+01,1.035197e+01,9.791430e+00,1.630713e+01,1.605998e+01,7.355800e+00,1.056499e+00,8.353449e+00,1.910591e+01,1.648180e+01,1.350848e+01,-1.864272e+00,-9.436356e+00,-1.385262e+01,-1.672537e+01,-7.807774e+00,3.428853e-01,-3.678925e+00,-4.584251e+00,-7.311270e+00,-7.172343e+00,-6.423154e+00,-5.051147e+00
-3.254568e+00,-4.201943e+00,-6.475313e+00,-8.623842e+00,-7.267030e+00,-1.679307e+00,-2.145226e+00,-2.094040e+00,-2.478117e+00,-1.077117e+01,-1.537690e+01,-1.786020e+01,-2.542496e+01,-3.193801e+01,-2.542981e+01,-1.694106e+01,-8.123685e+00,-1.065444e+01,-1.967940e+01,-2.418719e+01,-1.858266e+01,-4.806920e+00,4.098930e+00,5.307111e+00,-3.313084e+00,-8.244684e+00,-1.461725e+01,-1.538287e+01,-6.175528e+00,1.641268e+00,-7.668742e-01,-2.426504e+00,-1.955868e+00,2.218906e+00,8.203465e-01,1.655548e+00
