Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-5.488674e+02,-5.487362e+02,-5.461550e+02,-5.487098e+02,-5.488674e+02,-5.488674e+02,-5.466733e+02,-5.456055e+02,-5.486563e+02,-5.488674e+02,-5.475165e+02,-5.451104e+02,-5.486041e+02,-5.488674e+02,-4.205908e+02,-2.142379e+02,-1.407335e+02,-1.553089e+02,-1.791346e+02,-1.865383e+02,-2.096031e+02,-2.417561e+02,-2.777847e+02,-3.100325e+02,-3.489173e+02,-3.886736e+02,-4.151223e+02,-4.312796e+02,-4.561315e+02,-4.889329e+02,-5.163190e+02,-5.316448e+02,-5.459193e+02,-5.487388e+02,-5.488674e+02,-5.488674e+02,-5.488674e+02,-5.488674e+02,-5.488674e+02
0.000000e+00,1.824890e-01,3.743610e+00,2.192565e-01,0.000000e+00,0.000000e+00,3.040397e+00,4.530866e+00,2.936183e-01,0.000000e+00,1.853783e+00,5.141617e+00,3.660221e-01,0.000000e+00,1.075105e+02,1.862520e+02,1.642164e+02,1.434915e+02,1.651042e+02,1.912768e+02,1.992682e+02,1.815063e+02,1.681607e+02,1.575573e+02,1.472563e+02,1.384875e+02,1.302960e+02,1.223732e+02,1.052427e+02,7.436481e+01,4.337372e+01,2.347437e+01,4.061696e+00,1.792616e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.731869e-01,3.471424e+00,2.080801e-01,0.000000e+00,0.000000e+00,2.855213e+00,4.287772e+00,2.786514e-01,0.000000e+00,1.689072e+00,4.642945e+00,3.467886e-01,0.000000e+00,-9.273327e+00,-7.341670e+01,-7.793829e+01,-8.275082e+01,-9.398562e+01,-7.877525e+01,-6.866012e+01,-6.644788e+01,-5.085538e+01,-3.539992e+01,-1.441025e+01,1.436325e+01,3.135544e+01,4.101962e+01,5.267583e+01,5.088749e+01,3.621092e+01,2.092361e+01,3.745620e+00,1.712911e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.580329e-01,3.034909e+00,1.898729e-01,0.000000e+00,0.000000e+00,2.555836e+00,3.894277e+00,2.542692e-01,0.000000e+00,1.431610e+00,3.864980e+00,3.155145e-01,0.000000e+00,-6.192213e+01,-7.072540e+01,-6.492271e+01,-5.571363e+01,-4.496666e+01,-4.037763e+01,-3.044842e+01,-2.115539e+01,-1.708578e+01,-1.292412e+01,-1.093902e+01,-1.131435e+01,-6.707944e+00,1.827744e+00,1.728125e+01,2.928907e+01,2.650497e+01,1.697628e+01,3.242090e+00,1.583156e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.375378e-01,2.458598e+00,1.652488e-01,0.000000e+00,0.000000e+00,2.155690e+00,3.367258e+00,2.212955e-01,0.000000e+00,1.104780e+00,2.880692e+00,2.733360e-01,0.000000e+00,-3.306627e+01,-4.971047e+01,-4.903881e+01,-4.371991e+01,-4.137523e+01,-3.918811e+01,-3.028637e+01,-1.377968e+01,-8.752253e+00,1.416912e+00,1.306497e+01,6.793445e+00,9.708783e+00,1.258254e+01,1.119379e+01,1.701455e+01,1.633097e+01,1.204122e+01,2.584037e+00,1.407827e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.123980e-01,1.774585e+00,1.350437e-01,0.000000e+00,0.000000e+00,1.672657e+00,2.729188e+00,1.808444e-01,0.000000e+00,7.372403e-01,1.779666e+00,2.217850e-01,0.000000e+00,1.159791e+01,9.381141e+00,8.669442e+00,1.145872e+01,6.969813e+00,-3.301869e+00,-8.771086e+00,-2.070895e-01,3.010139e+00,8.734312e+00,1.998453e+01,2.503759e+01,2.774288e+01,2.335715e+01,1.196226e+01,9.479729e+00,6.979634e+00,6.607464e+00,1.813825e+00,1.193069e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,8.345912e-02,1.020496e+00,1.002743e-01,0.000000e+00,0.000000e+00,1.128210e+00,2.007041e+00,1.342828e-01,0.000000e+00,3.595061e-01,6.575391e-01,1.627318e-01,0.000000e+00,-3.981656e-01,-9.602982e+00,-7.792899e+00,-1.403451e+00,2.575098e+00,-1.838872e+00,1.276096e+01,2.872969e+01,3.174082e+01,2.685600e+01,2.274661e+01,2.343636e+01,1.572059e+01,6.495962e+00,5.778162e-01,-8.644618e-01,-1.226379e+00,1.182251e+00,9.799525e-01,9.461725e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,5.170023e-02,2.370997e-01,6.211667e-02,0.000000e+00,0.000000e+00,5.463902e-01,1.230988e+00,8.318383e-02,0.000000e+00,4.111677e-04,-3.949637e-01,9.831297e-02,0.000000e+00,-1.462221e+01,-1.744858e+01,-1.267855e+01,-1.142103e+01,-2.042770e+01,-2.505504e+01,-2.403178e+01,-1.720728e+01,-1.502258e+01,-1.695495e+01,-1.481793e+01,-1.065836e+01,-1.726080e+01,-1.999288e+01,-1.760849e+01,-1.450867e+01,-8.422083e+00,-3.767734e+00,1.333355e-01,6.755817e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.819444e-02,-5.342293e-01,2.186021e-02,0.000000e+00,0.000000e+00,-4.733802e-02,4.329583e-01,2.927420e-02,0.000000e+00,-3.160650e-01,-1.302008e+00,3.084736e-02,0.000000e+00,-1.732143e+01,-7.009397e+00,-1.045127e+01,-9.841789e+00,-1.108348e+01,-1.868988e+01,-2.272450e+01,-2.098978e+01,-2.312037e+01,-3.075449e+01,-3.325101e+01,-3.118248e+01,-3.492471e+01,-3.234908e+01,-2.896651e+01,-2.533341e+01,-1.453525e+01,-7.865401e+00,-6.764521e-01,3.904148e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,-1.592612e-02,-1.254016e+00,-1.913489e-02,0.000000e+00,0.000000e+00,-6.272895e-01,-3.548673e-01,-2.562457e-02,0.000000e+00,-5.732468e-01,-2.010354e+00,-3.724374e-02,0.000000e+00,-7.290776e+00,1.730703e+00,1.085625e+01,6.997312e+00,-9.713575e+00,-1.524307e+01,-1.336710e+01,-1.100943e+01,-9.371876e+00,-1.568226e+01,-2.193419e+01,-2.866759e+01,-3.031104e+01,-3.059568e+01,-3.069942e+01,-2.867042e+01,-1.905468e+01,-1.085887e+01,-1.404669e+00,1.001836e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,-4.950858e-02,-1.887033e+00,-5.948345e-02,0.000000e+00,0.000000e+00,-1.168768e+00,-1.101550e+00,-7.965753e-02,0.000000e+00,-7.630845e-01,-2.493804e+00,-1.035337e-01,0.000000e+00,4.352722e-01,3.111436e+00,-3.461249e+00,-1.946960e+00,4.478324e+00,-2.794431e+00,-1.500833e+01,-2.944197e+01,-3.598915e+01,-3.572107e+01,-3.125043e+01,-3.108042e+01,-2.421441e+01,-2.613683e+01,-2.811890e+01,-2.607907e+01,-2.138689e+01,-1.264023e+01,-2.014345e+00,-1.856396e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
