Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33
-5.292442e+02,-5.121792e+02,-5.117377e+02,-5.062934e+02,-5.102610e+02,-5.131533e+02,-5.180295e+02,-5.150427e+02,-5.156718e+02,-3.474391e+02,-1.660966e+02,-8.318681e+01,-5.528966e+01,-5.686440e+01,-5.656043e+01,-8.170498e+01,-1.185277e+02,-1.074330e+02,-6.675693e+01,-4.557743e+01,-4.037670e+01,-5.095299e+01,-8.566154e+01,-1.675486e+02,-2.912395e+02,-3.943914e+02,-4.633069e+02,-5.025335e+02,-5.168518e+02,-5.143725e+02,-5.099962e+02,-5.136859e+02,-5.228832e+02
4.604849e+01,5.863858e+01,6.166870e+01,6.461559e+01,6.004816e+01,5.920987e+01,5.839739e+01,6.409155e+01,6.202956e+01,1.134598e+02,1.098288e+02,9.466737e+01,7.392603e+01,6.738246e+01,7.512524e+01,7.911352e+01,8.705392e+01,7.379401e+01,6.791696e+01,6.351758e+01,6.641595e+01,7.998689e+01,9.831651e+01,1.165067e+02,1.364977e+02,1.168593e+02,8.736060e+01,6.704390e+01,5.770708e+01,6.204764e+01,6.829454e+01,6.536126e+01,5.809776e+01
1.035654e+01,7.539459e+00,1.233893e+01,1.028991e+01,5.510921e+00,8.550315e+00,1.422215e+01,1.853110e+01,1.561759e+01,-2.495712e+01,-3.798267e+01,-4.405607e+01,-5.954086e+01,-6.362993e+01,-6.080502e+01,-4.775722e+01,-3.099165e+01,-4.119035e+01,-7.602075e+01,-9.035033e+01,-8.578062e+01,-8.307470e+01,-7.953813e+01,-7.626464e+01,-6.333746e+01,-4.510535e+01,-2.237951e+01,5.060870e+00,9.905974e+00,1.474638e+01,1.890442e+01,1.898228e+01,2.018377e+01
3.455774e+00,2.172522e+00,4.408771e+00,5.221307e+00,-1.575061e+00,-5.907829e-01,-8.551171e-02,-1.984596e+00,-1.693469e+00,-5.975784e+01,-4.585549e+01,-3.521630e+01,-2.533420e+01,-1.824655e+01,-2.568061e+01,-3.746066e+01,-4.840238e+01,-2.385717e+01,-9.500990e+00,-1.264503e+01,-1.510611e+01,-1.464921e+01,-1.489355e+01,-2.043521e+01,-3.578124e+01,-4.442496e+01,-2.908174e+01,-6.302571e+00,-3.692159e+00,6.176555e-02,-3.853936e-01,-1.174174e+00,-1.893160e-01
1.395029e+01,1.907994e+01,2.000218e+01,2.325010e+01,1.846147e+01,1.547276e+01,9.591386e+00,6.854671e+00,1.138633e+01,-1.443204e+01,-4.762708e+01,-5.522911e+01,-5.288853e+01,-5.199018e+01,-4.633409e+01,-2.853886e+01,-4.014247e+00,-1.004299e+01,-3.242703e+01,-3.992406e+01,-3.943052e+01,-4.101679e+01,-3.897057e+01,-2.867395e+01,-7.243518e+00,1.145986e+01,1.626627e+01,1.411712e+01,1.062563e+01,1.348417e+01,1.064978e+01,8.546682e+00,4.456840e+00
1.595509e+01,1.889313e+01,2.066626e+01,2.071106e+01,2.014117e+01,1.720453e+01,1.503404e+01,1.742617e+01,1.987203e+01,5.520175e+00,3.567410e+01,4.980634e+01,6.380496e+01,7.179117e+01,6.775331e+01,5.246017e+01,4.085995e+01,5.094048e+01,6.749411e+01,7.522223e+01,6.977376e+01,6.533925e+01,6.036886e+01,5.347552e+01,3.997082e+01,3.115249e+01,2.238351e+01,1.825035e+01,1.767442e+01,1.922095e+01,1.797240e+01,1.967587e+01,1.561111e+01
1.230350e+01,1.278063e+01,1.287429e+01,9.806987e+00,9.216121e+00,8.285003e+00,1.162459e+01,1.351244e+01,9.233076e+00,-4.752131e+01,-7.840665e+01,-7.691988e+01,-7.120258e+01,-7.379665e+01,-7.083003e+01,-5.165348e+01,-4.896406e+01,-4.385774e+01,-4.588902e+01,-4.822111e+01,-4.661877e+01,-4.536155e+01,-4.627905e+01,-3.973659e+01,-1.295450e+01,3.109444e+00,8.944477e+00,7.942757e+00,9.915783e+00,9.158784e+00,1.023607e+01,1.689402e+01,1.753881e+01
9.999073e+00,1.338381e+01,1.024728e+01,6.105145e+00,5.325780e+00,4.168639e+00,4.908731e+00,1.458102e+00,-3.619759e+00,2.545027e+01,4.186182e+01,4.692171e+01,4.684711e+01,4.243429e+01,2.994377e+01,1.415947e+01,1.018705e+01,8.297665e+00,2.216699e+01,2.740574e+01,2.950895e+01,2.783662e+01,2.688111e+01,2.022339e+01,1.301661e+01,1.884793e+01,1.135070e+01,1.678473e+00,8.829451e-01,1.109377e+00,2.410239e+00,6.760903e+00,9.324404e+00
3.824322e+00,7.816923e+00,3.135868e+00,-2.034554e+00,9.774789e-01,-1.547915e-01,-4.682837e+00,-7.029003e+00,-5.383783e+00,2.176373e+01,2.200284e+01,2.151385e+01,2.020084e+01,1.239739e+01,7.570820e+00,1.286643e+01,8.310256e+00,1.724667e+01,1.417959e+01,9.248434e+00,1.100046e+01,9.296356e+00,1.207700e+01,1.252926e+01,1.220663e+01,1.785883e+01,7.366819e+00,-3.158686e+00,-2.920019e+00,1.616513e+00,1.371945e+00,-1.451720e+00,-2.095606e+00
-3.064158e+00,-3.005486e+00,-7.884031e+00,-1.173699e+01,-8.280293e+00,-6.485472e+00,-1.146909e+01,-8.238432e+00,-2.223128e+00,-1.337822e+00,1.791221e+00,7.358056e+00,1.120201e+01,8.317907e+00,-5.367370e+00,-9.553636e+00,-8.375340e+00,-1.487794e+01,-1.706516e+01,-1.720406e+01,-2.350942e+01,-2.651822e+01,-2.637547e+01,-2.935262e+01,-2.666887e+01,-1.416542e+01,-1.298955e+01,-9.010736e+00,-3.444885e+00,4.814517e-01,-4.729284e-01,-5.370691e+00,-1.007089e+01
