Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.154296e+02,-5.000570e+02,-4.531462e+02,-2.256304e+02,-1.175560e+02,-8.890332e+01,-1.143280e+02,-1.474510e+02,-1.487953e+02,-1.640795e+02,-1.654172e+02,-1.462828e+02,-1.334883e+02,-1.353363e+02,-9.853177e+01,-5.648684e+01,-3.060017e+01,-3.229388e+01,-5.760810e+01,-1.073034e+02,-1.969687e+02,-2.984925e+02,-3.926163e+02,-4.554672e+02,-4.866588e+02,-4.959305e+02,-5.146058e+02
5.399292e+01,6.761316e+01,7.773820e+01,1.039720e+02,9.595253e+01,8.540039e+01,8.336650e+01,1.043465e+02,1.131551e+02,1.078077e+02,1.077982e+02,1.043133e+02,8.739343e+01,8.337012e+01,7.287467e+01,7.480586e+01,7.995833e+01,8.243503e+01,8.772847e+01,1.015503e+02,1.194168e+02,1.217379e+02,1.063800e+02,8.109776e+01,7.007416e+01,6.411406e+01,4.997221e+01
2.240890e+01,2.194707e+01,-2.549028e+01,-1.053029e+02,-1.170052e+02,-1.182827e+02,-1.058971e+02,-9.111510e+01,-8.884934e+01,-7.873156e+01,-7.628575e+01,-8.105049e+01,-7.467825e+01,-6.678772e+01,-8.852982e+01,-1.203216e+02,-1.281587e+02,-1.273579e+02,-1.216909e+02,-1.112009e+02,-8.730599e+01,-6.001788e+01,-5.060460e+01,-3.020903e+01,2.362553e+00,1.109490e+01,1.479989e+01
1.142003e+01,5.932569e+00,-8.537597e+00,-1.437365e+01,2.585317e+00,1.861263e+01,3.282415e+01,2.739853e+01,2.902180e+01,2.888430e+01,2.610380e+01,2.854042e+01,3.067973e+01,2.881526e+01,2.712118e+01,1.621328e+01,9.021354e+00,4.236422e+00,5.298405e+00,5.961615e-01,-1.553520e+01,-2.679829e+01,-3.375534e+01,-3.074262e+01,-7.180285e+00,6.614598e+00,1.106544e+01
1.589588e+01,1.443515e+01,3.679916e+01,-4.053048e+00,-1.867840e+01,-1.709950e+01,-1.055798e+01,-2.208370e+00,-6.391957e+00,-2.728545e+00,1.378646e+00,-1.088808e+01,-2.312905e+01,-1.827879e+01,-1.403114e+01,-9.907099e+00,-1.843078e+01,-2.540371e+01,-2.347337e+01,-1.052206e+01,4.825757e+00,1.543620e+01,3.352402e+01,2.752542e+01,2.172718e+01,2.352438e+01,2.021403e+01
1.761674e+01,2.021503e+01,2.395570e+01,3.530918e+01,4.334673e+01,4.988692e+01,5.482792e+01,5.601315e+01,5.159618e+01,4.779295e+01,4.702219e+01,5.288121e+01,6.040327e+01,5.844435e+01,6.307733e+01,7.047482e+01,7.169878e+01,7.251709e+01,6.819440e+01,6.067563e+01,4.871476e+01,4.760794e+01,4.252945e+01,3.942912e+01,3.067680e+01,2.176597e+01,1.771349e+01
1.252964e+01,1.496033e+01,1.225634e+00,-2.541802e+01,-3.089713e+01,-3.381723e+01,-3.232468e+01,-3.018928e+01,-2.880076e+01,-2.884868e+01,-2.732833e+01,-2.776917e+01,-2.790009e+01,-3.166276e+01,-3.399587e+01,-3.813885e+01,-4.096404e+01,-4.261190e+01,-3.831317e+01,-3.633462e+01,-3.479037e+01,-2.565149e+01,3.504985e+00,1.108900e+01,1.409405e+01,1.163915e+01,1.151061e+01
4.279660e+00,3.532609e+00,1.089369e+01,1.670253e+01,1.635183e+01,1.932504e+01,2.407621e+01,2.299756e+01,1.980458e+01,2.255711e+01,2.547195e+01,2.322348e+01,2.811483e+01,2.870691e+01,3.301405e+01,3.433712e+01,3.365589e+01,3.081858e+01,2.289504e+01,1.276058e+01,6.222999e+00,3.071350e+00,-3.421619e+00,-1.098968e+01,-1.272244e+00,5.769284e+00,7.228753e+00
2.765184e-01,-3.698698e+00,7.563961e+00,1.600261e+01,1.089980e+01,8.376477e+00,8.625694e+00,5.468604e+00,-6.314148e+00,-1.047872e+01,-1.383319e+01,-8.242547e+00,-6.333251e+00,-8.273386e+00,-1.540297e+01,-1.690032e+01,-1.917609e+01,-2.089948e+01,-2.684884e+01,-2.632129e+01,-2.091885e+01,-1.663593e+01,-1.860498e+01,-1.384057e+01,-1.892085e+00,1.912574e+00,2.450566e+00
3.987067e+00,-3.739784e-01,-8.164757e+00,-2.437882e+01,-2.272865e+01,-1.910725e+01,-1.738887e+01,-1.697958e+01,-2.338997e+01,-1.701090e+01,-9.844259e+00,-1.203794e+01,-7.862116e+00,-5.093367e+00,-5.800766e+00,-2.887236e+00,-4.240021e+00,-9.024186e+00,-1.437464e+01,-2.095239e+01,-2.976767e+01,-2.743705e+01,-1.504494e+01,-8.226261e-01,5.350082e+00,2.871812e+00,2.378033e+00
