Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-2.893368e+02,-1.436577e+02,-1.021154e+02,-1.160829e+02,-1.806310e+02,-1.985403e+02,-1.169601e+02,-8.064574e+01,-1.031992e+02,-1.507993e+02,-1.992590e+02,-2.574523e+02,-3.134902e+02,-3.640010e+02,-4.263354e+02,-4.810696e+02,-5.193655e+02,-5.424958e+02,-5.462307e+02,-5.464750e+02,-5.482822e+02,-5.503740e+02,-5.509922e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02,-5.511559e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.478462e+02,1.358354e+02,1.285999e+02,1.623926e+02,1.776729e+02,1.443927e+02,1.432979e+02,1.626663e+02,1.855262e+02,2.101129e+02,2.127993e+02,2.035163e+02,1.824424e+02,1.633486e+02,1.217530e+02,7.294801e+01,3.763575e+01,1.149146e+01,6.782012e+00,6.459060e+00,3.956647e+00,1.082308e+00,2.274942e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.118440e+01,-8.788033e+01,-9.600771e+01,-1.029434e+02,-1.047901e+02,-8.198495e+01,-7.098893e+01,-7.694588e+01,-9.307162e+01,-1.070291e+02,-9.177597e+01,-6.721345e+01,-3.800311e+01,-7.243060e+00,1.704901e+01,2.104598e+01,2.097923e+01,9.473694e+00,6.246631e+00,5.986374e+00,3.641343e+00,1.012682e+00,2.156477e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.171155e+01,-5.534165e+01,-5.608467e+01,-4.750215e+01,-3.029919e+01,-3.947196e+01,-7.242427e+01,-8.183437e+01,-7.516617e+01,-6.797913e+01,-8.072901e+01,-8.692567e+01,-7.915672e+01,-6.794473e+01,-3.647936e+01,-9.210542e+00,5.954459e+00,6.794350e+00,5.399920e+00,5.230033e+00,3.138234e+00,9.000375e-01,1.963608e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.913046e+01,-3.189048e+01,-2.509050e+01,-2.379671e+01,-3.177743e+01,-3.303338e+01,-4.733261e+01,-6.105721e+01,-6.666737e+01,-6.112008e+01,-4.292911e+01,-2.780708e+01,-2.708554e+01,-2.734361e+01,-1.770796e+01,-3.892583e+00,-5.786504e-01,4.070460e+00,4.305063e+00,4.234792e+00,2.479125e+00,7.493138e-01,1.703041e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.697390e+00,7.523975e-01,5.158142e-01,-4.618398e+00,-3.359441e+00,1.113423e+01,2.447312e+01,2.033953e+01,1.785172e+01,7.723989e+00,4.665608e+00,6.453434e+00,9.345342e+00,1.445115e+01,1.310297e+01,1.033196e+01,-6.079581e-01,1.660750e+00,3.040812e+00,3.058662e+00,1.705121e+00,5.671089e-01,1.383772e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.837686e+01,-1.688309e+01,-1.249046e+01,-7.370435e+00,-1.875119e-01,4.169493e+00,1.218390e+00,-3.867105e+00,-8.943647e-02,1.540929e+01,1.529033e+01,1.167060e+01,9.620078e+00,1.181419e+01,1.062031e+01,7.515637e+00,-7.242256e-01,-3.697587e-01,1.693394e+00,1.768719e+00,8.635742e-01,3.613843e-01,1.016914e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.816385e+00,-1.642886e+00,-2.387769e+00,-7.685552e+00,-1.757257e+01,-9.932892e+00,-2.666217e+00,-5.851053e+00,-1.096599e+01,-2.182469e+01,-1.548159e+01,-7.021969e+00,-1.214580e+01,-1.007318e+01,-9.431620e+00,-7.895166e+00,-4.418512e+00,-2.068298e+00,3.480496e-01,4.364265e-01,4.613250e-03,1.411057e-01,6.151674e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.372729e+00,-1.195634e+01,-1.852970e+01,-2.644698e+01,-1.798183e+01,-1.547556e+01,-1.427747e+01,-1.929480e+01,-2.165627e+01,-1.243179e+01,-1.772590e+01,-2.226165e+01,-2.315902e+01,-1.737035e+01,-1.699202e+01,-1.662964e+01,-9.194569e+00,-3.390135e+00,-9.186612e-01,-8.672296e-01,-8.224226e-01,-8.415863e-02,1.924492e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000042e+01,1.849272e+01,1.251945e+01,-5.890585e+00,-2.539571e+01,-9.347853e+00,3.680835e+00,8.108506e+00,6.929254e+00,-6.562559e+00,-1.153093e+01,-1.362568e+01,-1.048560e+01,-1.142538e+01,-1.292064e+01,-1.352805e+01,-1.054436e+01,-4.164369e+00,-2.044894e+00,-2.076333e+00,-1.572352e+00,-3.046665e-01,-2.366066e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
