Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.584178e+02,-5.584178e+02,-5.584178e+02,-5.584178e+02,-5.584178e+02,-5.584178e+02,-5.584178e+02,-5.584178e+02,-3.355059e+02,-1.490933e+02,-1.141675e+02,-1.387938e+02,-1.706474e+02,-2.348566e+02,-2.245564e+02,-1.568196e+02,-1.276235e+02,-1.585764e+02,-2.064867e+02,-2.364677e+02,-2.904502e+02,-3.698629e+02,-4.497222e+02,-5.053764e+02,-5.423860e+02,-5.486547e+02,-5.522905e+02,-5.554622e+02,-5.584178e+02,-5.576103e+02,-5.581610e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.315834e+02,1.496776e+02,1.445316e+02,1.734879e+02,1.886631e+02,1.454830e+02,1.599232e+02,1.551264e+02,1.415304e+02,1.407013e+02,1.550692e+02,1.640781e+02,1.697647e+02,1.508158e+02,1.030201e+02,5.478689e+01,1.967808e+01,1.314148e+01,8.297939e+00,4.006825e+00,0.000000e+00,1.113688e+00,3.528480e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.955964e+01,-8.374207e+01,-9.123254e+01,-1.005847e+02,-1.046714e+02,-9.578036e+01,-9.547871e+01,-9.513436e+01,-9.515657e+01,-1.023071e+02,-1.041393e+02,-9.676348e+01,-6.999478e+01,-2.436262e+01,8.228390e+00,1.434677e+01,1.264732e+01,1.123158e+01,7.235246e+00,3.503945e+00,0.000000e+00,1.030157e+00,3.225745e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.330331e+01,-6.736757e+01,-6.624484e+01,-5.443252e+01,-4.357976e+01,-2.236759e+01,-4.045616e+01,-6.865037e+01,-6.958383e+01,-5.189541e+01,-3.828370e+01,-4.851234e+01,-6.289504e+01,-6.384824e+01,-3.656399e+01,-9.526595e+00,5.729083e+00,8.325419e+00,5.591551e+00,2.718486e+00,0.000000e+00,8.959646e-01,2.741463e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.890009e+01,-4.579771e+01,-4.160954e+01,-3.215789e+01,-3.920633e+01,-3.275832e+01,-4.131581e+01,-3.415327e+01,-3.485235e+01,-4.163764e+01,-4.799410e+01,-3.582977e+01,-2.403221e+01,-2.049050e+01,-1.460109e+01,-4.727380e+00,1.762610e+00,4.791823e+00,3.540581e+00,1.723890e+00,0.000000e+00,7.183302e-01,2.104738e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.958239e+01,1.732731e+01,1.294133e+01,1.190893e+01,1.518549e+01,1.512324e+01,1.419619e+01,2.021317e+01,1.978117e+01,1.558202e+01,1.255622e+01,5.991363e+00,1.636092e+00,1.501222e+01,1.683030e+01,8.296238e+00,2.504420e-01,1.062711e+00,1.293297e+00,6.124592e-01,0.000000e+00,5.067866e-01,1.353658e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.442819e+01,-1.250927e+01,-8.221275e+00,-6.722038e+00,-2.836593e-01,9.884895e+00,8.088890e+00,-2.552821e+00,1.986273e+00,6.007892e+00,8.793398e+00,1.484599e+01,1.534855e+01,1.375707e+01,1.211129e+01,6.848720e+00,-1.418931e+00,-2.432415e+00,-9.285202e-01,-5.138549e-01,0.000000e+00,2.726079e-01,5.331072e-02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.789689e+00,-3.692330e+00,-5.227262e+00,-1.520387e+01,-2.767301e+01,-3.105065e+01,-2.809303e+01,-9.867514e+00,-5.143813e+00,-6.361789e+00,-1.282127e+01,-1.414821e+01,-1.632667e+01,-2.343875e+01,-1.574595e+01,-7.891397e+00,-4.892720e+00,-5.328212e+00,-2.919057e+00,-1.553511e+00,0.000000e+00,2.818308e-02,-3.082018e-02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.174653e+00,-1.049328e+01,-1.443974e+01,-2.484478e+01,-1.185979e+01,-9.561834e+00,-1.050623e+01,-2.189147e+01,-1.931792e+01,-1.757617e+01,-1.060331e+01,-1.671199e+01,-3.206674e+01,-3.690631e+01,-2.926254e+01,-1.891188e+01,-9.027502e+00,-7.371038e+00,-4.511767e+00,-2.415297e+00,0.000000e+00,-2.136964e-01,-1.120645e-01
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.006323e+00,7.655703e+00,1.035197e+01,-1.479526e-01,-1.898641e+01,-2.205257e+01,-1.507890e+01,-1.454369e-01,2.777096e+00,-7.720852e+00,-2.169593e+01,-2.028888e+01,-1.109957e+01,-1.101575e+01,-2.061664e+01,-1.778754e+01,-1.105720e+01,-8.445351e+00,-5.596197e+00,-3.027107e+00,0.000000e+00,-4.405630e-01,-1.856828e-01
