Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.455395e+02,-5.455395e+02,-5.455395e+02,-5.455395e+02,-5.455395e+02,-5.455395e+02,-5.455395e+02,-5.455395e+02,-3.009289e+02,-1.646633e+02,-1.460273e+02,-1.863796e+02,-2.444990e+02,-2.491800e+02,-1.640242e+02,-1.234604e+02,-1.436032e+02,-1.891822e+02,-2.309991e+02,-2.706208e+02,-3.355276e+02,-4.118873e+02,-4.834494e+02,-5.254778e+02,-5.420613e+02,-5.452053e+02,-5.445273e+02,-5.451328e+02,-5.455395e+02,-5.455395e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.389073e+02,1.494411e+02,1.551709e+02,1.755615e+02,1.391275e+02,1.474492e+02,1.909437e+02,1.759704e+02,1.551085e+02,1.558757e+02,1.650958e+02,1.774859e+02,1.625433e+02,1.213602e+02,6.409328e+01,2.447951e+01,4.780691e+00,4.614089e-01,1.392834e+00,5.659761e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.926157e+01,-1.022632e+02,-1.084309e+02,-1.056180e+02,-8.503201e+01,-8.112308e+01,-1.025992e+02,-1.100066e+02,-1.141927e+02,-1.067970e+02,-9.379218e+01,-7.411882e+01,-3.585404e+01,1.440179e+00,1.654565e+01,1.541111e+01,4.377080e+00,4.285652e-01,1.279656e+00,5.385107e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.535936e+01,-5.170925e+01,-5.070065e+01,-4.305668e+01,-2.621415e+01,-4.088676e+01,-6.488125e+01,-6.752630e+01,-5.079251e+01,-3.683845e+01,-4.627397e+01,-6.570637e+01,-7.182385e+01,-4.937108e+01,-1.186267e+01,6.634879e+00,3.739836e+00,3.760263e-01,1.099508e+00,4.937283e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.678737e+01,-4.294834e+01,-3.590495e+01,-3.082461e+01,-3.450793e+01,-4.443858e+01,-4.219852e+01,-4.326038e+01,-4.199261e+01,-3.764523e+01,-2.236158e+01,-1.408296e+01,-2.199567e+01,-2.095867e+01,-6.670588e+00,1.788289e+00,2.917718e+00,3.069212e-01,8.643966e-01,4.330866e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.104276e+00,6.476255e+00,6.056520e+00,1.053500e+01,1.395691e+01,1.401970e+01,1.132209e+01,1.068361e+01,1.839096e+01,1.731575e+01,8.266203e+00,3.481483e-01,8.654860e+00,2.019683e+01,8.959510e+00,2.338789e-01,1.970880e+00,2.252944e-01,5.897820e-01,3.585517e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.846054e+00,-4.040905e+00,-2.144895e+00,2.599700e+00,7.483537e+00,1.258635e+01,5.561271e+00,4.203037e+00,6.566310e+00,8.327098e+00,9.453819e+00,9.573204e+00,1.127463e+01,1.955692e+01,9.149192e+00,-1.113018e+00,9.643435e-01,1.358216e-01,2.933620e-01,2.725497e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.323467e+01,-1.597873e+01,-1.702908e+01,-2.273932e+01,-2.042824e+01,-2.298181e+01,-1.626222e+01,-1.111771e+01,-7.177335e+00,-6.451877e+00,-9.910034e+00,-7.182808e+00,-1.491125e+01,-1.362446e+01,-5.063750e+00,-4.073741e+00,-3.854129e-02,4.346062e-02,-6.296419e-03,1.778713e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.491596e+01,-1.668945e+01,-1.891959e+01,-1.036796e+01,-3.504446e+00,-1.171786e+00,-1.124996e+01,-1.533924e+01,-1.067940e+01,-5.707274e+00,-8.902870e+00,-2.186249e+01,-2.917099e+01,-2.729033e+01,-1.538109e+01,-7.541331e+00,-9.816548e-01,-4.688816e-02,-2.911635e-01,7.758963e-02,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.455606e+00,-3.113039e-01,-4.124849e-01,-2.018673e+01,-2.914934e+01,-2.062642e+01,-1.755178e+01,-9.875681e+00,-8.931718e+00,-1.700863e+01,-1.648368e+01,-9.787612e+00,-1.186301e+01,-1.518384e+01,-1.368633e+01,-9.156786e+00,-1.820038e+00,-1.307277e-01,-5.450841e-01,-2.504650e-02,0.000000e+00,0.000000e+00
