Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-3.850316e+02,-3.854886e+02,-4.381697e+02,-4.805734e+02,-4.960415e+02,-4.967671e+02,-3.934891e+02,-2.485922e+02,-1.373858e+02,-7.852522e+01,-5.991309e+01,-6.940205e+01,-9.269270e+01,-1.207906e+02,-1.330049e+02,-1.364664e+02,-1.392031e+02,-1.466140e+02,-1.522915e+02,-1.573269e+02,-1.608370e+02,-1.631306e+02,-1.873123e+02,-2.463891e+02,-3.399847e+02,-4.357919e+02,-4.909699e+02,-5.016749e+02,-4.997456e+02,-4.983936e+02,-4.976447e+02,-4.925352e+02,-4.854040e+02,-4.726790e+02,-4.784349e+02
6.624921e+01,7.115180e+01,6.860526e+01,6.398056e+01,6.029187e+01,6.277335e+01,8.912538e+01,9.626692e+01,8.795399e+01,8.446274e+01,8.436845e+01,8.211601e+01,8.356464e+01,9.104391e+01,8.781714e+01,8.697269e+01,8.377904e+01,7.781127e+01,7.663387e+01,8.394377e+01,9.796604e+01,1.038553e+02,9.800417e+01,8.452686e+01,7.735899e+01,7.572829e+01,6.212007e+01,5.643008e+01,5.911544e+01,5.792995e+01,5.436122e+01,5.810303e+01,5.899689e+01,6.819161e+01,6.925760e+01
-4.635831e+01,-3.950212e+01,-1.808274e+01,2.483825e+00,1.507401e+01,2.218551e+01,-5.342561e+01,-9.981966e+01,-1.133497e+02,-1.186476e+02,-1.319553e+02,-1.348542e+02,-1.172334e+02,-9.681158e+01,-8.290736e+01,-7.947141e+01,-8.100459e+01,-8.356297e+01,-8.716478e+01,-9.234206e+01,-9.332475e+01,-8.598389e+01,-7.547014e+01,-6.444147e+01,-4.802379e+01,-2.282034e+01,9.135777e+00,1.555554e+01,1.827934e+01,1.313349e+01,4.770886e+00,4.405463e+00,-6.834058e-01,3.271180e+00,1.036810e+01
9.787206e+00,9.381744e+00,1.437814e+00,3.103510e+00,7.869506e+00,7.603743e+00,-1.544754e+01,-1.355415e+01,-1.648025e+01,-1.233550e+01,2.371142e-01,1.667060e+01,2.011766e+01,1.923131e+01,2.406410e+01,2.198660e+01,1.731244e+01,1.814089e+01,1.992997e+01,2.747613e+01,2.890591e+01,2.194284e+01,1.589886e+01,8.482224e+00,5.365995e+00,-9.284647e-01,2.061487e+00,5.025078e+00,7.488047e+00,3.675500e+00,-2.731943e-01,1.056111e+00,-6.719258e-01,4.023899e-01,3.164849e+00
4.570947e+01,4.488400e+01,3.598679e+01,3.344186e+01,2.536077e+01,1.830891e+01,3.597853e+01,4.726003e+00,-1.433242e+01,-1.755017e+01,-1.159057e+01,-4.008738e+00,-6.566573e+00,-7.113049e+00,-7.914419e+00,-8.357511e+00,-1.217112e+01,-9.547461e+00,-6.426406e+00,-9.346220e-01,5.604004e+00,1.081001e+01,1.696858e+01,2.113975e+01,2.886713e+01,3.480081e+01,2.422504e+01,1.845403e+01,1.990281e+01,1.946945e+01,2.162826e+01,2.588245e+01,2.931154e+01,2.758240e+01,2.500550e+01
5.717187e+01,5.883551e+01,4.858186e+01,3.567408e+01,2.708311e+01,2.336502e+01,3.569959e+01,4.524408e+01,4.501187e+01,4.589793e+01,5.357407e+01,6.534334e+01,6.386584e+01,6.171096e+01,6.350700e+01,6.358732e+01,6.519818e+01,6.768188e+01,6.692798e+01,6.546387e+01,5.379726e+01,4.762715e+01,5.557890e+01,5.718227e+01,4.727596e+01,3.095018e+01,2.724414e+01,2.254549e+01,2.325727e+01,2.319484e+01,2.470359e+01,2.504954e+01,2.986279e+01,3.248148e+01,2.817752e+01
-2.400619e+01,-1.991640e+01,-7.632271e+00,8.453748e+00,1.389273e+01,1.627865e+01,1.488448e+01,-2.952958e+00,-1.756518e+01,-1.870271e+01,-2.286415e+01,-2.438805e+01,-2.509971e+01,-2.658781e+01,-2.859578e+01,-2.903811e+01,-2.873231e+01,-2.917661e+01,-2.533535e+01,-2.263963e+01,-2.142479e+01,-2.317778e+01,-1.632388e+01,-7.746629e+00,-7.976195e+00,3.251345e+00,1.202079e+01,1.326857e+01,1.364559e+01,1.232624e+01,1.150047e+01,4.877741e+00,8.581271e-01,3.497234e-01,1.212576e+00
-3.733362e+00,-5.376038e+00,-4.137362e+00,5.108798e+00,9.545195e+00,8.051384e+00,9.501908e-01,3.331935e+00,4.112893e+00,6.564412e+00,6.365893e+00,8.757437e+00,8.245327e+00,7.979839e+00,1.346922e+01,1.487335e+01,1.327149e+01,1.049168e+01,9.129122e+00,2.841465e+00,-3.477029e+00,-7.108018e-01,1.378048e+00,-1.360981e+00,-7.630112e+00,-1.849403e+00,6.697807e+00,7.960410e+00,6.283157e+00,4.801412e+00,6.561677e+00,1.944554e+00,-7.825105e-01,4.748791e-01,-1.305357e+00
3.471987e+01,3.303712e+01,2.045493e+01,1.665311e+01,1.328492e+01,3.430057e+00,1.699729e+01,1.406465e+01,5.502397e+00,3.243709e+00,4.079261e+00,2.383204e+00,2.079696e+00,-8.685983e-01,-4.929504e+00,-7.860116e+00,-9.519217e+00,-8.978100e+00,-9.572261e+00,-2.041967e+00,8.462669e+00,1.088751e+01,1.066031e+01,9.124581e+00,7.328341e+00,1.091291e+01,1.114120e+01,8.689320e+00,3.970115e+00,2.441374e+00,7.958997e+00,1.070604e+01,1.314078e+01,1.333021e+01,8.591722e+00
1.343911e+00,6.132238e+00,1.160760e+01,9.579469e+00,7.705000e+00,2.495325e-01,1.064480e+01,1.398814e+01,1.821991e+01,2.001350e+01,2.163910e+01,2.183599e+01,2.008872e+01,1.690328e+01,1.899595e+01,1.567476e+01,1.697923e+01,1.749682e+01,1.313254e+01,7.292425e+00,4.162766e+00,2.425210e+00,2.805081e+00,4.919373e+00,2.312078e+00,1.132612e+01,6.610357e+00,5.442125e+00,9.270598e-01,-1.647318e+00,1.710437e+00,5.519102e+00,9.938341e+00,5.542897e+00,1.151983e+00
