Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.053086e+02,-4.891633e+02,-4.923269e+02,-4.974210e+02,-5.005102e+02,-3.685265e+02,-2.053272e+02,-1.032062e+02,-6.262133e+01,-6.224194e+01,-7.043700e+01,-8.515745e+01,-1.020778e+02,-1.133184e+02,-1.239849e+02,-1.318686e+02,-1.416163e+02,-1.601562e+02,-1.813575e+02,-2.058458e+02,-2.425209e+02,-2.973044e+02,-3.654547e+02,-4.300372e+02,-4.683157e+02,-4.893220e+02,-4.954793e+02,-4.943986e+02
3.060670e+01,4.417256e+01,4.177831e+01,4.011088e+01,3.817987e+01,9.168439e+01,7.760680e+01,7.734492e+01,7.117007e+01,6.247265e+01,5.881419e+01,6.094241e+01,6.672673e+01,7.260516e+01,6.834129e+01,6.484026e+01,7.235280e+01,8.049680e+01,9.478558e+01,1.154703e+02,1.351879e+02,1.365452e+02,1.149558e+02,8.130245e+01,5.809530e+01,4.381336e+01,3.917988e+01,4.165801e+01
1.660160e+01,1.426057e+01,1.447288e+01,2.050099e+01,2.263614e+01,-5.696402e+01,-8.733900e+01,-9.603665e+01,-1.016743e+02,-1.097054e+02,-1.068521e+02,-1.032861e+02,-9.715569e+01,-9.386847e+01,-9.818546e+01,-9.525471e+01,-9.009892e+01,-8.609508e+01,-7.991422e+01,-7.435008e+01,-6.692857e+01,-6.168716e+01,-4.093288e+01,-1.025350e+01,7.524205e+00,1.496075e+01,1.588051e+01,1.811569e+01
1.365193e+01,6.234979e+00,5.304863e+00,9.434396e+00,1.231242e+01,-4.677906e+01,-3.207801e+01,-2.480619e+01,-1.849210e+01,-2.805506e+00,5.398880e+00,7.508529e+00,1.242481e+01,1.095108e+01,1.138750e+01,1.819856e+01,2.311827e+01,2.090231e+01,1.346545e+01,2.215809e+00,-9.955729e+00,-2.262864e+01,-3.159101e+01,-1.185525e+01,4.120266e+00,9.030149e+00,9.669145e+00,8.155500e+00
1.907959e+01,1.622681e+01,1.350279e+01,1.039392e+01,1.063371e+01,5.867470e+00,-1.347317e+01,-1.246873e+01,-1.064688e+01,-5.797695e+00,-9.600628e+00,-1.179104e+01,-5.517368e+00,-3.637581e+00,-1.076204e+01,-1.514844e+01,-1.005624e+01,-5.349050e+00,1.495063e+00,1.207802e+01,2.243670e+01,3.252054e+01,4.302400e+01,4.076852e+01,2.925949e+01,1.961023e+01,1.847001e+01,1.396157e+01
1.884484e+01,1.803865e+01,1.812257e+01,1.378768e+01,1.147410e+01,3.551823e+01,4.352831e+01,5.167806e+01,5.687657e+01,5.977065e+01,6.433817e+01,6.162952e+01,6.494585e+01,6.693269e+01,6.360973e+01,6.002060e+01,5.940094e+01,5.443569e+01,4.781406e+01,3.592281e+01,2.676431e+01,2.691800e+01,4.093277e+01,4.134025e+01,2.947279e+01,2.158451e+01,2.222256e+01,1.896761e+01
1.095362e+01,8.084135e+00,1.320918e+01,1.320542e+01,1.013811e+01,-3.688161e+00,-1.394068e+01,-1.907124e+01,-1.822330e+01,-1.321213e+01,-1.625256e+01,-1.910429e+01,-1.737867e+01,-1.642168e+01,-1.359053e+01,-1.698850e+01,-1.871915e+01,-2.098734e+01,-1.983776e+01,-1.475242e+01,-1.316869e+01,-1.177896e+01,-4.070231e+00,1.311471e+00,7.913820e+00,1.239965e+01,1.448985e+01,1.420963e+01
5.307608e+00,3.550517e+00,8.926540e+00,1.005544e+01,7.386621e+00,-2.093034e+00,-7.677650e-02,4.172728e+00,7.879825e+00,1.276426e+01,1.052692e+01,8.238234e+00,1.235049e+01,1.456959e+01,1.437461e+01,1.326760e+01,1.453033e+01,1.373550e+01,1.110201e+01,5.049858e+00,-4.282693e+00,-1.824901e+01,-1.627916e+01,-1.087615e+01,1.312790e+00,6.070732e+00,5.402007e+00,6.110635e+00
5.019208e+00,7.277333e+00,7.821130e+00,6.062960e+00,4.399647e+00,2.470852e+01,1.732007e+01,1.079263e+01,1.193393e+01,1.248679e+01,7.491850e+00,-6.317447e-01,-2.644650e+00,-1.251221e-02,-1.746335e+00,-4.324081e-01,6.058327e+00,1.114648e+01,1.194461e+01,1.018346e+01,8.869542e+00,7.550326e+00,8.852386e+00,1.213381e+01,1.059748e+01,5.684291e+00,2.266188e+00,1.464336e+00
3.475498e+00,5.315431e+00,3.106032e+00,1.172132e+00,6.668766e-01,-1.066970e+00,5.521603e+00,8.059807e+00,9.875371e+00,1.148387e+01,1.014068e+01,9.276123e+00,1.072720e+01,1.185186e+01,8.241940e+00,4.788681e+00,5.714177e+00,5.320666e+00,3.449584e+00,8.897940e+00,8.639228e+00,3.766941e+00,1.164775e+01,1.703754e+01,7.522601e+00,1.751641e+00,1.580961e+00,-8.460647e-01
