Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.631979e+02,-4.340240e+02,-4.374236e+02,-4.452672e+02,-4.454047e+02,-4.475833e+02,-2.532215e+02,-9.927825e+01,-5.766607e+01,-5.665258e+01,-5.308509e+01,-6.562544e+01,-4.959093e+01,-3.068905e+01,-4.162576e+01,-9.283104e+01,-1.726950e+02,-2.776299e+02,-3.659780e+02,-4.256203e+02,-4.485251e+02,-4.503488e+02,-4.468986e+02,-4.454099e+02,-4.467316e+02,-4.476468e+02,-4.529699e+02,-4.514087e+02,-4.520454e+02,-4.511344e+02,-4.520472e+02,-4.654640e+02
8.059085e+01,9.211818e+01,9.074461e+01,8.540488e+01,8.226576e+01,8.195360e+01,8.384236e+01,8.169242e+01,7.029814e+01,5.654420e+01,5.776427e+01,6.446294e+01,7.073543e+01,8.881160e+01,9.921953e+01,1.078048e+02,1.218411e+02,1.266620e+02,1.143365e+02,9.640364e+01,8.645297e+01,8.507104e+01,8.745473e+01,8.661597e+01,8.557101e+01,8.430275e+01,8.108199e+01,8.217372e+01,8.380655e+01,8.326173e+01,8.242463e+01,7.419035e+01
1.370640e+01,1.355555e+00,-1.445654e+00,5.758758e-01,-9.554264e-01,-8.380008e-01,-5.208309e+01,-5.770955e+01,-5.149691e+01,-4.818665e+01,-4.607735e+01,-4.297540e+01,-5.693648e+01,-6.871855e+01,-6.716125e+01,-5.620906e+01,-4.664795e+01,-4.205608e+01,-3.812040e+01,-1.414040e+01,5.807499e-01,4.712366e-01,1.650005e+00,1.372411e+00,8.631579e-01,-3.728660e-01,-1.257720e+00,-3.102610e+00,6.144962e-01,-1.817369e-01,-1.154627e+00,1.201354e+00
2.664200e+00,3.549976e+00,-2.772383e+00,2.199404e+00,5.324808e+00,2.458980e+00,-3.050277e+01,-3.102044e+01,-2.389437e+01,-6.070517e+00,3.070606e+00,1.442363e+00,-5.989513e+00,-2.366545e+01,-2.887053e+01,-2.755474e+01,-2.709343e+01,-2.760509e+01,-2.708625e+01,-1.007189e+01,-3.105883e+00,-3.872603e+00,-2.485479e+00,-2.444222e+00,-3.430379e+00,-2.640891e+00,-5.862981e+00,-4.983712e+00,-3.126505e+00,-2.557914e+00,-5.030601e+00,-7.520273e+00
7.996436e+00,7.358712e+00,7.710187e+00,1.353803e+01,1.269542e+01,1.078756e+01,-1.434598e+01,-3.349579e+01,-3.389309e+01,-3.006262e+01,-2.644620e+01,-1.925090e+01,-1.916429e+01,-1.914280e+01,-2.486619e+01,-2.154938e+01,-1.164155e+01,6.018627e+00,2.291339e+01,2.150294e+01,1.589659e+01,1.601561e+01,1.670995e+01,1.481756e+01,1.471526e+01,1.440860e+01,1.407504e+01,1.981374e+01,1.766738e+01,1.622656e+01,1.375267e+01,7.596187e+00
7.276815e+00,4.545377e+00,5.727571e+00,8.620312e+00,6.072038e+00,6.183748e+00,5.672088e+01,6.463316e+01,6.835065e+01,6.529599e+01,6.381102e+01,6.253957e+01,6.415305e+01,6.456798e+01,5.849739e+01,5.285110e+01,4.581436e+01,4.104774e+01,3.724696e+01,1.607545e+01,1.102300e+01,1.196059e+01,1.578013e+01,2.099999e+01,2.019345e+01,1.493818e+01,1.687170e+01,1.869135e+01,1.417435e+01,1.383528e+01,1.199419e+01,8.291142e+00
1.046573e+01,1.599545e+01,1.142757e+01,1.292562e+01,1.302361e+01,1.257783e+01,-3.229008e+01,-4.332526e+01,-4.422163e+01,-4.619880e+01,-4.377633e+01,-4.426399e+01,-4.595925e+01,-4.187486e+01,-4.126997e+01,-3.768511e+01,-3.142462e+01,-1.415921e+01,-2.210870e-01,6.359461e+00,8.400457e+00,4.111392e+00,7.846554e+00,1.417296e+01,1.099314e+01,9.154453e+00,7.277527e+00,7.060826e+00,7.580671e+00,1.052332e+01,6.235050e+00,5.856380e+00
7.281595e+00,5.610993e+00,4.332679e+00,7.961327e+00,5.595171e+00,2.198267e+00,1.780688e+01,2.890287e+01,3.353043e+01,3.291227e+01,2.949243e+01,2.283836e+01,2.254481e+01,2.242956e+01,1.959551e+01,1.326409e+01,1.208537e+01,7.638495e+00,-1.537716e+00,4.522261e+00,7.032485e+00,1.755114e-01,6.604267e-01,8.247144e-01,2.008735e-01,1.817898e+00,-2.715265e+00,7.890764e-01,5.199811e+00,3.331741e+00,-1.247186e+00,1.020864e+00
-4.860059e+00,-1.121212e+01,-7.913658e+00,-3.900691e+00,-3.962152e+00,-8.721307e+00,-4.881610e-01,-1.367447e+01,-1.632546e+01,-1.915448e+01,-1.478736e+01,-1.399414e+01,-1.692135e+01,-1.314125e+01,-8.752772e+00,-9.516329e+00,-1.191375e-01,1.021427e+01,7.659118e+00,2.648507e+00,-7.311924e-01,-1.165542e+00,3.662407e-01,-2.310412e+00,-1.924061e+00,-5.237829e+00,-6.454350e+00,-4.233347e-01,7.624552e-01,-6.689264e+00,-6.471040e+00,-6.278787e+00
-1.345775e+01,-1.036955e+01,-6.673651e+00,-6.927153e+00,-2.257497e+00,-2.775016e+00,-1.247915e+01,-3.876505e+00,-1.048486e+00,-4.442322e-01,-1.632138e+00,-5.874778e+00,-6.735924e+00,-9.029539e+00,-8.715187e+00,-1.293295e+01,-1.035733e+01,-3.399165e+00,-1.019824e+00,-1.810030e+00,-1.527399e+00,1.196977e+00,8.003919e-01,-5.293141e+00,-9.177174e+00,-1.262922e+01,-1.105106e+01,-3.646094e+00,-1.611358e+00,-5.995829e+00,-4.670935e+00,-7.569326e+00
