Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-5.382142e+02,-5.331679e+02,-5.332012e+02,-5.350059e+02,-5.350142e+02,-5.328031e+02,-5.328843e+02,-5.359935e+02,-5.369283e+02,-5.359957e+02,-5.352397e+02,-5.374593e+02,-5.374329e+02,-5.330568e+02,-5.331727e+02,-5.372863e+02,-5.008391e+02,-3.033193e+02,-2.010410e+02,-1.779334e+02,-1.899019e+02,-1.720630e+02,-1.342979e+02,-1.074580e+02,-1.111517e+02,-1.545613e+02,-2.193422e+02,-2.860858e+02,-3.495238e+02,-3.991852e+02,-4.450358e+02,-4.946445e+02,-5.279258e+02,-5.302665e+02,-5.335042e+02,-5.395197e+02,-5.379255e+02,-5.361494e+02,-5.388383e+02,-5.390742e+02,-5.386993e+02
6.569102e+00,1.363677e+01,1.347682e+01,1.100827e+01,1.078750e+01,1.398410e+01,1.382489e+01,9.394548e+00,8.399288e+00,9.715775e+00,1.073702e+01,7.520502e+00,7.649655e+00,1.382003e+01,1.360570e+01,7.848691e+00,3.738613e+01,1.319647e+02,1.270255e+02,9.880431e+01,7.922685e+01,8.395862e+01,1.142381e+02,1.357571e+02,1.386440e+02,1.442261e+02,1.608049e+02,1.634570e+02,1.536313e+02,1.254341e+02,8.829037e+01,4.762358e+01,1.937418e+01,1.751505e+01,1.280611e+01,4.657979e+00,6.981559e+00,9.499880e+00,5.711508e+00,5.343894e+00,5.912628e+00
6.430380e+00,1.331090e+01,1.290813e+01,1.064221e+01,9.925358e+00,1.326653e+01,1.298905e+01,8.534711e+00,8.294662e+00,9.603499e+00,1.050171e+01,7.134076e+00,7.442211e+00,1.356351e+01,1.319821e+01,7.630664e+00,-1.234631e+00,-5.875332e+01,-8.259035e+01,-8.055295e+01,-7.178154e+01,-8.684357e+01,-9.400649e+01,-9.066110e+01,-8.778696e+01,-7.530714e+01,-5.786164e+01,-2.975578e+01,-1.107195e+01,-9.209191e+00,-5.116622e+00,7.399428e+00,1.546785e+01,1.664474e+01,1.167491e+01,4.367746e+00,6.867117e+00,9.391843e+00,5.645876e+00,5.183333e+00,5.860937e+00
6.205955e+00,1.282456e+01,1.225601e+01,1.021447e+01,9.018055e+00,1.242494e+01,1.199865e+01,7.690246e+00,8.124300e+00,9.419048e+00,1.016867e+01,6.750887e+00,7.117489e+00,1.317001e+01,1.256008e+01,7.325955e+00,-1.256948e+01,-6.079454e+01,-4.815002e+01,-4.422993e+01,-3.782463e+01,-4.003516e+01,-5.018275e+01,-4.639527e+01,-4.214300e+01,-4.181232e+01,-4.975290e+01,-5.524487e+01,-5.323582e+01,-5.373701e+01,-4.243633e+01,-1.242638e+01,1.245987e+01,1.559529e+01,1.052531e+01,4.006985e+00,6.714385e+00,9.214533e+00,5.537776e+00,4.938695e+00,5.775420e+00
5.905547e+00,1.222244e+01,1.170939e+01,9.866070e+00,8.477283e+00,1.172154e+01,1.117850e+01,7.288309e+00,7.893641e+00,9.166316e+00,9.790330e+00,6.541203e+00,6.704156e+00,1.266923e+01,1.174706e+01,6.990771e+00,5.304532e+00,-1.846309e+01,-3.018280e+01,-3.030239e+01,-2.881553e+01,-3.417196e+01,-3.889992e+01,-5.023233e+01,-5.590662e+01,-5.372063e+01,-2.918405e+01,-1.793589e+01,-6.096751e+00,-5.907798e-02,-6.237458e-01,2.431689e+00,1.210592e+01,1.467882e+01,9.901499e+00,3.683045e+00,6.555922e+00,8.971966e+00,5.389104e+00,4.639753e+00,5.657019e+00
5.541906e+00,1.152036e+01,1.124611e+01,9.624981e+00,8.388088e+00,1.119281e+01,1.062122e+01,7.368127e+00,7.609259e+00,8.850568e+00,9.393250e+00,6.488099e+00,6.237063e+00,1.207710e+01,1.082647e+01,6.659364e+00,1.902802e+01,5.226969e+01,6.291720e+01,6.487032e+01,6.780489e+01,6.092363e+01,7.103086e+01,7.454948e+01,7.515563e+01,6.810710e+01,6.132331e+01,5.669533e+01,5.071266e+01,5.581044e+01,5.330840e+01,2.914211e+01,1.342601e+01,1.396736e+01,9.871034e+00,3.444444e+00,6.404430e+00,8.669536e+00,5.202449e+00,4.319829e+00,5.507024e+00
5.130032e+00,1.070930e+01,1.067248e+01,9.391521e+00,8.462722e+00,1.064381e+01,1.014567e+01,7.570664e+00,7.278107e+00,8.478215e+00,8.972120e+00,6.411525e+00,5.752789e+00,1.139572e+01,9.868454e+00,6.332489e+00,1.175817e+01,7.219269e+00,4.357556e+00,6.811832e+00,1.253593e+01,9.397818e+00,1.312875e+01,7.304007e+00,-2.160016e+00,-3.078352e+00,7.775640e+00,2.073735e+01,3.353672e+01,4.983588e+01,5.750665e+01,3.821087e+01,1.387328e+01,1.326844e+01,9.999387e+00,3.265395e+00,6.246825e+00,8.313798e+00,4.981021e+00,4.009561e+00,5.327083e+00
4.686254e+00,9.783207e+00,9.810082e+00,9.013687e+00,8.254360e+00,9.816298e+00,9.443686e+00,7.419363e+00,6.906818e+00,8.056611e+00,8.506250e+00,6.126468e+00,5.285144e+00,1.062640e+01,8.936951e+00,5.986733e+00,-8.780216e-01,-2.281523e+01,-1.718744e+01,-1.295669e+01,-1.283031e+01,-1.386994e+01,-5.255433e+00,7.185649e-01,6.233398e-01,1.670957e-02,2.922107e+00,-1.493098e+00,-1.540879e+00,1.564644e+01,2.373167e+01,2.497499e+01,1.184730e+01,1.228976e+01,9.689747e+00,3.081308e+00,6.055025e+00,7.912227e+00,4.728577e+00,3.731390e+00,5.119150e+00
4.227258e+00,8.766294e+00,8.669271e+00,8.399639e+00,7.481358e+00,8.601934e+00,8.312190e+00,6.676665e+00,6.501263e+00,7.593773e+00,7.984653e+00,5.604783e+00,4.861073e+00,9.784252e+00,8.081865e+00,5.597913e+00,-3.350939e+00,-2.134350e+00,-1.385618e+00,-2.455847e+00,-4.114890e+00,-1.075098e+00,5.217055e+00,3.375163e+00,-1.166696e+00,2.194257e-01,5.121090e+00,1.393752e+00,5.704370e+00,9.347009e+00,1.349829e-01,6.840366e+00,8.077434e+00,1.087046e+01,8.633337e+00,2.849010e+00,5.806335e+00,7.472911e+00,4.449326e+00,3.495884e+00,4.885479e+00
3.769100e+00,7.716020e+00,7.461585e+00,7.588604e+00,6.236180e+00,7.140540e+00,6.810469e+00,5.513854e+00,6.066403e+00,7.098117e+00,7.420977e+00,5.007343e+00,4.497654e+00,8.901991e+00,7.333467e+00,5.163526e+00,-5.854151e-01,1.299326e+01,7.528952e+00,5.724525e+00,-2.107882e+00,-2.078830e+00,4.414410e+00,1.345100e+01,1.342187e+01,7.150685e+00,6.076723e+00,8.958195e+00,1.628115e+01,1.479848e+01,8.883452e-01,-2.089812e+00,4.712211e+00,9.112865e+00,7.040904e+00,2.588871e+00,5.500213e+00,7.004283e+00,4.147829e+00,3.300621e+00,4.628561e+00
