Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-4.438094e+02,-4.178425e+02,-4.145211e+02,-4.183333e+02,-4.133054e+02,-4.148720e+02,-4.180227e+02,-4.144202e+02,-4.180943e+02,-4.222830e+02,-4.234890e+02,-4.215266e+02,-4.248787e+02,-4.107606e+02,-3.055058e+02,-1.829098e+02,-1.011169e+02,-7.465961e+01,-8.314895e+01,-8.196113e+01,-7.760959e+01,-7.167405e+01,-8.047446e+01,-9.725648e+01,-1.207196e+02,-1.560018e+02,-1.891322e+02,-2.208992e+02,-2.687473e+02,-2.944778e+02,-3.156498e+02,-3.528084e+02,-3.786979e+02,-3.992368e+02,-4.113846e+02,-4.192864e+02,-4.211402e+02,-4.173730e+02,-4.173304e+02,-4.185619e+02,-4.148230e+02,-4.197283e+02,-4.381138e+02
6.633856e+01,8.425538e+01,9.170637e+01,8.724979e+01,8.632108e+01,8.786746e+01,8.611943e+01,8.633022e+01,8.452406e+01,8.325684e+01,8.264074e+01,8.488237e+01,8.406188e+01,9.937221e+01,1.062446e+02,7.411281e+01,4.622271e+01,3.588197e+01,3.903611e+01,2.664023e+01,2.575517e+01,3.447936e+01,4.031623e+01,4.824881e+01,5.994675e+01,6.672270e+01,7.956490e+01,1.080391e+02,1.356543e+02,1.505085e+02,1.423840e+02,1.164643e+02,1.013435e+02,9.490637e+01,9.049838e+01,8.398694e+01,8.366749e+01,8.496027e+01,8.535002e+01,8.654701e+01,8.989763e+01,8.641479e+01,7.556746e+01
2.710815e+00,-1.784337e-02,7.528674e+00,4.463786e+00,-3.726564e+00,1.818248e+00,2.537890e+00,-2.632820e+00,-9.227859e-01,4.045939e+00,6.013470e+00,9.569028e+00,1.095608e+01,1.989637e+01,1.281462e+01,1.538990e+01,1.828392e+01,1.816826e+01,2.268687e+01,3.199754e+01,3.539340e+01,3.430768e+01,4.000922e+01,4.035744e+01,3.952664e+01,4.167778e+01,3.297961e+01,2.061866e+01,-4.243265e-01,-2.357706e+01,-3.274068e+01,-3.481361e+01,-3.055601e+01,-1.482759e+01,-4.214103e+00,-2.460388e+00,3.092524e+00,-7.920622e-01,-2.088578e+00,7.905101e-01,7.672846e-01,2.009886e+00,8.702035e+00
-5.220883e-01,1.779699e+00,3.079463e+00,-1.184127e-01,-2.115709e+00,4.951460e-01,-2.767974e-01,-6.005710e+00,-5.480695e+00,1.030961e+00,4.077415e+00,5.675667e+00,3.993475e+00,1.212040e+01,5.966455e+01,7.937193e+01,8.020198e+01,6.957333e+01,5.632706e+01,6.032161e+01,7.417426e+01,7.079295e+01,6.570042e+01,6.004282e+01,5.673353e+01,5.749609e+01,4.270621e+01,2.722068e+01,1.667471e+01,-9.865602e+00,-2.056459e+01,-2.189314e+01,-2.129531e+01,-1.472550e+01,-9.320827e+00,-8.113885e+00,-4.898176e+00,-9.114832e+00,-8.849834e+00,-6.671873e+00,-8.632219e+00,-8.018206e+00,-5.318581e+00
1.157109e+01,1.756909e+01,1.596025e+01,1.362928e+01,1.746721e+01,1.691558e+01,1.523757e+01,1.100670e+01,1.019962e+01,1.494418e+01,1.553986e+01,1.320656e+01,1.295097e+01,1.934946e+01,-1.180392e+01,-4.130923e+01,-4.541895e+01,-4.735844e+01,-4.521174e+01,-5.238714e+01,-5.516827e+01,-5.510277e+01,-5.704190e+01,-5.366665e+01,-4.686224e+01,-4.037428e+01,-2.817763e+01,-2.264621e+01,-6.623888e+00,1.514653e+01,2.093059e+01,2.725283e+01,2.400235e+01,1.821000e+01,1.406019e+01,9.208675e+00,8.736532e+00,1.036196e+01,1.145109e+01,1.082480e+01,9.107241e+00,6.356725e+00,2.997756e+00
2.052173e+00,4.160622e+00,2.810231e+00,3.927742e+00,8.195952e+00,9.209753e+00,8.455271e+00,8.974659e+00,7.964056e+00,8.710590e+00,6.387519e+00,8.697441e+00,9.098471e+00,9.462801e+00,2.618419e+01,3.456391e+01,3.067758e+01,2.920619e+01,2.447944e+01,2.133768e+01,2.153811e+01,2.335248e+01,2.102003e+01,2.583191e+01,3.292551e+01,3.527605e+01,4.249258e+01,3.953327e+01,2.630592e+01,1.479656e+01,1.409734e+01,1.498044e+01,1.247109e+01,8.854150e+00,6.880750e+00,5.080535e+00,4.987844e+00,7.306499e+00,7.536223e+00,5.789196e+00,6.651186e+00,3.923397e+00,2.370792e+00
-2.054625e+00,2.335643e+00,-4.040638e-01,-4.926012e-01,3.527280e+00,5.353940e+00,4.994474e+00,7.586102e+00,6.800281e+00,7.579257e+00,4.946846e+00,7.840491e+00,4.947174e+00,3.158112e+00,1.629020e+01,1.676535e+01,1.272122e+01,1.308296e+01,8.783740e+00,8.036361e+00,1.011809e+01,1.489626e+01,7.147149e+00,-2.352382e-01,-3.460523e-01,-6.134851e-01,1.152081e+01,1.709492e+01,2.230621e+01,1.796306e+01,9.120447e+00,1.063084e+00,-1.118502e+00,-2.561353e+00,2.164378e+00,5.578316e+00,7.036492e+00,7.062234e+00,3.955956e+00,-5.768201e-01,1.877520e+00,2.593484e+00,2.221859e+00
2.683713e+00,8.022682e+00,6.596378e+00,3.547313e-01,3.056458e+00,4.230739e+00,1.768497e+00,2.788230e+00,3.268747e+00,7.621031e+00,5.946047e+00,2.435189e+00,3.707538e+00,5.392995e+00,-2.136718e+01,-3.469628e+01,-4.648222e+01,-4.598891e+01,-4.070725e+01,-3.872402e+01,-4.369655e+01,-4.238454e+01,-4.190210e+01,-4.136567e+01,-3.962149e+01,-3.426028e+01,-1.083739e+01,8.691334e+00,1.919799e+01,2.061508e+01,1.296592e+01,3.378250e+00,3.895966e+00,4.034919e+00,6.042489e+00,7.664933e+00,4.866708e+00,5.662868e+00,2.951573e+00,9.101322e-02,-3.370100e-01,1.043264e+00,8.582526e-01
4.688253e-01,2.075821e+00,4.018262e+00,-6.092372e-01,2.988490e+00,4.233611e+00,-8.791342e-01,-1.191059e+00,-1.013066e+00,3.328714e+00,2.619313e+00,7.343479e-01,6.042378e+00,7.677423e+00,-2.568627e-01,5.139149e+00,9.982653e+00,1.803628e+01,1.910441e+01,2.511288e+01,2.597944e+01,2.284926e+01,2.465738e+01,2.332358e+01,2.450527e+01,1.505595e+01,9.315463e+00,1.612542e+01,2.849951e+01,2.542460e+01,2.011678e+01,1.025687e+01,9.850008e+00,6.108993e+00,-1.628695e+00,7.508997e-01,1.228134e+00,2.749528e+00,1.792750e+00,2.983679e+00,-9.309705e-01,-2.413980e+00,-2.321639e+00
-1.001496e+00,-1.160136e+00,7.966732e-01,4.460095e+00,9.098532e+00,8.627963e+00,4.825517e+00,1.160286e+00,-1.397384e+00,3.403875e+00,4.465733e+00,6.027660e+00,4.575754e+00,-2.755366e-01,1.249090e-01,-8.536453e+00,-5.433925e+00,-1.116679e+01,-1.661777e+01,-9.485481e+00,-7.851086e+00,-1.160538e+01,-5.663712e+00,-1.447672e+00,-2.114967e+00,-6.015353e+00,-1.598327e+01,-1.950038e+01,-1.880039e+01,-2.413381e+00,1.689189e+00,8.542713e-01,5.265822e+00,1.735755e+00,-4.957442e+00,1.345050e-01,2.574514e+00,-1.110135e+00,-1.134375e-01,3.994048e+00,8.891174e-01,-1.143846e+00,-1.234393e+00
