Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48
-3.963006e+02,-3.829022e+02,-3.884594e+02,-3.928713e+02,-3.939878e+02,-3.939818e+02,-3.905225e+02,-3.899464e+02,-3.894666e+02,-3.935342e+02,-3.973365e+02,-3.937721e+02,-3.945677e+02,-3.210388e+02,-1.829228e+02,-1.096692e+02,-9.061737e+01,-8.330590e+01,-7.347926e+01,-5.487186e+01,-5.724691e+01,-5.467037e+01,-5.876513e+01,-7.115153e+01,-9.303613e+01,-1.369180e+02,-1.797382e+02,-2.219452e+02,-2.846126e+02,-3.398134e+02,-3.711092e+02,-3.784345e+02,-3.607022e+02,-3.183405e+02,-2.903307e+02,-2.789616e+02,-2.671403e+02,-2.617277e+02,-2.711682e+02,-2.770821e+02,-2.563252e+02,-2.395288e+02,-2.534385e+02,-2.682723e+02,-2.879460e+02,-3.193748e+02,-3.468715e+02,-3.766347e+02
9.882793e+01,1.009547e+02,9.785101e+01,9.567271e+01,9.228818e+01,9.341853e+01,9.609969e+01,9.580727e+01,9.503036e+01,9.496867e+01,9.636095e+01,9.632494e+01,9.457729e+01,9.483593e+01,9.228844e+01,6.240281e+01,3.823447e+01,3.019805e+01,2.821252e+01,2.248317e+01,1.805107e+01,2.144742e+01,2.935125e+01,4.151397e+01,5.595944e+01,7.048610e+01,9.235588e+01,1.098384e+02,1.306148e+02,1.318705e+02,1.158125e+02,1.041076e+02,1.171432e+02,1.260963e+02,1.340831e+02,1.365058e+02,1.303153e+02,1.245876e+02,1.302828e+02,1.294207e+02,1.327108e+02,1.329169e+02,1.299790e+02,1.175989e+02,1.034035e+02,9.702040e+01,9.320206e+01,9.019695e+01
-2.370044e+00,-6.422603e+00,-7.384031e+00,-6.883548e+00,-7.860204e+00,-5.976283e+00,-5.573643e+00,-8.014964e+00,-9.234111e+00,-2.964130e+00,2.040171e+00,-8.604960e-01,-4.314343e+00,1.472978e+01,2.479313e+01,2.961454e+01,3.830106e+01,3.944308e+01,2.666295e+01,2.691955e+01,3.333588e+01,3.591758e+01,4.378374e+01,4.180957e+01,4.135677e+01,4.165962e+01,3.336923e+01,3.265382e+01,1.895620e+01,1.087068e+01,8.572393e+00,-3.889730e+00,7.997270e-01,-1.631045e+01,-2.784474e+01,-3.054483e+01,-3.870020e+01,-4.478213e+01,-3.832272e+01,-2.505398e+01,-3.384939e+01,-4.515665e+01,-2.976622e+01,-5.373520e+00,-7.354692e-01,-6.205603e+00,-9.276413e+00,-1.402725e+01
-1.047231e+01,-5.111620e+00,-3.013533e+00,-5.334024e+00,-9.742981e-02,1.890315e+00,-1.262301e+00,-1.341402e+00,6.351208e-01,3.191196e+00,-3.265768e-01,1.518542e+00,1.683373e+00,5.091272e+01,6.537639e+01,6.030568e+01,6.092837e+01,5.925721e+01,4.721507e+01,5.191927e+01,6.388805e+01,6.179635e+01,5.885332e+01,5.779259e+01,5.734982e+01,5.491680e+01,4.264090e+01,4.203845e+01,3.826640e+01,2.342073e+01,1.207701e+01,2.645401e+00,4.664743e+00,1.897933e+00,-1.354061e-01,-4.462577e+00,-3.935968e+00,-6.004757e+00,-1.128232e+01,-3.391052e+00,1.216325e+00,-1.744797e+00,-8.712452e+00,-2.849135e+00,6.197161e-01,-5.999392e-01,3.018100e+00,-8.865710e-01
1.426600e+01,1.439362e+01,1.563017e+01,1.593947e+01,2.156697e+01,2.421850e+01,2.066199e+01,1.869382e+01,1.998170e+01,2.001216e+01,1.500932e+01,1.723480e+01,1.992339e+01,-1.050316e+01,-3.937804e+01,-4.552430e+01,-4.538587e+01,-3.780534e+01,-3.470826e+01,-4.492709e+01,-4.805838e+01,-4.703040e+01,-4.462440e+01,-4.110251e+01,-3.564027e+01,-2.838515e+01,-1.318515e+01,6.056938e+00,2.465683e+01,3.100808e+01,2.673101e+01,1.621613e+01,3.238103e+00,5.066982e+00,3.905993e+00,7.445474e-01,3.560674e-02,-4.033115e-01,-8.654916e-02,-1.619945e+00,-2.905231e+00,-4.108333e+00,-2.784575e+00,-3.297108e+00,-7.716820e+00,-9.337605e+00,5.205313e+00,1.631240e+01
4.674247e+00,-6.330488e-01,6.894646e-01,3.225344e+00,8.779062e+00,1.337695e+01,1.066923e+01,8.189597e+00,5.574203e+00,2.893522e+00,9.032597e+00,9.785660e+00,7.767872e+00,2.853210e+01,3.455139e+01,4.039682e+01,3.477976e+01,2.809041e+01,2.985537e+01,3.699947e+01,3.844146e+01,3.387146e+01,3.605350e+01,3.821386e+01,4.421555e+01,4.897327e+01,4.220568e+01,3.387965e+01,2.493868e+01,2.709243e+01,1.517373e+01,3.960114e+00,-1.507216e+01,-1.507558e+01,-7.925008e+00,-2.006372e+00,-1.444353e-01,2.053808e+00,2.091321e+00,-1.748187e+00,-4.929357e+00,-9.169769e+00,-1.300542e+01,-1.021657e+01,-1.134129e+01,-1.057355e+01,-1.100254e+00,6.813382e+00
-6.027690e+00,-1.293061e+00,-1.208669e+00,-2.451533e+00,1.496715e+00,3.719369e+00,9.077652e-01,3.463119e+00,1.549803e+00,-2.480386e+00,2.495223e+00,6.692938e+00,4.163610e+00,1.261082e+01,8.794394e+00,9.567031e+00,6.259025e+00,1.875280e+00,8.403895e-01,2.296834e+00,7.152273e+00,5.861041e+00,9.248117e+00,5.273289e+00,1.940636e+00,4.187812e+00,4.109955e-01,1.069757e+00,9.616524e+00,1.752992e+01,1.140598e+01,2.367138e+00,-1.489416e+01,-2.791924e+01,-2.149109e+01,-8.023827e+00,-5.742644e+00,-3.221773e+00,-6.315042e-01,-6.644938e-01,3.464879e+00,-1.031938e-01,-1.035185e+01,-1.260879e+01,-1.149061e+01,-6.451915e+00,-3.752491e+00,-3.388928e-01
-1.461941e+00,2.773967e-01,2.950146e+00,9.153462e-01,8.686766e-01,-2.269259e-01,-2.135345e+00,4.595921e+00,5.832673e+00,2.425128e+00,1.706257e+00,5.365952e+00,7.114680e+00,-1.801917e+01,-3.629418e+01,-3.852494e+01,-3.683721e+01,-3.383283e+01,-2.841304e+01,-3.425592e+01,-4.223129e+01,-4.689719e+01,-4.342255e+01,-4.458940e+01,-4.504987e+01,-3.340789e+01,-1.907851e+01,-1.228123e+01,-4.041407e+00,8.003695e+00,6.059716e+00,-8.235589e-01,-1.189972e+01,-1.575752e+01,-1.707091e+01,-6.138489e+00,-2.246680e+00,1.398721e+00,1.788783e+00,1.766008e+00,8.919886e+00,8.507420e+00,6.772224e+00,1.061821e+01,1.353828e+01,1.961522e+01,1.746616e+01,1.033263e+01
3.782679e-01,-1.893054e+00,1.299640e+00,5.033039e+00,4.840954e+00,1.544554e+00,4.278345e+00,6.849299e+00,7.180440e+00,6.264336e+00,6.576681e+00,6.133107e+00,4.314590e+00,1.748924e+01,2.198584e+01,1.226184e+01,8.800201e+00,1.590872e+01,2.293899e+01,2.317100e+01,1.677224e+01,7.033819e+00,6.444262e+00,1.124639e+01,7.982731e+00,-6.186655e-02,2.266590e+00,7.641600e+00,9.967278e+00,6.033484e+00,2.830169e+00,8.185432e-01,-7.547444e+00,-1.169020e+01,-1.947834e+01,-1.821192e+01,-1.215034e+01,-4.606685e+00,-7.916304e+00,-2.312897e+01,-2.789379e+01,-2.165352e+01,-1.813742e+01,-1.691412e+01,-1.464557e+01,-1.450502e+01,-1.050938e+01,-9.716074e+00
-6.508536e+00,-3.036353e+00,5.585257e-01,6.261436e+00,6.215315e+00,3.291329e+00,5.184289e+00,7.216537e+00,7.321648e+00,6.195096e+00,2.690618e+00,2.152338e+00,-8.230124e-01,-7.184506e+00,-2.142599e+01,-2.793292e+01,-2.392976e+01,-1.924038e+01,-1.712400e+01,-1.406567e+01,-1.510041e+01,-1.909061e+01,-2.059404e+01,-1.593683e+01,-9.633751e+00,-1.169762e+01,-1.529224e+01,-1.634626e+01,-1.135619e+01,-5.539696e+00,-3.227463e+00,3.028795e+00,3.362758e+00,-5.137014e+00,-8.212570e+00,-1.208831e+00,3.678112e+00,1.096157e+01,1.466479e+01,9.935867e+00,-1.857991e+00,-1.007551e-01,2.451833e+00,5.383005e+00,6.848900e+00,1.769732e+00,-1.243286e+00,-7.042284e+00
