Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-4.145717e+02,-3.907259e+02,-3.863019e+02,-3.868528e+02,-3.849296e+02,-3.826272e+02,-3.826647e+02,-3.800941e+02,-3.742444e+02,-3.741919e+02,-3.448884e+02,-2.435664e+02,-1.830241e+02,-1.654353e+02,-1.537437e+02,-1.495610e+02,-1.501938e+02,-1.418816e+02,-1.285037e+02,-1.151020e+02,-9.783104e+01,-7.369199e+01,-6.117004e+01,-6.311368e+01,-5.904514e+01,-5.520586e+01,-7.340010e+01,-1.059682e+02,-1.660736e+02,-2.715954e+02,-3.436569e+02,-3.467905e+02,-3.249460e+02,-3.278524e+02
6.623753e+01,8.003852e+01,8.568456e+01,8.542993e+01,8.389862e+01,8.350343e+01,8.237219e+01,8.585062e+01,9.256161e+01,9.418930e+01,1.000067e+02,1.151368e+02,1.187082e+02,1.089632e+02,1.001753e+02,9.143095e+01,8.747382e+01,8.487758e+01,7.826714e+01,7.051984e+01,6.937274e+01,6.806213e+01,6.959296e+01,7.373931e+01,5.916447e+01,4.981266e+01,4.966897e+01,5.339249e+01,6.776257e+01,8.272601e+01,9.206787e+01,9.263554e+01,9.082215e+01,8.602066e+01
-4.133900e-01,-5.080302e+00,-3.197604e+00,-4.348620e+00,-7.448582e+00,-9.589561e+00,-8.331527e+00,-6.946404e+00,-7.037465e+00,-5.266694e+00,1.633556e+00,9.143270e+00,1.914692e+01,2.888899e+01,1.987382e+01,2.245631e+01,3.202495e+01,4.206600e+01,4.828091e+01,5.029473e+01,4.802173e+01,3.798839e+01,2.890467e+01,2.238368e+01,1.876371e+01,8.251060e+00,-9.120383e+00,-2.266074e+01,-3.258319e+01,-3.554632e+01,-2.645623e+01,-1.810242e+01,-1.006028e+01,-2.814249e+00
-3.235261e-01,-1.915581e+00,-6.723627e+00,-7.428267e+00,-6.099826e+00,-4.522707e+00,7.157260e-01,6.793307e-01,-4.586779e+00,-5.883543e+00,1.287619e+01,3.085529e+01,4.474063e+01,5.202235e+01,4.605017e+01,4.503448e+01,4.680766e+01,4.154333e+01,2.988860e+01,3.111511e+01,3.065160e+01,3.696379e+01,4.519827e+01,4.954613e+01,5.753988e+01,5.734957e+01,5.785186e+01,6.255499e+01,5.469904e+01,2.847506e+01,4.874648e+00,-9.053929e-01,7.482689e-01,6.053880e-01
1.891462e+01,1.505957e+01,7.665493e+00,9.792404e+00,1.061006e+01,1.167063e+01,1.409064e+01,1.509432e+01,1.282359e+01,9.960360e+00,1.912306e+00,-2.318801e+01,-3.588930e+01,-3.642964e+01,-3.334165e+01,-3.552680e+01,-3.157368e+01,-3.758022e+01,-4.504985e+01,-5.033052e+01,-5.523727e+01,-5.691501e+01,-5.356149e+01,-4.349743e+01,-3.791273e+01,-3.927788e+01,-2.984969e+01,-1.948470e+01,-9.698222e+00,5.249234e+00,1.490242e+01,1.860220e+01,2.538493e+01,2.361382e+01
1.062525e+01,1.140879e+01,7.245102e+00,9.699534e+00,1.021051e+01,6.897713e+00,7.072999e+00,8.874884e+00,7.883151e+00,6.210859e+00,1.175731e+01,2.163075e+01,2.900400e+01,3.945800e+01,4.875202e+01,4.733318e+01,4.135625e+01,3.675842e+01,4.123150e+01,4.415181e+01,4.640605e+01,4.140024e+01,3.985227e+01,4.078999e+01,2.901277e+01,2.102538e+01,1.891591e+01,1.909285e+01,1.488183e+01,5.425212e+00,1.022484e+01,1.094027e+01,2.731095e+00,-8.792917e-01
-5.730942e-01,7.343387e+00,4.964791e+00,9.026752e+00,1.282226e+01,6.779071e+00,9.471157e+00,1.337870e+01,1.105790e+01,1.178240e+01,6.363790e+00,-1.437524e+01,-2.775220e+01,-3.210465e+01,-2.934485e+01,-3.330578e+01,-4.084174e+01,-4.590750e+01,-4.581134e+01,-3.717838e+01,-3.018718e+01,-3.571849e+01,-3.979784e+01,-4.449309e+01,-4.393124e+01,-3.759035e+01,-2.768166e+01,-2.662851e+01,-2.866800e+01,-5.574203e+00,1.545543e+01,1.035422e+01,7.142996e+00,5.939597e+00
1.781927e-01,7.528298e-03,-2.266009e+00,1.353743e+00,5.464174e+00,9.606435e-01,1.542011e+00,4.219678e+00,4.006536e+00,5.718680e+00,-7.416920e+00,-2.954513e+01,-2.772130e+01,-2.505333e+01,-1.911936e+01,-1.550692e+01,-4.857533e+00,6.636798e+00,9.729977e+00,1.057746e+01,1.053132e+01,1.208980e+01,7.349442e+00,-5.174994e+00,-6.353827e+00,2.958535e+00,8.701664e+00,1.048524e+01,1.014996e+01,6.863430e+00,6.590318e+00,-3.476847e+00,-7.008922e+00,-6.839977e+00
-1.337673e-01,-2.563841e+00,-2.621473e+00,-4.162293e+00,-9.156525e-02,-1.166005e-01,-5.078591e+00,-9.364923e+00,-7.604327e+00,-6.315578e+00,2.095536e+00,-4.185901e+00,-2.608582e+00,-3.374495e+00,-7.198796e+00,-8.217404e+00,7.861183e-01,5.201450e+00,-3.131694e-02,-6.224325e+00,-1.444520e+01,-2.359828e+01,-3.086354e+01,-3.169123e+01,-2.438730e+01,-1.339107e+01,-1.702906e+01,-2.022548e+01,-1.449705e+01,2.448406e+00,3.565689e+00,2.047492e+00,5.234087e+00,6.148259e+00
-5.826942e+00,-5.129361e+00,-3.267878e+00,-2.192426e+00,5.806572e-01,1.095082e+00,-4.481833e+00,-8.751798e+00,-3.773110e+00,-4.370247e+00,-1.766848e+01,-1.914268e+01,-1.550115e+01,-1.057452e+01,-1.178792e+01,-1.274499e+01,-1.336056e+01,-1.358660e+01,-9.520599e+00,-3.500344e+00,-3.851848e-01,-8.475993e+00,-1.755461e+01,-1.727403e+01,-1.044517e+01,-2.079221e+00,1.505162e+00,-9.954903e-01,-1.040848e+01,-1.407831e+01,-1.022154e+01,-4.098465e+00,3.726458e+00,4.299640e+00
