Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.352119e+02,-4.139209e+02,-3.558925e+02,-2.893210e+02,-2.457427e+02,-2.199157e+02,-1.946066e+02,-1.854326e+02,-1.783067e+02,-1.626032e+02,-1.432810e+02,-1.230471e+02,-1.092084e+02,-1.089205e+02,-1.256125e+02,-1.287126e+02,-1.189321e+02,-1.253214e+02,-1.425659e+02,-1.733783e+02,-2.172797e+02,-2.762574e+02,-3.273892e+02,-3.685712e+02,-3.919280e+02,-3.993230e+02,-4.051981e+02,-4.058691e+02,-4.057704e+02,-4.010478e+02,-3.828839e+02,-3.691177e+02
4.562463e+01,6.416125e+01,1.140971e+02,1.221503e+02,1.227639e+02,1.072470e+02,8.884915e+01,7.854206e+01,7.177870e+01,7.155742e+01,6.923654e+01,7.044625e+01,6.847510e+01,6.647119e+01,7.193662e+01,6.540669e+01,3.840829e+01,2.694408e+01,3.260737e+01,3.874761e+01,5.231516e+01,6.243047e+01,6.743123e+01,7.160667e+01,6.865495e+01,6.980482e+01,7.106602e+01,7.164500e+01,7.122601e+01,7.416177e+01,7.150732e+01,6.782597e+01
1.073898e+01,1.168405e+01,4.508903e+01,5.454737e+01,4.768059e+01,4.453609e+01,3.779973e+01,4.266566e+01,5.122071e+01,5.444392e+01,4.167271e+01,3.228000e+01,3.137700e+01,3.255906e+01,3.620135e+01,3.921056e+01,3.310175e+01,1.736095e+01,5.994851e+00,7.390552e-01,2.660384e+00,-2.380181e+00,-7.195907e+00,-1.572664e+00,-2.199848e-01,5.479568e+00,1.395639e+01,1.515321e+01,1.405589e+01,1.174879e+01,9.623558e+00,7.623107e+00
-2.846820e+00,-4.400804e+00,1.761042e+01,4.098715e+01,3.823737e+01,2.984709e+01,3.000700e+01,3.365610e+01,3.308023e+01,2.520200e+01,2.254300e+01,2.867128e+01,2.925060e+01,3.532129e+01,3.583264e+01,2.293671e+01,2.742792e+01,3.288739e+01,3.182933e+01,3.263828e+01,2.293018e+01,6.100324e+00,3.768341e+00,6.327583e+00,3.469740e+00,3.133931e-01,7.340529e-01,-6.790266e-01,-3.626120e+00,-9.490879e+00,-1.093122e+01,-1.058603e+01
7.242892e+00,1.127424e+01,-6.925826e+00,-3.411407e+01,-3.787513e+01,-4.089120e+01,-4.981601e+01,-5.427677e+01,-5.303983e+01,-5.983995e+01,-6.332085e+01,-6.410760e+01,-6.723833e+01,-6.634502e+01,-5.318265e+01,-4.343686e+01,-2.931690e+01,-1.339713e+01,-7.368693e+00,9.134948e-03,9.768664e+00,2.175142e+01,2.527442e+01,1.669509e+01,1.850602e+01,1.886573e+01,1.530150e+01,1.217274e+01,5.151548e+00,3.893452e+00,1.441746e+01,1.856203e+01
1.653868e+01,2.053691e+01,-7.353013e-01,1.823635e+00,5.733437e+00,2.079557e+01,3.606438e+01,3.927062e+01,4.681099e+01,4.691516e+01,3.489972e+01,4.033421e+01,4.884616e+01,4.683847e+01,3.831165e+01,2.666492e+01,2.847197e+01,3.113922e+01,2.147123e+01,1.276687e+01,1.417826e+00,-1.571643e+01,-1.616517e+01,-8.593078e+00,7.708702e+00,1.960516e+01,1.994015e+01,1.734758e+01,9.234164e+00,1.118779e+01,1.030626e+01,5.672051e+00
1.187553e+01,1.335781e+01,-1.864437e+01,-2.862593e+01,-2.698225e+01,-2.712291e+01,-2.461614e+01,-2.589330e+01,-2.786338e+01,-3.316869e+01,-3.536648e+01,-4.020272e+01,-4.468934e+01,-4.195947e+01,-3.663723e+01,-3.517968e+01,-3.657613e+01,-3.397136e+01,-3.920613e+01,-3.984599e+01,-3.086156e+01,-1.602188e+01,-1.317109e+00,5.891383e+00,6.665445e+00,9.702883e+00,1.299703e+01,1.114171e+01,6.954413e+00,8.765799e+00,1.103072e+01,1.562066e+01
1.429333e+00,3.384407e+00,-3.042706e+01,-4.464754e+01,-3.416476e+01,-3.152115e+01,-2.273795e+01,-1.347041e+01,-5.685401e+00,-4.744129e+00,-1.280617e+00,-4.502666e+00,-8.300277e+00,-1.109461e+01,-1.127691e+01,-1.161409e+01,-5.098296e+00,1.631730e+00,2.602123e+00,6.909291e+00,2.020296e+01,3.126919e+01,2.671489e+01,1.623791e+01,7.545485e+00,2.769617e+00,5.201058e+00,4.015553e+00,2.806505e+00,3.268911e+00,-3.558534e-01,6.942697e-01
-4.873203e+00,-3.632100e+00,-1.122137e+01,2.489279e+00,7.329193e+00,4.577720e+00,3.337758e+00,1.963905e+00,-9.511285e-01,-3.106910e+00,-5.408090e+00,-7.828738e+00,-1.350047e+01,-1.965689e+01,-2.354159e+01,-1.368296e+01,-8.458822e+00,-2.592772e+00,-4.905382e+00,-8.119484e+00,-5.653881e+00,-9.360968e+00,-4.204741e+00,1.446348e-01,7.891777e-02,-1.823381e-03,-6.179086e-01,1.220339e+00,8.002946e-01,-7.639254e-01,-4.195919e+00,9.887508e-01
-7.528922e+00,-1.030067e+01,-2.195529e+01,-1.816516e+01,-1.148344e+01,3.256954e+00,8.972564e+00,9.637416e+00,1.117191e+01,9.389700e+00,-4.595696e-01,-9.169586e+00,-1.297680e+01,-1.102448e+01,-1.118830e+01,-4.499332e+00,-6.332498e+00,-8.783496e+00,-5.315217e+00,3.670285e+00,7.145401e+00,3.653510e+00,-5.160352e+00,-6.829976e+00,-4.850645e+00,-5.120739e+00,-5.030032e+00,9.201472e-01,2.090082e+00,-2.601025e+00,-6.970106e+00,-4.187911e+00
