Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33
-5.124075e+02,-4.899225e+02,-4.848495e+02,-4.890706e+02,-4.934033e+02,-4.910611e+02,-4.899041e+02,-4.891420e+02,-4.922994e+02,-4.870203e+02,-3.188006e+02,-1.766040e+02,-1.106902e+02,-9.425590e+01,-9.646995e+01,-1.062607e+02,-9.066621e+01,-8.113290e+01,-8.211481e+01,-1.001971e+02,-1.545031e+02,-2.318465e+02,-2.992785e+02,-3.733477e+02,-4.313213e+02,-4.663210e+02,-4.826856e+02,-4.822751e+02,-4.867954e+02,-4.928450e+02,-4.931604e+02,-4.938260e+02,-4.952897e+02
8.932294e+01,1.005412e+02,1.031517e+02,9.917729e+01,9.330960e+01,9.577968e+01,9.822486e+01,9.824675e+01,9.493802e+01,1.002824e+02,7.652978e+01,6.020773e+01,3.350267e+01,1.362912e+01,1.232439e+01,2.358528e+01,1.278914e+01,1.590093e+01,2.967546e+01,5.061919e+01,7.787234e+01,1.094699e+02,1.304194e+02,1.316262e+02,1.179646e+02,1.069524e+02,1.015304e+02,1.076917e+02,1.049402e+02,9.979871e+01,9.708875e+01,9.695371e+01,9.664304e+01
1.539198e+01,9.235900e+00,6.992621e+00,8.053349e+00,5.710765e+00,6.919909e+00,7.873402e+00,6.554677e+00,5.394390e+00,7.899696e+00,5.257288e+01,4.057158e+01,3.111591e+01,2.579655e+01,2.973713e+01,2.866212e+01,2.722484e+01,2.271074e+01,2.920546e+01,3.932919e+01,4.514803e+01,4.453192e+01,4.399268e+01,4.359782e+01,2.381803e+01,5.063252e+00,-1.710183e-01,6.508233e+00,7.750102e+00,1.108016e+01,8.129204e+00,7.274006e+00,9.847166e+00
-3.676448e+00,-8.836069e-01,-2.820385e+00,2.685096e+00,5.045200e+00,4.845163e+00,7.984632e-01,1.043106e-01,3.378860e+00,4.572313e+00,3.993699e+01,4.843758e+01,4.566988e+01,3.905853e+01,3.717489e+01,3.593362e+01,3.949846e+01,3.931860e+01,4.114499e+01,4.575796e+01,4.911166e+01,5.492684e+01,5.598930e+01,4.675893e+01,3.132554e+01,6.593280e+00,-6.952084e+00,-8.625397e+00,-9.658926e+00,-9.639469e-01,3.319651e+00,2.300608e-02,-2.007589e+00
1.368459e+01,1.589916e+01,1.383321e+01,1.818555e+01,1.846404e+01,1.789894e+01,1.449697e+01,1.490176e+01,1.901196e+01,2.083836e+01,-5.124844e+01,-6.328134e+01,-6.610182e+01,-6.865712e+01,-6.569869e+01,-6.597034e+01,-7.503020e+01,-7.598484e+01,-7.520753e+01,-7.526970e+01,-7.261537e+01,-6.179714e+01,-3.721106e+01,-4.917650e+00,8.514999e+00,1.627168e+01,1.811396e+01,1.380894e+01,9.752743e+00,1.498282e+01,2.210986e+01,1.946129e+01,9.988457e+00
1.917618e+01,1.532432e+01,1.418157e+01,1.406126e+01,9.059717e+00,9.949963e+00,1.320312e+01,1.442901e+01,1.095389e+01,1.221491e+01,4.076126e+01,5.473614e+01,6.149163e+01,6.594843e+01,6.940960e+01,6.864345e+01,7.272622e+01,6.501395e+01,5.787122e+01,5.346791e+01,4.988565e+01,3.700035e+01,3.093406e+01,2.500892e+01,1.846802e+01,1.795912e+01,2.240980e+01,1.806622e+01,1.481297e+01,1.608651e+01,1.573921e+01,1.569092e+01,1.039651e+01
1.017833e+01,6.876747e+00,7.855790e+00,7.303610e+00,1.962357e+00,3.869882e+00,6.853732e+00,8.963186e+00,5.930051e+00,2.677536e+00,-4.941339e+01,-5.186695e+01,-4.283617e+01,-4.190144e+01,-4.226999e+01,-4.221580e+01,-4.161842e+01,-4.388133e+01,-4.833453e+01,-5.157130e+01,-4.816470e+01,-4.035074e+01,-2.955777e+01,-1.777476e+01,-4.115750e+00,3.719280e+00,1.082907e+01,1.003031e+01,7.431458e+00,1.041552e+01,6.965012e+00,9.302265e+00,1.076812e+01
4.449973e+00,2.990695e+00,1.793823e+00,2.322410e+00,-1.333491e+00,2.437797e+00,5.852277e-01,9.954553e-01,6.470466e+00,5.998594e+00,-1.929457e+01,-4.221991e+00,5.527386e+00,6.889590e+00,6.877623e+00,1.038675e+01,1.412107e+01,1.539754e+01,9.138000e+00,1.159585e+00,-2.838898e+00,-1.073392e+01,-1.774758e+01,-1.244675e+01,-9.366805e+00,-7.995216e+00,-2.537897e-01,3.127430e+00,-2.006686e-02,2.946600e+00,2.638124e+00,7.375760e+00,8.962612e+00
4.073584e+00,6.845160e+00,2.352100e+00,8.644506e-01,-1.616397e+00,2.955896e+00,2.682812e+00,7.660750e-02,4.956253e+00,1.122152e+01,-8.213391e+00,-2.014490e+01,-1.713325e+01,-1.440764e+01,-1.313500e+01,-1.445760e+01,-1.247438e+01,-5.210176e+00,-7.645695e+00,-1.151717e+01,-8.016232e+00,2.573696e+00,7.428674e+00,-4.408507e+00,-1.255378e+00,-1.410823e+00,1.900821e+00,1.831047e+00,3.590134e-01,-1.133539e+00,-1.196036e+00,2.448233e+00,3.834859e+00
1.366377e+00,1.280939e+00,-1.494685e+00,-3.299382e+00,-3.534275e+00,-1.270959e+00,-3.584644e-02,-4.611581e+00,-2.783888e+00,9.008827e-01,8.317998e+00,1.799582e+01,2.458268e+01,2.201146e+01,2.026627e+01,1.651892e+01,1.472176e+01,1.582533e+01,1.646628e+01,1.169569e+01,7.816114e+00,3.917224e-01,-1.005905e+01,-1.562108e+01,-1.773589e+01,-8.077829e+00,5.592331e-01,-1.060332e+00,-1.717455e+00,-5.458636e+00,-3.898460e+00,-2.990483e+00,-2.802890e+00
