Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.582083e+02,-4.462510e+02,-4.371559e+02,-3.796488e+02,-2.834295e+02,-2.097003e+02,-1.660556e+02,-1.452084e+02,-1.370339e+02,-1.374770e+02,-1.367774e+02,-1.420974e+02,-1.525451e+02,-1.590674e+02,-1.627193e+02,-1.614670e+02,-1.609811e+02,-1.592421e+02,-1.612788e+02,-1.503313e+02,-1.353642e+02,-1.187955e+02,-1.189676e+02,-1.477553e+02,-1.991110e+02,-2.571241e+02,-3.056441e+02,-3.778173e+02,-4.211659e+02,-4.414968e+02
2.537578e+01,3.728844e+01,4.602980e+01,8.048572e+01,8.868501e+01,6.735884e+01,5.108167e+01,4.445168e+01,4.124162e+01,3.850872e+01,3.730338e+01,4.414178e+01,5.237837e+01,5.804430e+01,5.683027e+01,5.345793e+01,5.276455e+01,5.641001e+01,5.080196e+01,4.154271e+01,3.183479e+01,3.604578e+01,5.188734e+01,7.066867e+01,9.026640e+01,1.053174e+02,9.493665e+01,8.371410e+01,6.422258e+01,4.351672e+01
1.346118e+01,1.556365e+01,1.774260e+01,4.282269e+01,6.051670e+01,6.207769e+01,4.838274e+01,3.031319e+01,2.370926e+01,2.186378e+01,2.171779e+01,2.243955e+01,1.853330e+01,1.844004e+01,1.873358e+01,1.928722e+01,1.973173e+01,2.047201e+01,2.456734e+01,2.545173e+01,2.043756e+01,9.782569e+00,1.524925e+01,3.139935e+01,5.643580e+01,6.538002e+01,6.162243e+01,4.541868e+01,2.916744e+01,2.144930e+01
6.297263e+00,2.918155e+00,3.205784e+00,2.525196e+01,3.155864e+01,5.447562e+01,6.174042e+01,5.543499e+01,5.296904e+01,5.165407e+01,4.867968e+01,4.418889e+01,4.053879e+01,3.780139e+01,3.791068e+01,3.957052e+01,3.970743e+01,3.814548e+01,4.535029e+01,5.311583e+01,5.906178e+01,5.875987e+01,5.706917e+01,5.471107e+01,5.382800e+01,4.466256e+01,3.653843e+01,2.786714e+01,1.246190e+01,8.223500e+00
7.781326e+00,5.883848e+00,5.966955e+00,5.675118e-01,-2.490073e+01,-4.743615e+01,-5.187677e+01,-5.507336e+01,-6.070000e+01,-5.493898e+01,-4.894981e+01,-5.055345e+01,-4.665701e+01,-4.511769e+01,-4.307687e+01,-4.158740e+01,-3.912200e+01,-3.933526e+01,-3.651349e+01,-3.801789e+01,-4.680131e+01,-4.863805e+01,-4.765132e+01,-4.852651e+01,-3.721579e+01,-1.350120e+01,4.114800e+00,1.616038e+01,1.392034e+01,7.071074e+00
1.210688e+01,1.375576e+01,1.036613e+01,1.888746e+01,3.586930e+01,3.439051e+01,4.162719e+01,5.441196e+01,5.753693e+01,6.764050e+01,7.351048e+01,6.990359e+01,6.044911e+01,6.122194e+01,5.988181e+01,5.828391e+01,6.119332e+01,6.182603e+01,6.838835e+01,7.270652e+01,6.849249e+01,6.107261e+01,5.367523e+01,4.655072e+01,3.980229e+01,3.312696e+01,3.819830e+01,3.058661e+01,1.452626e+01,8.749905e+00
1.195940e+01,1.460526e+01,8.171320e+00,-1.022705e+01,-3.836370e+01,-5.283704e+01,-5.580934e+01,-4.053032e+01,-3.257798e+01,-3.453062e+01,-3.451152e+01,-3.136759e+01,-3.180600e+01,-3.130312e+01,-3.298998e+01,-3.139165e+01,-3.333644e+01,-3.942042e+01,-4.230621e+01,-4.355136e+01,-3.950442e+01,-3.422766e+01,-4.005332e+01,-4.418655e+01,-4.906418e+01,-4.136153e+01,-2.347327e+01,7.709496e+00,1.068216e+01,8.975483e+00
6.662118e+00,8.254779e+00,4.543087e+00,-2.625196e+01,-2.301540e+01,-1.665005e+01,-8.897165e+00,5.638000e+00,7.882226e+00,-9.959762e-01,-3.726280e-02,3.524478e+00,2.589253e+00,5.299848e-01,4.556260e+00,9.573841e+00,7.567672e+00,-3.829647e-01,-4.499217e+00,-3.560419e+00,-2.297194e+00,1.974707e+00,-4.987791e-01,-5.755646e+00,-1.344655e+01,-1.732356e+01,-8.141014e+00,2.999610e-01,9.463255e+00,9.936787e+00
1.263695e+00,2.212683e+00,3.733277e+00,-1.291672e+00,-1.594965e+00,-8.613360e+00,-1.269482e+01,-1.361139e+01,-1.891292e+01,-2.343250e+01,-1.901114e+01,-1.501769e+01,-1.539832e+01,-1.623475e+01,-1.321755e+01,-9.900505e+00,-8.931833e+00,-1.330112e+01,-9.799964e+00,-1.282302e+01,-2.305388e+01,-2.245628e+01,-1.499551e+01,-9.657011e+00,-4.238098e+00,4.301136e-01,8.138821e+00,1.718310e+01,8.302405e+00,1.113357e+01
-1.181102e-01,8.611758e-01,3.566805e+00,-1.494686e+01,-1.443378e+01,-5.024219e+00,1.701117e-04,-6.410727e+00,-9.121515e+00,-1.155886e+01,-7.747048e+00,-3.727366e+00,-1.545250e+00,-5.171802e+00,-7.534022e+00,-2.987858e+00,4.431898e-01,-2.409209e+00,-3.177380e+00,-7.663593e-01,-8.334146e+00,-1.076797e+01,-5.558595e+00,-7.212718e+00,-1.199334e+01,-1.388328e+01,-8.357475e+00,-1.774933e+00,1.917659e+00,9.530149e+00
