Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-4.645406e+02,-4.418409e+02,-4.391690e+02,-4.472869e+02,-4.568403e+02,-4.553295e+02,-4.158387e+02,-3.334872e+02,-2.470366e+02,-1.770780e+02,-1.480780e+02,-1.382093e+02,-1.341048e+02,-1.404841e+02,-1.546326e+02,-1.544905e+02,-1.525307e+02,-1.564962e+02,-1.544208e+02,-1.452164e+02,-1.414642e+02,-1.451835e+02,-1.520611e+02,-1.666032e+02,-1.881832e+02,-2.054117e+02,-2.374313e+02,-2.658864e+02,-2.935827e+02,-3.463884e+02,-3.907610e+02,-4.227582e+02,-4.389749e+02,-4.449953e+02,-4.507006e+02,-4.558970e+02,-4.590220e+02,-4.695907e+02
2.593287e+01,4.605656e+01,5.040886e+01,4.457977e+01,3.613721e+01,3.644943e+01,6.970033e+01,7.437027e+01,7.203888e+01,5.405677e+01,4.021336e+01,2.803034e+01,2.137380e+01,2.376731e+01,3.375928e+01,3.645036e+01,4.223971e+01,3.616789e+01,3.414738e+01,3.415109e+01,2.424685e+01,1.870246e+01,2.368864e+01,3.485859e+01,5.052573e+01,7.058442e+01,8.012422e+01,7.504623e+01,6.702713e+01,6.722507e+01,7.567286e+01,6.063394e+01,4.765151e+01,4.370250e+01,4.048225e+01,3.735429e+01,3.444259e+01,2.465307e+01
9.082354e+00,1.070216e+01,1.466510e+01,1.825111e+01,1.726173e+01,1.434757e+01,3.052264e+01,5.629074e+01,6.496787e+01,4.867357e+01,2.896199e+01,2.296798e+01,2.392889e+01,2.633611e+01,2.506634e+01,2.436977e+01,1.936325e+01,1.906497e+01,2.068242e+01,1.764583e+01,1.525414e+01,1.306191e+01,1.665733e+01,2.094358e+01,3.376152e+01,4.219077e+01,5.358102e+01,6.830389e+01,5.682082e+01,3.911444e+01,2.547222e+01,1.466596e+01,9.604034e+00,1.118310e+01,1.546365e+01,1.856182e+01,1.825620e+01,1.766337e+01
2.035028e+00,-1.323173e+00,2.770369e+00,8.258130e+00,7.316064e+00,3.687861e+00,1.526881e+01,4.209312e+01,5.218186e+01,5.609770e+01,5.422371e+01,5.049822e+01,4.958197e+01,4.747634e+01,3.829274e+01,3.790622e+01,3.836691e+01,3.779503e+01,3.976407e+01,4.348425e+01,5.202530e+01,5.834408e+01,6.288718e+01,5.907282e+01,5.931359e+01,5.245941e+01,4.814732e+01,4.064178e+01,3.289271e+01,2.287359e+01,9.802500e+00,-7.345224e-01,5.286385e-01,1.564832e+00,4.952321e+00,8.945234e+00,9.923162e+00,1.297826e+01
6.543554e+00,1.060742e+01,1.328684e+01,1.333270e+01,8.877729e+00,7.686693e+00,2.389798e+00,-2.458471e+01,-4.889042e+01,-5.842434e+01,-6.040115e+01,-6.265353e+01,-6.012823e+01,-5.688645e+01,-5.956178e+01,-5.629570e+01,-5.330199e+01,-5.304601e+01,-5.496285e+01,-5.952244e+01,-6.498644e+01,-5.705876e+01,-4.396051e+01,-4.463479e+01,-4.519366e+01,-4.260400e+01,-3.430107e+01,-1.940551e+01,-9.016430e+00,7.371716e-01,1.058758e+01,1.490668e+01,1.723134e+01,1.192641e+01,7.347152e+00,1.033928e+01,1.180060e+01,1.258665e+01
1.172790e+01,2.072192e+01,1.919511e+01,1.463395e+01,1.150782e+01,1.254399e+01,8.991421e+00,3.057548e+01,3.587779e+01,4.096118e+01,5.321678e+01,6.359329e+01,6.626360e+01,6.537138e+01,6.158987e+01,5.905443e+01,5.623649e+01,5.484156e+01,5.559179e+01,6.237018e+01,6.964876e+01,6.852433e+01,7.081417e+01,6.510757e+01,5.658717e+01,5.096032e+01,4.680495e+01,4.186718e+01,4.640527e+01,4.181781e+01,2.437120e+01,1.797084e+01,2.302069e+01,1.638138e+01,8.547977e+00,1.293787e+01,1.480427e+01,1.317162e+01
1.164974e+01,1.510911e+01,1.209483e+01,8.017443e+00,9.632483e+00,9.885448e+00,5.075213e-01,-2.262522e+01,-4.408579e+01,-5.235011e+01,-4.401413e+01,-3.716576e+01,-3.880779e+01,-4.313493e+01,-4.470302e+01,-4.753581e+01,-4.422540e+01,-3.868679e+01,-3.715050e+01,-3.917663e+01,-3.816695e+01,-3.412757e+01,-3.214741e+01,-3.147763e+01,-2.905153e+01,-2.673385e+01,-2.621435e+01,-2.721704e+01,-1.848214e+01,3.403500e+00,1.316274e+01,7.914534e+00,1.219698e+01,1.014001e+01,7.610210e+00,1.257400e+01,1.329171e+01,1.090585e+01
9.347561e+00,7.670366e+00,3.923985e+00,3.437349e+00,7.027499e+00,5.045056e+00,-1.450347e+01,-2.423478e+01,-2.497921e+01,-1.751151e+01,-3.404328e+00,8.449396e-01,-2.891152e-01,8.643414e-01,1.853139e+00,1.984461e+00,-2.302358e+00,-2.701887e+00,1.070414e+00,2.603397e+00,-1.187439e+00,-6.830578e+00,-6.608985e+00,-4.764417e+00,-8.925150e+00,-1.646453e+01,-2.364687e+01,-1.919381e+01,-1.167846e+01,-5.082582e+00,-6.097733e+00,-1.726710e+00,3.077137e+00,6.942415e+00,9.483411e+00,1.146490e+01,9.237883e+00,5.940264e+00
7.508653e+00,4.390313e+00,1.138722e+00,3.948924e+00,6.518191e+00,4.538589e+00,-6.082013e+00,-5.123061e+00,-1.343989e+01,-2.005584e+01,-1.451208e+01,-1.264017e+01,-1.782577e+01,-2.158977e+01,-1.840824e+01,-1.352573e+01,-1.664062e+01,-1.650943e+01,-1.105886e+01,-1.439897e+01,-1.831022e+01,-2.004703e+01,-1.735859e+01,-1.044321e+01,-3.367532e+00,-3.291532e+00,-5.668946e+00,-8.188792e+00,3.143919e+00,1.778329e+01,1.394592e+01,7.093394e+00,4.897847e+00,8.405498e+00,1.041831e+01,8.962715e+00,5.025243e+00,1.496036e+00
4.763072e+00,2.126537e+00,7.321265e-02,4.109449e+00,5.834246e+00,6.757385e+00,-1.532263e+01,-2.375850e+01,-1.483922e+01,-9.255520e+00,-8.917923e+00,-5.701963e+00,-6.014902e+00,-6.445795e+00,-3.723617e+00,1.062330e-01,-4.960599e+00,-5.293034e+00,7.474458e-01,-1.906496e+00,-8.776927e+00,-1.112072e+01,-1.740668e+01,-1.470931e+01,-3.874451e+00,-4.663709e+00,-1.004875e+01,-7.393670e+00,-1.194796e+01,-6.177801e+00,-9.889864e-01,6.003110e+00,5.387222e+00,4.790227e+00,5.285750e+00,3.395628e+00,8.146355e-01,-1.974925e-01
