Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.639793e+02,-4.547152e+02,-4.492839e+02,-4.447542e+02,-4.262278e+02,-3.435020e+02,-2.410725e+02,-1.725153e+02,-1.484354e+02,-1.415277e+02,-1.297940e+02,-1.258560e+02,-1.359597e+02,-1.516219e+02,-1.643932e+02,-1.706139e+02,-1.632899e+02,-1.578676e+02,-1.447020e+02,-1.402251e+02,-1.374748e+02,-1.428454e+02,-1.674452e+02,-2.097390e+02,-2.619949e+02,-3.075724e+02,-3.466543e+02,-3.901796e+02,-4.279918e+02,-4.445888e+02,-4.512726e+02,-4.495500e+02,-4.456797e+02,-4.381042e+02,-4.335085e+02,-4.327906e+02
1.167090e+01,2.134196e+01,2.927717e+01,3.365384e+01,4.869257e+01,7.493158e+01,6.959628e+01,5.656750e+01,4.511365e+01,3.363038e+01,2.869439e+01,3.137477e+01,4.466183e+01,4.711946e+01,4.869159e+01,4.213372e+01,3.961480e+01,4.035761e+01,3.548561e+01,3.146329e+01,3.662166e+01,5.053773e+01,6.585193e+01,8.099004e+01,9.925209e+01,1.113763e+02,1.008547e+02,8.038589e+01,5.345459e+01,3.462328e+01,2.728736e+01,2.906027e+01,3.061020e+01,3.683687e+01,4.267670e+01,4.477407e+01
1.050625e+01,1.215937e+01,1.668642e+01,1.706004e+01,2.110075e+01,2.223769e+01,4.229984e+01,4.067777e+01,3.180896e+01,2.596008e+01,1.945271e+01,1.791780e+01,1.900540e+01,1.106233e+01,1.395045e+01,1.361567e+01,4.422991e+00,6.499325e+00,1.051927e+01,8.150269e+00,7.401496e+00,1.606205e+01,3.094704e+01,5.688197e+01,7.294264e+01,6.932246e+01,6.107322e+01,4.281050e+01,3.023957e+01,2.013160e+01,1.639251e+01,1.678413e+01,1.220916e+01,1.046807e+01,1.407720e+01,1.650655e+01
1.067275e+01,7.827334e+00,8.457130e+00,6.474110e+00,1.263951e+01,3.831331e+01,5.588621e+01,6.170405e+01,5.423800e+01,5.088145e+01,5.276919e+01,4.815501e+01,4.105233e+01,3.828378e+01,4.095640e+01,4.242799e+01,4.021349e+01,4.473979e+01,4.934236e+01,5.511837e+01,5.302272e+01,4.999789e+01,5.115831e+01,4.422227e+01,3.686497e+01,3.521872e+01,3.763071e+01,2.537540e+01,1.699418e+01,1.194752e+01,9.133493e+00,8.551635e+00,4.291280e+00,-6.532673e-01,-7.563573e-01,-1.444831e+00
8.001093e+00,6.545922e+00,8.004547e+00,6.470428e+00,1.101254e+01,2.583935e+00,-2.661412e+01,-4.472166e+01,-5.142739e+01,-5.893981e+01,-6.222688e+01,-5.578322e+01,-4.815704e+01,-4.318095e+01,-4.313192e+01,-4.650422e+01,-4.306807e+01,-4.418687e+01,-5.333743e+01,-5.429031e+01,-5.440105e+01,-5.676749e+01,-5.433471e+01,-4.958694e+01,-3.836996e+01,-1.709368e+01,5.218126e+00,1.209371e+01,1.631377e+01,1.239928e+01,8.284907e+00,7.499034e+00,9.547766e+00,6.011382e+00,2.623920e+00,-1.057055e+00
9.459921e+00,8.691034e+00,1.005507e+01,1.045649e+01,8.421398e+00,1.127804e+01,3.737682e+01,4.450148e+01,5.323619e+01,6.453403e+01,6.651241e+01,7.106390e+01,6.364905e+01,5.921690e+01,6.277619e+01,5.853053e+01,6.083935e+01,6.363264e+01,7.071495e+01,7.334651e+01,6.508955e+01,5.648889e+01,4.977123e+01,4.912930e+01,3.857656e+01,2.597915e+01,2.895209e+01,2.300480e+01,1.628975e+01,1.365288e+01,9.963083e+00,9.041321e+00,1.557005e+01,1.280467e+01,9.424726e+00,6.796982e+00
8.768888e+00,8.541262e+00,9.263383e+00,1.186603e+01,4.622042e-01,-1.473808e+01,-3.853299e+01,-4.950630e+01,-4.693468e+01,-3.818689e+01,-4.203513e+01,-4.379461e+01,-4.145435e+01,-3.906416e+01,-3.573298e+01,-3.822784e+01,-4.029346e+01,-3.759829e+01,-3.636110e+01,-3.216457e+01,-3.106719e+01,-3.785626e+01,-3.878522e+01,-3.858574e+01,-3.911614e+01,-2.566017e+01,-1.229063e+01,3.482579e+00,1.100432e+01,1.080855e+01,1.062035e+01,8.998900e+00,1.388305e+01,1.101125e+01,1.092964e+01,1.112435e+01
5.256662e+00,6.754188e+00,5.867334e+00,1.038362e+01,-7.171114e+00,-3.327145e+01,-3.437367e+01,-2.198945e+01,-7.206059e+00,4.078256e+00,8.368677e-01,-2.939915e+00,-5.158003e+00,-1.539635e+00,-1.739192e+00,-4.953125e-01,-3.124644e+00,-6.027252e+00,-6.156230e+00,-5.157542e+00,-3.497282e-01,-2.767210e+00,-1.149768e+01,-1.419373e+01,-1.132371e+01,-1.979154e+01,-2.530376e+01,-1.174087e+01,4.621680e+00,6.641337e+00,9.955370e+00,7.597458e+00,7.714782e+00,7.851223e+00,1.030913e+01,1.096429e+01
6.184200e+00,7.466508e+00,2.939518e+00,7.947334e+00,-5.192716e-01,-7.435166e-01,-1.242621e+01,-1.558866e+01,-1.519778e+01,-2.017725e+01,-2.419773e+01,-2.142043e+01,-1.856804e+01,-1.646136e+01,-1.061972e+01,-8.682054e+00,-8.556138e+00,-1.248726e+01,-1.635454e+01,-1.958983e+01,-1.781385e+01,-1.139286e+01,-1.597929e+00,3.569788e+00,1.330870e+01,1.141887e+01,-3.790314e+00,-2.404015e+00,9.381813e-01,4.353808e+00,8.403850e+00,6.317558e+00,3.113831e+00,8.614832e+00,9.749759e+00,8.634266e+00
4.174803e+00,4.661833e+00,1.967150e+00,4.825818e+00,3.198493e+00,-4.947094e+00,-1.085147e+00,6.103467e+00,-2.902804e+00,-7.492823e+00,-2.050714e-01,3.401280e+00,6.166459e+00,2.517931e+00,1.797703e+00,2.234921e+00,4.794638e+00,1.234836e+00,-1.565533e+00,-5.465487e+00,-1.497675e+01,-2.014649e+01,-1.466812e+01,-1.078792e+01,-1.119991e+01,-7.932175e+00,-1.750655e+01,-1.214522e+01,-8.976483e-01,2.637835e+00,6.093048e+00,5.114804e+00,1.348538e+00,8.454359e+00,6.549540e+00,4.091189e+00
