Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.715526e+02,-4.717450e+02,-3.967969e+02,-2.580049e+02,-2.000756e+02,-1.935603e+02,-1.591332e+02,-1.323149e+02,-1.311191e+02,-1.506801e+02,-1.929131e+02,-2.136264e+02,-2.261738e+02,-2.575711e+02,-3.045685e+02,-3.685533e+02,-4.109365e+02,-4.402386e+02,-4.626108e+02,-4.638380e+02,-4.664139e+02,-4.705722e+02,-4.718296e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02,-4.719315e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.289254e-01,2.603387e-01,6.425488e+01,9.413647e+01,9.415921e+01,7.411032e+01,7.065941e+01,8.922528e+01,1.030237e+02,1.000233e+02,9.182539e+01,1.082836e+02,1.289882e+02,1.372320e+02,1.265074e+02,1.017789e+02,6.967130e+01,3.818163e+01,1.234080e+01,1.091256e+01,7.515774e+00,1.870527e+00,1.409263e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.086893e-01,2.503784e-01,5.808906e+01,3.958187e+01,8.135153e+00,-2.231202e+01,-4.625756e+01,-4.923464e+01,-3.371998e+01,-1.931337e+01,-3.147583e+00,5.309989e+00,1.212992e+01,2.622252e+01,3.090821e+01,4.129292e+01,3.447594e+01,2.370671e+01,1.029976e+01,9.384698e+00,6.683396e+00,1.718644e+00,1.316925e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.755338e-01,2.340591e-01,5.198273e+01,9.616008e+01,1.002439e+02,8.168254e+01,8.330492e+01,7.781299e+01,7.226491e+01,7.434782e+01,8.108208e+01,6.774622e+01,4.639920e+01,3.339563e+01,2.321236e+01,1.126324e+01,7.737741e+00,1.158753e+01,7.904994e+00,7.066528e+00,5.389747e+00,1.476144e+00,1.167461e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.303011e-01,2.117955e-01,1.494759e+00,-3.475066e+01,-4.666775e+01,-5.194192e+01,-5.709432e+01,-6.135487e+01,-6.942618e+01,-7.361401e+01,-6.362716e+01,-5.750107e+01,-6.251956e+01,-5.768331e+01,-3.468993e+01,-1.486550e+01,2.879137e-01,6.005559e+00,5.407093e+00,4.260315e+00,3.762887e+00,1.158115e+00,9.673849e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.741400e-01,1.841528e-01,-6.293193e-01,-1.007916e+01,-5.026098e+00,4.617418e+00,3.815713e+00,2.593877e+00,5.920968e+00,6.588317e+00,7.486205e+00,1.884942e+00,-1.298644e+01,-2.685301e+01,-2.652044e+01,-1.336813e+01,7.843058e-01,2.717663e+00,2.451701e+00,1.316713e+00,1.959129e+00,7.840171e-01,7.253452e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.084768e-01,1.518332e-01,-1.068951e+01,-3.784266e+00,-4.467423e+00,-9.346994e+00,-1.103864e+01,-1.419707e+01,-1.127820e+01,-8.811749e+00,-2.322860e+00,3.198308e+00,4.008308e+00,-5.339385e+00,-9.480653e+00,-9.291847e+00,-4.544199e+00,-3.256031e+00,-1.010034e+00,-1.421106e+00,1.440436e-01,3.762222e-01,4.518611e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.349792e-01,1.156574e-01,-2.554448e+01,-3.501019e+01,-3.997478e+01,-3.692683e+01,-3.987415e+01,-4.421973e+01,-4.644261e+01,-4.847008e+01,-4.530076e+01,-4.537226e+01,-5.094944e+01,-5.588194e+01,-5.090227e+01,-3.375169e+01,-1.523436e+01,-1.068098e+01,-4.223622e+00,-3.669409e+00,-1.526937e+00,-4.161663e-02,1.587748e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.555138e-01,7.654428e-02,-2.868081e+01,-3.592825e+01,-2.689897e+01,-1.780153e+01,-1.329251e+01,-8.900597e+00,-7.782792e+00,-6.503744e+00,3.686626e+00,6.597558e+00,-1.872654e+00,-1.478819e+01,-2.933091e+01,-3.329304e+01,-2.198857e+01,-1.446936e+01,-6.298633e+00,-5.242764e+00,-2.925717e+00,-4.462081e-01,-1.411934e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.209875e-02,3.548716e-02,-1.667619e+01,-2.469651e+01,-2.622589e+01,-2.689053e+01,-1.959506e+01,-9.280256e+00,-2.756940e+00,-5.292155e+00,-6.633284e+00,-7.702468e+00,-7.855041e+00,-1.309811e+01,-1.392405e+01,-1.894436e+01,-2.122252e+01,-1.295386e+01,-7.151258e+00,-6.073598e+00,-3.964242e+00,-8.161479e-01,-4.350385e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
