Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.238446e+02,-3.970442e+02,-3.936189e+02,-3.692481e+02,-2.647934e+02,-2.156575e+02,-2.157679e+02,-2.217449e+02,-2.142553e+02,-2.083774e+02,-1.986223e+02,-1.806952e+02,-1.583914e+02,-1.491801e+02,-1.669284e+02,-1.788461e+02,-1.986856e+02,-2.418269e+02,-2.907122e+02,-3.311996e+02,-3.709629e+02,-3.867573e+02,-3.854450e+02,-3.817664e+02,-3.879226e+02,-3.980237e+02,-3.917396e+02,-3.700719e+02,-3.713231e+02,-3.866549e+02,-4.030127e+02,-4.257709e+02
7.291939e+01,8.758646e+01,9.211136e+01,1.129952e+02,1.568354e+02,1.646102e+02,1.688914e+02,1.676153e+02,1.592860e+02,1.569908e+02,1.510167e+02,1.531824e+02,1.694899e+02,1.809654e+02,1.853808e+02,1.790842e+02,1.681475e+02,1.700194e+02,1.655310e+02,1.428869e+02,1.162994e+02,1.032029e+02,1.039254e+02,1.005251e+02,9.540369e+01,8.774527e+01,9.396471e+01,1.067137e+02,1.081227e+02,9.720222e+01,8.617024e+01,7.255510e+01
-4.454540e+00,-1.134717e+01,-8.970130e+00,4.337755e+00,4.649306e+00,8.938366e+00,1.609384e+01,1.542286e+01,2.061844e+00,-6.645499e+00,-4.014097e-01,-2.791924e+00,-9.634415e+00,-9.184970e+00,-4.409238e+00,-1.323173e+01,-1.719270e+01,-9.394171e+00,5.217816e+00,8.394026e+00,6.922997e+00,3.098613e+00,2.596485e+00,-7.617230e+00,-7.424109e+00,-7.357559e+00,-9.488076e+00,-1.544347e+01,-1.387456e+01,-1.141504e+01,-6.177360e+00,7.586907e-01
-4.157784e+00,-2.684096e+00,-3.985863e+00,7.542128e+00,2.751888e+01,3.261715e+01,3.145914e+01,1.705692e+01,9.047004e+00,6.916370e+00,6.244040e+00,-7.042173e-01,-8.637581e+00,-5.924073e+00,-4.817587e+00,2.728877e+00,9.065720e+00,9.411351e+00,9.967182e+00,1.030695e+01,4.511278e+00,3.500710e+00,6.423193e+00,4.646623e+00,3.084333e+00,3.557321e+00,-4.223026e+00,-4.941978e+00,-6.972623e+00,-8.920914e+00,-5.814195e+00,3.858376e-01
1.723316e+01,1.946004e+01,1.488185e+01,1.760003e+01,3.973976e+00,-1.146733e-01,-5.040817e+00,-1.002206e+01,-9.332607e+00,-5.232751e+00,-1.075455e+01,-1.485918e+01,-1.815096e+01,-2.492353e+01,-2.821764e+01,-2.672199e+01,-2.530828e+01,-1.321985e+01,2.488771e-01,4.537374e+00,8.436625e+00,1.642920e+01,2.187760e+01,2.518049e+01,2.101725e+01,2.100123e+01,1.856976e+01,2.124525e+01,2.117349e+01,1.094275e+01,6.863955e+00,1.102711e+01
1.734934e+01,1.384664e+01,9.704716e+00,1.402594e+01,1.362366e+01,1.036342e+01,3.426035e+00,9.191816e+00,1.632573e+01,1.794587e+01,2.387910e+01,2.498097e+01,1.257803e+01,2.055000e+00,-2.770760e+00,-2.766207e+00,5.305815e-01,-4.248835e+00,-7.090138e+00,-9.773696e+00,-2.659140e+00,1.024433e+01,1.179670e+01,1.127721e+01,1.097474e+01,9.319197e+00,1.343679e+01,1.266919e+01,1.255800e+01,6.446547e+00,6.465852e+00,6.143708e+00
1.210825e+01,1.153419e+01,1.077831e+01,1.075462e+01,1.141404e+01,4.329236e+00,-1.094110e+01,-1.619388e+01,-1.528497e+01,-1.477479e+01,-1.933974e+01,-2.909629e+01,-4.444060e+01,-4.787663e+01,-3.951183e+01,-2.620552e+01,-1.468722e+01,-3.480712e+00,-4.982864e+00,-4.949520e+00,1.572147e-01,1.275223e+01,1.149591e+01,9.062860e+00,8.486814e+00,6.836059e+00,1.353058e+01,8.981798e+00,4.525059e+00,9.589975e+00,1.368791e+01,7.854877e+00
3.626525e+00,2.356149e+00,4.652849e+00,4.379145e+00,-6.451736e+00,-9.564570e+00,-4.334404e+00,3.294338e+00,8.860695e+00,1.239360e+01,9.349609e+00,3.234504e+00,-6.707351e+00,-1.793288e+01,-2.581960e+01,-1.874364e+01,-1.477184e+01,-1.807446e+01,-2.381662e+01,-2.005680e+01,-8.262266e+00,3.734503e+00,3.490316e+00,7.739245e-01,-2.014137e+00,4.043246e-01,7.531605e+00,-9.713049e-01,-5.850683e+00,1.014760e-01,6.460364e+00,5.194507e+00
-4.368402e+00,-4.682600e+00,-2.884854e-02,-4.381873e+00,-4.291258e+00,-1.031919e+01,-1.030232e+01,-6.393451e+00,-9.943336e+00,-8.311854e+00,-6.583219e+00,-6.474235e+00,-1.621813e+01,-2.849528e+01,-3.153775e+01,-2.364882e+01,-1.952610e+01,-2.873878e+01,-3.062988e+01,-2.669289e+01,-1.643514e+01,-7.136660e+00,-8.955905e+00,-9.914250e+00,-8.307161e+00,-6.004812e+00,-4.453965e+00,-1.058072e+01,-1.264266e+01,-1.320377e+01,-5.014551e+00,1.467155e-01
-8.088162e+00,-2.739110e+00,1.603265e+00,-1.856924e+01,-2.365912e+01,-1.535255e+01,-1.283833e+01,-1.608516e+01,-1.896040e+01,-1.661303e+01,-1.396119e+01,-1.252936e+01,-1.734029e+01,-1.787075e+01,-1.509336e+01,-1.245808e+01,-1.353513e+01,-2.504130e+01,-2.678020e+01,-1.995588e+01,-1.024301e+01,-4.714656e+00,-5.561072e+00,-3.500734e+00,-3.869078e+00,-4.597587e+00,-8.698011e+00,-9.690595e+00,-8.769700e+00,-8.559000e+00,-5.169894e+00,1.795363e+00
