Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-4.351913e+02,-4.171636e+02,-4.161667e+02,-4.143424e+02,-4.172533e+02,-4.138153e+02,-4.154707e+02,-4.190489e+02,-4.200264e+02,-4.142014e+02,-3.618573e+02,-2.976831e+02,-2.597264e+02,-2.568722e+02,-2.625261e+02,-2.689447e+02,-2.605655e+02,-2.434214e+02,-2.355123e+02,-2.238479e+02,-2.114443e+02,-2.144842e+02,-2.351086e+02,-2.365847e+02,-2.354508e+02,-2.409404e+02,-2.690213e+02,-3.176725e+02,-3.707879e+02,-3.902447e+02,-3.992174e+02,-4.088149e+02,-4.122695e+02,-4.106776e+02,-4.085535e+02,-4.025082e+02,-4.080608e+02,-4.099738e+02,-4.087797e+02,-4.206547e+02
5.912386e+01,6.910429e+01,6.609887e+01,6.578238e+01,6.400536e+01,7.021824e+01,6.850628e+01,6.539634e+01,6.498690e+01,7.318383e+01,1.287234e+02,1.648303e+02,1.764653e+02,1.682824e+02,1.612015e+02,1.598042e+02,1.644407e+02,1.599321e+02,1.673761e+02,1.803596e+02,1.850371e+02,1.869767e+02,1.841202e+02,1.700432e+02,1.554009e+02,1.388730e+02,1.163447e+02,9.834892e+01,8.607004e+01,8.167789e+01,7.987421e+01,7.726787e+01,7.486759e+01,7.230106e+01,7.384753e+01,7.780745e+01,7.514903e+01,7.503745e+01,7.638243e+01,6.770726e+01
1.833525e+01,1.227948e+01,5.141541e+00,1.494367e+00,3.370601e+00,7.114118e+00,6.977957e+00,6.741485e+00,5.926189e+00,1.284261e+01,3.962620e+01,3.604037e+01,2.388830e+01,2.338130e+01,2.137504e+01,1.670883e+01,1.618404e+01,1.293134e+01,1.485085e+01,1.562316e+01,7.539653e+00,2.445481e+00,4.425032e+00,-1.596373e+01,-3.335959e+01,-4.326136e+01,-3.567552e+01,-2.201488e+01,-1.123381e+01,-2.411971e+00,4.851494e+00,1.115276e+01,1.091553e+01,3.399639e+00,-6.215048e-01,-5.985970e-01,3.711412e+00,5.476513e+00,3.684456e+00,7.601603e+00
3.615557e+00,2.377724e+00,-2.403736e+00,-5.180352e+00,-2.989857e+00,-3.383093e+00,-2.502361e+00,1.977688e-01,-3.445107e-01,2.316162e+00,8.995906e+00,2.155180e+01,2.362285e+01,2.107578e+01,1.969485e+01,1.636200e+01,1.351308e+01,9.002641e+00,-2.236373e-01,-5.379846e+00,-5.892011e+00,-5.824523e-01,6.306709e+00,1.617660e+01,1.606431e+01,1.802480e+01,2.331740e+01,2.089369e+01,7.124822e+00,-4.097311e-01,-2.388787e+00,-2.057803e+00,-1.394037e+00,-5.291733e+00,-1.330121e+01,-1.244159e+01,-9.581703e+00,-1.074075e+01,-1.611856e+01,-9.306224e+00
6.557332e+00,1.218426e+01,1.183991e+01,1.205320e+01,1.361138e+01,1.171779e+01,1.221056e+01,1.739265e+01,1.921041e+01,1.727512e+01,5.870369e+00,1.088345e+01,6.925438e+00,4.956891e+00,9.871489e+00,1.230576e+01,8.774712e+00,4.232161e-01,-2.772505e+00,-6.960682e+00,-9.860708e+00,-7.203141e+00,8.786703e+00,3.217748e+01,4.387564e+01,3.440505e+01,2.461889e+01,2.371373e+01,2.221877e+01,1.646125e+01,1.257913e+01,1.363188e+01,1.764211e+01,1.846461e+01,1.406311e+01,1.128128e+01,9.010486e+00,6.175826e+00,2.752022e+00,6.457345e+00
6.486091e+00,1.182426e+01,1.503502e+01,1.795711e+01,1.928208e+01,1.588457e+01,1.555255e+01,1.874839e+01,2.047288e+01,1.553377e+01,-4.917312e+00,-4.973241e+00,-6.934585e+00,-5.104961e-01,6.545353e+00,5.404708e+00,4.270445e+00,1.052686e+01,1.582583e+01,1.567234e+01,8.263163e+00,2.644463e+00,-3.209530e+00,-7.200027e+00,2.911583e+00,5.695237e+00,4.760521e+00,1.267555e+00,4.058916e+00,9.184720e+00,1.565548e+01,1.895165e+01,2.296075e+01,2.553853e+01,2.363128e+01,1.818344e+01,1.557285e+01,1.394259e+01,1.494090e+01,1.598705e+01
5.379043e+00,5.786094e+00,7.067266e+00,1.013468e+01,1.003771e+01,1.015016e+01,9.260050e+00,7.196629e+00,8.567825e+00,1.466776e+00,-2.113216e+01,-2.573530e+01,-2.232708e+01,-1.835404e+01,-1.489289e+01,-1.398555e+01,-1.552201e+01,-1.285247e+01,-1.281920e+01,-1.352164e+01,-2.213892e+01,-2.972329e+01,-3.190455e+01,-2.784657e+01,-2.486860e+01,-1.898261e+01,-1.512111e+01,-1.404011e+01,2.550611e-01,1.059749e+01,1.656739e+01,1.271567e+01,1.260933e+01,1.724766e+01,1.378127e+01,1.419905e+01,1.455738e+01,1.379063e+01,1.531155e+01,1.258364e+01
7.089308e+00,5.501134e+00,1.588382e+00,2.343267e+00,4.621129e+00,6.380609e+00,5.724355e+00,7.610857e-01,1.138906e+00,-4.963845e+00,-2.440906e+01,-3.099164e+01,-2.583365e+01,-1.783303e+01,-1.139865e+01,-8.457452e+00,-4.320750e+00,-6.519500e+00,-5.151025e+00,-1.111257e+01,-1.919395e+01,-2.523937e+01,-2.531581e+01,-1.278443e+01,-3.669185e+00,-8.692685e+00,-3.728620e+00,2.909699e+00,6.553501e+00,9.489464e+00,8.833615e+00,4.930669e+00,3.012009e+00,5.503427e+00,4.974247e+00,1.071635e+01,1.246312e+01,1.381808e+01,1.092241e+01,4.513824e+00
4.687644e+00,1.255782e+00,-3.734980e+00,-4.352638e+00,4.634804e-02,7.556729e-01,1.865370e+00,1.384541e-01,-9.743425e-01,-6.691600e+00,-1.581800e+01,-9.359455e+00,-1.076210e+01,-1.231172e+01,-7.661973e+00,-6.186595e+00,-6.757850e+00,-5.913733e+00,-5.346693e+00,-1.143044e+01,-1.848971e+01,-2.080079e+01,-1.762458e+01,-1.063137e+01,2.522910e+00,1.895364e+00,6.516805e-01,5.814436e+00,6.786047e+00,-2.241608e+00,-8.522298e-01,3.209943e+00,2.326269e+00,-1.078270e+00,1.521453e+00,5.498850e+00,7.502448e+00,9.879313e+00,2.432462e+00,-2.140315e+00
-1.098005e+00,-7.372952e+00,-9.398326e+00,-8.844528e+00,-1.115731e+01,-5.314529e+00,-1.819987e+00,-1.435917e-01,-2.683323e+00,-1.127748e+01,-1.242219e+01,-5.875536e+00,-9.379394e+00,-1.309776e+01,-9.347111e+00,-7.919061e+00,-1.100180e+01,-1.218393e+01,-1.969279e+01,-2.440519e+01,-3.134056e+01,-2.913329e+01,-2.010733e+01,-1.419341e+01,-1.470010e+01,-2.172253e+01,-2.577916e+01,-1.782668e+01,-5.673031e+00,-7.398923e+00,-3.237919e+00,2.282210e+00,4.713569e+00,2.973928e+00,2.335814e+00,1.638047e+00,3.531909e+00,5.191972e-01,-4.526542e+00,-3.078188e+00
