Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37
-4.686115e+02,-4.589329e+02,-4.560170e+02,-4.526111e+02,-4.572597e+02,-4.575475e+02,-4.542116e+02,-4.333661e+02,-3.936840e+02,-3.783736e+02,-3.545245e+02,-2.620872e+02,-1.933927e+02,-1.704971e+02,-1.766371e+02,-1.889310e+02,-1.893295e+02,-1.945027e+02,-2.007683e+02,-2.154888e+02,-2.295331e+02,-2.382339e+02,-2.458850e+02,-2.523662e+02,-2.569932e+02,-2.687532e+02,-2.876317e+02,-3.139775e+02,-3.559791e+02,-4.009273e+02,-4.331026e+02,-4.428134e+02,-4.487068e+02,-4.486255e+02,-4.514784e+02,-4.515164e+02,-4.624748e+02
1.158953e+01,2.250245e+01,2.601253e+01,2.909056e+01,2.551606e+01,2.550595e+01,3.002296e+01,4.294612e+01,3.628778e+01,1.819094e+01,1.079458e+01,2.516457e+01,3.424514e+01,3.114720e+01,3.315481e+01,3.616084e+01,3.232272e+01,2.989719e+01,3.357718e+01,3.507382e+01,3.516978e+01,2.927509e+01,2.778918e+01,3.199050e+01,3.251533e+01,3.511876e+01,3.500348e+01,4.965815e+01,6.426453e+01,5.926473e+01,4.948149e+01,4.308103e+01,3.409414e+01,3.254433e+01,2.976675e+01,2.830837e+01,1.845490e+01
7.719791e+00,1.266998e+01,1.462597e+01,1.521887e+01,1.702608e+01,1.761957e+01,2.101060e+01,3.106747e+01,3.831422e+01,3.234670e+01,3.078208e+01,2.835810e+01,2.404501e+01,1.388118e+01,1.069908e+01,1.134475e+01,1.359152e+01,9.591408e+00,1.077877e+01,1.649573e+01,2.020126e+01,1.999388e+01,1.690945e+01,1.665347e+01,1.372781e+01,1.322662e+01,1.435027e+01,2.656974e+01,4.500133e+01,4.938021e+01,3.546261e+01,2.817311e+01,1.942162e+01,1.481657e+01,1.454135e+01,1.194730e+01,1.055123e+01
5.582070e+00,5.851336e+00,6.307259e+00,7.531878e+00,1.111591e+01,1.131405e+01,1.229916e+01,1.923027e+01,2.501196e+01,3.143751e+01,4.284838e+01,4.976155e+01,5.586111e+01,5.712523e+01,5.230180e+01,5.196321e+01,5.157933e+01,4.168615e+01,3.828417e+01,4.104873e+01,4.157693e+01,4.666814e+01,5.172272e+01,4.644792e+01,4.536517e+01,4.652755e+01,3.981401e+01,2.986190e+01,3.034331e+01,2.985599e+01,2.288803e+01,1.590287e+01,1.032969e+01,4.761660e+00,6.359379e+00,5.798490e+00,4.800447e+00
6.300390e+00,5.300948e+00,5.546080e+00,9.573463e+00,1.055169e+01,8.962471e+00,7.440789e+00,-4.063678e+00,-2.084922e+01,-2.827603e+01,-3.522772e+01,-4.612115e+01,-5.824875e+01,-6.070309e+01,-5.869815e+01,-5.453197e+01,-5.674577e+01,-6.263487e+01,-6.288701e+01,-5.652299e+01,-5.041133e+01,-5.173113e+01,-4.833238e+01,-4.993166e+01,-5.179819e+01,-4.623392e+01,-3.904070e+01,-3.157831e+01,-2.261829e+01,-1.396347e+01,4.386562e+00,9.873157e+00,8.196227e+00,5.085783e+00,7.411715e+00,8.638680e+00,3.553170e+00
7.549922e+00,7.502687e+00,8.875964e+00,1.391463e+01,1.227106e+01,8.871595e+00,6.258890e+00,1.952191e+00,1.773944e+01,2.762682e+01,2.768621e+01,4.545739e+01,5.132812e+01,5.278808e+01,5.084592e+01,4.960273e+01,5.320674e+01,4.874783e+01,4.774759e+01,4.814166e+01,4.863824e+01,4.580057e+01,4.863940e+01,5.189222e+01,5.029482e+01,4.662074e+01,4.571787e+01,4.073991e+01,2.626545e+01,7.857768e+00,4.288677e+00,5.724608e+00,6.628025e+00,8.070668e+00,9.807970e+00,9.132814e+00,3.897365e+00
6.632470e+00,7.826380e+00,1.014777e+01,1.340858e+01,1.226413e+01,8.912378e+00,6.500359e+00,-4.384178e+00,-1.633690e+01,-1.904344e+01,-3.040972e+01,-4.665992e+01,-5.198338e+01,-5.105492e+01,-4.575820e+01,-4.051738e+01,-4.218646e+01,-4.401567e+01,-4.034018e+01,-3.839108e+01,-3.674224e+01,-4.115208e+01,-3.987669e+01,-3.857024e+01,-3.860050e+01,-3.540274e+01,-3.191221e+01,-3.103729e+01,-2.453701e+01,-1.321434e+01,-1.638183e+00,-4.392623e-01,3.073722e+00,9.189378e+00,9.027005e+00,5.327200e+00,2.574652e+00
3.610482e+00,5.666471e+00,7.518266e+00,8.704046e+00,9.856773e+00,8.369467e+00,6.082826e+00,-1.202889e+01,-1.357467e+01,-1.587397e+01,-2.855257e+01,-2.402664e+01,-1.563876e+01,-1.262483e+01,-1.559989e+01,-1.740682e+01,-1.476575e+01,-1.265788e+01,-7.370910e+00,-6.886122e+00,-1.419656e+01,-1.865441e+01,-1.970845e+01,-2.376329e+01,-2.736544e+01,-3.246739e+01,-2.916629e+01,-2.532134e+01,-2.801161e+01,-1.903607e+01,-1.131801e+01,-7.207197e+00,-6.358590e-01,8.940598e+00,7.244877e+00,2.840080e+00,8.382714e-02
9.964303e-01,3.581939e+00,4.294346e+00,4.471774e+00,6.930229e+00,6.970334e+00,4.104558e+00,-3.440570e+00,-7.377917e-01,-4.924550e+00,-1.924406e+01,-2.046008e+01,-2.043423e+01,-1.778247e+01,-1.810222e+01,-1.602876e+01,-1.633177e+01,-1.482259e+01,-1.111458e+01,-9.715469e+00,-1.448230e+01,-1.235285e+01,-1.211335e+01,-1.175412e+01,-1.373392e+01,-1.663399e+01,-1.356363e+01,-7.101848e-01,-1.547494e-01,-5.122478e+00,-7.372401e+00,-1.132776e+01,-3.530428e+00,7.620894e+00,6.698178e+00,3.091183e+00,-9.518487e-01
7.857420e-01,3.246515e+00,3.846496e+00,2.890556e+00,4.893095e+00,4.615762e+00,1.071931e+00,-1.146439e+01,-1.014240e+01,-1.263787e+01,-1.418688e+01,-1.276594e+01,-9.294028e+00,-4.561985e+00,1.428082e+00,4.571827e+00,1.788431e+00,3.233686e+00,3.716517e+00,1.755947e+00,5.364668e-01,2.786027e+00,-2.651282e+00,-8.979955e+00,-1.960924e+01,-2.668005e+01,-2.759166e+01,-2.229798e+01,-1.906566e+01,-1.819125e+01,-1.342544e+01,-1.218934e+01,-5.531678e+00,5.175126e+00,6.556182e+00,3.559489e+00,6.286338e-02
2.404752e+00,3.724676e+00,5.484375e+00,2.866024e+00,3.682465e+00,2.328863e+00,-1.399728e+00,-1.052569e+01,-1.705422e+01,-1.697555e+01,-9.292654e+00,-1.291782e+01,-1.648750e+01,-1.985619e+01,-2.135682e+01,-1.896234e+01,-1.696351e+01,-1.499611e+01,-8.757980e+00,-9.918865e+00,-1.489002e+01,-1.457516e+01,-1.230854e+01,-9.258217e+00,-8.112051e+00,-1.121931e+01,-1.904544e+01,-2.153646e+01,-1.446460e+01,-1.524628e+01,-1.245224e+01,-1.142491e+01,-6.209313e+00,2.431231e+00,5.293200e+00,3.101668e+00,9.636942e-01
