Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.528055e+02,-4.461691e+02,-4.480055e+02,-4.484987e+02,-4.467446e+02,-4.465516e+02,-4.331591e+02,-3.968982e+02,-3.379054e+02,-2.452164e+02,-1.936572e+02,-1.895473e+02,-1.986365e+02,-2.012079e+02,-2.056685e+02,-2.127289e+02,-2.304424e+02,-2.400024e+02,-2.490874e+02,-2.530655e+02,-2.562936e+02,-2.649183e+02,-2.810652e+02,-2.890207e+02,-2.942603e+02,-3.102753e+02,-3.299501e+02,-3.455639e+02,-3.663591e+02,-3.854656e+02,-4.018838e+02,-4.175485e+02,-4.313030e+02,-4.417998e+02,-4.431310e+02
9.476387e+00,1.785647e+01,1.545403e+01,1.456560e+01,1.703446e+01,1.720094e+01,3.387433e+01,4.861438e+01,3.900787e+01,3.847831e+01,4.448412e+01,5.163747e+01,5.930737e+01,6.129609e+01,6.245994e+01,6.094360e+01,5.393699e+01,4.759053e+01,4.918736e+01,5.262173e+01,5.542945e+01,5.862254e+01,4.965341e+01,3.432841e+01,2.648516e+01,3.547042e+01,5.121162e+01,7.011175e+01,7.873857e+01,7.624246e+01,6.821469e+01,5.103730e+01,3.637512e+01,2.345955e+01,2.167986e+01
8.681684e+00,1.484538e+01,1.298672e+01,1.192197e+01,1.414250e+01,1.389566e+01,2.489129e+01,4.094508e+01,4.280751e+01,2.765910e+01,2.010481e+01,1.440457e+01,1.253255e+01,1.606786e+01,1.768294e+01,1.505127e+01,1.280333e+01,1.548995e+01,1.992834e+01,2.502036e+01,2.254854e+01,2.218077e+01,2.881525e+01,2.453259e+01,2.191982e+01,2.773640e+01,3.257150e+01,3.300523e+01,3.025078e+01,3.786581e+01,4.136852e+01,3.407850e+01,2.830528e+01,1.948796e+01,1.751435e+01
7.694235e+00,1.203324e+01,1.098584e+01,1.031785e+01,1.175431e+01,1.077137e+01,1.497108e+01,2.956657e+01,3.985213e+01,4.556990e+01,4.920845e+01,4.739161e+01,5.052287e+01,4.744856e+01,4.228494e+01,3.740157e+01,3.805620e+01,4.204291e+01,4.039568e+01,3.927747e+01,3.641729e+01,3.506114e+01,4.553624e+01,5.185280e+01,5.267638e+01,5.026965e+01,3.541782e+01,2.011247e+01,8.339009e+00,1.371264e+01,2.209100e+01,2.315773e+01,2.201082e+01,1.636862e+01,1.357931e+01
6.722163e+00,1.052701e+01,1.044042e+01,1.052150e+01,1.078499e+01,9.128304e+00,7.017851e+00,-1.381827e+01,-3.634090e+01,-4.730024e+01,-5.430476e+01,-5.259072e+01,-4.235830e+01,-4.049770e+01,-4.569625e+01,-4.876757e+01,-4.663537e+01,-4.228729e+01,-3.995622e+01,-4.219090e+01,-4.067257e+01,-3.979185e+01,-3.594693e+01,-3.570424e+01,-3.208301e+01,-2.671978e+01,-2.751649e+01,-2.697603e+01,-1.767949e+01,-2.461666e+00,1.403836e+01,2.007866e+01,1.918857e+01,1.480054e+01,1.180624e+01
5.783915e+00,9.904942e+00,1.067673e+01,1.106876e+01,1.031340e+01,8.539503e+00,1.083109e+00,3.805645e-01,1.361625e+01,3.614811e+01,4.353931e+01,4.541860e+01,4.945860e+01,5.361452e+01,5.236044e+01,5.113773e+01,4.656596e+01,4.804642e+01,4.708272e+01,4.447943e+01,4.364317e+01,3.885760e+01,3.504868e+01,3.292876e+01,3.893697e+01,3.555018e+01,2.691105e+01,1.797938e+01,5.912164e+00,9.689369e-01,8.128307e+00,1.602369e+01,1.640350e+01,1.315935e+01,1.212263e+01
4.807153e+00,9.040377e+00,1.020525e+01,1.025494e+01,8.989842e+00,7.611183e+00,-3.798258e+00,-1.411120e+01,-3.371381e+01,-4.365311e+01,-4.778195e+01,-4.555807e+01,-3.864985e+01,-3.758343e+01,-2.990831e+01,-2.805679e+01,-3.437082e+01,-3.456688e+01,-3.542459e+01,-3.084305e+01,-2.926005e+01,-2.502990e+01,-2.709165e+01,-3.090244e+01,-2.569465e+01,-1.968817e+01,-1.740374e+01,-1.267104e+01,-8.769269e+00,-9.937889e+00,-1.190969e+00,7.088041e+00,1.078514e+01,1.032595e+01,1.285158e+01
3.781681e+00,7.359308e+00,8.298957e+00,8.127271e+00,6.718278e+00,5.611285e+00,-7.360756e+00,-2.546288e+01,-2.734999e+01,-2.068965e+01,-1.708723e+01,-1.487755e+01,-1.757676e+01,-1.732540e+01,-1.304749e+01,-1.357265e+01,-1.988363e+01,-1.928248e+01,-1.912652e+01,-1.520390e+01,-1.496053e+01,-1.854378e+01,-1.859441e+01,-1.985005e+01,-2.067605e+01,-1.535833e+01,-1.637460e+01,-2.822993e+01,-2.947648e+01,-1.929440e+01,-7.453907e+00,-1.211541e+00,4.172068e+00,7.177958e+00,1.222099e+01
2.791587e+00,5.228068e+00,5.667185e+00,6.118435e+00,4.669872e+00,3.276757e+00,-8.243079e+00,-3.055306e+00,-1.182379e+01,-2.164976e+01,-2.091734e+01,-1.224977e+01,-6.114946e+00,-8.849703e+00,-8.098236e+00,-6.772072e+00,-5.841694e+00,-8.850109e+00,-5.836728e+00,-3.083217e+00,-3.220764e+00,-5.844386e+00,-7.330003e+00,-7.209477e+00,-1.224969e+01,-4.416694e+00,3.344902e+00,4.167702e+00,7.901220e-01,-4.226844e+00,-5.238169e+00,-3.769293e+00,5.497007e-01,5.122021e+00,9.621790e+00
1.927798e+00,3.388711e+00,3.624209e+00,5.100504e+00,3.820811e+00,2.010553e+00,-5.939093e+00,-1.195258e+01,-1.703638e+01,-1.749878e+01,-1.180310e+01,-7.444390e+00,-7.972875e+00,-8.716454e+00,-4.781289e+00,-6.522392e+00,-1.032485e+01,-1.202940e+01,-9.724878e+00,-9.376940e+00,-1.080951e+01,-1.324597e+01,-1.933363e+01,-2.425125e+01,-2.909666e+01,-3.252386e+01,-2.581254e+01,-2.113103e+01,-7.364399e+00,-1.830496e-01,-2.925760e-02,-2.391031e+00,8.459251e-01,4.281572e+00,5.811810e+00
