Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.871801e+02,-4.646548e+02,-4.612939e+02,-4.602658e+02,-4.558142e+02,-4.593145e+02,-4.669288e+02,-4.650539e+02,-4.689301e+02,-4.531239e+02,-2.769310e+02,-1.390257e+02,-6.935136e+01,-6.079909e+01,-9.296933e+01,-1.055684e+02,-1.019094e+02,-1.003649e+02,-8.733161e+01,-7.942924e+01,-8.716186e+01,-1.078442e+02,-1.526282e+02,-2.217159e+02,-2.908684e+02,-3.530258e+02,-4.129378e+02,-4.472027e+02,-4.526428e+02,-4.603777e+02,-4.639803e+02,-4.614869e+02,-4.594511e+02,-4.627168e+02,-4.636619e+02,-4.832977e+02
8.374757e+01,9.014276e+01,9.051018e+01,8.961240e+01,9.247449e+01,9.253680e+01,9.379608e+01,9.952663e+01,1.035296e+02,8.546883e+01,5.563226e+01,4.288421e+01,2.261433e+01,2.008980e+00,4.636277e+00,1.554235e+01,1.615516e+01,5.392034e+00,-3.879554e+00,7.568577e+00,2.016079e+01,3.792818e+01,5.721721e+01,8.321510e+01,1.072292e+02,1.024775e+02,9.747113e+01,9.522990e+01,8.972106e+01,9.225285e+01,9.524124e+01,9.364520e+01,9.050372e+01,8.712640e+01,8.821309e+01,8.317747e+01
-2.212671e+00,-8.827956e+00,-1.032072e+01,-9.508621e+00,-4.532647e+00,-5.740377e+00,-5.853781e+00,-7.011242e+00,-3.194399e+00,3.393856e+00,5.152609e+01,3.807838e+01,2.576706e+01,1.971528e+01,2.934523e+01,3.350717e+01,3.077085e+01,2.857899e+01,2.220311e+01,2.008050e+01,2.665027e+01,3.924507e+01,5.272485e+01,5.543374e+01,3.358847e+01,1.387846e+01,-4.384800e+00,-1.562362e+01,-2.152586e+01,-1.014094e+01,-6.380108e+00,-8.826538e+00,-9.022916e+00,-1.320831e+01,-9.818410e+00,-1.477907e+00
1.485689e+01,1.609586e+01,1.996247e+01,2.205674e+01,1.846131e+01,1.688404e+01,1.786247e+01,1.731030e+01,1.556871e+01,1.173951e+01,2.821253e+01,5.340593e+01,5.444247e+01,5.177423e+01,5.067215e+01,4.993450e+01,4.583611e+01,4.658191e+01,5.504465e+01,5.881915e+01,5.842165e+01,6.191242e+01,6.376872e+01,6.160087e+01,5.319140e+01,3.957016e+01,1.824315e+01,1.378853e+01,1.161002e+01,1.530554e+01,1.813399e+01,2.229843e+01,2.456890e+01,2.030417e+01,2.324054e+01,2.650169e+01
-1.030520e+01,-1.067912e+01,-5.526360e+00,-4.429397e+00,-4.858150e+00,-4.171772e+00,-7.307729e-01,2.581856e-02,4.091146e+00,-5.261916e+00,-6.312096e+01,-8.127585e+01,-9.057608e+01,-8.615575e+01,-7.644464e+01,-7.018045e+01,-7.005574e+01,-7.260323e+01,-7.805637e+01,-7.979881e+01,-8.337629e+01,-8.758582e+01,-8.377936e+01,-6.463069e+01,-3.864997e+01,-2.616980e+01,-2.158602e+01,-1.167533e+01,-8.405331e+00,-1.810415e+00,-1.433444e+00,-2.108823e+00,-6.383936e+00,-7.123994e+00,-4.317452e+00,1.794596e-01
1.343396e+01,9.396178e+00,8.541931e+00,1.128323e+01,1.224096e+01,1.165362e+01,1.130389e+01,1.036465e+01,1.148218e+01,2.511015e+01,4.402151e+01,4.308916e+01,5.053608e+01,6.377290e+01,7.042744e+01,7.436293e+01,8.582294e+01,8.831285e+01,7.893924e+01,6.947983e+01,6.152273e+01,5.671625e+01,5.482418e+01,5.450767e+01,3.854085e+01,2.706242e+01,2.061308e+01,1.617568e+01,1.565771e+01,1.385254e+01,7.202245e+00,8.055511e+00,1.144759e+01,1.467813e+01,1.795742e+01,1.887450e+01
2.062209e+01,2.131397e+01,2.222999e+01,2.605646e+01,3.048810e+01,2.687782e+01,2.237906e+01,2.275707e+01,1.875389e+01,3.753888e+00,-5.506698e+01,-7.444968e+01,-7.437740e+01,-6.193853e+01,-6.005782e+01,-6.057595e+01,-5.794697e+01,-5.515766e+01,-5.820204e+01,-6.268163e+01,-6.884766e+01,-6.895271e+01,-6.275075e+01,-5.082101e+01,-2.613167e+01,-5.125905e+00,7.740774e+00,2.024745e+01,1.560094e+01,1.248117e+01,1.442597e+01,1.790273e+01,2.210196e+01,2.342942e+01,2.172877e+01,2.368455e+01
-1.918649e+01,-1.641480e+01,-1.205019e+01,-1.388569e+01,-1.137600e+01,-1.409741e+01,-1.576735e+01,-1.031543e+01,-1.141778e+01,-1.090984e+01,-7.071890e+00,1.634016e+00,9.497445e+00,1.625304e+01,1.579598e+01,2.048934e+01,3.087726e+01,3.398611e+01,2.408581e+01,2.164363e+01,2.236863e+01,1.340519e+01,5.537833e+00,-5.874588e+00,-1.346937e+01,-1.395497e+01,-1.503824e+01,-2.079079e+01,-2.412157e+01,-2.509453e+01,-1.730143e+01,-1.685824e+01,-1.651922e+01,-1.536564e+01,-1.422895e+01,-1.314163e+01
1.089849e+01,9.652519e+00,8.574373e+00,1.116673e+01,1.558373e+01,1.128750e+01,7.628951e+00,1.089012e+01,6.840502e+00,6.036923e+00,-1.091487e+01,-2.119299e+01,-2.189956e+01,-2.365047e+01,-2.858779e+01,-2.872073e+01,-3.068334e+01,-2.808006e+01,-2.324609e+01,-1.733540e+01,-1.356555e+01,-1.904172e+01,-1.807148e+01,-1.722221e+01,-1.710762e+01,-8.852304e+00,7.148569e-01,5.495747e+00,9.011995e+00,8.503098e+00,1.024450e+01,1.084100e+01,1.240388e+01,1.075364e+01,1.227147e+01,9.031236e+00
6.666038e+00,4.126052e+00,-6.446073e-01,6.809326e-01,5.407269e+00,3.655494e+00,2.769913e+00,8.642866e+00,8.253288e+00,-2.383924e+00,7.804542e+00,2.279188e+01,1.949800e+01,1.290177e+01,7.636560e+00,8.065038e+00,1.091302e+01,6.480141e+00,7.180969e+00,1.008970e+01,1.087166e+01,7.801266e+00,4.409196e+00,-3.128105e+00,-4.688423e+00,2.445173e-02,2.176494e-01,6.965690e-01,1.345888e+00,6.699899e+00,5.782084e+00,8.911026e+00,9.759809e+00,8.290283e+00,9.235899e+00,1.287652e+01
