Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.645187e+02,-3.199194e+02,-2.240418e+02,-1.904652e+02,-1.943112e+02,-1.841365e+02,-1.649735e+02,-1.730104e+02,-2.019517e+02,-2.381096e+02,-2.842369e+02,-3.396985e+02,-3.770166e+02,-3.993536e+02,-4.170003e+02,-4.336487e+02,-4.509496e+02,-4.631640e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02,-4.651661e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.829066e-01,7.052703e+01,8.080341e+01,7.740981e+01,7.269975e+01,7.270215e+01,8.431337e+01,9.769104e+01,1.031399e+02,1.058548e+02,1.048331e+02,1.051841e+02,9.644655e+01,7.855354e+01,6.023888e+01,4.124994e+01,1.735919e+01,2.779096e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.876599e-01,2.813586e+01,-9.648312e+00,-3.954835e+01,-4.042670e+01,-4.271572e+01,-4.820335e+01,-3.037809e+01,1.873045e+00,3.086129e+01,4.903449e+01,6.200275e+01,5.866076e+01,4.805692e+01,4.252980e+01,3.292714e+01,1.164514e+01,2.624574e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.372701e-01,5.998215e+01,7.756387e+01,7.026624e+01,7.293288e+01,6.944072e+01,6.235767e+01,5.448824e+01,6.056192e+01,6.547572e+01,6.088248e+01,4.678131e+01,3.254360e+01,2.459741e+01,2.599192e+01,2.304769e+01,7.544015e+00,2.374138e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.435263e-01,-3.233347e+01,-4.477750e+01,-5.121738e+01,-4.932323e+01,-5.435828e+01,-6.015980e+01,-7.103218e+01,-7.806439e+01,-7.161853e+01,-5.507188e+01,-2.149941e+01,7.390409e+00,1.500778e+01,1.523770e+01,1.406439e+01,6.570742e+00,2.038107e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.214939e-01,-2.344921e+01,-1.970342e+01,-1.382971e+01,-8.132436e+00,-3.283263e-01,-1.490566e+00,-4.866110e+00,-1.243436e+01,-8.735325e+00,-6.440547e+00,1.139302e+00,6.658877e+00,8.143435e+00,6.564259e+00,6.303758e+00,6.264686e+00,1.630204e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.176096e-02,-5.746114e+00,-6.164876e+00,-4.104214e-01,-3.170384e-01,1.822528e+00,1.974276e+00,1.850400e+00,-8.919168e-01,-4.194470e+00,-4.683337e+00,-5.902618e-01,-1.590332e+00,-4.756499e+00,-3.882509e+00,-8.013219e-01,4.007724e+00,1.166959e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.385948e-01,-3.173769e+01,-3.844083e+01,-3.544977e+01,-3.770548e+01,-3.541689e+01,-3.728651e+01,-3.452310e+01,-3.455447e+01,-4.710513e+01,-5.313040e+01,-4.218616e+01,-2.433336e+01,-1.860076e+01,-1.409596e+01,-7.118773e+00,1.651630e-01,6.669023e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.422525e-01,-3.571361e+01,-3.010224e+01,-2.625176e+01,-1.772287e+01,-1.826250e+01,-2.207686e+01,-1.735309e+01,-8.912451e+00,-5.178890e+00,-6.159223e+00,-9.413700e+00,-2.418824e+01,-2.465865e+01,-1.952862e+01,-1.175138e+01,-3.094154e+00,1.497472e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.082116e-01,-1.099469e+01,-1.117752e+01,-1.599623e+01,-2.014091e+01,-2.998792e+01,-3.592772e+01,-4.259030e+01,-4.089111e+01,-3.033730e+01,-2.463706e+01,-2.510184e+01,-2.715256e+01,-2.311477e+01,-1.940945e+01,-1.408193e+01,-4.777884e+00,-3.645262e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
