Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.974879e+02,-4.795192e+02,-4.796740e+02,-4.823585e+02,-4.771263e+02,-4.713539e+02,-4.318427e+02,-3.531234e+02,-2.899027e+02,-2.621129e+02,-2.440601e+02,-2.260104e+02,-2.208822e+02,-2.094745e+02,-1.894383e+02,-1.614908e+02,-1.514491e+02,-1.793411e+02,-2.299673e+02,-2.809677e+02,-3.250165e+02,-3.625945e+02,-4.009690e+02,-4.359879e+02,-4.565350e+02,-4.691593e+02,-4.745822e+02,-4.764181e+02,-4.787897e+02,-4.780362e+02,-4.717453e+02
4.784450e+01,6.156785e+01,6.204818e+01,6.060901e+01,6.831316e+01,7.444753e+01,1.137265e+02,1.698530e+02,1.746678e+02,1.481799e+02,1.182168e+02,1.064674e+02,9.287976e+01,8.040748e+01,7.915288e+01,9.111826e+01,1.109405e+02,1.301176e+02,1.486022e+02,1.486252e+02,1.428659e+02,1.347590e+02,1.211655e+02,1.008556e+02,8.124707e+01,7.023373e+01,6.651743e+01,6.504649e+01,6.142780e+01,6.045953e+01,6.750410e+01
1.763842e+01,1.457032e+01,1.564613e+01,1.734316e+01,2.543125e+01,2.894784e+01,3.874009e+01,3.844243e+01,4.019809e+01,4.031473e+01,3.810088e+01,3.747717e+01,3.355441e+01,3.439007e+01,2.924908e+01,6.468836e+00,-9.216944e+00,-1.589172e+01,-7.742763e+00,-4.342281e+00,-7.187362e-01,-6.645467e-01,2.419515e+00,1.481624e+01,1.543385e+01,1.703430e+01,1.763065e+01,1.600588e+01,1.205648e+01,1.068003e+01,1.487531e+01
6.007806e+00,2.267012e+00,2.548802e+00,3.642032e+00,1.175956e+01,1.395538e+01,3.576319e+00,-1.414704e+01,-2.048690e+01,-2.813376e+01,-2.576286e+01,-2.327293e+01,-2.532079e+01,-2.418902e+01,-2.277912e+01,-3.286232e+01,-4.220008e+01,-4.782425e+01,-3.993247e+01,-2.858434e+01,-2.134085e+01,-1.961673e+01,-2.299665e+01,-1.636185e+01,-5.178584e+00,3.842424e+00,5.276037e+00,2.073158e+00,-8.419590e-01,2.783547e+00,6.691754e+00
8.156788e+00,1.168904e+01,1.096694e+01,9.472505e+00,1.656310e+01,1.705075e+01,-7.298267e+00,-3.403108e+01,-4.852973e+01,-4.711913e+01,-3.663927e+01,-3.549122e+01,-3.671941e+01,-4.488229e+01,-4.967006e+01,-4.667766e+01,-4.416896e+01,-4.556736e+01,-3.316889e+01,-2.084447e+01,-1.307393e+01,-7.547638e+00,-7.405186e+00,-7.859622e+00,-3.549189e+00,5.653651e+00,1.082940e+01,9.170818e+00,9.818453e+00,1.585837e+01,1.995267e+01
7.638827e+00,1.354788e+01,1.169255e+01,8.513300e+00,1.269386e+01,1.272029e+01,-1.693557e+01,-4.261164e+01,-2.927094e+01,2.150817e+00,2.751414e+01,2.587718e+01,2.045776e+01,2.041060e+01,2.493009e+01,3.276227e+01,3.310589e+01,2.725052e+01,1.440242e+01,6.939413e+00,-1.509142e-01,-1.918241e+00,-4.131996e+00,-5.187755e+00,-6.379272e+00,-1.662005e+00,4.695492e+00,5.931903e+00,1.079872e+01,1.258344e+01,1.323736e+01
4.794785e+00,1.000110e+01,6.381664e+00,3.137587e+00,4.689452e+00,5.617337e+00,-1.451902e+01,-1.343343e+01,-1.384164e+01,-1.697367e+01,-1.995380e+01,-3.304815e+01,-4.405380e+01,-4.862629e+01,-4.294474e+01,-3.689062e+01,-3.254219e+01,-2.719762e+01,-1.508279e+01,-1.203884e+01,-1.963615e+00,8.593450e-01,-3.309157e+00,-9.518226e+00,-4.694025e+00,-4.147366e+00,-3.946405e+00,-2.498437e-01,5.431311e+00,3.625865e+00,1.228793e-01
4.055009e+00,7.586896e+00,4.031504e+00,3.387904e+00,5.061176e+00,6.794781e+00,-1.268032e+00,1.346774e+00,8.136381e+00,1.619667e+01,2.135389e+01,2.117852e+01,1.630032e+01,1.261769e+01,1.032971e+01,5.850986e+00,-4.451465e+00,-1.031003e+01,-1.301324e+01,-6.552894e+00,-5.772536e+00,-5.189323e+00,-9.340425e+00,-1.141546e+01,-2.262732e+00,-1.239104e+00,-2.395666e+00,2.237005e+00,5.169081e+00,4.909339e+00,2.745728e+00
3.624547e+00,3.650797e+00,2.496146e+00,6.107293e+00,9.010302e+00,1.204023e+01,8.081988e+00,-1.082181e+00,-3.837338e+00,-2.586813e+00,-4.027050e+00,-1.462585e+01,-2.199558e+01,-2.563477e+01,-2.955011e+01,-4.293364e+01,-4.671210e+01,-4.114398e+01,-3.810552e+01,-2.865679e+01,-2.058613e+01,-1.739199e+01,-1.694204e+01,-1.038953e+01,-1.140352e+00,2.373760e+00,3.687652e+00,3.144985e+00,4.559284e+00,6.873247e+00,9.422575e+00
2.509602e+00,6.983719e-01,1.562867e-01,4.675642e+00,7.591918e+00,1.132840e+01,9.537891e+00,1.725657e+00,-5.149219e+00,-7.648310e+00,-4.859304e+00,-2.741750e+00,-1.310606e+00,-8.424499e+00,-1.703505e+01,-3.145563e+01,-3.052256e+01,-2.388345e+01,-1.473584e+01,-2.769868e+00,5.988726e+00,3.175124e+00,-8.961901e+00,-3.374451e+00,9.311776e+00,1.090812e+01,4.792880e+00,-1.841093e+00,1.202097e+00,3.490989e+00,7.080713e+00
1.008662e+00,1.875564e-03,-2.660505e+00,-2.008734e+00,-5.913829e-02,3.087033e+00,5.873536e+00,-7.647853e+00,-4.134025e-01,6.905354e+00,1.439549e+00,-2.908024e+00,-7.157942e+00,-1.615608e+01,-2.182996e+01,-1.508101e+01,1.706662e+01,4.038136e+01,4.834361e+01,4.117937e+01,2.939320e+01,1.364314e+01,5.489952e+00,6.736074e+00,1.675020e+01,1.126358e+01,-1.115077e+00,-5.101643e+00,-6.439649e-01,-2.567055e-01,1.008623e+00
4.797363e-01,-1.343114e+00,-5.744252e+00,-7.989076e+00,-7.396997e+00,-4.859059e+00,1.280803e+00,-4.384460e-01,2.004610e-01,4.723892e+00,-5.611730e+00,-1.215528e+01,-1.415928e+01,-1.532035e+01,-3.330040e+00,2.273072e+01,4.787556e+01,5.729710e+01,5.452505e+01,3.778049e+01,2.866441e+01,1.778123e+01,1.015323e+01,1.102542e+01,7.587335e+00,-2.973792e+00,-7.662585e+00,-6.219609e+00,-2.075788e+00,-2.883615e+00,-2.426511e+00
4.942094e+00,8.275164e-01,-4.058489e+00,-5.048577e+00,-6.586042e+00,-4.315134e+00,2.507949e+00,7.954523e+00,2.038183e+00,-1.052051e+01,-2.713116e+01,-3.196229e+01,-2.825610e+01,-2.226136e+01,5.725851e+00,4.078471e+01,5.213098e+01,5.086243e+01,3.674098e+01,2.595367e+01,1.914479e+01,8.173434e+00,5.389082e+00,7.469235e+00,-1.104228e+00,-9.257880e+00,-8.177380e+00,-6.639200e+00,-2.866977e+00,-2.467165e+00,-1.516690e+00
