Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-4.387100e+02,-4.221779e+02,-4.309587e+02,-4.414788e+02,-4.512182e+02,-4.264590e+02,-3.627826e+02,-3.103572e+02,-2.805598e+02,-2.623535e+02,-2.344228e+02,-2.020551e+02,-1.799380e+02,-1.589476e+02,-1.444174e+02,-1.423993e+02,-1.556815e+02,-1.796508e+02,-1.986416e+02,-2.097796e+02,-2.226482e+02,-2.703662e+02,-3.446286e+02,-3.992089e+02,-4.316596e+02,-4.517117e+02,-4.624974e+02,-4.567786e+02,-4.546431e+02,-4.603889e+02,-4.582280e+02,-4.593092e+02,-4.600734e+02,-4.672381e+02
5.925069e+01,6.933102e+01,6.504565e+01,6.220287e+01,5.723251e+01,9.177466e+01,1.554617e+02,1.772185e+02,1.594918e+02,1.331338e+02,1.184392e+02,1.075504e+02,9.739021e+01,9.440298e+01,9.412253e+01,1.060261e+02,1.134950e+02,1.127546e+02,9.833015e+01,7.322373e+01,6.715529e+01,7.182650e+01,8.519072e+01,8.757274e+01,6.984129e+01,5.557967e+01,4.833009e+01,5.182683e+01,5.302566e+01,5.037407e+01,4.848534e+01,5.063478e+01,5.237019e+01,4.819408e+01
3.841719e-02,-9.936971e-01,2.126905e+00,9.755048e+00,1.262121e+01,3.801114e+01,5.463714e+01,4.993565e+01,4.173560e+01,3.549320e+01,3.247863e+01,2.969411e+01,3.094847e+01,2.599422e+01,1.186361e+01,-2.198499e+00,-7.886652e+00,9.303104e-01,1.738243e+01,1.866386e+01,8.990204e+00,2.395563e+00,-4.858167e+00,1.953611e+00,6.419540e+00,8.415496e+00,1.105188e+01,8.797355e+00,6.443666e+00,1.034052e+01,5.353410e+00,1.119401e+01,1.461001e+01,1.700336e+01
-3.164274e+00,-1.333065e+00,1.377847e+00,3.164910e+00,3.888530e+00,7.477911e+00,-7.082074e+00,-1.153685e+01,-1.035110e+01,-1.789053e+01,-2.681073e+01,-3.075740e+01,-3.623409e+01,-4.370434e+01,-4.647302e+01,-4.479513e+01,-3.743869e+01,-3.600608e+01,-4.572018e+01,-3.499043e+01,-2.719081e+01,-2.181675e+01,-1.253687e+01,-5.098866e-01,2.872163e+00,4.447062e+00,3.619122e+00,6.520374e-01,-3.587565e+00,-1.609474e+00,3.642239e-01,6.165940e+00,5.259197e+00,3.493701e+00
1.140022e+01,1.210019e+01,1.634192e+01,1.756239e+01,1.394008e+01,-4.297362e+00,-2.596271e+01,-4.112249e+01,-4.762984e+01,-3.522692e+01,-2.346136e+01,-2.331858e+01,-2.902310e+01,-2.707260e+01,-3.197802e+01,-4.084428e+01,-4.804778e+01,-3.944700e+01,-2.632334e+01,-1.167408e+01,-1.447201e+00,2.541775e+00,7.911777e+00,9.877232e+00,1.910972e+01,1.938617e+01,1.342609e+01,9.836279e+00,6.337030e+00,4.545113e+00,9.007105e+00,1.682523e+01,1.472280e+01,8.638851e+00
6.841411e+00,9.806129e+00,1.344229e+01,1.385926e+01,1.017525e+01,-1.428941e+01,-2.506060e+01,-1.827422e+01,-1.032818e+01,5.855049e+00,1.107264e+01,9.865366e+00,8.324627e+00,9.162034e+00,1.094014e+01,2.783146e+01,3.842504e+01,2.711826e+01,7.435770e+00,-3.932434e+00,9.571547e-01,7.189007e-01,-1.936750e+00,8.647806e+00,1.226251e+01,1.253545e+01,1.295456e+01,1.033026e+01,7.586942e+00,6.970236e+00,4.198682e+00,9.882905e+00,1.289472e+01,1.284005e+01
-6.596186e-01,6.249812e-01,4.931272e-01,-2.329850e+00,-1.799813e+00,-2.060776e+01,-2.206815e+01,-1.854706e+01,-2.746218e+01,-2.234861e+01,-1.722471e+01,-2.198500e+01,-2.921169e+01,-3.724569e+01,-4.516241e+01,-4.897256e+01,-4.831344e+01,-3.422664e+01,-1.429523e+01,-9.636568e+00,-1.114992e+00,5.089100e+00,7.135046e+00,4.368138e+00,-7.197721e-01,-2.993757e+00,4.021064e+00,7.730109e+00,4.100190e+00,6.515244e+00,1.347425e+00,-3.679998e+00,1.143776e+00,8.209504e+00
7.665563e+00,5.171949e-01,-1.503203e+00,1.500958e+00,1.633218e+00,-1.564645e+01,-1.619913e+01,-1.217126e+01,-7.119175e-01,9.811184e+00,6.792573e+00,7.812867e+00,6.533392e+00,1.087719e+01,1.524178e+01,1.191402e+01,7.529769e+00,1.174172e-01,-4.702130e+00,-3.739949e+00,2.309475e-01,3.587159e+00,-1.989838e+00,-2.530799e+00,-3.449953e+00,-3.988292e+00,-1.260915e+00,6.658691e+00,3.136580e+00,4.426170e+00,4.179552e+00,-3.567841e+00,-2.825496e+00,2.266649e+00
5.407316e+00,3.860318e+00,2.676874e+00,4.706362e+00,6.574695e+00,-1.001934e+01,-1.534270e+01,-1.076908e+01,-1.144321e+01,-1.592475e+01,-1.866455e+01,-2.023345e+01,-1.929479e+01,-2.162694e+01,-2.417161e+01,-3.529718e+01,-4.255898e+01,-3.715726e+01,-2.698618e+01,-1.692451e+01,-1.014914e+01,-7.643553e+00,-6.289072e+00,-7.053895e+00,-2.022360e+00,1.467543e+00,-1.050596e+00,2.574788e+00,8.360156e-01,-8.600999e-01,-2.499054e-01,2.764374e+00,6.351763e-02,-2.548993e-01
-2.057793e+00,1.681425e+00,2.422031e+00,5.417613e-01,2.365692e+00,-5.016536e+00,-1.342277e+01,-1.768479e+01,-1.431495e+01,-5.226387e+00,-1.208480e+00,-3.726273e+00,-1.145977e+01,-2.149426e+01,-2.323899e+01,-2.375022e+01,-1.939739e+01,-1.746268e+01,-8.231306e+00,-4.370414e+00,-6.704257e+00,-2.750444e+00,-2.070911e+00,-4.725642e+00,-2.208061e+00,3.522379e-01,-9.918852e-01,-3.621322e+00,-4.198094e+00,-3.382131e+00,-5.473566e+00,1.916193e+00,-1.118544e+00,-1.850094e+00
