Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.335101e+02,-4.208399e+02,-4.147759e+02,-3.865638e+02,-3.245888e+02,-2.689435e+02,-2.301005e+02,-2.169288e+02,-2.047072e+02,-1.911490e+02,-1.859893e+02,-1.949656e+02,-1.916624e+02,-1.959541e+02,-2.037274e+02,-2.033458e+02,-2.041590e+02,-2.068766e+02,-2.104718e+02,-2.131024e+02,-2.104863e+02,-2.154053e+02,-2.162003e+02,-2.231327e+02,-2.468728e+02,-2.821160e+02,-3.245435e+02,-3.670808e+02,-4.086569e+02,-4.229728e+02,-4.240846e+02,-4.247282e+02
2.591914e+01,3.676793e+01,4.168300e+01,7.761161e+01,1.400054e+02,1.750183e+02,1.726056e+02,1.574066e+02,1.394687e+02,1.284840e+02,1.239671e+02,1.149389e+02,1.105368e+02,1.051018e+02,1.055107e+02,1.071665e+02,1.094380e+02,1.090717e+02,1.155471e+02,1.250260e+02,1.301535e+02,1.397861e+02,1.566599e+02,1.805158e+02,1.960713e+02,1.804661e+02,1.425776e+02,9.697127e+01,4.983338e+01,3.411383e+01,3.139573e+01,2.993015e+01
2.020902e+01,2.084215e+01,1.990628e+01,4.440107e+01,6.207447e+01,5.888469e+01,4.513811e+01,3.614711e+01,3.120779e+01,2.477162e+01,2.186217e+01,1.748584e+01,1.135210e+01,1.384253e+01,2.039719e+01,2.464646e+01,2.292839e+01,2.238644e+01,2.114057e+01,2.642951e+01,3.040098e+01,3.640250e+01,4.219321e+01,4.210384e+01,5.116313e+01,6.315339e+01,6.082428e+01,4.495786e+01,2.368570e+01,1.726260e+01,1.407106e+01,1.231599e+01
1.363814e+01,1.072354e+01,8.369860e+00,2.025723e+01,1.065038e+01,-6.171300e+00,-1.749424e+01,-2.168539e+01,-2.277435e+01,-2.112746e+01,-1.470941e+01,-4.431297e+00,-7.136877e+00,-1.072275e+01,-9.483356e+00,-5.735397e+00,-1.202098e+01,-1.558450e+01,-1.513393e+01,-1.355814e+01,-1.633898e+01,-2.614136e+01,-3.256932e+01,-4.085954e+01,-3.192139e+01,-1.157525e+01,6.327864e-01,6.660547e+00,7.882644e+00,8.348685e+00,7.777223e+00,7.666386e+00
8.020451e+00,5.470971e+00,5.759040e+00,8.397345e+00,-9.069351e+00,-3.420406e+01,-4.463703e+01,-3.661417e+01,-3.406705e+01,-3.351155e+01,-3.015141e+01,-2.772722e+01,-2.456965e+01,-2.605901e+01,-1.898921e+01,-1.285712e+01,-1.618629e+01,-1.639907e+01,-1.214099e+01,-1.749341e+01,-2.687393e+01,-3.361211e+01,-4.105333e+01,-4.916921e+01,-4.557194e+01,-2.985359e+01,-2.014572e+01,-6.430928e+00,5.008284e+00,8.230988e+00,9.699746e+00,1.186065e+01
4.019189e+00,4.159543e+00,6.335932e+00,-1.497439e+00,-1.502209e+01,-2.284442e+01,-4.628983e+00,1.414334e+01,1.523938e+01,1.346277e+01,1.064577e+01,1.002872e+01,9.041744e+00,9.438025e+00,1.088956e+01,9.855644e+00,5.679274e+00,5.746589e+00,1.539569e+01,1.953923e+01,2.010160e+01,1.362548e+01,4.822937e+00,-1.014840e+01,-2.485213e+01,-3.133422e+01,-2.425362e+01,-1.054482e+01,2.775696e+00,7.632806e+00,8.122410e+00,1.051422e+01
1.698916e+00,3.400763e+00,4.518833e+00,-1.488269e+01,-2.115553e+01,-2.445171e+01,-2.871292e+01,-2.301612e+01,-2.545873e+01,-2.160501e+01,-1.907729e+01,-1.518391e+01,-1.316120e+01,-1.332603e+01,-1.700961e+01,-2.050447e+01,-1.945311e+01,-2.428556e+01,-2.199927e+01,-1.936288e+01,-2.219329e+01,-2.154465e+01,-1.607985e+01,-1.603822e+01,-2.326204e+01,-2.886689e+01,-2.509179e+01,-1.595373e+01,-2.952929e+00,3.737060e+00,3.817586e+00,4.539913e+00
6.310886e-01,1.720722e+00,2.637715e+00,-2.310331e+01,-2.116148e+01,-8.336441e+00,-1.149049e+00,1.386299e+00,-8.808846e-01,-4.105752e+00,9.578923e-01,6.603890e+00,4.059480e+00,3.709875e+00,-6.652884e-01,9.779793e-02,4.822176e+00,3.449477e+00,-2.643915e+00,-1.378237e+00,-5.053803e+00,-1.226836e+01,-1.018584e+01,8.809681e-01,-3.928971e-01,-1.063302e+01,-1.768446e+01,-1.680242e+01,-6.160708e+00,7.767928e-01,2.894030e+00,2.798619e+00
-1.049484e-01,-2.393004e-02,1.998414e+00,-2.035325e+01,-1.422798e+01,-3.666514e+00,-4.278452e+00,-7.286346e-01,4.074702e-01,1.774855e+00,-2.245016e+00,-5.433162e+00,-6.899147e+00,-4.995017e+00,-5.625817e+00,-6.941751e+00,-8.155977e+00,-5.842785e+00,-4.653611e+00,-3.023287e+00,2.578771e+00,2.474675e+00,-2.677319e-01,8.507110e-01,3.827250e+00,5.440777e+00,-4.775313e+00,-9.755262e+00,-4.612682e+00,8.558899e-02,2.826585e+00,3.755998e+00
-1.239850e+00,-4.443044e+00,-2.890618e+00,-1.544748e+01,-1.628468e+01,-2.356252e+01,-3.034848e+01,-2.945992e+01,-3.081200e+01,-3.342825e+01,-3.154337e+01,-2.971527e+01,-2.389880e+01,-2.100434e+01,-2.122816e+01,-2.106390e+01,-2.266146e+01,-2.463221e+01,-2.425112e+01,-2.590888e+01,-2.932457e+01,-3.059279e+01,-2.789402e+01,-1.939521e+01,-8.383413e+00,3.623580e+00,8.911261e-01,-2.638659e+00,-1.917401e+00,-2.761346e-01,-4.847968e-02,1.767958e+00
-2.641238e+00,-7.126755e+00,-5.271237e+00,-1.270403e+01,-1.779266e+01,-1.592803e+01,-4.616499e+00,2.539096e-01,1.579661e+00,6.440921e-01,-3.958759e-01,-8.504967e+00,-4.434124e+00,2.963202e-01,-3.188498e+00,1.923185e+00,2.892478e+00,4.050055e+00,5.654567e+00,1.564452e+00,1.066419e+00,8.694319e-01,-6.394676e-01,-2.607205e+00,-7.506799e+00,-5.912270e+00,-3.300282e+00,-2.089201e+00,2.568010e-01,-9.573236e-02,-1.479091e+00,-1.429145e-01
-3.718079e+00,-3.519351e+00,-1.668203e+00,-8.141341e+00,-6.222765e+00,-2.471731e+00,-2.882245e+00,-8.102273e+00,-1.313441e+01,-1.671434e+01,-9.191395e+00,-4.941899e+00,-8.131731e+00,-1.103222e+01,-1.219786e+01,-7.284504e+00,-9.185358e+00,-8.863401e+00,-7.853518e+00,-9.612005e+00,-1.563138e+01,-2.032836e+01,-1.690193e+01,-1.741850e+01,-1.470074e+01,-9.554382e+00,-8.258550e+00,-5.380641e+00,1.946529e+00,1.055345e+00,1.462792e+00,2.332467e+00
-4.412318e+00,1.004528e+00,-5.960927e-01,-6.948546e-02,6.574862e+00,9.446522e+00,4.388826e+00,-8.045671e+00,-1.313659e+01,-1.756859e+01,-1.393293e+01,-7.956388e+00,-2.702799e+00,-3.234566e+00,3.307807e+00,9.706095e+00,6.999398e+00,5.543725e+00,9.193825e+00,5.863556e+00,-6.739055e+00,-1.626993e+01,-1.892929e+01,-1.424788e+01,-7.487194e+00,-8.543099e+00,-8.680908e+00,-7.348284e+00,1.100186e+00,5.854775e-01,3.395891e+00,4.862730e+00
