Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.200932e+02,-3.958445e+02,-3.920180e+02,-3.947933e+02,-3.975278e+02,-3.918937e+02,-3.119360e+02,-2.373439e+02,-2.050517e+02,-1.883708e+02,-1.714039e+02,-1.734594e+02,-1.639155e+02,-1.642847e+02,-1.696689e+02,-1.745790e+02,-1.820144e+02,-2.121076e+02,-2.650979e+02,-3.023391e+02,-3.244450e+02,-3.356281e+02,-3.607568e+02,-3.793054e+02,-3.983219e+02,-4.061481e+02,-4.097033e+02,-4.141309e+02,-4.227793e+02
5.564535e+01,6.699762e+01,7.184161e+01,7.394052e+01,7.243082e+01,8.929245e+01,1.612746e+02,1.631416e+02,1.451769e+02,1.330871e+02,1.369398e+02,1.368743e+02,1.312642e+02,1.371781e+02,1.482729e+02,1.605446e+02,1.742863e+02,1.767962e+02,1.735800e+02,1.694026e+02,1.421036e+02,1.143157e+02,8.986656e+01,7.946743e+01,7.109888e+01,7.234631e+01,7.167520e+01,6.834328e+01,6.299646e+01
2.014033e+01,1.682921e+01,1.399588e+01,1.579505e+01,1.156356e+01,2.582001e+01,6.465288e+01,7.649522e+01,6.640796e+01,4.630232e+01,3.363635e+01,3.154008e+01,3.952943e+01,4.279116e+01,4.330628e+01,4.951130e+01,5.960275e+01,6.436971e+01,6.307738e+01,5.084376e+01,4.010170e+01,1.612794e+01,2.712476e+00,1.927286e-01,7.068230e+00,1.422779e+01,1.582175e+01,1.392650e+01,1.627053e+01
1.194923e+01,1.475836e+01,1.174658e+01,8.688031e+00,4.487747e+00,4.347613e+00,-4.398552e+00,-1.823572e+00,8.436481e+00,3.530457e+00,-1.671671e+00,-5.053623e-01,8.202902e+00,6.959244e+00,-2.928818e+00,-1.019424e+01,-9.874424e+00,-1.958691e+00,6.250975e+00,1.282842e+01,2.039799e+01,2.540239e+01,1.881846e+01,1.077436e+01,8.031179e+00,3.934205e+00,4.445639e+00,-1.927057e+00,-2.296461e+00
7.209961e+00,7.900522e+00,7.508454e+00,3.983455e+00,5.042624e+00,1.663845e+00,-2.910643e+01,-4.249122e+01,-4.001964e+01,-4.146370e+01,-3.952918e+01,-3.555563e+01,-3.991142e+01,-4.665067e+01,-5.645326e+01,-6.338663e+01,-6.418135e+01,-5.054490e+01,-2.803291e+01,-2.913745e+00,3.602364e+00,1.013645e+01,1.567420e+01,1.815150e+01,1.408087e+01,1.276698e+01,1.652874e+01,9.732450e+00,6.176407e+00
1.892990e+01,1.821690e+01,1.862934e+01,1.712523e+01,1.472075e+01,2.562637e+00,-2.773218e+01,-1.120617e+01,1.046811e+01,3.249192e+01,4.238892e+01,4.879696e+01,5.458472e+01,4.883897e+01,3.286823e+01,2.420855e+01,1.292431e+01,3.502056e+00,-9.714567e+00,-1.135872e+01,-6.912112e+00,-2.770620e+00,7.851252e+00,1.140616e+01,1.160191e+01,1.467434e+01,1.590876e+01,1.460840e+01,1.264992e+01
1.017982e+01,8.776344e+00,9.490633e+00,1.204000e+01,1.125808e+01,-2.463202e+00,-3.011026e+01,-4.894137e+01,-5.101509e+01,-4.277785e+01,-3.910692e+01,-4.158355e+01,-4.661433e+01,-4.118106e+01,-4.086918e+01,-4.396594e+01,-4.378742e+01,-3.850941e+01,-2.484111e+01,-6.139385e+00,1.573195e+00,9.523998e+00,1.462933e+01,1.563482e+01,1.822491e+01,1.387648e+01,1.020218e+01,9.437132e+00,8.395363e+00
3.448094e+00,3.660318e+00,-3.285501e+00,-2.419857e+00,-5.321509e-02,-6.646123e+00,-3.175512e+00,2.323122e+01,3.011854e+01,2.908276e+01,2.518797e+01,1.852055e+01,2.379638e+01,2.814543e+01,3.036658e+01,2.898193e+01,3.083787e+01,2.522131e+01,9.978436e+00,-4.781477e+00,-1.676600e+01,-1.797414e+01,-1.060601e+01,4.300954e+00,1.408073e+01,1.039087e+01,9.210550e+00,4.019345e+00,3.818635e+00
9.791763e+00,6.222971e+00,6.219558e+00,1.053037e+01,1.045743e+01,5.263573e-01,-6.583867e+00,-1.202627e+01,-1.512265e+01,-2.306784e+01,-2.964513e+01,-2.356618e+01,-1.711140e+01,-1.902394e+01,-2.117853e+01,-1.896141e+01,-6.980701e+00,-3.341236e+00,-1.121560e+01,-1.326349e+01,-2.131844e+01,-1.986597e+01,-8.694834e+00,-1.246397e+00,5.473794e+00,6.310252e+00,5.891634e+00,-1.769513e-02,3.202782e+00
-2.046905e+00,-5.559013e+00,-2.791639e+00,7.131994e-01,1.684750e+00,1.166759e-01,6.873993e+00,1.095982e+01,1.266078e+01,1.620298e+00,-5.859362e+00,-3.358193e+00,-2.935992e+00,-9.393326e+00,-1.701542e+01,-2.077556e+01,-1.600352e+01,-8.597340e+00,-2.210196e+00,-6.277021e+00,-8.387831e+00,2.655843e+00,1.050628e+01,2.058725e+00,1.063067e-01,-3.314107e-01,-7.533330e-01,-4.373192e+00,1.393602e+00
-1.248456e+01,-1.136837e+01,-9.273193e+00,-1.086552e+01,-1.186229e+01,-1.638534e+00,-4.325985e+00,-7.775256e+00,-6.715959e+00,-3.704326e+00,-4.284964e+00,-3.738016e+00,-4.370082e+00,-1.545437e+00,-1.224256e+00,-3.279666e+00,-1.000138e+01,-8.830440e+00,-7.486646e+00,-1.040655e+01,-1.482949e+01,-1.170732e+01,-8.455377e+00,-9.009172e+00,-1.000224e+01,-9.364927e+00,-6.462609e+00,-7.610404e+00,-3.044529e+00
