Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.207363e+02,-4.037464e+02,-4.012253e+02,-3.970157e+02,-3.167526e+02,-1.892049e+02,-1.317996e+02,-1.247037e+02,-1.336426e+02,-1.492880e+02,-1.558960e+02,-1.451258e+02,-1.341777e+02,-1.215439e+02,-1.232707e+02,-1.431912e+02,-1.767342e+02,-2.232722e+02,-2.769315e+02,-3.224690e+02,-3.629017e+02,-3.847441e+02,-3.920168e+02,-4.020230e+02,-4.002542e+02,-4.034876e+02,-4.049651e+02,-4.124953e+02
6.376995e+01,7.428300e+01,7.685271e+01,8.337944e+01,1.568546e+02,1.675660e+02,1.574038e+02,1.398149e+02,1.366420e+02,1.395889e+02,1.417179e+02,1.372287e+02,1.390752e+02,1.508177e+02,1.632404e+02,1.691666e+02,1.743856e+02,1.774386e+02,1.737025e+02,1.479774e+02,1.078767e+02,8.434664e+01,7.560359e+01,7.182775e+01,7.083206e+01,7.002891e+01,7.061382e+01,6.729368e+01
2.206834e+01,1.480502e+01,1.450170e+01,1.936137e+01,5.167308e+01,4.991595e+01,2.729657e+01,9.220980e+00,4.060470e+00,3.531469e+00,1.090063e+01,1.518273e+01,1.054608e+01,8.159366e+00,1.944180e+01,3.248511e+01,4.489077e+01,5.053653e+01,4.450314e+01,3.970852e+01,2.164177e+01,8.822680e+00,2.686557e+00,1.014353e+01,4.874956e+00,4.562860e+00,7.083531e+00,1.352882e+01
7.854011e+00,1.307916e+00,-1.874495e+00,-1.978343e+00,-6.156871e+00,-1.096283e+01,-7.368542e+00,-5.550537e-02,7.442251e+00,8.056415e+00,8.009007e+00,1.021207e+01,5.293425e+00,-2.726229e+00,-5.523145e+00,-6.478097e+00,-1.228537e+00,1.427210e+01,2.154863e+01,2.439434e+01,1.128858e+01,6.503232e-01,-4.126340e+00,1.498313e+00,-1.439705e+00,-7.361287e+00,-7.486619e+00,-2.629789e+00
1.758915e+01,1.649065e+01,1.323708e+01,1.058972e+01,-1.809572e+01,-5.596323e+01,-6.111485e+01,-5.646805e+01,-4.730789e+01,-3.793354e+01,-3.644876e+01,-4.709982e+01,-5.723067e+01,-6.843166e+01,-7.575468e+01,-7.315009e+01,-5.621117e+01,-2.853102e+01,8.400662e+00,2.777158e+01,2.176690e+01,1.410423e+01,9.885262e+00,1.283888e+01,1.529076e+01,1.209892e+01,1.084923e+01,1.005794e+01
2.166543e+01,1.971343e+01,1.912151e+01,1.620290e+01,-1.084990e+01,2.752682e+01,4.769865e+01,6.096962e+01,6.583778e+01,6.193864e+01,6.554549e+01,7.052673e+01,6.850152e+01,5.765070e+01,4.686147e+01,3.301050e+01,2.667405e+01,9.469807e+00,3.766203e+00,8.773526e+00,9.673903e+00,1.228935e+01,1.102700e+01,9.224821e+00,1.342511e+01,1.641625e+01,1.625394e+01,1.597819e+01
1.353478e+01,1.187460e+01,1.428200e+01,8.102295e+00,-2.265818e+01,-4.249021e+01,-4.310325e+01,-3.357118e+01,-2.881115e+01,-2.984006e+01,-2.958569e+01,-3.367896e+01,-3.322379e+01,-2.485167e+01,-2.572756e+01,-3.736446e+01,-3.264507e+01,-1.788348e+01,2.150115e+00,2.827695e+00,-6.211174e-02,8.653226e+00,1.300451e+01,6.394842e+00,8.458476e+00,8.942460e+00,8.940401e+00,1.173882e+01
7.644118e+00,7.972131e+00,1.099820e+01,1.115571e+00,-1.508364e+01,9.167805e+00,1.753613e+01,1.443295e+01,5.472888e+00,2.786778e+00,3.999460e+00,3.640885e+00,4.486597e+00,1.157082e+01,1.512369e+01,1.231946e+01,7.727287e+00,7.350823e+00,2.000269e+00,-5.788696e+00,-6.479870e+00,2.365635e+00,7.127609e+00,7.712453e+00,7.141905e+00,3.589789e+00,5.721951e+00,8.440647e+00
1.016425e+01,9.416794e+00,8.621078e+00,-1.798454e-01,-2.086011e+01,-2.218830e+01,-1.973620e+01,-2.146728e+01,-2.058354e+01,-1.415494e+01,-1.243024e+01,-1.213415e+01,-1.500496e+01,-2.127554e+01,-1.999376e+01,-1.610615e+01,-1.956635e+01,-2.404615e+01,-2.607598e+01,-2.265550e+01,-1.363992e+01,-2.004402e+00,-1.596157e+00,5.031112e+00,3.841619e+00,-5.745739e-02,5.183108e+00,5.545913e+00
1.138033e+01,8.012827e+00,2.169114e+00,-1.912361e+00,-9.267584e+00,-2.222685e+01,-2.251806e+01,-2.052228e+01,-2.005014e+01,-1.833823e+01,-1.966708e+01,-1.843211e+01,-2.101348e+01,-2.683038e+01,-2.986106e+01,-3.009562e+01,-2.952377e+01,-2.824346e+01,-2.516453e+01,-2.171978e+01,-1.338455e+01,-1.393597e+00,7.415794e-01,2.578041e+00,2.929814e+00,-7.551260e-01,2.172555e+00,3.205256e-01
2.304934e+00,-1.943892e+00,-7.030364e+00,-6.277230e+00,6.228309e+00,8.786613e+00,5.685371e+00,3.992412e+00,-1.439467e+00,-2.297737e+00,-9.754495e-01,6.544391e+00,1.107528e+01,1.259440e+01,9.598255e+00,5.097332e+00,3.550111e+00,1.809983e+00,-3.954273e+00,-1.518584e+01,-1.604070e+01,-9.439360e+00,-3.886901e+00,-2.210003e+00,-3.732731e-01,-5.148752e-01,-3.037009e+00,-5.237329e+00
