Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.618214e+02,-3.333855e+02,-2.799302e+02,-2.590792e+02,-2.727764e+02,-2.627397e+02,-2.599468e+02,-2.717587e+02,-2.990483e+02,-3.314034e+02,-3.694724e+02,-4.056656e+02,-4.381718e+02,-4.602343e+02,-4.725558e+02,-4.788427e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02,-4.795194e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.339037e+01,1.658947e+02,1.997342e+02,1.912101e+02,1.677757e+02,1.844192e+02,2.040784e+02,2.127947e+02,1.988920e+02,1.699822e+02,1.326097e+02,9.374564e+01,5.477684e+01,2.633998e+01,9.552450e+00,9.409552e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.892242e+01,7.549454e+01,6.600024e+01,3.221891e+01,1.333930e+01,1.682197e+01,3.191191e+01,5.642699e+01,7.500024e+01,7.826553e+01,7.662114e+01,6.597327e+01,4.472944e+01,2.365852e+01,8.693363e+00,8.934213e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.276155e+01,-1.050540e+01,-2.650296e+01,-2.659922e+01,-1.934374e+01,-2.956968e+01,-4.529757e+01,-4.371069e+01,-2.832091e+01,-8.202437e+00,1.722677e+01,3.184848e+01,3.101549e+01,1.955352e+01,7.350378e+00,8.159969e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.237068e+00,-4.918513e+01,-5.633218e+01,-4.632241e+01,-2.748056e+01,-3.604736e+01,-5.274261e+01,-6.218626e+01,-6.216554e+01,-4.741275e+01,-2.018657e+01,3.035587e+00,1.684288e+01,1.447933e+01,5.644590e+00,7.113122e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.702966e-01,-3.813217e+01,-3.354095e+01,-3.758723e+01,-2.863573e+01,-3.274082e+01,-3.604659e+01,-4.088223e+01,-4.278609e+01,-3.977019e+01,-2.912491e+01,-1.336695e+01,4.755739e+00,8.933939e+00,3.723186e+00,5.829339e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.370909e+00,-1.493691e+01,-1.731947e+01,-2.062439e+01,-1.284157e+01,-1.003616e+01,-1.190739e+01,-1.473196e+01,-1.441636e+01,-1.584037e+01,-2.074578e+01,-1.737703e+01,-4.056933e+00,3.394308e+00,1.741254e+00,4.352133e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.986644e+00,-4.524024e+00,-2.613069e+00,-3.163523e+00,-4.841793e-02,1.021661e+00,-1.660075e+00,-3.343621e+00,-5.334893e+00,-3.877598e+00,-1.117473e+01,-1.461142e+01,-9.717905e+00,-1.719803e+00,-1.564495e-01,2.731660e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.066199e+01,-1.580513e+01,-1.954638e+01,-1.942213e+01,-1.117816e+01,-1.118836e+01,-1.258352e+01,-1.035523e+01,-1.410237e+01,-9.893697e+00,-9.736570e+00,-1.202489e+01,-1.307165e+01,-6.068668e+00,-1.851077e+00,1.022827e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.251110e+01,-3.172081e+01,-3.778757e+01,-3.466654e+01,-2.322371e+01,-1.888232e+01,-2.230027e+01,-2.235815e+01,-2.427440e+01,-2.281847e+01,-1.604380e+01,-1.367176e+01,-1.498611e+01,-9.419668e+00,-3.260497e+00,-7.165602e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
