Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42
-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.440128e+02,-3.204141e+02,-2.696867e+02,-2.745909e+02,-2.811920e+02,-2.744239e+02,-2.709222e+02,-2.763087e+02,-2.963249e+02,-3.210547e+02,-3.467364e+02,-3.769199e+02,-4.128089e+02,-4.482952e+02,-4.692627e+02,-4.828717e+02,-4.851933e+02,-4.854411e+02,-4.854411e+02,-4.854296e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02,-4.854411e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.905289e+01,1.718817e+02,1.914580e+02,1.721467e+02,1.648989e+02,1.816448e+02,1.967491e+02,2.051275e+02,2.010528e+02,1.846623e+02,1.614179e+02,1.320635e+02,9.211076e+01,4.956916e+01,2.200645e+01,3.544906e+00,3.429246e-01,0.000000e+00,0.000000e+00,1.628380e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.633515e+01,5.709285e+01,3.342902e+01,1.002425e+01,9.468690e+00,2.228613e+01,3.640549e+01,5.325206e+01,7.153305e+01,7.836328e+01,8.121768e+01,7.945370e+01,6.463406e+01,4.131412e+01,1.948851e+01,3.283911e+00,3.204533e-01,0.000000e+00,0.000000e+00,1.610345e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.630499e+00,-3.164657e+01,-3.698937e+01,-3.449528e+01,-3.035291e+01,-3.438060e+01,-3.984454e+01,-3.739402e+01,-2.693195e+01,-1.251331e+01,5.560575e+00,2.201546e+01,3.092412e+01,2.946772e+01,1.561629e+01,2.867243e+00,2.840854e-01,0.000000e+00,0.000000e+00,1.580433e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.302094e+00,-5.150848e+01,-4.594445e+01,-3.334556e+01,-2.897851e+01,-3.824161e+01,-5.170136e+01,-5.874200e+01,-5.823843e+01,-4.593523e+01,-3.202642e+01,-1.698957e+01,2.295967e+00,1.627487e+01,1.082401e+01,2.320825e+00,2.353981e-01,0.000000e+00,0.000000e+00,1.538690e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.266953e+00,-1.484437e+01,-1.181670e+01,-1.469543e+01,-1.630414e+01,-2.574930e+01,-3.333567e+01,-4.142313e+01,-4.235460e+01,-3.613580e+01,-3.426954e+01,-2.994201e+01,-1.455298e+01,3.903967e+00,5.625013e+00,1.677974e+00,1.765027e-01,0.000000e+00,0.000000e+00,1.485951e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.724227e+00,9.053797e+00,4.036741e+00,-1.341767e+00,-5.131431e+00,-1.413474e+01,-2.015906e+01,-2.604491e+01,-2.492107e+01,-1.928065e+01,-2.371101e+01,-2.445380e+01,-1.954283e+01,-6.042501e+00,5.386323e-01,9.767762e-01,1.099533e-01,0.000000e+00,0.000000e+00,1.422076e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.294832e+00,7.832146e+00,3.322022e+00,1.418758e+00,2.386097e+00,1.401415e+00,3.707664e-01,-6.147738e+00,-1.245852e+01,-1.309854e+01,-1.615270e+01,-1.420826e+01,-1.739641e+01,-1.275232e+01,-3.978608e+00,2.571716e-01,3.863569e-02,0.000000e+00,0.000000e+00,1.347715e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.409401e+00,-1.965393e+01,-2.056281e+01,-2.054966e+01,-1.485465e+01,-4.934459e+00,-1.069575e+00,-3.855442e+00,-1.093770e+01,-1.382868e+01,-1.316032e+01,-9.685448e+00,-1.387450e+01,-1.616829e+01,-7.586308e+00,-4.419934e-01,-3.435740e-02,0.000000e+00,0.000000e+00,1.263279e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.714141e+01,-4.129653e+01,-3.829818e+01,-3.565300e+01,-2.988861e+01,-2.024939e+01,-1.680849e+01,-1.656146e+01,-1.748220e+01,-1.642798e+01,-1.272021e+01,-1.370008e+01,-1.262070e+01,-1.679615e+01,-1.009065e+01,-1.085654e+00,-1.058606e-01,0.000000e+00,0.000000e+00,1.169795e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
