Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.726447e+02,-3.415782e+02,-2.872044e+02,-2.780702e+02,-2.813279e+02,-2.643131e+02,-2.545895e+02,-2.675429e+02,-2.907658e+02,-3.183222e+02,-3.489257e+02,-3.855443e+02,-4.261888e+02,-4.590407e+02,-4.735991e+02,-4.887639e+02,-4.962854e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02,-4.964644e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.077531e+01,1.699709e+02,1.947168e+02,1.772935e+02,1.620708e+02,1.858456e+02,2.124733e+02,2.245204e+02,2.178643e+02,1.999216e+02,1.709340e+02,1.336829e+02,8.933583e+01,4.956088e+01,3.046611e+01,1.025629e+01,2.486629e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.280863e+01,6.537610e+01,4.997448e+01,1.945359e+01,3.555497e+00,7.989870e+00,2.347426e+01,4.890542e+01,6.932854e+01,8.287357e+01,8.354338e+01,7.748546e+01,6.342674e+01,4.048870e+01,2.541438e+01,8.589743e+00,2.354750e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.183543e+01,-2.465915e+01,-3.114577e+01,-2.763144e+01,-2.303269e+01,-3.461614e+01,-4.739377e+01,-4.921076e+01,-3.764757e+01,-1.952202e+01,3.781365e-01,1.756017e+01,3.179093e+01,2.823123e+01,1.860246e+01,6.482210e+00,2.140131e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.365598e-01,-5.334163e+01,-5.674735e+01,-4.695760e+01,-3.006165e+01,-4.279416e+01,-6.005831e+01,-6.621492e+01,-6.417355e+01,-5.762874e+01,-4.140623e+01,-2.211404e+01,4.659002e+00,1.559203e+01,1.168748e+01,4.598623e+00,1.850415e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.596644e+00,-2.991090e+01,-2.686080e+01,-3.167554e+01,-2.267544e+01,-3.380613e+01,-4.158655e+01,-4.251502e+01,-4.266768e+01,-4.280838e+01,-4.266689e+01,-3.503398e+01,-1.249807e+01,4.592929e+00,5.903323e+00,3.367740e+00,1.495843e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.396327e+01,-4.460234e+00,-6.666493e+00,-1.206626e+01,-1.267134e+01,-1.397373e+01,-9.090054e+00,-1.328651e+01,-1.597086e+01,-1.725759e+01,-2.668951e+01,-2.899162e+01,-1.994184e+01,-3.858017e+00,1.700473e+00,2.802203e+00,1.089000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.520353e+01,-4.467765e-01,-2.367544e+00,-3.636192e+00,2.333609e-01,-1.848892e-01,-1.939448e+00,-6.202477e+00,-6.107514e+00,-7.821875e+00,-1.305134e+01,-1.662816e+01,-2.113097e+01,-9.650776e+00,-1.178833e+00,2.536161e+00,6.442695e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.311145e+01,-1.749888e+01,-2.338518e+01,-2.337573e+01,-1.488369e+01,-1.519000e+01,-1.610934e+01,-1.259175e+01,-1.269667e+01,-1.247384e+01,-8.108398e+00,-8.614370e+00,-1.945969e+01,-1.301177e+01,-3.306769e+00,2.056184e+00,1.773930e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.188078e+00,-3.071473e+01,-2.973055e+01,-2.817527e+01,-2.455818e+01,-2.253797e+01,-2.158816e+01,-2.174120e+01,-2.527405e+01,-1.917647e+01,-1.105682e+01,-9.861990e+00,-1.673831e+01,-1.428389e+01,-5.129682e+00,1.002373e+00,-2.951390e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
