Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.204169e+02,-4.076107e+02,-4.116103e+02,-4.143561e+02,-4.041114e+02,-4.026551e+02,-4.107164e+02,-3.392613e+02,-2.597596e+02,-2.286233e+02,-2.349189e+02,-2.149105e+02,-1.981401e+02,-1.876032e+02,-1.817101e+02,-1.872037e+02,-1.913007e+02,-1.927648e+02,-1.872860e+02,-1.897233e+02,-1.992490e+02,-2.185852e+02,-2.362675e+02,-2.385399e+02,-2.453676e+02,-2.216981e+02,-1.958532e+02,-2.398374e+02,-3.138094e+02,-3.574577e+02,-4.006138e+02,-4.099432e+02,-4.178664e+02,-4.205463e+02,-4.249533e+02
3.691708e+01,4.841766e+01,4.472091e+01,4.301202e+01,5.376895e+01,5.333854e+01,4.479977e+01,1.258469e+02,1.772544e+02,1.753205e+02,1.629372e+02,1.563016e+02,1.430314e+02,1.470504e+02,1.476667e+02,1.446066e+02,1.422041e+02,1.378397e+02,1.312309e+02,1.355967e+02,1.396519e+02,1.502426e+02,1.610357e+02,1.613004e+02,1.436210e+02,9.139442e+01,6.058698e+01,6.996025e+01,1.007014e+02,7.848665e+01,4.935487e+01,4.490498e+01,3.766510e+01,3.430690e+01,2.960640e+01
2.427874e+01,2.301371e+01,2.263188e+01,2.572263e+01,2.838327e+01,2.421091e+01,2.239215e+01,6.155502e+01,5.589683e+01,4.224339e+01,4.176015e+01,3.481241e+01,1.902676e+01,1.837449e+01,2.045132e+01,2.018194e+01,2.210662e+01,2.128069e+01,1.672990e+01,2.010065e+01,2.279196e+01,2.322845e+01,3.066322e+01,3.388636e+01,3.152725e+01,3.424681e+01,2.426421e+01,1.475093e+01,-7.372928e+00,2.059167e+00,1.166568e+01,2.045392e+01,1.960581e+01,1.698502e+01,1.436550e+01
1.651875e+01,8.190907e+00,8.482706e+00,1.571428e+01,1.231497e+01,8.708919e+00,1.014626e+01,9.229671e+00,-1.413372e+01,-1.471021e+01,-1.481365e+01,-4.961033e+00,1.605530e-01,-8.455957e+00,-1.616319e+01,-1.550015e+01,-1.255416e+01,-1.192135e+01,-1.584813e+01,-1.326261e+01,-8.802340e+00,-1.492359e+00,3.750065e+00,1.868729e+01,2.961549e+01,2.678581e+01,2.700402e+01,1.908738e+01,6.497661e+00,-4.542490e+00,-1.272904e-01,8.382105e+00,8.916521e+00,6.864121e+00,3.936994e+00
1.614417e+01,8.989508e+00,7.360033e+00,1.618862e+01,1.266950e+01,1.297343e+01,1.231493e+01,-1.098500e+01,-2.196227e+01,-1.780556e+01,-1.289955e+01,-1.637792e+01,-1.002114e+01,-1.018737e+01,-1.381608e+01,-1.275131e+01,-1.388364e+01,-1.713253e+01,-1.309795e+01,-1.520356e+01,-1.825448e+01,-1.721441e+01,-6.984449e+00,-3.821223e+00,-3.203264e+00,1.440669e+01,2.525937e+01,2.869598e+01,2.934526e+01,1.889896e+01,1.147862e+01,1.050920e+01,9.173494e+00,8.107140e+00,4.721796e+00
1.670579e+01,1.277510e+01,9.953920e+00,1.770225e+01,1.836063e+01,1.992949e+01,1.665544e+01,-9.477692e+00,-5.046104e-01,1.012135e+01,2.407497e+01,2.169827e+01,2.781083e+01,3.515672e+01,3.642121e+01,3.218448e+01,2.732383e+01,2.365281e+01,2.714317e+01,2.748379e+01,2.550386e+01,1.539106e+01,7.743882e+00,-2.424613e+00,-1.795777e+00,1.085394e+01,1.678893e+01,2.290278e+01,1.910225e+01,2.002701e+01,1.602982e+01,1.285695e+01,1.209381e+01,1.261227e+01,1.245903e+01
1.350076e+01,1.090924e+01,9.007096e+00,1.338586e+01,1.761514e+01,1.576843e+01,1.227108e+01,-8.143190e+00,-1.921152e+01,-2.379234e+01,-1.872664e+01,-2.199924e+01,-1.923392e+01,-2.209691e+01,-1.940746e+01,-1.408449e+01,-1.555336e+01,-1.598776e+01,-1.409612e+01,-1.590086e+01,-1.909421e+01,-1.438311e+01,-6.720309e+00,-2.717940e+00,-4.769215e-01,-3.210627e+00,-2.447388e+00,4.355861e+00,1.633574e+01,1.063412e+01,5.881292e+00,9.770992e+00,1.167625e+01,1.321998e+01,1.843001e+01
8.851171e+00,7.460162e+00,6.484507e+00,6.345360e+00,1.011887e+01,5.038538e+00,4.946601e+00,-4.317953e+00,-2.398819e+00,3.342501e+00,9.613699e+00,1.572777e+01,1.359200e+01,3.465887e+00,-2.091458e+00,-3.346173e+00,-8.625464e-01,1.624177e+00,-1.659894e-02,-3.522479e+00,3.077964e+00,6.137707e+00,5.108960e+00,-1.014357e+01,-2.181995e+01,1.339425e-01,9.469090e+00,1.266579e+01,6.082829e+00,3.971076e+00,-1.539305e+00,6.338819e+00,9.132805e+00,1.017259e+01,1.724685e+01
6.423885e+00,7.132178e+00,5.402161e+00,2.228810e+00,2.229287e+00,-1.361157e+00,9.611827e-01,-2.998807e+00,-5.857918e+00,-8.368224e+00,-1.197405e+01,-1.321727e+01,-1.224776e+01,-1.528395e+01,-1.409973e+01,-9.996456e+00,-1.027853e+01,-1.194156e+01,-1.633109e+01,-1.557241e+01,-1.394645e+01,-6.744657e+00,-2.390980e+00,-2.132601e+00,1.294955e+00,-1.318921e+00,-1.788600e+00,-1.681911e+00,-1.188893e+00,1.006068e+00,1.619606e+00,4.959843e+00,6.805333e+00,6.063875e+00,9.564480e+00
5.622330e+00,6.618323e+00,3.947365e+00,1.489535e+00,-1.876830e+00,-1.400129e+00,9.058267e-01,-5.443527e+00,-1.056404e+01,-1.341428e+01,-1.476435e+01,-2.030885e+01,-1.882433e+01,-1.528256e+01,-1.478819e+01,-9.608068e+00,-7.821500e+00,-9.501780e+00,-1.036577e+01,-1.121865e+01,-1.069307e+01,-1.388003e+01,-1.251856e+01,-1.103817e+00,6.805644e+00,1.014891e+01,9.183495e+00,9.510204e+00,6.408618e+00,3.699869e+00,5.057806e+00,3.436935e+00,4.841830e+00,1.747713e+00,4.435747e-01
4.102070e+00,2.112215e+00,4.342350e-01,1.380573e+00,-1.724431e+00,1.162612e-01,1.213793e+00,-6.908611e+00,-3.331314e+00,-3.300684e+00,-4.546556e+00,-1.620190e+00,-5.573237e+00,-1.844422e+00,4.488311e-01,-5.864342e+00,-8.482166e+00,-6.383321e+00,-4.599015e+00,-4.755947e+00,-8.306757e+00,-1.264759e+01,-1.502801e+01,-1.452675e+01,-1.413106e+01,-8.508430e+00,-4.909207e+00,-1.272532e+00,5.425422e+00,5.206176e+00,1.612111e+00,1.704471e+00,3.175086e+00,-1.636679e+00,-4.289374e+00
2.278547e+00,-2.836820e+00,-2.358887e+00,1.068993e+00,1.282099e+00,8.216358e-01,-1.070035e+00,-6.128450e+00,-1.103380e+01,-1.123328e+01,-1.448941e+01,-1.601216e+01,-2.046603e+01,-2.070926e+01,-2.151015e+01,-2.545563e+01,-2.664452e+01,-2.311407e+01,-2.330499e+01,-2.274910e+01,-2.198512e+01,-1.669319e+01,-1.024008e+01,-1.084839e+01,-1.138921e+01,-4.016376e-01,6.009786e+00,7.930951e+00,3.361381e+00,4.194639e+00,-2.971687e+00,8.037830e-01,1.784164e+00,-1.915350e+00,-2.435978e+00
2.131246e+00,-2.789378e+00,-1.529987e+00,1.591095e+00,3.936758e+00,1.334337e+00,-2.581892e+00,3.891938e+00,7.236117e+00,6.033671e+00,4.063395e+00,1.770974e+00,8.396252e-01,3.081071e-01,-1.464020e+00,-3.827584e-01,4.622727e+00,4.801191e+00,7.057422e+00,3.719439e+00,-3.244494e+00,-6.928618e+00,-1.207854e+01,-6.691110e+00,-6.640756e+00,-5.747497e+00,2.185221e+00,5.041418e+00,6.302654e+00,4.822911e+00,-2.151774e+00,-7.813714e-01,-2.950508e-01,7.866036e-01,2.517059e+00
