Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.229185e+02,-4.118283e+02,-3.813953e+02,-3.194136e+02,-2.739550e+02,-2.416296e+02,-2.209771e+02,-2.122105e+02,-2.004285e+02,-2.013205e+02,-2.075596e+02,-2.017218e+02,-2.055396e+02,-2.146957e+02,-2.138579e+02,-2.113526e+02,-1.990575e+02,-1.845623e+02,-1.866247e+02,-2.059773e+02,-2.459962e+02,-2.921099e+02,-3.502290e+02,-3.977072e+02,-4.328498e+02,-4.446416e+02,-4.421196e+02,-4.451688e+02,-4.460382e+02,-4.444449e+02,-4.535894e+02
4.385920e+01,5.407560e+01,9.065935e+01,1.529676e+02,1.802697e+02,1.684870e+02,1.462488e+02,1.230450e+02,1.124382e+02,1.062742e+02,1.064768e+02,1.081744e+02,1.099231e+02,1.127756e+02,1.155635e+02,1.167637e+02,1.011023e+02,1.004374e+02,1.201902e+02,1.526884e+02,1.764366e+02,1.646447e+02,1.295544e+02,8.594458e+01,4.409731e+01,3.024506e+01,3.372482e+01,3.109930e+01,3.021172e+01,3.275673e+01,2.262936e+01
-1.099471e+00,-8.110347e-01,2.031215e+01,4.318428e+01,4.613604e+01,4.011404e+01,3.799345e+01,3.951759e+01,3.495349e+01,3.072919e+01,2.449234e+01,2.393973e+01,2.554042e+01,3.057586e+01,2.164647e+01,2.191988e+01,3.502005e+01,3.395332e+01,3.009598e+01,3.119755e+01,4.115288e+01,4.787828e+01,5.910506e+01,5.279440e+01,2.805434e+01,1.712601e+01,1.988174e+01,2.043993e+01,2.026560e+01,2.299915e+01,1.841160e+01
-2.179335e+01,-2.549015e+01,-2.084103e+01,-1.963647e+01,-2.901217e+01,-4.119927e+01,-4.106433e+01,-3.050856e+01,-2.765068e+01,-2.767242e+01,-3.011372e+01,-2.625538e+01,-2.324091e+01,-1.759557e+01,-1.584427e+01,-1.333567e+01,-1.541968e+01,-1.673963e+01,-1.993373e+01,-3.056200e+01,-2.438868e+01,-1.009649e+01,1.278565e+01,2.406294e+01,1.654600e+01,9.064213e+00,1.092233e+01,1.296724e+01,1.314550e+01,1.517141e+01,1.383774e+01
-8.424892e+00,-9.171968e+00,-1.679593e+01,-1.798125e+01,-2.829180e+01,-2.966024e+01,-2.141885e+01,-1.746720e+01,-1.635896e+01,-2.059048e+01,-1.939461e+01,-1.965270e+01,-1.956125e+01,-2.470005e+01,-2.407067e+01,-2.131060e+01,-2.844734e+01,-2.937295e+01,-2.873324e+01,-3.688589e+01,-3.546664e+01,-2.629585e+01,-8.646557e+00,5.899515e+00,1.090467e+01,9.640474e+00,1.053508e+01,1.173435e+01,1.139321e+01,1.248071e+01,1.083088e+01
1.179209e+01,1.384939e+01,-1.608620e+00,-4.562038e+00,-2.068620e+00,1.235372e+01,2.597709e+01,2.358597e+01,1.780536e+01,1.464474e+01,1.885850e+01,2.342232e+01,1.987458e+01,2.139629e+01,1.936460e+01,1.938944e+01,2.062349e+01,2.556455e+01,2.875217e+01,2.100730e+01,4.262898e+00,-9.811562e+00,-7.126439e+00,2.292153e+00,1.249683e+01,1.350476e+01,1.261765e+01,1.268594e+01,1.135426e+01,1.249951e+01,9.910124e+00
1.702803e+01,1.791290e+01,-1.866710e+00,-1.194269e+01,-1.803231e+01,-2.517842e+01,-2.109683e+01,-1.831540e+01,-1.259353e+01,-3.778576e+00,-2.670579e-01,6.466208e-01,-2.485715e+00,-2.402003e+00,-1.181963e+00,4.633415e+00,-1.153406e+00,-7.615537e+00,-8.847469e+00,-5.720534e+00,2.472570e-01,2.660494e+00,-2.747630e+00,4.578514e-01,9.839153e+00,1.268812e+01,1.103274e+01,1.123533e+01,9.565626e+00,1.168252e+01,1.009371e+01
1.204975e+01,1.078127e+01,-9.003223e+00,-1.502342e+01,-7.667614e+00,-5.117422e+00,-3.515636e+00,-7.920901e-01,-8.200743e-01,3.824058e-01,-1.256617e+00,-4.141467e+00,-5.091704e+00,-6.877743e+00,-8.058819e+00,-1.763285e-01,3.922054e+00,2.534964e+00,-7.500834e-01,1.609316e+00,1.479695e+00,4.552674e+00,-8.788018e-01,-3.384564e+00,8.312754e-01,6.959724e+00,6.236384e+00,7.175793e+00,6.391137e+00,9.155264e+00,9.859060e+00
8.591579e+00,7.205667e+00,-8.026457e+00,-1.195333e+01,-1.355239e+01,-1.505823e+01,-1.134390e+01,-8.297223e+00,-5.927648e+00,-4.227221e+00,-6.525251e+00,-1.068946e+01,-8.510048e+00,-3.601653e+00,-4.110746e+00,-4.726782e+00,-1.052966e+01,-1.247951e+01,-1.416566e+01,-1.446222e+01,-5.317047e+00,3.211847e+00,5.623271e+00,-3.734531e+00,-4.951205e+00,2.134880e+00,2.066118e+00,3.071657e+00,3.506034e+00,5.876228e+00,8.350563e+00
6.036913e+00,4.930568e+00,-3.708071e+00,-2.854676e+00,-1.010059e+01,-1.397802e+01,-1.638247e+01,-1.927569e+01,-1.889834e+01,-1.694121e+01,-1.647352e+01,-1.597343e+01,-1.900286e+01,-1.902768e+01,-1.926497e+01,-1.893748e+01,-1.905242e+01,-1.953193e+01,-1.978480e+01,-2.065872e+01,-2.082708e+01,-1.142185e+01,-3.385703e+00,-1.057696e+01,-9.856344e+00,3.094555e-01,8.897334e-02,5.411540e-01,1.124386e+00,2.473701e+00,5.913670e+00
